#wls	flux	fluxerr
3.257341E+03	1.920578E-02	3.216657E-03
3.257341E+03	1.920578E-02	3.216657E-03
3.332545E+03	1.916404E-02	2.807185E-03
3.332545E+03	1.916404E-02	2.807185E-03
3.409486E+03	1.941569E-02	2.439771E-03
3.409486E+03	1.941569E-02	2.439771E-03
3.488202E+03	2.005872E-02	2.133646E-03
3.488202E+03	2.005872E-02	2.133646E-03
3.568737E+03	2.111445E-02	1.873239E-03
3.568737E+03	2.111445E-02	1.873239E-03
3.651131E+03	2.248182E-02	1.626522E-03
3.651131E+03	2.248182E-02	1.626522E-03
3.735426E+03	2.393636E-02	1.390515E-03
3.735426E+03	2.393636E-02	1.390515E-03
3.821669E+03	2.520047E-02	1.204581E-03
3.821669E+03	2.520047E-02	1.204581E-03
3.909902E+03	2.601735E-02	1.096975E-03
3.909902E+03	2.601735E-02	1.096975E-03
4.000172E+03	2.620229E-02	1.042377E-03
4.000172E+03	2.620229E-02	1.042377E-03
4.092527E+03	2.573131E-02	9.997778E-04
4.092527E+03	2.573131E-02	9.997778E-04
4.187014E+03	2.475998E-02	9.507690E-04
4.187014E+03	2.475998E-02	9.507690E-04
4.283682E+03	2.353903E-02	8.960723E-04
4.283682E+03	2.353903E-02	8.960723E-04
4.382582E+03	2.229248E-02	8.429182E-04
4.382582E+03	2.229248E-02	8.429182E-04
4.483766E+03	2.113571E-02	7.953059E-04
4.483766E+03	2.113571E-02	7.953059E-04
4.587285E+03	2.008982E-02	7.528466E-04
4.587285E+03	2.008982E-02	7.528466E-04
4.693195E+03	1.912791E-02	7.138420E-04
4.693195E+03	1.912791E-02	7.138420E-04
4.801549E+03	1.820319E-02	6.760560E-04
4.801549E+03	1.820319E-02	6.760560E-04
4.912406E+03	1.730589E-02	6.382239E-04
4.912406E+03	1.730589E-02	6.382239E-04
5.025822E+03	1.647859E-02	6.039850E-04
5.025822E+03	1.647859E-02	6.039850E-04
5.141856E+03	1.573896E-02	5.776162E-04
5.141856E+03	1.573896E-02	5.776162E-04
5.260569E+03	1.505697E-02	5.558873E-04
5.260569E+03	1.505697E-02	5.558873E-04
5.382023E+03	1.438605E-02	5.331076E-04
5.382023E+03	1.438605E-02	5.331076E-04
5.506281E+03	1.371157E-02	5.086384E-04
5.506281E+03	1.371157E-02	5.086384E-04
5.633408E+03	1.305294E-02	4.845957E-04
5.633408E+03	1.305294E-02	4.845957E-04
5.763470E+03	1.241847E-02	4.604258E-04
5.763470E+03	1.241847E-02	4.604258E-04
5.896535E+03	1.179204E-02	4.336988E-04
5.896535E+03	1.179204E-02	4.336988E-04
6.032673E+03	1.115327E-02	4.030655E-04
6.032673E+03	1.115327E-02	4.030655E-04
6.171952E+03	1.048820E-02	3.690440E-04
6.171952E+03	1.048820E-02	3.690440E-04
6.314448E+03	9.801363E-03	3.335200E-04
6.314448E+03	9.801363E-03	3.335200E-04
6.460234E+03	9.120313E-03	3.009076E-04
6.460234E+03	9.120313E-03	3.009076E-04
6.609386E+03	8.481137E-03	2.768149E-04
6.609386E+03	8.481137E-03	2.768149E-04
6.761980E+03	7.899829E-03	2.623927E-04
6.761980E+03	7.899829E-03	2.623927E-04
6.918099E+03	7.370261E-03	2.533844E-04
6.918099E+03	7.370261E-03	2.533844E-04
7.077821E+03	6.887323E-03	2.438691E-04
7.077821E+03	6.887323E-03	2.438691E-04
7.241231E+03	6.458161E-03	2.315309E-04
7.241231E+03	6.458161E-03	2.315309E-04
7.408414E+03	6.088217E-03	2.181626E-04
7.408414E+03	6.088217E-03	2.181626E-04
7.579457E+03	5.770171E-03	2.066958E-04
7.579457E+03	5.770171E-03	2.066958E-04
7.754448E+03	5.480822E-03	1.976578E-04
7.754448E+03	5.480822E-03	1.976578E-04
7.933481E+03	5.185334E-03	1.888635E-04
7.933481E+03	5.185334E-03	1.888635E-04
8.116646E+03	4.866433E-03	1.784845E-04
8.116646E+03	4.866433E-03	1.784845E-04
8.304040E+03	4.528173E-03	1.664193E-04
8.304040E+03	4.528173E-03	1.664193E-04
8.495761E+03	4.179691E-03	1.534495E-04
8.495761E+03	4.179691E-03	1.534495E-04
8.691908E+03	3.828533E-03	1.405172E-04
8.691908E+03	3.828533E-03	1.405172E-04
8.892583E+03	3.487797E-03	1.286293E-04
8.892583E+03	3.487797E-03	1.286293E-04
9.097892E+03	3.173808E-03	1.187694E-04
9.097892E+03	3.173808E-03	1.187694E-04
9.307941E+03	2.898308E-03	1.118882E-04
9.307941E+03	2.898308E-03	1.118882E-04
9.522839E+03	2.660067E-03	1.093348E-04
9.522839E+03	2.660067E-03	1.093348E-04
9.742699E+03	2.445614E-03	1.123218E-04
9.742699E+03	2.445614E-03	1.123218E-04
9.967638E+03	2.240995E-03	1.198056E-04
9.967638E+03	2.240995E-03	1.198056E-04
1.019776E+04	2.040186E-03	1.290259E-04
1.019776E+04	2.040186E-03	1.290259E-04
1.043321E+04	1.848091E-03	1.374358E-04
1.043321E+04	1.848091E-03	1.374358E-04
1.067409E+04	1.674071E-03	1.430659E-04
1.067409E+04	1.674071E-03	1.430659E-04
1.092052E+04	1.522625E-03	1.439387E-04
1.092052E+04	1.522625E-03	1.439387E-04
1.117265E+04	1.394195E-03	1.390960E-04
1.117265E+04	1.394195E-03	1.390960E-04
1.143060E+04	1.287742E-03	1.291844E-04
1.143060E+04	1.287742E-03	1.291844E-04
1.169451E+04	1.200533E-03	1.161103E-04
1.169451E+04	1.200533E-03	1.161103E-04
1.196451E+04	1.127688E-03	1.028981E-04
1.196451E+04	1.127688E-03	1.028981E-04
1.224074E+04	1.063400E-03	9.374828E-05
1.224074E+04	1.063400E-03	9.374828E-05
1.252335E+04	1.004233E-03	9.204361E-05
1.252335E+04	1.004233E-03	9.204361E-05
1.281249E+04	9.512346E-04	9.656687E-05
1.281249E+04	9.512346E-04	9.656687E-05
1.310829E+04	9.051733E-04	1.031470E-04
1.310829E+04	9.051733E-04	1.031470E-04
1.341094E+04	8.618704E-04	1.081642E-04
1.341094E+04	8.618704E-04	1.081642E-04
1.372056E+04	8.144097E-04	1.091424E-04
1.372056E+04	8.144097E-04	1.091424E-04
1.403733E+04	7.596566E-04	1.051903E-04
1.403733E+04	7.596566E-04	1.051903E-04
1.436142E+04	7.010579E-04	9.724971E-05
1.436142E+04	7.010579E-04	9.724971E-05
1.469299E+04	6.449456E-04	8.718016E-05
1.469299E+04	6.449456E-04	8.718016E-05
1.503222E+04	5.950605E-04	7.656682E-05
1.503222E+04	5.950605E-04	7.656682E-05
