#wls	flux	fluxerr
3.257341E+03	7.020685E-03	1.913137E-03
3.332545E+03	6.954759E-03	1.845655E-03
3.409486E+03	6.881878E-03	1.805918E-03
3.488202E+03	6.803877E-03	1.807645E-03
3.568737E+03	6.713805E-03	1.846970E-03
3.651131E+03	6.595915E-03	1.904057E-03
3.735426E+03	6.431302E-03	1.953848E-03
3.821669E+03	6.207663E-03	1.975485E-03
3.909902E+03	5.924461E-03	1.957043E-03
4.000172E+03	5.591703E-03	1.896022E-03
4.092527E+03	5.228350E-03	1.798101E-03
4.187014E+03	4.857760E-03	1.674026E-03
4.283682E+03	4.501660E-03	1.535786E-03
4.382582E+03	4.175358E-03	1.393604E-03
4.483766E+03	3.886253E-03	1.254764E-03
4.587285E+03	3.636047E-03	1.124371E-03
4.693195E+03	3.423427E-03	1.006602E-03
4.801549E+03	3.245501E-03	9.055527E-04
4.912406E+03	3.099766E-03	8.257503E-04
5.025822E+03	2.984765E-03	7.712119E-04
5.141856E+03	2.897374E-03	7.423336E-04
5.260569E+03	2.831218E-03	7.335825E-04
5.382023E+03	2.778202E-03	7.360112E-04
5.506281E+03	2.731270E-03	7.413578E-04
5.633408E+03	2.685318E-03	7.440184E-04
5.763470E+03	2.636170E-03	7.410974E-04
5.896535E+03	2.580287E-03	7.318883E-04
6.032673E+03	2.515654E-03	7.172445E-04
6.171952E+03	2.441951E-03	6.983866E-04
6.314448E+03	2.360306E-03	6.756101E-04
6.460234E+03	2.272567E-03	6.482890E-04
6.609386E+03	2.179927E-03	6.157541E-04
6.761980E+03	2.081778E-03	5.778429E-04
6.918099E+03	1.976298E-03	5.354617E-04
7.077821E+03	1.861686E-03	4.909085E-04
7.241231E+03	1.736537E-03	4.474450E-04
7.408414E+03	1.599803E-03	4.080286E-04
7.579457E+03	1.451844E-03	3.736807E-04
7.754448E+03	1.295556E-03	3.425629E-04
7.933481E+03	1.135744E-03	3.115087E-04
8.116646E+03	9.784636E-04	2.785261E-04
8.304040E+03	8.296609E-04	2.435465E-04
8.495761E+03	6.938809E-04	2.078341E-04
8.691908E+03	5.740229E-04	1.731880E-04
8.892583E+03	4.716286E-04	1.413560E-04
9.097892E+03	3.868474E-04	1.135826E-04
9.307941E+03	3.184875E-04	9.042139E-05
9.522839E+03	2.643400E-04	7.181809E-05
9.742699E+03	2.217669E-04	5.736650E-05
9.967638E+03	1.882854E-04	4.654706E-05
1.019776E+04	1.617827E-04	3.878968E-05
1.043321E+04	1.405135E-04	3.342600E-05
1.067409E+04	1.231360E-04	2.971179E-05
1.092052E+04	1.087418E-04	2.696221E-05
1.117265E+04	9.673210E-05	2.469936E-05
1.143060E+04	8.669005E-05	2.268907E-05
1.169451E+04	7.829212E-05	2.087728E-05
1.196451E+04	7.126058E-05	1.930576E-05
1.224074E+04	6.535220E-05	1.804071E-05
1.252335E+04	6.036676E-05	1.711306E-05
1.281249E+04	5.614783E-05	1.647573E-05
1.310829E+04	5.254545E-05	1.601414E-05
1.341094E+04	4.938895E-05	1.559635E-05
1.372056E+04	4.651241E-05	1.511401E-05
1.403733E+04	4.380583E-05	1.450899E-05
1.436142E+04	4.123143E-05	1.377901E-05
1.469299E+04	3.878979E-05	1.296100E-05
1.503222E+04	3.647045E-05	1.210642E-05
1.537928E+04	3.423271E-05	1.126563E-05
1.573435E+04	3.203540E-05	1.048567E-05
1.609762E+04	2.987578E-05	9.805149E-06
1.646927E+04	2.780175E-05	9.239472E-06
1.684951E+04	2.587023E-05	8.768966E-06
1.723852E+04	2.409998E-05	8.350626E-06
1.763653E+04	2.247838E-05	7.941373E-06
1.804371E+04	2.097156E-05	7.507996E-06
1.846029E+04	1.953944E-05	7.031546E-06
1.888650E+04	1.816262E-05	6.514366E-06
1.932255E+04	1.685415E-05	5.981474E-06
1.976866E+04	1.564090E-05	5.470592E-06
2.022507E+04	1.453839E-05	5.020067E-06
2.069202E+04	1.354408E-05	4.663018E-06
2.116975E+04	1.264585E-05	4.423768E-06
2.165851E+04	1.183443E-05	4.311390E-06
2.215855E+04	1.111437E-05	4.315876E-06
2.267014E+04	1.050428E-05	4.418278E-06
2.319354E+04	1.002187E-05	4.602387E-06
2.372903E+04	9.666340E-06	4.854646E-06
2.427687E+04	9.419246E-06	5.161873E-06
