#wls	flux	fluxerr
3.257341E+03	1.583329E-04	1.666886E-05
3.257341E+03	1.583329E-04	1.666886E-05
3.332545E+03	1.327370E-04	1.062165E-05
3.332545E+03	1.327370E-04	1.062165E-05
3.409486E+03	1.104781E-04	7.411481E-06
3.409486E+03	1.104781E-04	7.411481E-06
3.488202E+03	9.231547E-05	5.741484E-06
3.488202E+03	9.231547E-05	5.741484E-06
3.568737E+03	7.834448E-05	4.718176E-06
3.568737E+03	7.834448E-05	4.718176E-06
3.651131E+03	6.814138E-05	4.006993E-06
3.651131E+03	6.814138E-05	4.006993E-06
3.735426E+03	6.104674E-05	3.513985E-06
3.735426E+03	6.104674E-05	3.513985E-06
3.821669E+03	5.640017E-05	3.192478E-06
3.821669E+03	5.640017E-05	3.192478E-06
3.909902E+03	5.359027E-05	2.992746E-06
3.909902E+03	5.359027E-05	2.992746E-06
4.000172E+03	5.203119E-05	2.864521E-06
4.000172E+03	5.203119E-05	2.864521E-06
4.092527E+03	5.124545E-05	2.774870E-06
4.092527E+03	5.124545E-05	2.774870E-06
4.187014E+03	5.098873E-05	2.716584E-06
4.187014E+03	5.098873E-05	2.716584E-06
4.283682E+03	5.125541E-05	2.696030E-06
4.283682E+03	5.125541E-05	2.696030E-06
4.382582E+03	5.214365E-05	2.712533E-06
4.382582E+03	5.214365E-05	2.712533E-06
4.483766E+03	5.361517E-05	2.752007E-06
4.483766E+03	5.361517E-05	2.752007E-06
4.587285E+03	5.540742E-05	2.793653E-06
4.587285E+03	5.540742E-05	2.793653E-06
4.693195E+03	5.711587E-05	2.821553E-06
4.693195E+03	5.711587E-05	2.821553E-06
4.801549E+03	5.832232E-05	2.829568E-06
4.801549E+03	5.832232E-05	2.829568E-06
4.912406E+03	5.896057E-05	2.818038E-06
4.912406E+03	5.896057E-05	2.818038E-06
5.025822E+03	5.942618E-05	2.790330E-06
5.025822E+03	5.942618E-05	2.790330E-06
5.141856E+03	6.006609E-05	2.754173E-06
5.141856E+03	6.006609E-05	2.754173E-06
5.260569E+03	6.099838E-05	2.729467E-06
5.260569E+03	6.099838E-05	2.729467E-06
5.382023E+03	6.221404E-05	2.752718E-06
5.382023E+03	6.221404E-05	2.752718E-06
5.506281E+03	6.379610E-05	2.854988E-06
5.506281E+03	6.379610E-05	2.854988E-06
5.633408E+03	6.599527E-05	3.011741E-06
5.633408E+03	6.599527E-05	3.011741E-06
5.763470E+03	6.899668E-05	3.160584E-06
5.763470E+03	6.899668E-05	3.160584E-06
5.896535E+03	7.274692E-05	3.263735E-06
5.896535E+03	7.274692E-05	3.263735E-06
6.032673E+03	7.693883E-05	3.303241E-06
6.032673E+03	7.693883E-05	3.303241E-06
6.171952E+03	8.103492E-05	3.269413E-06
6.171952E+03	8.103492E-05	3.269413E-06
6.314448E+03	8.459691E-05	3.187962E-06
6.314448E+03	8.459691E-05	3.187962E-06
6.460234E+03	8.781677E-05	3.129914E-06
6.460234E+03	8.781677E-05	3.129914E-06
6.609386E+03	9.176970E-05	3.150894E-06
6.609386E+03	9.176970E-05	3.150894E-06
6.761980E+03	9.774833E-05	3.243788E-06
6.761980E+03	9.774833E-05	3.243788E-06
6.918099E+03	1.064015E-04	3.404829E-06
6.918099E+03	1.064015E-04	3.404829E-06
7.077821E+03	1.176078E-04	3.655837E-06
7.077821E+03	1.176078E-04	3.655837E-06
7.241231E+03	1.309015E-04	3.992576E-06
7.241231E+03	1.309015E-04	3.992576E-06
7.408414E+03	1.455850E-04	4.349931E-06
7.408414E+03	1.455850E-04	4.349931E-06
7.579457E+03	1.605108E-04	4.642918E-06
7.579457E+03	1.605108E-04	4.642918E-06
7.754448E+03	1.738947E-04	4.852540E-06
7.754448E+03	1.738947E-04	4.852540E-06
7.933481E+03	1.835803E-04	5.040542E-06
7.933481E+03	1.835803E-04	5.040542E-06
8.116646E+03	1.889243E-04	5.218970E-06
8.116646E+03	1.889243E-04	5.218970E-06
8.304040E+03	1.914239E-04	5.336498E-06
8.304040E+03	1.914239E-04	5.336498E-06
8.495761E+03	1.933043E-04	5.377481E-06
8.495761E+03	1.933043E-04	5.377481E-06
8.691908E+03	1.959667E-04	5.350435E-06
8.691908E+03	1.959667E-04	5.350435E-06
8.892583E+03	2.000414E-04	5.333935E-06
8.892583E+03	2.000414E-04	5.333935E-06
9.097892E+03	2.061369E-04	5.520410E-06
9.097892E+03	2.061369E-04	5.520410E-06
9.307941E+03	2.153280E-04	5.975785E-06
9.307941E+03	2.153280E-04	5.975785E-06
9.522839E+03	2.280731E-04	6.634636E-06
9.522839E+03	2.280731E-04	6.634636E-06
9.742699E+03	2.428583E-04	7.493133E-06
9.742699E+03	2.428583E-04	7.493133E-06
9.967638E+03	2.565715E-04	8.414144E-06
9.967638E+03	2.565715E-04	8.414144E-06
1.019776E+04	2.660569E-04	9.085571E-06
1.019776E+04	2.660569E-04	9.085571E-06
1.043321E+04	2.702629E-04	9.364174E-06
1.043321E+04	2.702629E-04	9.364174E-06
1.067409E+04	2.698846E-04	9.359161E-06
1.067409E+04	2.698846E-04	9.359161E-06
1.092052E+04	2.651054E-04	9.214883E-06
1.092052E+04	2.651054E-04	9.214883E-06
1.117265E+04	2.559898E-04	8.944954E-06
1.117265E+04	2.559898E-04	8.944954E-06
1.143060E+04	2.435950E-04	8.494851E-06
1.143060E+04	2.435950E-04	8.494851E-06
1.169451E+04	2.298207E-04	7.899345E-06
1.169451E+04	2.298207E-04	7.899345E-06
1.196451E+04	2.165189E-04	7.245687E-06
1.196451E+04	2.165189E-04	7.245687E-06
1.224074E+04	2.050246E-04	6.718814E-06
1.224074E+04	2.050246E-04	6.718814E-06
1.252335E+04	1.967490E-04	6.584502E-06
1.252335E+04	1.967490E-04	6.584502E-06
1.281249E+04	1.937076E-04	6.838979E-06
1.281249E+04	1.937076E-04	6.838979E-06
1.310829E+04	1.972099E-04	7.390205E-06
1.310829E+04	1.972099E-04	7.390205E-06
1.341094E+04	2.061756E-04	8.140889E-06
1.341094E+04	2.061756E-04	8.140889E-06
1.372056E+04	2.170160E-04	8.700446E-06
1.372056E+04	2.170160E-04	8.700446E-06
1.403733E+04	2.261759E-04	8.743674E-06
1.403733E+04	2.261759E-04	8.743674E-06
1.436142E+04	2.328682E-04	8.427510E-06
1.436142E+04	2.328682E-04	8.427510E-06
1.469299E+04	2.387936E-04	8.131391E-06
1.469299E+04	2.387936E-04	8.131391E-06
1.503222E+04	2.450677E-04	7.975997E-06
1.503222E+04	2.450677E-04	7.975997E-06
1.537928E+04	2.494968E-04	7.791459E-06
1.537928E+04	2.494968E-04	7.791459E-06
1.573435E+04	2.479368E-04	7.358604E-06
1.573435E+04	2.479368E-04	7.358604E-06
1.609762E+04	2.387085E-04	6.784317E-06
1.609762E+04	2.387085E-04	6.784317E-06
1.646927E+04	2.251334E-04	6.462294E-06
1.646927E+04	2.251334E-04	6.462294E-06
1.684951E+04	2.127321E-04	6.422641E-06
1.684951E+04	2.127321E-04	6.422641E-06
