#wls	flux	fluxerr
3.257341E+03	6.010831E-05	5.172101E-05
3.332545E+03	4.675240E-05	3.974936E-05
3.409486E+03	3.594569E-05	3.026250E-05
3.488202E+03	2.753214E-05	2.298486E-05
3.568737E+03	2.119335E-05	1.755962E-05
3.651131E+03	1.652120E-05	1.359254E-05
3.735426E+03	1.310583E-05	1.071090E-05
3.821669E+03	1.059672E-05	8.605016E-06
3.909902E+03	8.718399E-06	7.035874E-06
4.000172E+03	7.264971E-06	5.827263E-06
4.092527E+03	6.097555E-06	4.861359E-06
4.187014E+03	5.137912E-06	4.071629E-06
4.283682E+03	4.347096E-06	3.424253E-06
4.382582E+03	3.700953E-06	2.897805E-06
4.483766E+03	3.172823E-06	2.469382E-06
4.587285E+03	2.734182E-06	2.115179E-06
4.693195E+03	2.361471E-06	1.815757E-06
4.801549E+03	2.038681E-06	1.557918E-06
4.912406E+03	1.761358E-06	1.337576E-06
5.025822E+03	1.531520E-06	1.155632E-06
5.141856E+03	1.345666E-06	1.008820E-06
5.260569E+03	1.195611E-06	8.904470E-07
5.382023E+03	1.072761E-06	7.936602E-07
5.506281E+03	9.712281E-07	7.137323E-07
5.633408E+03	8.880126E-07	6.481213E-07
5.763470E+03	8.204206E-07	5.945669E-07
5.896535E+03	7.650175E-07	5.503681E-07
6.032673E+03	7.181560E-07	5.127591E-07
6.171952E+03	6.765547E-07	4.793047E-07
6.314448E+03	6.391033E-07	4.491626E-07
6.460234E+03	6.085491E-07	4.242014E-07
6.609386E+03	5.911708E-07	4.086470E-07
6.761980E+03	5.927795E-07	4.062291E-07
6.918099E+03	6.154134E-07	4.179644E-07
7.077821E+03	6.576483E-07	4.424855E-07
7.241231E+03	7.165256E-07	4.774224E-07
7.408414E+03	7.876638E-07	5.195233E-07
7.579457E+03	8.640737E-07	5.639427E-07
7.754448E+03	9.354749E-07	6.039242E-07
7.933481E+03	9.898231E-07	6.319110E-07
8.116646E+03	1.021086E-06	6.444858E-07
8.304040E+03	1.032295E-06	6.440475E-07
8.495761E+03	1.030476E-06	6.354003E-07
8.691908E+03	1.020165E-06	6.217042E-07
8.892583E+03	1.003452E-06	6.045937E-07
9.097892E+03	9.837316E-07	5.863845E-07
9.307941E+03	9.677770E-07	5.710520E-07
9.522839E+03	9.607984E-07	5.613340E-07
9.742699E+03	9.619275E-07	5.563453E-07
9.967638E+03	9.664516E-07	5.530441E-07
1.019776E+04	9.702497E-07	5.488813E-07
1.043321E+04	9.741770E-07	5.443244E-07
1.067409E+04	9.817268E-07	5.413779E-07
1.092052E+04	9.929806E-07	5.400894E-07
1.117265E+04	1.005928E-06	5.393168E-07
1.143060E+04	1.020131E-06	5.387526E-07
1.169451E+04	1.037926E-06	5.395404E-07
1.196451E+04	1.063236E-06	5.435664E-07
1.224074E+04	1.100359E-06	5.528073E-07
1.252335E+04	1.155906E-06	5.702552E-07
1.281249E+04	1.241519E-06	6.010146E-07
1.310829E+04	1.369254E-06	6.498541E-07
1.341094E+04	1.541543E-06	7.165220E-07
1.372056E+04	1.745589E-06	7.935656E-07
1.403733E+04	1.964028E-06	8.719603E-07
1.436142E+04	2.192736E-06	9.492878E-07
1.469299E+04	2.444711E-06	1.030605E-06
1.503222E+04	2.731894E-06	1.119847E-06
1.537928E+04	3.037956E-06	1.209062E-06
1.573435E+04	3.315885E-06	1.279335E-06
1.609762E+04	3.523692E-06	1.316252E-06
1.646927E+04	3.668273E-06	1.325353E-06
1.684951E+04	3.802773E-06	1.327575E-06
1.723852E+04	3.992558E-06	1.345099E-06
1.763653E+04	4.297227E-06	1.395171E-06
1.804371E+04	4.755280E-06	1.485291E-06
1.846029E+04	5.369115E-06	1.609358E-06
1.888650E+04	6.113813E-06	1.753029E-06
1.932255E+04	6.960430E-06	1.904149E-06
1.976866E+04	7.871109E-06	2.053936E-06
2.022507E+04	8.761764E-06	2.189143E-06
2.069202E+04	9.501715E-06	2.295387E-06
2.116975E+04	9.981743E-06	2.373641E-06
2.165851E+04	1.019717E-05	2.447307E-06
2.215855E+04	1.027039E-05	2.549869E-06
2.267014E+04	1.039897E-05	2.720811E-06
2.319354E+04	1.075937E-05	3.004478E-06
2.372903E+04	1.142354E-05	3.438204E-06
2.427687E+04	1.235997E-05	4.047299E-06
