#wls	flux	fluxerr
3.257341E+03	6.207241E-16	1.020241E-16
3.257341E+03	6.207241E-16	1.020241E-16
3.332545E+03	6.261886E-16	8.989181E-17
3.332545E+03	6.261886E-16	8.989181E-17
3.409486E+03	6.404117E-16	7.881313E-17
3.409486E+03	6.404117E-16	7.881313E-17
3.488202E+03	6.672645E-16	6.956905E-17
3.488202E+03	6.672645E-16	6.956905E-17
3.568737E+03	7.082137E-16	6.176604E-17
3.568737E+03	7.082137E-16	6.176604E-17
3.651131E+03	7.606208E-16	5.440452E-17
3.651131E+03	7.606208E-16	5.440452E-17
3.735426E+03	8.175093E-16	4.741231E-17
3.735426E+03	8.175093E-16	4.741231E-17
3.821669E+03	8.697404E-16	4.209578E-17
3.821669E+03	8.697404E-16	4.209578E-17
3.909902E+03	9.083635E-16	3.931692E-17
3.909902E+03	9.083635E-16	3.931692E-17
4.000172E+03	9.263358E-16	3.813321E-17
4.000172E+03	9.263358E-16	3.813321E-17
4.092527E+03	9.218237E-16	3.716020E-17
4.092527E+03	9.218237E-16	3.716020E-17
4.187014E+03	8.993288E-16	3.582118E-17
4.187014E+03	8.993288E-16	3.582118E-17
4.283682E+03	8.671047E-16	3.419109E-17
4.283682E+03	8.671047E-16	3.419109E-17
4.382582E+03	8.329089E-16	3.256339E-17
4.382582E+03	8.329089E-16	3.256339E-17
4.483766E+03	8.008407E-16	3.110557E-17
4.483766E+03	8.008407E-16	3.110557E-17
4.587285E+03	7.716281E-16	2.981531E-17
4.587285E+03	7.716281E-16	2.981531E-17
4.693195E+03	7.442148E-16	2.863373E-17
4.693195E+03	7.442148E-16	2.863373E-17
4.801549E+03	7.167634E-16	2.746869E-17
4.801549E+03	7.167634E-16	2.746869E-17
4.912406E+03	6.889314E-16	2.625077E-17
4.912406E+03	6.889314E-16	2.625077E-17
5.025822E+03	6.625706E-16	2.510450E-17
5.025822E+03	6.625706E-16	2.510450E-17
5.141856E+03	6.386043E-16	2.419789E-17
5.141856E+03	6.386043E-16	2.419789E-17
5.260569E+03	6.160100E-16	2.342153E-17
5.260569E+03	6.160100E-16	2.342153E-17
5.382023E+03	5.930375E-16	2.257036E-17
5.382023E+03	5.930375E-16	2.257036E-17
5.506281E+03	5.692296E-16	2.163812E-17
5.506281E+03	5.692296E-16	2.163812E-17
5.633408E+03	5.455489E-16	2.072357E-17
5.633408E+03	5.455489E-16	2.072357E-17
5.763470E+03	5.224755E-16	1.980354E-17
5.763470E+03	5.224755E-16	1.980354E-17
5.896535E+03	4.994034E-16	1.877259E-17
5.896535E+03	4.994034E-16	1.877259E-17
6.032673E+03	4.754804E-16	1.757641E-17
6.032673E+03	4.754804E-16	1.757641E-17
6.171952E+03	4.500729E-16	1.624483E-17
6.171952E+03	4.500729E-16	1.624483E-17
6.314448E+03	4.233295E-16	1.485915E-17
6.314448E+03	4.233295E-16	1.485915E-17
6.460234E+03	3.964315E-16	1.359740E-17
6.460234E+03	3.964315E-16	1.359740E-17
6.609386E+03	3.709954E-16	1.269183E-17
6.609386E+03	3.709954E-16	1.269183E-17
6.761980E+03	3.477886E-16	1.218957E-17
6.761980E+03	3.477886E-16	1.218957E-17
6.918099E+03	3.265869E-16	1.190324E-17
6.918099E+03	3.265869E-16	1.190324E-17
7.077821E+03	3.071997E-16	1.157102E-17
7.077821E+03	3.071997E-16	1.157102E-17
7.241231E+03	2.900041E-16	1.109093E-17
7.241231E+03	2.900041E-16	1.109093E-17
7.408414E+03	2.753240E-16	1.054567E-17
7.408414E+03	2.753240E-16	1.054567E-17
7.579457E+03	2.629018E-16	1.007327E-17
7.579457E+03	2.629018E-16	1.007327E-17
7.754448E+03	2.517198E-16	9.706263E-18
7.754448E+03	2.517198E-16	9.706263E-18
7.933481E+03	2.401648E-16	9.346388E-18
7.933481E+03	2.401648E-16	9.346388E-18
8.116646E+03	2.273947E-16	8.902918E-18
8.116646E+03	2.273947E-16	8.902918E-18
8.304040E+03	2.135512E-16	8.365872E-18
8.304040E+03	2.135512E-16	8.365872E-18
8.495761E+03	1.990134E-16	7.773219E-18
8.495761E+03	1.990134E-16	7.773219E-18
8.691908E+03	1.840789E-16	7.176026E-18
8.691908E+03	1.840789E-16	7.176026E-18
8.892583E+03	1.693215E-16	6.628296E-18
8.892583E+03	1.693215E-16	6.628296E-18
9.097892E+03	1.555184E-16	6.177633E-18
9.097892E+03	1.555184E-16	6.177633E-18
9.307941E+03	1.433184E-16	5.865790E-18
9.307941E+03	1.433184E-16	5.865790E-18
9.522839E+03	1.327034E-16	5.748864E-18
9.522839E+03	1.327034E-16	5.748864E-18
9.742699E+03	1.230175E-16	5.881924E-18
9.742699E+03	1.230175E-16	5.881924E-18
9.967638E+03	1.135709E-16	6.223314E-18
9.967638E+03	1.135709E-16	6.223314E-18
1.019776E+04	1.040765E-16	6.652737E-18
1.019776E+04	1.040765E-16	6.652737E-18
1.043321E+04	9.482089E-17	7.054890E-18
1.043321E+04	9.482089E-17	7.054890E-18
1.067409E+04	8.633230E-17	7.333872E-18
1.067409E+04	8.633230E-17	7.333872E-18
1.092052E+04	7.888544E-17	7.385191E-18
1.092052E+04	7.888544E-17	7.385191E-18
1.117265E+04	7.253766E-17	7.152864E-18
1.117265E+04	7.253766E-17	7.152864E-18
1.143060E+04	6.726385E-17	6.663628E-18
1.143060E+04	6.726385E-17	6.663628E-18
1.169451E+04	6.294451E-17	6.010749E-18
1.169451E+04	6.294451E-17	6.010749E-18
1.196451E+04	5.933972E-17	5.346834E-18
1.196451E+04	5.933972E-17	5.346834E-18
1.224074E+04	5.615332E-17	4.887795E-18
1.224074E+04	5.615332E-17	4.887795E-18
1.252335E+04	5.321137E-17	4.811003E-18
1.252335E+04	5.321137E-17	4.811003E-18
1.281249E+04	5.057930E-17	5.057301E-18
1.281249E+04	5.057930E-17	5.057301E-18
1.310829E+04	4.830567E-17	5.413274E-18
1.310829E+04	4.830567E-17	5.413274E-18
1.341094E+04	4.616590E-17	5.690948E-18
1.341094E+04	4.616590E-17	5.690948E-18
1.372056E+04	4.377952E-17	5.758253E-18
1.372056E+04	4.377952E-17	5.758253E-18
1.403733E+04	4.096900E-17	5.565169E-18
1.403733E+04	4.096900E-17	5.565169E-18
1.436142E+04	3.792004E-17	5.159829E-18
1.436142E+04	3.792004E-17	5.159829E-18
1.469299E+04	3.498196E-17	4.640259E-18
1.469299E+04	3.498196E-17	4.640259E-18
1.503222E+04	3.236427E-17	4.089861E-18
1.503222E+04	3.236427E-17	4.089861E-18
1.537928E+04	3.002799E-17	3.561814E-18
1.537928E+04	3.002799E-17	3.561814E-18
1.573435E+04	2.785663E-17	3.111329E-18
1.573435E+04	2.785663E-17	3.111329E-18
1.609762E+04	2.585148E-17	2.809580E-18
1.609762E+04	2.585148E-17	2.809580E-18
1.646927E+04	2.415796E-17	2.694960E-18
1.646927E+04	2.415796E-17	2.694960E-18
1.684951E+04	2.290556E-17	2.726430E-18
1.684951E+04	2.290556E-17	2.726430E-18
1.723852E+04	2.209017E-17	2.829011E-18
1.723852E+04	2.209017E-17	2.829011E-18
1.763653E+04	2.160051E-17	2.940876E-18
1.763653E+04	2.160051E-17	2.940876E-18
1.804371E+04	2.121789E-17	3.005690E-18
1.804371E+04	2.121789E-17	3.005690E-18
1.846029E+04	2.065003E-17	2.964515E-18
1.846029E+04	2.065003E-17	2.964515E-18
1.888650E+04	1.969222E-17	2.782375E-18
1.888650E+04	1.969222E-17	2.782375E-18
1.932255E+04	1.835575E-17	2.473875E-18
1.932255E+04	1.835575E-17	2.473875E-18
1.976866E+04	1.678584E-17	2.088453E-18
1.976866E+04	1.678584E-17	2.088453E-18
2.022507E+04	1.509615E-17	1.682116E-18
2.022507E+04	1.509615E-17	1.682116E-18
2.069202E+04	1.332455E-17	1.316030E-18
2.069202E+04	1.332455E-17	1.316030E-18
2.116975E+04	1.149400E-17	1.064090E-18
2.116975E+04	1.149400E-17	1.064090E-18
2.165851E+04	9.678298E-18	9.673798E-19
2.165851E+04	9.678298E-18	9.673798E-19
2.215855E+04	8.016304E-18	9.718972E-19
2.215855E+04	8.016304E-18	9.718972E-19
2.267014E+04	6.646009E-18	1.006532E-18
2.267014E+04	6.646009E-18	1.006532E-18
2.319354E+04	5.622771E-18	1.050474E-18
2.319354E+04	5.622771E-18	1.050474E-18
2.372903E+04	4.902067E-18	1.107409E-18
2.372903E+04	4.902067E-18	1.107409E-18
2.427687E+04	4.395674E-18	1.179915E-18
2.427687E+04	4.395674E-18	1.179915E-18
