#wls	flux	fluxerr
3.257341E+03	7.707331E-16	1.565475E-16
3.332545E+03	7.717815E-16	1.421466E-16
3.409486E+03	7.819977E-16	1.296446E-16
3.488202E+03	8.048747E-16	1.202029E-16
3.568737E+03	8.408191E-16	1.136745E-16
3.651131E+03	8.855134E-16	1.091474E-16
3.735426E+03	9.302475E-16	1.060275E-16
3.821669E+03	9.650008E-16	1.040301E-16
3.909902E+03	9.814493E-16	1.022929E-16
4.000172E+03	9.746804E-16	9.952690E-17
4.092527E+03	9.457018E-16	9.510850E-17
4.187014E+03	9.013134E-16	8.938879E-17
4.283682E+03	8.508065E-16	8.319400E-17
4.382582E+03	8.019205E-16	7.726009E-17
4.483766E+03	7.584596E-16	7.192103E-17
4.587285E+03	7.210093E-16	6.718618E-17
4.693195E+03	6.885247E-16	6.294022E-17
4.801549E+03	6.592276E-16	5.906156E-17
4.912406E+03	6.323899E-16	5.559991E-17
5.025822E+03	6.089201E-16	5.282623E-17
5.141856E+03	5.889791E-16	5.088380E-17
5.260569E+03	5.711634E-16	4.950085E-17
5.382023E+03	5.534709E-16	4.823140E-17
5.506281E+03	5.349727E-16	4.682758E-17
5.633408E+03	5.160032E-16	4.526767E-17
5.763470E+03	4.966853E-16	4.355858E-17
5.896535E+03	4.764469E-16	4.166926E-17
6.032673E+03	4.547165E-16	3.958798E-17
6.171952E+03	4.312717E-16	3.733397E-17
6.314448E+03	4.065944E-16	3.496033E-17
6.460234E+03	3.819415E-16	3.259545E-17
6.609386E+03	3.587598E-16	3.039943E-17
6.761980E+03	3.376755E-16	2.842674E-17
6.918099E+03	3.184850E-16	2.663034E-17
7.077821E+03	3.010029E-16	2.496235E-17
7.241231E+03	2.854327E-16	2.345380E-17
7.408414E+03	2.718334E-16	2.217907E-17
7.579457E+03	2.597411E-16	2.116665E-17
7.754448E+03	2.480865E-16	2.031011E-17
7.933481E+03	2.353773E-16	1.940794E-17
8.116646E+03	2.208811E-16	1.833849E-17
8.304040E+03	2.048056E-16	1.709458E-17
8.495761E+03	1.876660E-16	1.571289E-17
8.691908E+03	1.700228E-16	1.423718E-17
8.892583E+03	1.527220E-16	1.273729E-17
9.097892E+03	1.367188E-16	1.130030E-17
9.307941E+03	1.227214E-16	1.000758E-17
9.522839E+03	1.107722E-16	8.917477E-18
9.742699E+03	1.003572E-16	8.078191E-18
9.967638E+03	9.091278E-17	7.519578E-18
1.019776E+04	8.213702E-17	7.223717E-18
1.043321E+04	7.409083E-17	7.113179E-18
1.067409E+04	6.699227E-17	7.064144E-18
1.092052E+04	6.091661E-17	6.934723E-18
1.117265E+04	5.582111E-17	6.637269E-18
1.143060E+04	5.162473E-17	6.168697E-18
1.169451E+04	4.819511E-17	5.592375E-18
1.196451E+04	4.533064E-17	5.024397E-18
1.224074E+04	4.280264E-17	4.624249E-18
1.252335E+04	4.046984E-17	4.517239E-18
1.281249E+04	3.835316E-17	4.663692E-18
1.310829E+04	3.647125E-17	4.904173E-18
1.341094E+04	3.467677E-17	5.085407E-18
1.372056E+04	3.273352E-17	5.099002E-18
1.403733E+04	3.054010E-17	4.904921E-18
1.436142E+04	2.822286E-17	4.539804E-18
1.469299E+04	2.600657E-17	4.080578E-18
1.503222E+04	2.402494E-17	3.597090E-18
1.537928E+04	2.225461E-17	3.138958E-18
1.573435E+04	2.062315E-17	2.755993E-18
1.609762E+04	1.913047E-17	2.503336E-18
1.646927E+04	1.786510E-17	2.404390E-18
1.684951E+04	1.690265E-17	2.422277E-18
1.723852E+04	1.623022E-17	2.495036E-18
1.763653E+04	1.576632E-17	2.570029E-18
1.804371E+04	1.536518E-17	2.600925E-18
1.846029E+04	1.484279E-17	2.543795E-18
1.888650E+04	1.407777E-17	2.375857E-18
1.932255E+04	1.308517E-17	2.111902E-18
1.976866E+04	1.196052E-17	1.792300E-18
2.022507E+04	1.077703E-17	1.462229E-18
2.069202E+04	9.558047E-18	1.169171E-18
2.116975E+04	8.314234E-18	9.654006E-19
2.165851E+04	7.085723E-18	8.781464E-19
2.215855E+04	5.955550E-18	8.725759E-19
2.267014E+04	5.012017E-18	8.982265E-19
2.319354E+04	4.295474E-18	9.357502E-19
2.372903E+04	3.781859E-18	9.842853E-19
2.427687E+04	3.415703E-18	1.043924E-18
