#wls	flux	fluxerr
3.257341E+03	4.592950E-18	4.629795E-19
3.332545E+03	3.955310E-18	3.006381E-19
3.409486E+03	3.381554E-18	2.151195E-19
3.488202E+03	2.904548E-18	1.717869E-19
3.568737E+03	2.537199E-18	1.453993E-19
3.651131E+03	2.275074E-18	1.269285E-19
3.735426E+03	2.104680E-18	1.143700E-19
3.821669E+03	2.011013E-18	1.068603E-19
3.909902E+03	1.979048E-18	1.031138E-19
4.000172E+03	1.992591E-18	1.016052E-19
4.092527E+03	2.037448E-18	1.013634E-19
4.187014E+03	2.106925E-18	1.023851E-19
4.283682E+03	2.203366E-18	1.051444E-19
4.382582E+03	2.333650E-18	1.096493E-19
4.483766E+03	2.498530E-18	1.151861E-19
4.587285E+03	2.686947E-18	1.207185E-19
4.693195E+03	2.878006E-18	1.255836E-19
4.801549E+03	3.046596E-18	1.297917E-19
4.912406E+03	3.184163E-18	1.334252E-19
5.025822E+03	3.308886E-18	1.362167E-19
5.141856E+03	3.439685E-18	1.381831E-19
5.260569E+03	3.584539E-18	1.403441E-19
5.382023E+03	3.744872E-18	1.449689E-19
5.506281E+03	3.928653E-18	1.541459E-19
5.633408E+03	4.155615E-18	1.665998E-19
5.763470E+03	4.442159E-18	1.786191E-19
5.896535E+03	4.788762E-18	1.879315E-19
6.032673E+03	5.177072E-18	1.934753E-19
6.171952E+03	5.569347E-18	1.947746E-19
6.314448E+03	5.930144E-18	1.936448E-19
6.460234E+03	6.265738E-18	1.945735E-19
6.609386E+03	6.646872E-18	2.006161E-19
6.761980E+03	7.163806E-18	2.105984E-19
6.918099E+03	7.862101E-18	2.242066E-19
7.077821E+03	8.731598E-18	2.432353E-19
7.241231E+03	9.739101E-18	2.674599E-19
7.408414E+03	1.083839E-17	2.924078E-19
7.579457E+03	1.195414E-17	3.129620E-19
7.754448E+03	1.296580E-17	3.290850E-19
7.933481E+03	1.372309E-17	3.453290E-19
8.116646E+03	1.418579E-17	3.613394E-19
8.304040E+03	1.447183E-17	3.731083E-19
8.495761E+03	1.475277E-17	3.804899E-19
8.691908E+03	1.513901E-17	3.845544E-19
8.892583E+03	1.568407E-17	3.900006E-19
9.097892E+03	1.643999E-17	4.095251E-19
9.307941E+03	1.749893E-17	4.467332E-19
9.522839E+03	1.889723E-17	4.958423E-19
9.742699E+03	2.049736E-17	5.591499E-19
9.967638E+03	2.200984E-17	6.311952E-19
1.019776E+04	2.312546E-17	6.901556E-19
1.043321E+04	2.371724E-17	7.221766E-19
1.067409E+04	2.382740E-17	7.313074E-19
1.092052E+04	2.347027E-17	7.264359E-19
1.117265E+04	2.266279E-17	7.078363E-19
1.143060E+04	2.151809E-17	6.713032E-19
1.169451E+04	2.022345E-17	6.206407E-19
1.196451E+04	1.895482E-17	5.633370E-19
1.224074E+04	1.783525E-17	5.161978E-19
1.252335E+04	1.699058E-17	5.042048E-19
1.281249E+04	1.659654E-17	5.248588E-19
1.310829E+04	1.676013E-17	5.685610E-19
1.341094E+04	1.737594E-17	6.279481E-19
1.372056E+04	1.812625E-17	6.698530E-19
1.403733E+04	1.870609E-17	6.671297E-19
1.436142E+04	1.905272E-17	6.347854E-19
1.469299E+04	1.931210E-17	6.060479E-19
1.503222E+04	1.957806E-17	5.907924E-19
1.537928E+04	1.967842E-17	5.746573E-19
1.573435E+04	1.930179E-17	5.395952E-19
1.609762E+04	1.834839E-17	4.936316E-19
1.646927E+04	1.710301E-17	4.663326E-19
1.684951E+04	1.599324E-17	4.580147E-19
1.723852E+04	1.531908E-17	4.655546E-19
1.763653E+04	1.522241E-17	5.052210E-19
1.804371E+04	1.568304E-17	5.787609E-19
1.846029E+04	1.650952E-17	6.512495E-19
1.888650E+04	1.743980E-17	6.825963E-19
1.932255E+04	1.828544E-17	6.689705E-19
1.976866E+04	1.892477E-17	6.388940E-19
2.022507E+04	1.917175E-17	6.059968E-19
2.069202E+04	1.878734E-17	5.564419E-19
2.116975E+04	1.766640E-17	4.988342E-19
2.165851E+04	1.598709E-17	4.728016E-19
2.215855E+04	1.415926E-17	4.718410E-19
2.267014E+04	1.260947E-17	4.725290E-19
2.319354E+04	1.157270E-17	4.972589E-19
2.372903E+04	1.103227E-17	6.121967E-19
2.427687E+04	1.083094E-17	8.768604E-19
