#wls	flux	fluxerr
3.257341E+03	5.306849E-18	5.586906E-19
3.257341E+03	5.306849E-18	5.586906E-19
3.332545E+03	4.492314E-18	3.594764E-19
3.332545E+03	4.492314E-18	3.594764E-19
3.409486E+03	3.768730E-18	2.528271E-19
3.409486E+03	3.768730E-18	2.528271E-19
3.488202E+03	3.169950E-18	1.971524E-19
3.488202E+03	3.169950E-18	1.971524E-19
3.568737E+03	2.705896E-18	1.629584E-19
3.568737E+03	2.705896E-18	1.629584E-19
3.651131E+03	2.366715E-18	1.391725E-19
3.651131E+03	2.366715E-18	1.391725E-19
3.735426E+03	2.132748E-18	1.227657E-19
3.735426E+03	2.132748E-18	1.227657E-19
3.821669E+03	1.983162E-18	1.122550E-19
3.821669E+03	1.983162E-18	1.122550E-19
3.909902E+03	1.898078E-18	1.059980E-19
3.909902E+03	1.898078E-18	1.059980E-19
4.000172E+03	1.857930E-18	1.022863E-19
4.000172E+03	1.857930E-18	1.022863E-19
4.092527E+03	1.846458E-18	9.998314E-20
4.092527E+03	1.846458E-18	9.998314E-20
4.187014E+03	1.855311E-18	9.884750E-20
4.187014E+03	1.855311E-18	9.884750E-20
4.283682E+03	1.884586E-18	9.912905E-20
4.283682E+03	1.884586E-18	9.912905E-20
4.382582E+03	1.938245E-18	1.008282E-19
4.382582E+03	1.938245E-18	1.008282E-19
4.483766E+03	2.015297E-18	1.034430E-19
4.483766E+03	2.015297E-18	1.034430E-19
4.587285E+03	2.106177E-18	1.061938E-19
4.587285E+03	2.106177E-18	1.061938E-19
4.693195E+03	2.195411E-18	1.084544E-19
4.693195E+03	2.195411E-18	1.084544E-19
4.801549E+03	2.266306E-18	1.099522E-19
4.801549E+03	2.266306E-18	1.099522E-19
4.912406E+03	2.315326E-18	1.106617E-19
4.912406E+03	2.315326E-18	1.106617E-19
5.025822E+03	2.357224E-18	1.106824E-19
5.025822E+03	2.357224E-18	1.106824E-19
5.141856E+03	2.405521E-18	1.102989E-19
5.141856E+03	2.405521E-18	1.102989E-19
5.260569E+03	2.465082E-18	1.103039E-19
5.260569E+03	2.465082E-18	1.103039E-19
5.382023E+03	2.535804E-18	1.121990E-19
5.382023E+03	2.535804E-18	1.121990E-19
5.506281E+03	2.621392E-18	1.173119E-19
5.506281E+03	2.621392E-18	1.173119E-19
5.633408E+03	2.732633E-18	1.247056E-19
5.633408E+03	2.732633E-18	1.247056E-19
5.763470E+03	2.877914E-18	1.318308E-19
5.763470E+03	2.877914E-18	1.318308E-19
5.896535E+03	3.055837E-18	1.370978E-19
5.896535E+03	3.055837E-18	1.370978E-19
6.032673E+03	3.254229E-18	1.397149E-19
6.032673E+03	3.254229E-18	1.397149E-19
6.171952E+03	3.450795E-18	1.392249E-19
6.171952E+03	3.450795E-18	1.392249E-19
