#wls	flux	fluxerr
3.289393E+03	6.431010E-16	5.646168E-17
3.365337E+03	6.507360E-16	5.669318E-17
3.443035E+03	6.668915E-16	5.765562E-17
3.522526E+03	6.925541E-16	5.941980E-17
3.603853E+03	7.298862E-16	6.215529E-17
3.687058E+03	7.818871E-16	6.609847E-17
3.772183E+03	8.501893E-16	7.136388E-17
3.859274E+03	9.333652E-16	7.780883E-17
3.948375E+03	1.024286E-15	8.482329E-17
4.039534E+03	1.109073E-15	9.125497E-17
4.132797E+03	1.171670E-15	9.580006E-17
4.228214E+03	1.203652E-15	9.780416E-17
4.325833E+03	1.209344E-15	9.765589E-17
4.425707E+03	1.199587E-15	9.625639E-17
4.527886E+03	1.181385E-15	9.417811E-17
4.632424E+03	1.156704E-15	9.158033E-17
4.739376E+03	1.127141E-15	8.859009E-17
4.848796E+03	1.092083E-15	8.515967E-17
4.960744E+03	1.050139E-15	8.118474E-17
5.075276E+03	1.004196E-15	7.689556E-17
5.192452E+03	9.601161E-16	7.274296E-17
5.312333E+03	9.219680E-16	6.902605E-17
5.434982E+03	8.908020E-16	6.580584E-17
5.560463E+03	8.634488E-16	6.282990E-17
5.688841E+03	8.337485E-16	5.964436E-17
5.820183E+03	7.977457E-16	5.598250E-17
5.954557E+03	7.541238E-16	5.178661E-17
6.092034E+03	7.047840E-16	4.723135E-17
6.232684E+03	6.521084E-16	4.251885E-17
6.376582E+03	5.987750E-16	3.785960E-17
6.523803E+03	5.500329E-16	3.360445E-17
6.674422E+03	5.078639E-16	2.986735E-17
6.828518E+03	4.687294E-16	2.642984E-17
6.986173E+03	4.316516E-16	2.324412E-17
7.147467E+03	3.985168E-16	2.041894E-17
7.312485E+03	3.701963E-16	1.799359E-17
7.481313E+03	3.454212E-16	1.589957E-17
7.654039E+03	3.225370E-16	1.405680E-17
7.830752E+03	3.002980E-16	1.239392E-17
8.011546E+03	2.779505E-16	1.087141E-17
8.196514E+03	2.564282E-16	9.528870E-18
8.385752E+03	2.368205E-16	8.416831E-18
8.579359E+03	2.189001E-16	7.547080E-18
8.777436E+03	2.018656E-16	6.919638E-18
8.980086E+03	1.865106E-16	6.567817E-18
9.187415E+03	1.741345E-16	6.493273E-18
9.399531E+03	1.651146E-16	6.649198E-18
9.616544E+03	1.592513E-16	6.995552E-18
9.838567E+03	1.555236E-16	7.477361E-18
1.006572E+04	1.519810E-16	7.982897E-18
1.029811E+04	1.464291E-16	8.360914E-18
1.053587E+04	1.382584E-16	8.526240E-18
1.077912E+04	1.287870E-16	8.517282E-18
1.102798E+04	1.193768E-16	8.407257E-18
1.128259E+04	1.107238E-16	8.249104E-18
1.154308E+04	1.030225E-16	8.071125E-18
1.180958E+04	9.618920E-17	7.883309E-18
1.208224E+04	9.004615E-17	7.687022E-18
1.236119E+04	8.449959E-17	7.488733E-18
1.264658E+04	7.962149E-17	7.307770E-18
1.293856E+04	7.544640E-17	7.155363E-18
1.323728E+04	7.178105E-17	7.017525E-18
1.354290E+04	6.837332E-17	6.872377E-18
1.385557E+04	6.502694E-17	6.701585E-18
1.417546E+04	6.160494E-17	6.491803E-18
1.450274E+04	5.803204E-17	6.235892E-18
1.483757E+04	5.429976E-17	5.934266E-18
1.518014E+04	5.045956E-17	5.594744E-18
1.553061E+04	4.662217E-17	5.232706E-18
1.588918E+04	4.295418E-17	4.870751E-18
1.625602E+04	3.964736E-17	4.534833E-18
1.663133E+04	3.685428E-17	4.244975E-18
1.701531E+04	3.452522E-17	3.996877E-18
1.740815E+04	3.253324E-17	3.776944E-18
1.781007E+04	3.076078E-17	3.572405E-18
1.822126E+04	2.909215E-17	3.370737E-18
1.864194E+04	2.740852E-17	3.159474E-18
1.907234E+04	2.561718E-17	2.930010E-18
1.951268E+04	2.368566E-17	2.681785E-18
1.996318E+04	2.164928E-17	2.422994E-18
2.042408E+04	1.959325E-17	2.168045E-18
2.089563E+04	1.762326E-17	1.933581E-18
2.137806E+04	1.583385E-17	1.734374E-18
2.187163E+04	1.428097E-17	1.576916E-18
2.237659E+04	1.295980E-17	1.452967E-18
2.289321E+04	1.184542E-17	1.353278E-18
2.342176E+04	1.089931E-17	1.269944E-18
2.396252E+04	1.007963E-17	1.196611E-18
2.451575E+04	9.350442E-18	1.128724E-18
