#wls	flux	fluxerr
3.289393E+03	6.157599E-16	1.283335E-17
3.289393E+03	6.157599E-16	1.283335E-17
3.365337E+03	6.385581E-16	1.328852E-17
3.365337E+03	6.385581E-16	1.328852E-17
3.443035E+03	6.710611E-16	1.394277E-17
3.443035E+03	6.710611E-16	1.394277E-17
3.522526E+03	7.146427E-16	1.482341E-17
3.522526E+03	7.146427E-16	1.482341E-17
3.603853E+03	7.713539E-16	1.597143E-17
3.603853E+03	7.713539E-16	1.597143E-17
3.687058E+03	8.434156E-16	1.743085E-17
3.687058E+03	8.434156E-16	1.743085E-17
3.772183E+03	9.308196E-16	1.919916E-17
3.772183E+03	9.308196E-16	1.919916E-17
3.859274E+03	1.029013E-15	2.118005E-17
3.859274E+03	1.029013E-15	2.118005E-17
3.948375E+03	1.125982E-15	2.312459E-17
3.948375E+03	1.125982E-15	2.312459E-17
4.039534E+03	1.201803E-15	2.462378E-17
4.039534E+03	1.201803E-15	2.462378E-17
4.132797E+03	1.235561E-15	2.525245E-17
4.132797E+03	1.235561E-15	2.525245E-17
4.228214E+03	1.221574E-15	2.490074E-17
4.228214E+03	1.221574E-15	2.490074E-17
4.325833E+03	1.174337E-15	2.387089E-17
4.325833E+03	1.174337E-15	2.387089E-17
4.425707E+03	1.114328E-15	2.258388E-17
4.425707E+03	1.114328E-15	2.258388E-17
4.527886E+03	1.053425E-15	2.128236E-17
4.527886E+03	1.053425E-15	2.128236E-17
4.632424E+03	9.951283E-16	2.003741E-17
4.632424E+03	9.951283E-16	2.003741E-17
4.739376E+03	9.430798E-16	1.892204E-17
4.739376E+03	9.430798E-16	1.892204E-17
4.848796E+03	8.957905E-16	1.790555E-17
4.848796E+03	8.957905E-16	1.790555E-17
4.960744E+03	8.492233E-16	1.690689E-17
4.960744E+03	8.492233E-16	1.690689E-17
5.075276E+03	8.043593E-16	1.594575E-17
5.075276E+03	8.043593E-16	1.594575E-17
5.192452E+03	7.647655E-16	1.509255E-17
5.192452E+03	7.647655E-16	1.509255E-17
5.312333E+03	7.331549E-16	1.439957E-17
5.312333E+03	7.331549E-16	1.439957E-17
5.434982E+03	7.083718E-16	1.384228E-17
5.434982E+03	7.083718E-16	1.384228E-17
5.560463E+03	6.862692E-16	1.333831E-17
5.560463E+03	6.862692E-16	1.333831E-17
5.688841E+03	6.618830E-16	1.279112E-17
5.688841E+03	6.618830E-16	1.279112E-17
5.820183E+03	6.327788E-16	1.215502E-17
5.820183E+03	6.327788E-16	1.215502E-17
5.954557E+03	5.976074E-16	1.140637E-17
5.954557E+03	5.976074E-16	1.140637E-17
6.092034E+03	5.589597E-16	1.059709E-17
