#wls	flux	fluxerr
3.289393E+03	9.371150E-18	7.518020E-19
3.329393E+03	9.522164E-18	7.623889E-19
3.369393E+03	9.677224E-18	7.732445E-19
3.409393E+03	9.836324E-18	7.843664E-19
3.449393E+03	9.999644E-18	7.957667E-19
3.489393E+03	1.016752E-17	8.074700E-19
3.529393E+03	1.034047E-17	8.195157E-19
3.569393E+03	1.051923E-17	8.319582E-19
3.609393E+03	1.070467E-17	8.448638E-19
3.649393E+03	1.089779E-17	8.583088E-19
3.689393E+03	1.109975E-17	8.723791E-19
3.729393E+03	1.131179E-17	8.871688E-19
3.769393E+03	1.153519E-17	9.027729E-19
3.809393E+03	1.177132E-17	9.192923E-19
3.849393E+03	1.202154E-17	9.368267E-19
3.889393E+03	1.228721E-17	9.554748E-19
3.929393E+03	1.256965E-17	9.753321E-19
3.969393E+03	1.287010E-17	9.964859E-19
4.009393E+03	1.318967E-17	1.019012E-18
4.049393E+03	1.352934E-17	1.042979E-18
4.089393E+03	1.388995E-17	1.068440E-18
4.129393E+03	1.427217E-17	1.095436E-18
4.169393E+03	1.467646E-17	1.123992E-18
4.209393E+03	1.510301E-17	1.154112E-18
4.249393E+03	1.555170E-17	1.185776E-18
4.289393E+03	1.602196E-17	1.218930E-18
4.329393E+03	1.651271E-17	1.253482E-18
4.369393E+03	1.702227E-17	1.289294E-18
4.409393E+03	1.754825E-17	1.326179E-18
4.449393E+03	1.808757E-17	1.363896E-18
4.489393E+03	1.863659E-17	1.402165E-18
4.529393E+03	1.919119E-17	1.440674E-18
4.569393E+03	1.974713E-17	1.479104E-18
4.609393E+03	2.030040E-17	1.517156E-18
4.649393E+03	2.084767E-17	1.554584E-18
4.689393E+03	2.138666E-17	1.591224E-18
4.729393E+03	2.191631E-17	1.627003E-18
4.769393E+03	2.243619E-17	1.661896E-18
4.809393E+03	2.294500E-17	1.695814E-18
4.849393E+03	2.343853E-17	1.728453E-18
4.889393E+03	2.391040E-17	1.759355E-18
4.929393E+03	2.435379E-17	1.788032E-18
4.969393E+03	2.476256E-17	1.814049E-18
5.009393E+03	2.513158E-17	1.837052E-18
5.049393E+03	2.545680E-17	1.856766E-18
5.089393E+03	2.573518E-17	1.872994E-18
5.129393E+03	2.596468E-17	1.885610E-18
5.169393E+03	2.614425E-17	1.894566E-18
5.209393E+03	2.627400E-17	1.899894E-18
5.249393E+03	2.635516E-17	1.901710E-18
5.289393E+03	2.639023E-17	1.900216E-18
5.329393E+03	2.638299E-17	1.895707E-18
5.369393E+03	2.633863E-17	1.888578E-18
5.409393E+03	2.626395E-17	1.879331E-18
5.449393E+03	2.616749E-17	1.868593E-18
5.489393E+03	2.605963E-17	1.857113E-18
5.529393E+03	2.595218E-17	1.845738E-18
5.569393E+03	2.585783E-17	1.835370E-18
5.609393E+03	2.578945E-17	1.826917E-18
5.649393E+03	2.575915E-17	1.821225E-18
5.689393E+03	2.577729E-17	1.819011E-18
5.729393E+03	2.585176E-17	1.820814E-18
5.769393E+03	2.598773E-17	1.826977E-18
5.809393E+03	2.618797E-17	1.837673E-18
5.849393E+03	2.645306E-17	1.852922E-18
5.889393E+03	2.678154E-17	1.872601E-18
5.929393E+03	2.716970E-17	1.896430E-18
