#wls	flux	fluxerr
3.289393E+03	3.132707E-18	5.320825E-19
3.329393E+03	3.108448E-18	5.271552E-19
3.369393E+03	3.084296E-18	5.222460E-19
3.409393E+03	3.060270E-18	5.173583E-19
3.449393E+03	3.036390E-18	5.124956E-19
3.489393E+03	3.012678E-18	5.076616E-19
3.529393E+03	2.989157E-18	5.028600E-19
3.569393E+03	2.965850E-18	4.980949E-19
3.609393E+03	2.942782E-18	4.933704E-19
3.649393E+03	2.919976E-18	4.886904E-19
3.689393E+03	2.897458E-18	4.840590E-19
3.729393E+03	2.875253E-18	4.794804E-19
3.769393E+03	2.853383E-18	4.749581E-19
3.809393E+03	2.831876E-18	4.704966E-19
3.849393E+03	2.810752E-18	4.660992E-19
3.889393E+03	2.790036E-18	4.617699E-19
3.929393E+03	2.769750E-18	4.575117E-19
3.969393E+03	2.749915E-18	4.533283E-19
4.009393E+03	2.730552E-18	4.492225E-19
4.049393E+03	2.711679E-18	4.451973E-19
4.089393E+03	2.693313E-18	4.412550E-19
4.129393E+03	2.675471E-18	4.373980E-19
4.169393E+03	2.658168E-18	4.336283E-19
4.209393E+03	2.641416E-18	4.299476E-19
4.249393E+03	2.625226E-18	4.263571E-19
4.289393E+03	2.609609E-18	4.228583E-19
4.329393E+03	2.594571E-18	4.194516E-19
4.369393E+03	2.580119E-18	4.161377E-19
4.409393E+03	2.566258E-18	4.129166E-19
4.449393E+03	2.552989E-18	4.097883E-19
4.489393E+03	2.540313E-18	4.067523E-19
4.529393E+03	2.528228E-18	4.038077E-19
4.569393E+03	2.516734E-18	4.009540E-19
4.609393E+03	2.505825E-18	3.981893E-19
4.649393E+03	2.495495E-18	3.955125E-19
4.689393E+03	2.485735E-18	3.929215E-19
4.729393E+03	2.476538E-18	3.904145E-19
4.769393E+03	2.467894E-18	3.879892E-19
4.809393E+03	2.459787E-18	3.856430E-19
4.849393E+03	2.452207E-18	3.833730E-19
4.889393E+03	2.445137E-18	3.811767E-19
4.929393E+03	2.438560E-18	3.790505E-19
4.969393E+03	2.432460E-18	3.769914E-19
5.009393E+03	2.426815E-18	3.749956E-19
5.049393E+03	2.421605E-18	3.730594E-19
5.089393E+03	2.416807E-18	3.711789E-19
5.129393E+03	2.412399E-18	3.693501E-19
5.169393E+03	2.408352E-18	3.675683E-19
5.209393E+03	2.404643E-18	3.658294E-19
5.249393E+03	2.401240E-18	3.641285E-19
5.289393E+03	2.398115E-18	3.624608E-19
5.329393E+03	2.395236E-18	3.608213E-19
5.369393E+03	2.392571E-18	3.592052E-19
5.409393E+03	2.390089E-18	3.576072E-19
5.449393E+03	2.387752E-18	3.560221E-19
5.489393E+03	2.385533E-18	3.544453E-19
5.529393E+03	2.383395E-18	3.528719E-19
5.569393E+03	2.381308E-18	3.512972E-19
5.609393E+03	2.379247E-18	3.497176E-19
5.649393E+03	2.377184E-18	3.481295E-19
5.689393E+03	2.375100E-18	3.465302E-19
5.729393E+03	2.372982E-18	3.449181E-19
5.769393E+03	2.370823E-18	3.432926E-19
5.809393E+03	2.368625E-18	3.416545E-19
5.849393E+03	2.366401E-18	3.400058E-19
5.889393E+03	2.364175E-18	3.383504E-19
5.929393E+03	2.361983E-18	3.366939E-19
5.969393E+03	2.359879E-18	3.350443E-19
6.009393E+03	2.357929E-18	3.334111E-19
