#wls	flux	fluxerr
3.289393E+03	7.977730E-16	2.123960E-17
3.289393E+03	7.977730E-16	2.123960E-17
3.365337E+03	7.951842E-16	1.864023E-17
3.365337E+03	7.951842E-16	1.864023E-17
3.443035E+03	7.991156E-16	1.646114E-17
3.443035E+03	7.991156E-16	1.646114E-17
3.522526E+03	8.105953E-16	1.511704E-17
3.522526E+03	8.105953E-16	1.511704E-17
3.603853E+03	8.325377E-16	1.453644E-17
3.603853E+03	8.325377E-16	1.453644E-17
3.687058E+03	8.691315E-16	1.422114E-17
3.687058E+03	8.691315E-16	1.422114E-17
3.715800E+03	6.990206E-16	2.331139E-16
3.716100E+03	6.990689E-16	2.320544E-16
3.716300E+03	6.997292E-16	2.307574E-16
3.716500E+03	6.987632E-16	2.290896E-16
3.716700E+03	6.987310E-16	2.280140E-16
3.717000E+03	6.979752E-16	2.259667E-16
3.717200E+03	6.977342E-16	2.238500E-16
3.717500E+03	6.970918E-16	2.236814E-16
3.717700E+03	6.968993E-16	2.237375E-16
3.718000E+03	6.963378E-16	2.240187E-16
3.718200E+03	6.960172E-16	2.210328E-16
3.718500E+03	6.949763E-16	2.200517E-16
3.718700E+03	6.948163E-16	2.202927E-16
3.719000E+03	6.941127E-16	2.191859E-16
3.719200E+03	6.941607E-16	2.186239E-16
3.719500E+03	6.942086E-16	2.186374E-16
3.719700E+03	6.932023E-16	2.138629E-16
3.720000E+03	6.927715E-16	2.160446E-16
3.720200E+03	6.926439E-16	2.127619E-16
3.720500E+03	6.924047E-16	2.139688E-16
3.720700E+03	6.927715E-16	2.127295E-16
3.721000E+03	6.927077E-16	2.095028E-16
3.721200E+03	6.933939E-16	2.103814E-16
3.721500E+03	6.945924E-16	2.097696E-16
3.721700E+03	6.936653E-16	2.076357E-16
3.722000E+03	6.933779E-16	2.074891E-16
3.722200E+03	6.927874E-16	2.076082E-16
3.722500E+03	6.923250E-16	2.084304E-16
3.722700E+03	6.921656E-16	2.084524E-16
3.723000E+03	6.916080E-16	2.089675E-16
3.723200E+03	6.926120E-16	2.082773E-16
