#wls	flux	fluxerr
3.289393E+03	2.190741E-16	1.070012E-17
3.365337E+03	2.180415E-16	1.044296E-17
3.443035E+03	2.166109E-16	1.023591E-17
3.522526E+03	2.148362E-16	1.012440E-17
3.603853E+03	2.124172E-16	1.008824E-17
3.687058E+03	2.087561E-16	1.004810E-17
3.772183E+03	2.031842E-16	9.907579E-18
3.859274E+03	1.951353E-16	9.583585E-18
3.948375E+03	1.842849E-16	9.026845E-18
4.039534E+03	1.706464E-16	8.232746E-18
4.132797E+03	1.546020E-16	7.241914E-18
4.228214E+03	1.368581E-16	6.130627E-18
4.325833E+03	1.183314E-16	4.993497E-18
4.425707E+03	9.999621E-17	3.923222E-18
4.527886E+03	8.273453E-17	2.992872E-18
4.632424E+03	6.722573E-17	2.244551E-18
4.739376E+03	5.389791E-17	1.685524E-18
4.848796E+03	4.295015E-17	1.291286E-18
4.960744E+03	3.440942E-17	1.018325E-18
5.075276E+03	2.809425E-17	8.287997E-19
5.192452E+03	2.369829E-17	6.990286E-19
5.312333E+03	2.090278E-17	6.157999E-19
5.434982E+03	1.943677E-17	5.710736E-19
5.560463E+03	1.905284E-17	5.562662E-19
5.688841E+03	1.951653E-17	5.613890E-19
5.820183E+03	2.062494E-17	5.785614E-19
5.954557E+03	2.217003E-17	6.034556E-19
6.092034E+03	2.390921E-17	6.369022E-19
6.232684E+03	2.557257E-17	6.840946E-19
6.376582E+03	2.692142E-17	7.466191E-19
6.523803E+03	2.779107E-17	8.133278E-19
6.674422E+03	2.809869E-17	8.670645E-19
6.828518E+03	2.784110E-17	8.941986E-19
6.986173E+03	2.707939E-17	8.891099E-19
7.147467E+03	2.591720E-17	8.543400E-19
7.312485E+03	2.447905E-17	7.982818E-19
7.481313E+03	2.289285E-17	7.317838E-19
7.654039E+03	2.127689E-17	6.644799E-19
7.830752E+03	1.972739E-17	6.014813E-19
8.011546E+03	1.828069E-17	5.430581E-19
8.196514E+03	1.689214E-17	4.869319E-19
8.385752E+03	1.548241E-17	4.317982E-19
8.579359E+03	1.399076E-17	3.792536E-19
8.777436E+03	1.240608E-17	3.327083E-19
8.980086E+03	1.077839E-17	2.941567E-19
9.187415E+03	9.197740E-18	2.619507E-19
9.399531E+03	7.754165E-18	2.329842E-19
9.616544E+03	6.510001E-18	2.060815E-19
9.838567E+03	5.492409E-18	1.818404E-19
1.006572E+04	4.700340E-18	1.613787E-19
1.029811E+04	4.113166E-18	1.453678E-19
1.053587E+04	3.694355E-18	1.332840E-19
1.077912E+04	3.400233E-18	1.236682E-19
1.102798E+04	3.193711E-18	1.152158E-19
1.128259E+04	3.044603E-18	1.069902E-19
1.154308E+04	2.928074E-18	9.853357E-20
1.180958E+04	2.823754E-18	9.001294E-20
1.208224E+04	2.715952E-18	8.231560E-20
1.236119E+04	2.594677E-18	7.681318E-20
1.264658E+04	2.456201E-18	7.444008E-20
1.293856E+04	2.300139E-18	7.438832E-20
1.323728E+04	2.128233E-18	7.477747E-20
1.354290E+04	1.945822E-18	7.413621E-20
1.385557E+04	1.759932E-18	7.181556E-20
1.417546E+04	1.577447E-18	6.784362E-20
1.450274E+04	1.404031E-18	6.264831E-20
1.483757E+04	1.243693E-18	5.682028E-20
1.518014E+04	1.098810E-18	5.095179E-20
1.553061E+04	9.703716E-19	4.554069E-20
1.588918E+04	8.582995E-19	4.093642E-20
1.625602E+04	7.617628E-19	3.730779E-20
1.663133E+04	6.793578E-19	3.458706E-20
1.701531E+04	6.092969E-19	3.249774E-20
1.740815E+04	5.498233E-19	3.078356E-20
1.781007E+04	4.993564E-19	2.927181E-20
1.822126E+04	4.565310E-19	2.786973E-20
1.864194E+04	4.201985E-19	2.654534E-20
1.907234E+04	3.894119E-19	2.530931E-20
1.951268E+04	3.634021E-19	2.420183E-20
1.996318E+04	3.415514E-19	2.328373E-20
2.042408E+04	3.233654E-19	2.262920E-20
2.089563E+04	3.084457E-19	2.231740E-20
2.137806E+04	2.964628E-19	2.242031E-20
2.187163E+04	2.871305E-19	2.298614E-20
2.237659E+04	2.801766E-19	2.402531E-20
2.289321E+04	2.753284E-19	2.551686E-20
2.342176E+04	2.723211E-19	2.742765E-20
2.396252E+04	2.709062E-19	2.972488E-20
2.451575E+04	2.708534E-19	3.238060E-20
