#wls	flux	fluxerr
3.289393E+03	1.098658E-15	7.456736E-17
3.329393E+03	8.687279E-16	5.397481E-17
3.369393E+03	6.885701E-16	3.903089E-17
3.409393E+03	5.481233E-16	2.824028E-17
3.449393E+03	4.391476E-16	2.047529E-17
3.489393E+03	3.549681E-16	1.489595E-17
3.529393E+03	2.902351E-16	1.088419E-17
3.569393E+03	2.407053E-16	7.990760E-18
3.609393E+03	2.030494E-16	5.893437E-18
3.649393E+03	1.746856E-16	4.364970E-18
3.689393E+03	1.536404E-16	3.250100E-18
3.729393E+03	1.384322E-16	2.451286E-18
3.769393E+03	1.279782E-16	1.921973E-18
3.809393E+03	1.215269E-16	1.656418E-18
3.849393E+03	1.185880E-16	1.645945E-18
3.889393E+03	1.186777E-16	1.823443E-18
3.929393E+03	1.214227E-16	2.107659E-18
3.969393E+03	1.265833E-16	2.447112E-18
4.009393E+03	1.339875E-16	2.813784E-18
4.049393E+03	1.434859E-16	3.189010E-18
4.089393E+03	1.549166E-16	3.555427E-18
4.129393E+03	1.680759E-16	3.893925E-18
4.169393E+03	1.826979E-16	4.183845E-18
4.209393E+03	1.984424E-16	4.405731E-18
4.249393E+03	2.148935E-16	4.546501E-18
4.289393E+03	2.315693E-16	4.606758E-18
4.329393E+03	2.479413E-16	4.608720E-18
4.369393E+03	2.634663E-16	4.599883E-18
4.409393E+03	2.776462E-16	4.641627E-18
4.449393E+03	2.901177E-16	4.767909E-18
4.489393E+03	3.006485E-16	4.940395E-18
4.529393E+03	3.092144E-16	5.081750E-18
4.569393E+03	3.159656E-16	5.119404E-18
4.609393E+03	3.212066E-16	5.007632E-18
4.649393E+03	3.253970E-16	4.734767E-18
4.689393E+03	3.291600E-16	4.326224E-18
4.729393E+03	3.333025E-16	3.852134E-18
4.769393E+03	3.388410E-16	3.443145E-18
4.809393E+03	3.467957E-16	3.286860E-18
4.849393E+03	3.582858E-16	3.550018E-18
4.889393E+03	3.735406E-16	4.198263E-18
4.929393E+03	3.917842E-16	5.048608E-18
4.969393E+03	4.120695E-16	5.946432E-18
5.009393E+03	4.331631E-16	6.785913E-18
5.049393E+03	4.535604E-16	7.490590E-18
5.089393E+03	4.716097E-16	8.002332E-18
5.129393E+03	4.857374E-16	8.277120E-18
5.169393E+03	4.946831E-16	8.280799E-18
5.209393E+03	4.976695E-16	7.999984E-18
5.249393E+03	4.944629E-16	7.457912E-18
5.289393E+03	4.853858E-16	6.723680E-18
5.329393E+03	4.713052E-16	5.913292E-18
5.369393E+03	4.536120E-16	5.173617E-18
5.409393E+03	4.341767E-16	4.625046E-18
5.449393E+03	4.144882E-16	4.262834E-18
5.489393E+03	3.959439E-16	4.043488E-18
5.529393E+03	3.800894E-16	4.000114E-18
5.569393E+03	3.682847E-16	4.203371E-18
5.609393E+03	3.605000E-16	4.624103E-18
5.649393E+03	3.557873E-16	5.150880E-18
5.689393E+03	3.533409E-16	5.688030E-18
5.729393E+03	3.525368E-16	6.173218E-18
5.769393E+03	3.529090E-16	6.569049E-18
5.809393E+03	3.541091E-16	6.853280E-18
5.849393E+03	3.558593E-16	7.012067E-18
5.889393E+03	3.579070E-16	7.035764E-18
5.929393E+03	3.599835E-16	6.916627E-18
5.969393E+03	3.617745E-16	6.648287E-18
6.009393E+03	3.629056E-16	6.227325E-18
6.049393E+03	3.629537E-16	5.657569E-18
6.089393E+03	3.614952E-16	4.958036E-18
6.129393E+03	3.582138E-16	4.175779E-18
6.169393E+03	3.531004E-16	3.404711E-18
6.209393E+03	3.467696E-16	2.801438E-18
6.249393E+03	3.408261E-16	2.540029E-18
6.289393E+03	3.361497E-16	2.580031E-18
6.329393E+03	3.320111E-16	2.673379E-18
6.369393E+03	3.284957E-16	2.698911E-18
6.409393E+03	3.262452E-16	2.727286E-18
6.449393E+03	3.263560E-16	2.944727E-18
6.489393E+03	3.290487E-16	3.431860E-18
6.529393E+03	3.333376E-16	4.090279E-18
6.569393E+03	3.384815E-16	4.806130E-18
6.609393E+03	3.438507E-16	5.502065E-18
6.649393E+03	3.488760E-16	6.131511E-18
6.689393E+03	3.530605E-16	6.667791E-18
6.729393E+03	3.560066E-16	7.097321E-18
6.769393E+03	3.574374E-16	7.415715E-18
6.809393E+03	3.572068E-16	7.625317E-18
6.849393E+03	3.552947E-16	7.733424E-18
6.889393E+03	3.517891E-16	7.750849E-18
6.929393E+03	3.468587E-16	7.690569E-18
6.969393E+03	3.407241E-16	7.566306E-18
7.009393E+03	3.336320E-16	7.390982E-18
7.049393E+03	3.258370E-16	7.175258E-18
7.089393E+03	3.175899E-16	6.926439E-18
7.129393E+03	3.091292E-16	6.648019E-18
7.169393E+03	3.006726E-16	6.339972E-18
7.209393E+03	2.924090E-16	5.999679E-18
7.249393E+03	2.844890E-16	5.623294E-18
7.289393E+03	2.770183E-16	5.207395E-18
7.329393E+03	2.700551E-16	4.750980E-18
7.369393E+03	2.636152E-16	4.258182E-18
7.409393E+03	2.576849E-16	3.742372E-18
7.449393E+03	2.522471E-16	3.232324E-18
7.489393E+03	2.473314E-16	2.779376E-18
7.529393E+03	2.431340E-16	2.455146E-18
7.569393E+03	2.400030E-16	2.304113E-18
7.609393E+03	2.376266E-16	2.269623E-18
7.649393E+03	2.358530E-16	2.269800E-18
7.689393E+03	2.347508E-16	2.254295E-18
7.729393E+03	2.341699E-16	2.199117E-18
7.769393E+03	2.340049E-16	2.132924E-18
7.809393E+03	2.341679E-16	2.147026E-18
7.849393E+03	2.344315E-16	2.338392E-18
7.889393E+03	2.341481E-16	2.697281E-18
7.929393E+03	2.326774E-16	3.128507E-18
7.969393E+03	2.298272E-16	3.548873E-18
8.009393E+03	2.256691E-16	3.909694E-18
8.049393E+03	2.204153E-16	4.189732E-18
8.089393E+03	2.143384E-16	4.385329E-18
8.129393E+03	2.077210E-16	4.502868E-18
8.169393E+03	2.008263E-16	4.553643E-18
8.209393E+03	1.938842E-16	4.550610E-18
8.249393E+03	1.870871E-16	4.506522E-18
8.289393E+03	1.805911E-16	4.433000E-18
8.329393E+03	1.745202E-16	4.340161E-18
8.369393E+03	1.689714E-16	4.236553E-18
