#wls	flux	fluxerr
1.600000E+03	2.314633E-17	2.423893E-17
1.640000E+03	2.356961E-17	2.433205E-17
1.680000E+03	2.401662E-17	2.442789E-17
1.720000E+03	2.448650E-17	2.452394E-17
1.760000E+03	2.498039E-17	2.461968E-17
1.800000E+03	2.549693E-17	2.471203E-17
1.840000E+03	2.603884E-17	2.480182E-17
1.880000E+03	2.660625E-17	2.488728E-17
1.920000E+03	2.719690E-17	2.496438E-17
1.960000E+03	2.780838E-17	2.502904E-17
2.000000E+03	2.843811E-17	2.507724E-17
2.040000E+03	2.908534E-17	2.510667E-17
2.080000E+03	2.973953E-17	2.510681E-17
2.120000E+03	3.039632E-17	2.507306E-17
2.160000E+03	3.104782E-17	2.499837E-17
2.200000E+03	3.167955E-17	2.487116E-17
2.240000E+03	3.228693E-17	2.468870E-17
2.280000E+03	3.286240E-17	2.444654E-17
2.320000E+03	3.340751E-17	2.414757E-17
2.360000E+03	3.392698E-17	2.379692E-17
2.400000E+03	3.442836E-17	2.340139E-17
2.440000E+03	3.492312E-17	2.296983E-17
2.480000E+03	3.541568E-17	2.250576E-17
2.520000E+03	3.591437E-17	2.201484E-17
2.560000E+03	3.642529E-17	2.150080E-17
2.600000E+03	3.694987E-17	2.096430E-17
2.640000E+03	3.749078E-17	2.040675E-17
2.680000E+03	3.804803E-17	1.982810E-17
2.720000E+03	3.862312E-17	1.922927E-17
2.760000E+03	3.921530E-17	1.861023E-17
2.800000E+03	3.982439E-17	1.797156E-17
2.840000E+03	4.044963E-17	1.731396E-17
2.880000E+03	4.109542E-17	1.664066E-17
2.920000E+03	4.176532E-17	1.595461E-17
2.960000E+03	4.246332E-17	1.525906E-17
3.000000E+03	4.319877E-17	1.455935E-17
3.010000E+03	4.338979E-17	1.438445E-17
3.020000E+03	4.358348E-17	1.420956E-17
3.030000E+03	4.377985E-17	1.403472E-17
3.040000E+03	4.397989E-17	1.386029E-17
3.050000E+03	4.418359E-17	1.368630E-17
3.060000E+03	4.439096E-17	1.351278E-17
3.070000E+03	4.460199E-17	1.333978E-17
3.080000E+03	4.481669E-17	1.316734E-17
3.090000E+03	4.503508E-17	1.299551E-17
3.100000E+03	4.525808E-17	1.282462E-17
3.110000E+03	4.548570E-17	1.265470E-17
3.120000E+03	4.571701E-17	1.248556E-17
3.130000E+03	4.595384E-17	1.231775E-17
3.140000E+03	4.619437E-17	1.215084E-17
3.150000E+03	4.643953E-17	1.198515E-17
3.160000E+03	4.669018E-17	1.182099E-17
3.170000E+03	4.694543E-17	1.165819E-17
3.180000E+03	4.720617E-17	1.149705E-17
3.190000E+03	4.747149E-17	1.133746E-17
3.200000E+03	4.774226E-17	1.117971E-17
3.210000E+03	4.801845E-17	1.102390E-17
3.220000E+03	4.829919E-17	1.086995E-17
3.230000E+03	4.858531E-17	1.071816E-17
3.240000E+03	4.887678E-17	1.056867E-17
3.250000E+03	4.917356E-17	1.042159E-17
3.260000E+03	4.947560E-17	1.027707E-17
3.270000E+03	4.978285E-17	1.013526E-17
3.280000E+03	5.009524E-17	9.996304E-18
3.290000E+03	5.041189E-17	9.860219E-18
3.300000E+03	5.073436E-17	9.727496E-18
3.310000E+03	5.106092E-17	9.597998E-18
3.320000E+03	5.139230E-17	9.472055E-18
3.330000E+03	5.172762E-17	9.349699E-18
3.340000E+03	5.206762E-17	9.231255E-18
3.350000E+03	5.241236E-17	9.116888E-18
3.360000E+03	5.276040E-17	9.006490E-18
3.370000E+03	5.311345E-17	8.900494E-18
3.380000E+03	5.347025E-17	8.798773E-18
3.390000E+03	5.383193E-17	8.701587E-18
3.400000E+03	5.419884E-17	8.609046E-18
3.410000E+03	5.456991E-17	8.520998E-18
3.420000E+03	5.494715E-17	8.437755E-18
3.430000E+03	5.532955E-17	8.359146E-18
3.440000E+03	5.571769E-17	8.285209E-18
3.450000E+03	5.611217E-17	8.215972E-18
3.460000E+03	5.651283E-17	8.151343E-18
3.470000E+03	5.692106E-17	8.091421E-18
3.480000E+03	5.733604E-17	8.035980E-18
3.490000E+03	5.775844E-17	7.985002E-18
3.500000E+03	5.818821E-17	7.938346E-18
3.510000E+03	5.862676E-17	7.896063E-18
3.520000E+03	5.907332E-17	7.857908E-18
3.530000E+03	5.952789E-17	7.823714E-18
3.540000E+03	5.999189E-17	7.793503E-18
3.550000E+03	6.046386E-17	7.766925E-18
3.560000E+03	6.094452E-17	7.743888E-18
3.570000E+03	6.143458E-17	7.724301E-18
3.580000E+03	6.193332E-17	7.707899E-18
3.590000E+03	6.244145E-17	7.694580E-18
3.600000E+03	6.295825E-17	7.684075E-18
3.610000E+03	6.348373E-17	7.676213E-18
3.620000E+03	6.401858E-17	7.670887E-18
3.630000E+03	6.456143E-17	7.667749E-18
3.640000E+03	6.511367E-17	7.666797E-18
3.650000E+03	6.567460E-17	7.667759E-18
3.660000E+03	6.624424E-17	7.670458E-18
3.670000E+03	6.682188E-17	7.674653E-18
3.680000E+03	6.740822E-17	7.680252E-18
3.690000E+03	6.800327E-17	7.687099E-18
3.700000E+03	6.860633E-17	7.694977E-18
3.710000E+03	6.921808E-17	7.703806E-18
3.720000E+03	6.983853E-17	7.713448E-18
3.730000E+03	7.046696E-17	7.723702E-18
3.740000E+03	7.110538E-17	7.734647E-18
3.750000E+03	7.175234E-17	7.745997E-18
3.760000E+03	7.240843E-17	7.757710E-18
3.770000E+03	7.307488E-17	7.769793E-18
3.780000E+03	7.375013E-17	7.781971E-18
3.790000E+03	7.443606E-17	7.794357E-18
3.800000E+03	7.513175E-17	7.806735E-18
3.810000E+03	7.583834E-17	7.819126E-18
3.820000E+03	7.655626E-17	7.831495E-18
3.830000E+03	7.728522E-17	7.843706E-18
3.840000E+03	7.802565E-17	7.855715E-18
3.850000E+03	7.877865E-17	7.867567E-18
3.860000E+03	7.954389E-17	7.879133E-18
3.870000E+03	8.032247E-17	7.890443E-18
3.880000E+03	8.111403E-17	7.901406E-18
3.890000E+03	8.191960E-17	7.912039E-18
3.900000E+03	8.273947E-17	7.922303E-18
3.910000E+03	8.357393E-17	7.932181E-18
