spec_file	spec_mjd	ACS_WFC_F475W_fitflux	ACS_WFC_F475W_fitfluxerr	ACS_WFC_F475W_inrange	ACS_WFC_F625W_fitflux	ACS_WFC_F625W_fitfluxerr	ACS_WFC_F625W_inrange	ACS_WFC_F775W_fitflux	ACS_WFC_F775W_fitfluxerr	ACS_WFC_F775W_inrange	ACS_WFC_F850W_fitflux	ACS_WFC_F850W_fitfluxerr	ACS_WFC_F850W_inrange	DECam_Y_fitflux	DECam_Y_fitfluxerr	DECam_Y_inrange	DECam_g_fitflux	DECam_g_fitfluxerr	DECam_g_inrange	DECam_i_fitflux	DECam_i_fitfluxerr	DECam_i_inrange	DECam_r_fitflux	DECam_r_fitfluxerr	DECam_r_inrange	DECam_u_fitflux	DECam_u_fitfluxerr	DECam_u_inrange	DECam_z_fitflux	DECam_z_fitfluxerr	DECam_z_inrange	EFOSC2_U_fitflux	EFOSC2_U_fitfluxerr	EFOSC2_U_inrange	EFOSC2_V_fitflux	EFOSC2_V_fitfluxerr	EFOSC2_V_inrange	FourStar_H_fitflux	FourStar_H_fitfluxerr	FourStar_H_inrange	FourStar_J_fitflux	FourStar_J_fitfluxerr	FourStar_J_inrange	FourStar_J1_fitflux	FourStar_J1_fitfluxerr	FourStar_J1_inrange	FourStar_Ks_fitflux	FourStar_Ks_fitfluxerr	FourStar_Ks_inrange	LRIS_I_fitflux	LRIS_I_fitfluxerr	LRIS_I_inrange	RetroCam_H_fitflux	RetroCam_H_fitfluxerr	RetroCam_H_inrange	RetroCam_J_fitflux	RetroCam_J_fitfluxerr	RetroCam_J_inrange	RetroCam_Y_fitflux	RetroCam_Y_fitfluxerr	RetroCam_Y_inrange	SOFI_H_fitflux	SOFI_H_fitfluxerr	SOFI_H_inrange	SOFI_Ks_fitflux	SOFI_Ks_fitfluxerr	SOFI_Ks_inrange	Sinistro_g_fitflux	Sinistro_g_fitfluxerr	Sinistro_g_inrange	Sinistro_i_fitflux	Sinistro_i_fitfluxerr	Sinistro_i_inrange	Sinistro_r_fitflux	Sinistro_r_fitfluxerr	Sinistro_r_inrange	Sinistro_w_fitflux	Sinistro_w_fitfluxerr	Sinistro_w_inrange	Sinistro_z_fitflux	Sinistro_z_fitfluxerr	Sinistro_z_inrange	Swope_B_fitflux	Swope_B_fitfluxerr	Swope_B_inrange	Swope_V_fitflux	Swope_V_fitfluxerr	Swope_V_inrange	Swope_g_fitflux	Swope_g_fitfluxerr	Swope_g_inrange	Swope_i_fitflux	Swope_i_fitfluxerr	Swope_i_inrange	Swope_r_fitflux	Swope_r_fitfluxerr	Swope_r_inrange	UVOT_U_fitflux	UVOT_U_fitfluxerr	UVOT_U_inrange	WFC3_IR_F110W_fitflux	WFC3_IR_F110W_fitfluxerr	WFC3_IR_F110W_inrange	WFC3_IR_F160W_fitflux	WFC3_IR_F160W_fitfluxerr	WFC3_IR_F160W_inrange	WFC3_UVIS1_F336W_fitflux	WFC3_UVIS1_F336W_fitfluxerr	WFC3_UVIS1_F336W_inrange
/Users/ravkaur/Desktop/research/kilonova-SED/PyCoCo_templates//Inputs/Spectroscopy//2_spec_smoothed//AT2017gfo/57983.01825_LDSS3_Magellan.dat	57983.01825	0.0	0.0	False	0.0	0.0	False	0.0	0.0	False	0.0	0.0	False	1.850675123520437e-17	1.0019708475495336e-18	True	3.675598194466835e-17	2.024753865674053e-18	True	1.9760674607167712e-16	3.743223677938335e-18	True	2.975313749426555e-17	1.626331312312555e-18	True	1.6589228213894214e-17	8.99352682190692e-19	True	1.1883832713733212e-16	2.378492888921619e-18	True	0.0	0.0	False	3.88014733478748e-16	4.81577787024299e-17	True	3.34632588118748e-17	2.7021939080258377e-18	True	7.946563232614353e-17	4.146735526277774e-18	True	1.2763426756567374e-16	4.7903472568333276e-18	False	1.3470023687767423e-17	1.5669828280641134e-18	True	0.0	0.0	False	1.3113409448685172e-17	1.285697079876051e-17	False	1.942205970979627e-17	1.434267364770751e-17	False	2.6984403993284452e-17	7.203038113523347e-18	False	0.0	0.0	False	1.8651137495641733e-20	2.4872117621250697e-19	False	3.7388816945465275e-16	1.0535890008882669e-17	True	1.3848368885503048e-16	1.792509583716079e-17	True	2.118374562433736e-16	5.24070606268696e-18	True	7.589003514262004e-16	2.337341819940378e-17	True	1.801850326171192e-17	7.456351507891542e-18	False	2.5962866135656454e-16	4.9425639671414466e-17	False	3.4882909819915066e-17	1.894497513972466e-18	True	3.444894579321258e-16	7.989889865392441e-17	False	2.2657294258355483e-16	3.842015282015034e-18	True	2.9413166528012417e-16	4.980374461077292e-17	False	4.3215788162799024e-16	1.1016713408735577e-17	True	0.0	0.0	False	0.0	0.0	False	0.0	0.0	False
/Users/ravkaur/Desktop/research/kilonova-SED/PyCoCo_templates//Inputs/Spectroscopy//2_spec_smoothed//AT2017gfo/57983.02788_LDSS3_Magellan.dat	57983.02788	0.0	0.0	False	0.0	0.0	False	0.0	0.0	False	0.0	0.0	False	1.9237311302801172e-17	1.0223040835255003e-18	True	3.821349217757214e-17	2.066592380395386e-18	True	2.0120502583935784e-16	3.850909220851752e-18	True	3.093126103821157e-17	1.6596366456387867e-18	True	1.7251398362908352e-17	9.178143488173217e-19	True	1.2115968988606555e-16	2.4477306774396134e-18	True	0.0	0.0	False	3.880915311111998e-16	4.774175859916478e-17	True	3.365127748734417e-17	2.6798080508353882e-18	True	7.965388261946288e-17	4.1116793749957646e-18	True	1.278455943409801e-16	4.753370229794764e-18	False	1.3581752874838461e-17	1.5537604930536188e-18	True	0.0	0.0	False	1.3161305550741876e-17	1.2849257819497612e-17	False	1.9491969244128475e-17	1.4334475316805916e-17	False	2.7081469086961265e-17	7.199035278235438e-18	False	0.0	0.0	False	1.8737025321082212e-20	2.4872113621219427e-19	False	3.859658809297434e-16	1.0784062338556425e-17	True	1.386989781120364e-16	1.7853099143845392e-17	True	2.196980642913768e-16	5.340071400402975e-18	True	7.579363014993422e-16	2.3032617644038937e-17	True	1.8068278360822063e-17	7.453220278964624e-18	False	2.5989371062438315e-16	4.905208559414587e-17	False	3.628540099906137e-17	1.9364339800238832e-18	True	3.4483830635675384e-16	7.946626540082474e-17	False	2.3070400624477123e-16	3.967340402764653e-18	True	2.944511645835865e-16	4.942246405288535e-17	False	4.425285524634257e-16	1.133283560891379e-17	True	0.0	0.0	False	0.0	0.0	False	0.0	0.0	False
/Users/ravkaur/Desktop/research/kilonova-SED/PyCoCo_templates//Inputs/Spectroscopy//2_spec_smoothed//AT2017gfo/57983.0362_LDSS3_Magellan.dat	57983.0362	0.0	0.0	False	0.0	0.0	False	0.0	0.0	False	0.0	0.0	False	1.988247159854505e-17	1.0402826481858496e-18	True	3.9501162670519096e-17	2.103558036875635e-18	True	2.042196476763432e-16	3.945451977443684e-18	True	3.197206372039156e-17	1.6890745806661916e-18	True	1.7836242424796185e-17	9.341307859899997e-19	True	1.2311859885390454e-16	2.5083346410038702e-18	True	0.0	0.0	False	3.88149801578107e-16	4.7381262712486045e-17	True	3.381443453732786e-17	2.6606699936111504e-18	True	7.981631214776204e-17	4.081376812664182e-18	True	1.2802709983529231e-16	4.721336175035007e-18	False	1.367892991768272e-17	1.5429059670795605e-18	True	0.0	0.0	False	1.3202798784212114e-17	1.2842551543865889e-17	False	1.955252676103669e-17	1.432734663561172e-17	False	2.7165549072284383e-17	7.195554755056796e-18	False	0.0	0.0	False	1.8811540935918313e-20	2.4872110135982947e-19	False	3.9638939027736643e-16	1.1000814356805957e-17	True	1.388836965803735e-16	1.7790705621394207e-17	True	2.265391739526749e-16	5.424543271996418e-18	True	7.570753154215754e-16	2.2755100718659076e-17	True	1.8111300571837117e-17	7.450505914165853e-18	False	2.601191168300547e-16	4.872815445920226e-17	False	3.752243989729335e-17	1.973523773852931e-18	True	3.4513491551876657e-16	7.909158045992519e-17	False	2.34162758644579e-16	4.077812168543988e-18	True	2.947233007351844e-16	4.9091788197686844e-17	False	4.513562232648639e-16	1.1611417767761946e-17	True	0.0	0.0	False	0.0	0.0	False	0.0	0.0	False
/Users/ravkaur/Desktop/research/kilonova-SED/PyCoCo_templates//Inputs/Spectroscopy//2_spec_smoothed//AT2017gfo/57983.05998_LDSS3_Magellan.dat	57983.05998	0.0	0.0	False	0.0	0.0	False	0.0	0.0	False	0.0	0.0	False	2.1798471033042308e-17	1.0928550060233081e-18	True	4.332827352907317e-17	2.2113393024748684e-18	True	2.1236359288353163e-16	4.2214454109804425e-18	True	3.506532259365722e-17	1.775035046427443e-18	True	1.9573106278533837e-17	9.817613778095358e-19	True	1.2848284188806714e-16	2.684463166426165e-18	True	0.0	0.0	False	3.8827440328526813e-16	4.634549638275374e-17	True	3.428420065642124e-17	2.606934055557738e-18	True	8.027936264605406e-17	3.994677255799571e-18	True	1.2854026602095938e-16	4.629339220250454e-18	False	1.3959883692770898e-17	1.514701607276075e-18	True	0.0	0.0	False	1.3321969944748005e-17	1.2823164608224737e-17	False	1.9726418926015782e-17	1.4306736490675315e-17	False	2.740698438778613e-17	7.18549230365919e-18	False	0.0	0.0	False	1.902612110076004e-20	2.4872100022643084e-19	False	4.260289964927907e-16	1.1632585419715798e-17	True	1.3940495304446482e-16	1.7611408246043434e-17	True	2.4629087752601323e-16	5.6578552606784916e-18	True	7.544576957437011e-16	2.2043154722823693e-17	True	1.8234351534461626e-17	7.442701629350433e-18	False	2.60744704628274e-16	4.779622700989297e-17	False	4.1187845339433526e-17	2.081745230488717e-18	True	3.459577891701879e-16	7.801616621039749e-17	False	2.4349473460347125e-16	4.402367272389032e-18	True	2.954808169882323e-16	4.814021543583386e-17	False	4.75857955100914e-16	1.2435571281689662e-17	True	0.0	0.0	False	0.0	0.0	False	0.0	0.0	False
/Users/ravkaur/Desktop/research/kilonova-SED/PyCoCo_templates//Inputs/Spectroscopy//2_spec_smoothed//AT2017gfo/NIR_AT2017gfo_ENGRAVE_v1.0_XSHOOTER_MJD-57983.969001_Phase+1.43d.dat	57983.969001	0.0	0.0	False	0.0	0.0	False	0.0	0.0	False	0.0	0.0	False	1.4347189627656878e-16	2.839702404402527e-18	True	2.7523103709923706e-16	5.981085116823219e-18	True	2.0508186708766073e-16	3.82187738211654e-18	True	2.29365653264693e-16	4.410823760481282e-18	True	1.0747151471181283e-16	3.4579633839537846e-18	True	1.6061842622357032e-16	3.0368258929176864e-18	True	0.0	0.0	False	3.2660971283731416e-16	6.181018153107187e-18	True	5.0457716769920704e-17	4.736778252453768e-19	True	9.338217500141755e-17	8.533025008709409e-19	True	1.3819458497004574e-16	1.290193215520723e-18	False	2.48180708721159e-17	8.845034405791864e-19	True	0.0	0.0	False	1.8526952425153844e-17	1.1784366397651516e-17	False	2.7269927955888533e-17	1.3198464990995294e-17	False	3.7877236566860124e-17	6.645093137267159e-18	False	0.0	0.0	False	2.928765494665981e-20	2.487148301644279e-19	False	4.628026758335121e-16	2.6976243791501986e-17	True	1.4762710194993207e-16	1.0192166312522538e-17	True	3.0355614266633877e-16	9.53215383845746e-18	True	3.750711388712458e-16	1.0299265109857869e-17	True	2.2805925021936146e-17	7.108008923851645e-18	False	2.53862549767291e-16	9.984100601841177e-18	False	2.6662520272135973e-16	7.206953779078292e-18	True	3.363702700011464e-16	3.986922932605402e-17	False	2.2079850394006837e-16	4.0646224395979525e-18	True	2.907776969317624e-16	6.9351811563285686e-18	False	7.899417753043353e-16	6.854656177931855e-17	True	0.0	0.0	False	0.0	0.0	False	0.0	0.0	False
/Users/ravkaur/Desktop/research/kilonova-SED/PyCoCo_templates//Inputs/Spectroscopy//2_spec_smoothed//AT2017gfo/UVB_AT2017gfo_ENGRAVE_v1.0_XSHOOTER_MJD-57983.969002_Phase+1.43d.dat	57983.969002	0.0	0.0	False	0.0	0.0	False	0.0	0.0	False	0.0	0.0	False	1.4347198375184027e-16	2.8397060956050885e-18	True	2.7523113829097917e-16	5.981093192580349e-18	True	2.0508172255664133e-16	3.821875936201138e-18	True	2.293657609419809e-16	4.41082943696553e-18	True	1.0747152961615577e-16	3.4579683411301818e-18	True	1.6061836154546426e-16	3.036825274715882e-18	True	0.0	0.0	False	3.2660954826945875e-16	6.1810010392518674e-18	True	5.0457726444301723e-17	4.736770358338708e-19	True	9.338218051565688e-17	8.533016608659097e-19	True	1.3819458004143822e-16	1.2901917846169345e-18	False	2.481807920768921e-17	8.84503329938119e-19	True	0.0	0.0	False	1.8526958842404274e-17	1.1784364871560005e-17	False	2.72699371883868e-17	1.3198463357794229e-17	False	3.78772493770091e-17	6.645092341989458e-18	False	0.0	0.0	False	2.9287668771464456e-20	2.487148301543565e-19	False	4.628019626913357e-16	2.6976234834444393e-17	True	1.4762709290015776e-16	1.0192158480497694e-17	True	3.0355581249194066e-16	9.532171134151573e-18	True	3.7507069030168863e-16	1.0299265066582439e-17	True	2.280592959912611e-17	7.108008542789301e-18	False	2.538624961586836e-16	9.984080689162277e-18	False	2.6662539012971496e-16	7.20696790828983e-18	True	3.3637019812111254e-16	3.986920739491821e-17	False	2.207983059384115e-16	4.064611412529373e-18	True	2.907776412828744e-16	6.935146491519359e-18	False	7.899418355938494e-16	6.854664600070672e-17	True	0.0	0.0	False	0.0	0.0	False	0.0	0.0	False
/Users/ravkaur/Desktop/research/kilonova-SED/PyCoCo_templates//Inputs/Spectroscopy//2_spec_smoothed//AT2017gfo/VIS_AT2017gfo_ENGRAVE_v1.0_XSHOOTER_MJD-57983.969003_Phase+1.43d.dat	57983.969003	0.0	0.0	False	0.0	0.0	False	0.0	0.0	False	0.0	0.0	False	1.4347207122669354e-16	2.8397097868359692e-18	True	2.75231239481599e-16	5.981101268393115e-18	True	2.0508157802574033e-16	3.821874490417989e-18	True	2.293658686184106e-16	4.410835113502413e-18	True	1.0747154452009303e-16	3.4579732983131702e-18	True	1.6061829686730863e-16	3.0368246565731948e-18	True	0.0	0.0	False	3.266093837013225e-16	6.180983925717382e-18	True	5.045773611865073e-17	4.736762464511845e-19	True	9.338218602986679e-17	8.533008208825934e-19	True	1.3819457511278384e-16	1.2901903537277309e-18	False	2.4818087543246185e-17	8.845032193066507e-19	True	0.0	0.0	False	1.852696525965617e-17	1.1784363345467497e-17	False	2.7269946420887e-17	1.3198461724592087e-17	False	3.787726218716075e-17	6.645091546711233e-18	False	0.0	0.0	False	2.9287682596275485e-20	2.4871483014428505e-19	False	4.628012495494353e-16	2.6976225877388736e-17	True	1.4762708385032923e-16	1.0192150648476582e-17	True	3.0355548231789133e-16	9.532188429817718e-18	True	3.7507024173274975e-16	1.0299265023421404e-17	True	2.2805934176314238e-17	7.108008161727014e-18	False	2.538624425499413e-16	9.984060776726755e-18	False	2.6662557753750606e-16	7.206982037557721e-18	True	3.3637012624089887e-16	3.986918546388378e-17	False	2.2079810793684433e-16	4.064600385574758e-18	True	2.907775856338381e-16	6.935111826943018e-18	False	7.899418958830495e-16	6.854673022210491e-17	True	0.0	0.0	False	0.0	0.0	False	0.0	0.0	False
/Users/ravkaur/Desktop/research/kilonova-SED/PyCoCo_templates//Inputs/Spectroscopy//2_spec_smoothed//AT2017gfo/57983.9914_LDSS3_Magellan.dat	57983.9914	0.0	0.0	False	0.0	0.0	False	0.0	0.0	False	0.0	0.0	False	1.4532493847907675e-16	2.9295315497800237e-18	True	2.7721266633555994e-16	6.17596357583957e-18	True	2.0187708943327995e-16	3.823502480992744e-18	True	2.3155901965649475e-16	4.551402230108749e-18	True	1.0770330682882526e-16	3.570525540561151e-18	True	1.591582989894026e-16	3.038097933371253e-18	True	0.0	0.0	False	3.2285211536489355e-16	5.8814022865736494e-18	True	5.066627016301045e-17	4.635318593644497e-19	True	9.34982570541147e-17	8.399771620144524e-19	True	1.3807234132812611e-16	1.261874190329539e-18	False	2.5000634802863154e-17	8.844684047644265e-19	True	0.0	0.0	False	1.86710609339729e-17	1.1749932811023865e-17	False	2.747721019258479e-17	1.3161611225695409e-17	False	3.8164838926216826e-17	6.627148290070455e-18	False	0.0	0.0	False	2.9598916814387224e-20	2.4871460220784926e-19	False	4.469059016121551e-16	2.6776910867059253e-17	True	1.4741085106827108e-16	1.0017668602174084e-17	True	2.962457112275077e-16	9.912386045460224e-18	True	3.651797729927003e-16	1.0324825238351669e-17	True	2.2907984633651986e-17	7.099487822344823e-18	False	2.5262768810345414e-16	9.601971185109525e-18	False	2.706791671327213e-16	7.537720270149938e-18	True	3.3471483504788606e-16	3.940384516606578e-17	False	2.1639098732406111e-16	3.849742159191057e-18	True	2.8949377010270467e-16	6.224428971830227e-18	False	7.912167714664341e-16	7.043547001854021e-17	True	0.0	0.0	False	0.0	0.0	False	0.0	0.0	False
/Users/ravkaur/Desktop/research/kilonova-SED/PyCoCo_templates//Inputs/Spectroscopy//2_spec_smoothed//AT2017gfo/57984.0484_LDSS3_Magellan.dat	57984.0484	0.0	0.0	False	0.0	0.0	False	0.0	0.0	False	0.0	0.0	False	1.4910248150529123e-16	3.2119090248773716e-18	True	2.797538950395472e-16	6.775107456241808e-18	True	1.940238287984682e-16	4.101611642407807e-18	True	2.352193767006432e-16	5.010617809576535e-18	True	1.0740500868963144e-16	3.8638943215227365e-18	True	1.5535100256518337e-16	3.1647561703853434e-18	True	0.0	0.0	True	3.126335761236383e-16	5.899357382215762e-18	True	5.1123389594147703e-17	5.024458966883946e-19	True	9.372745079793441e-17	8.508176518114076e-19	True	1.3765346478371379e-16	1.2236047605108395e-18	True	2.5428333754314002e-17	9.047143647913208e-19	True	0.0	0.0	False	1.9041086835046283e-17	1.1660013348319652e-17	False	2.8009014247740524e-17	1.3065339563491422e-17	False	3.8902684430918644e-17	6.580280030006945e-18	False	0.0	0.0	False	3.040560807831247e-20	2.4871400024364263e-19	False	4.072926813126441e-16	2.625727094406335e-17	True	1.4674067085736413e-16	9.581643894295746e-18	True	2.7838906974311124e-16	1.0790023203427452e-17	True	3.4137611345406223e-16	1.0527033997589868e-17	True	2.316330126250748e-17	7.077955938001448e-18	True	2.4917008003315173e-16	9.278618836048544e-18	True	2.796882658434306e-16	8.49919088125837e-18	True	3.3008194627170258e-16	3.8464649304911935e-17	True	2.055159244732105e-16	3.708717644294608e-18	True	2.8587977441365814e-16	5.275723445453917e-18	True	7.937993114337535e-16	7.525740380994008e-17	False	0.0	0.0	False	0.0	0.0	False	0.0	0.0	False
/Users/ravkaur/Desktop/research/kilonova-SED/PyCoCo_templates//Inputs/Spectroscopy//2_spec_smoothed//AT2017gfo/NIR_AT2017gfo_ENGRAVE_v1.0_XSHOOTER_MJD-57984.969001_Phase+2.42d.dat	57984.969001	0.0	0.0	False	0.0	0.0	False	0.0	0.0	False	0.0	0.0	False	1.0957085173637072e-16	2.996045092464975e-18	True	8.347739614115768e-17	3.505194729977497e-18	True	1.1472357605988905e-16	3.25551727828216e-18	True	1.0933242318172276e-16	3.170597226659798e-18	True	2.1900840893459438e-17	2.4082145455993738e-18	True	9.276613079726634e-17	2.454450648696731e-18	True	0.0	0.0	True	1.0688744573192478e-16	6.673192307866722e-18	True	4.863652784583802e-17	4.450789151599869e-19	True	8.694558883118585e-17	7.755264481751451e-19	True	1.1714253467017176e-16	1.0441875960559466e-18	True	2.6976232687604143e-17	1.4091654474235811e-18	True	0.0	0.0	False	2.5587858628874455e-17	9.66213366610577e-18	False	3.729441880062621e-17	1.0915372792152436e-17	False	5.177755632381961e-17	5.537392634361423e-18	False	0.0	0.0	False	4.6814054910021477e-20	2.4869825932790697e-19	False	7.912428925401986e-17	1.7966269170758207e-17	True	1.1800432840010953e-16	4.166300859118105e-18	True	1.0406260119379737e-16	7.124948629686759e-18	True	1.2253922301645112e-16	3.701079039386545e-18	True	2.576001611551689e-17	6.837703002987547e-18	True	1.4949529707740462e-16	2.779279351651906e-17	True	2.3829325418246013e-16	2.203387447632276e-17	True	1.9682629150915714e-16	3.9869237865715105e-17	True	1.029716677192952e-16	1.7406388751556335e-17	True	1.7891485056132684e-16	2.5688204212822907e-17	True	7.418567191790406e-16	1.4670437947597528e-16	False	0.0	0.0	False	0.0	0.0	False	0.0	0.0	False
