MJD	ACS_WFC_F475W	ACS_WFC_F475W_err	ACS_WFC_F625W	ACS_WFC_F625W_err	ACS_WFC_F775W	ACS_WFC_F775W_err	ACS_WFC_F850W	ACS_WFC_F850W_err	DECam_Y	DECam_Y_err	DECam_g	DECam_g_err	DECam_i	DECam_i_err	DECam_r	DECam_r_err	DECam_u	DECam_u_err	DECam_z	DECam_z_err	EFOSC2_U	EFOSC2_U_err	EFOSC2_V	EFOSC2_V_err	FourStar_H	FourStar_H_err	FourStar_J	FourStar_J_err	FourStar_J1	FourStar_J1_err	FourStar_Ks	FourStar_Ks_err	LRIS_I	LRIS_I_err	RetroCam_H	RetroCam_H_err	RetroCam_J	RetroCam_J_err	RetroCam_Y	RetroCam_Y_err	SOFI_H	SOFI_H_err	SOFI_Ks	SOFI_Ks_err	Sinistro_g	Sinistro_g_err	Sinistro_i	Sinistro_i_err	Sinistro_r	Sinistro_r_err	Sinistro_w	Sinistro_w_err	Sinistro_z	Sinistro_z_err	Swope_B	Swope_B_err	Swope_V	Swope_V_err	Swope_g	Swope_g_err	Swope_i	Swope_i_err	Swope_r	Swope_r_err	UVOT_U	UVOT_U_err	WFC3_IR_F110W	WFC3_IR_F110W_err	WFC3_IR_F160W	WFC3_IR_F160W_err	WFC3_UVIS1_F336W	WFC3_UVIS1_F336W_err
57982.57	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57982.58	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.4140575542438917e-18	2.59876592117594e-19	nan	nan	nan	nan	1.4564580541194717e-18	1.5622451778459677e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	5.509742723574977e-18	2.9606618242951083e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57982.590000000004	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	5.619028965478088e-18	2.848111072622503e-19	nan	nan	nan	nan	3.3426529489283185e-18	1.7180842866883553e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	8.640400456042584e-18	3.831763107817108e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57982.600000000006	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	8.871325743124876e-18	3.6861901545208543e-19	nan	nan	nan	nan	5.256857510637346e-18	2.233681551455933e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.184169823501278e-17	4.869337888415668e-19	nan	nan	1.4988266268710143e-17	1.0037213188071074e-18	nan	nan	nan	nan	nan	nan
57982.61000000001	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.2183453190051446e-17	4.700755875260409e-19	nan	nan	nan	nan	7.206590411085271e-18	2.8536620198681204e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.5132244493829066e-17	5.902997648221822e-19	nan	nan	2.120837399797042e-17	1.2601199023203615e-18	nan	nan	nan	nan	nan	nan
57982.62000000001	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.556792019096904e-17	5.727304873734322e-19	nan	nan	nan	nan	9.199372449066935e-18	3.4784558775588083e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.135588988084884e-17	1.1630421352598783e-18	nan	nan	5.8067349426141116e-18	5.981665611744086e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.8530653010163674e-17	6.882097962468214e-19	nan	nan	2.7542283297101585e-17	1.5744325084892573e-18	nan	nan	nan	nan	nan	nan
57982.63000000001	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.903723996003993e-17	6.715988343809937e-19	nan	nan	nan	nan	1.1242726999861322e-17	4.078677134891101e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.6453568758578652e-17	1.2877846668510416e-18	nan	nan	8.337300004347581e-18	6.621362707694986e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.2055544019793498e-17	7.797708440391656e-19	nan	nan	3.4013665585831573e-17	1.8916946332144547e-18	nan	nan	nan	nan	nan	nan
57982.640000000014	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.2603930788606415e-17	7.656960575694901e-19	nan	nan	nan	nan	1.3344180464816181e-17	4.649113881698289e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.162536065508402e-17	1.6564543416601492e-18	nan	nan	1.0906986410644575e-17	8.51423540680966e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.572554533077186e-17	8.657321813771194e-19	nan	nan	4.064620050749276e-17	2.1923897250068623e-18	nan	nan	nan	nan	nan	nan
57982.650000000016	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.62786070460062e-17	8.553598931648427e-19	nan	nan	nan	nan	1.5510130212501024e-17	5.192436396047279e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.689021789096595e-17	2.0913068047250844e-18	nan	nan	1.3527542344988538e-17	1.0747729110290003e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.9556420141176006e-17	9.473111459841087e-19	nan	nan	4.7463577344025234e-17	2.4705301287150748e-18	nan	nan	nan	nan	nan	nan
57982.66000000002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.0064250549158057e-17	9.407471780102049e-19	nan	nan	nan	nan	1.7742447421248832e-17	5.709927121246866e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.2267098351275694e-17	2.5198808163414466e-18	nan	nan	1.6210719033255844e-17	1.2949384429060133e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.3552448056733396e-17	1.0250226627543805e-18	nan	nan	5.448949643125172e-17	2.7257558793012914e-18	nan	nan	nan	nan	nan	nan
