MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_U	Bessell_U_err	Bessell_V	Bessell_V_err	sdss_g	sdss_g_err	sdss_i	sdss_i_err	sdss_r	sdss_r_err	sdss_z	sdss_z_err
57982.969002	1.6901615545509756e-16	7.78300768008806e-17	nan	nan	nan	nan	0.0	0.0	9.887297767095111e-17	3.8931567005228455e-17	7.525509192182494e-17	3.21789192602826e-17	0.0	0.0	1.1094643743622858e-16	1.9993609691536878e-17
57983.019002	1.7286784962142686e-16	7.549350312267826e-17	nan	nan	nan	nan	0.0	0.0	9.925885384123272e-17	3.814682192552487e-17	7.561101618704376e-17	3.174960367010535e-17	0.0	0.0	1.106290085631042e-16	1.9663349330109814e-17
57983.069002000004	1.7668408321233656e-16	7.303601497207595e-17	nan	nan	nan	nan	0.0	0.0	9.962287598627486e-17	3.735125688689439e-17	7.596031843542438e-17	3.131491914799601e-17	0.0	0.0	1.1030466723487111e-16	1.9333853364550615e-17
57983.11900200001	1.8045177585801468e-16	7.045332067866045e-17	nan	nan	nan	nan	0.0	0.0	9.996405835326186e-17	3.6544986700337506e-17	7.63027142833115e-17	3.0874862492998233e-17	0.0	0.0	1.0997334665803306e-16	1.9005194168859573e-17
57983.16900200001	1.8415663251959521e-16	6.774120541860662e-17	nan	nan	nan	nan	0.0	0.0	1.002813853095322e-16	3.5728148135556855e-17	7.663791221890084e-17	3.042943381419586e-17	0.0	0.0	1.0963497951147636e-16	1.867744727951074e-17
57983.21900200001	1.8778305495752712e-16	6.489557548424108e-17	nan	nan	nan	nan	0.0	0.0	1.0057381055697341e-16	3.4900901867033906e-17	7.696561345105162e-17	2.997863673102235e-17	0.0	0.0	1.0928949794267407e-16	1.835069157746299e-17
57983.269002000015	1.9131404739509558e-16	6.191251267778213e-17	nan	nan	nan	nan	0.0	0.0	1.0084025632723412e-16	3.406343463291975e-17	7.728551175514732e-17	2.9522478585453655e-17	0.0	0.0	1.0893683356386683e-16	1.8025009482734157e-17
57983.31900200002	1.9473111601852127e-16	5.878834216605619e-17	nan	nan	nan	nan	0.0	0.0	1.010796125573044e-16	3.321596163920867e-17	7.759729331594861e-17	2.906097066701446e-17	0.0	0.0	1.0857691744821618e-16	1.7700487162386433e-17
57983.36900200002	1.9801416193374147e-16	5.551971889573704e-17	nan	nan	nan	nan	0.0	0.0	1.0129073604500805e-16	3.2358729248079156e-17	7.790063656738325e-17	2.859412845162706e-17	0.0	0.0	1.0820968012593179e-16	1.7377214752788502e-17
57983.419002000024	2.011413671774296e-16	5.210374070816533e-17	nan	nan	nan	nan	0.0	0.0	1.0147244958393786e-16	3.149201799722079e-17	7.81952120292175e-17	2.812197185544597e-17	0.0	0.0	1.0783505158037417e-16	1.7055286597045838e-17
57983.46900200003	2.0408907335595394e-16	4.8538101766001214e-17	nan	nan	nan	nan	0.0	0.0	1.0162354107735498e-16	3.0616146006824846e-17	7.848068214054841e-17	2.764452550495756e-17	0.0	0.0	1.0745296124412676e-16	1.673480149849809e-17
57983.51900200003	2.0683165246074524e-16	4.482131024283937e-17	nan	nan	nan	nan	0.0	0.0	1.0174276263056361e-16	2.973147284323983e-17	7.875670109006021e-17	2.7161819024772246e-17	0.0	0.0	1.0706333799504712e-16	1.6415862991164733e-17
57983.56900200003	2.0934136938185147e-16	4.0953014837684835e-17	nan	nan	nan	nan	0.0	0.0	1.0182882962125977e-16	2.883840392376522e-17	7.902291464298458e-17	2.6673887344714386e-17	0.0	0.0	1.0666611015228646e-16	1.6098579628003456e-17
57983.619002000036	2.1158823561323752e-16	3.693452838070436e-17	nan	nan	nan	nan	0.0	0.0	1.0188041974734262e-16	2.7937395566601174e-17	7.927895996470267e-17	2.6180771028019177e-17	0.0	0.0	1.0626120547228259e-16	1.578306528778069e-17
57983.66900200004	2.1353985361352972e-16	3.2769736409001324e-17	nan	nan	nan	nan	0.0	0.0	1.0189617205166546e-16	2.702896081477375e-17	7.952446544092744e-17	2.568251662268344e-17	0.0	0.0	1.0584855114472951e-16	1.5469439501258726e-17
57983.71900200004	2.151612512543408e-16	2.846682606712288e-17	nan	nan	nan	nan	0.0	0.0	1.01874685923189e-16	2.6113676194500718e-17	7.975905049440384e-17	2.5179177038293246e-17	0.0	0.0	1.054280737885151e-16	1.5157827797278836e-17
57983.769002000045	2.1641470575492657e-16	2.4041953636307623e-17	nan	nan	nan	nan	0.0	0.0	1.0181452007399303e-16	2.519218960903043e-17	7.998232539806058e-17	2.4670811950980757e-17	0.0	0.0	1.0499969944763308e-16	1.484836206911617e-17
57983.81900200005	2.1725955646662506e-16	1.9528116544549057e-17	nan	nan	nan	nan	0.0	0.0	1.0171419149158388e-16	2.4265229621241893e-17	8.019389108454982e-17	2.4157488239545358e-17	0.0	0.0	1.0456335358706802e-16	1.4541180961218097e-17
57983.86900200005	2.176520058332077e-16	1.5000445149058683e-17	nan	nan	nan	nan	0.0	0.0	1.0157217436592691e-16	2.33336164458625e-17	8.039333895210697e-17	2.363928045623182e-17	0.0	0.0	1.0411896108865003e-16	1.4236430276094568e-17
57983.91900200005	2.175449078138068e-16	1.066468902551173e-17	nan	nan	nan	nan	0.0	0.0	1.0138689899061859e-16	2.239827505984434e-17	8.058025066666213e-17	2.3116271336202797e-17	0.0	0.0	1.0366644624688479e-16	1.3934263400655813e-17
57983.969002000056	2.1688754301336354e-16	7.225809728777398e-18	nan	nan	nan	nan	0.0	0.0	1.011567506375997e-16	2.146025095347538e-17	8.075419796013727e-17	2.2588552350392837e-17	0.0	0.0	1.0320573276475164e-16	1.3634841750709527e-17
57984.01900200006	2.1562647785608677e-16	6.700167718934666e-18	nan	nan	nan	nan	0.0	0.0	1.0088006840479931e-16	2.0520729193220846e-17	8.091474242485323e-17	2.2056224307217728e-17	0.0	0.0	1.0273674374947586e-16	1.3338335231566283e-17
57984.06900200006	2.137520649802471e-16	9.541546173356588e-18	nan	nan	nan	nan	0.0	0.0	1.0055514403608048e-16	1.9581057660168454e-17	8.106143530398046e-17	2.1519398009558505e-17	0.0	0.0	1.0225940170827006e-16	1.3044922711757143e-17
57984.119002000065	2.1131586635653915e-16	1.3532234103557715e-17	nan	nan	nan	nan	0.0	0.0	1.0018022071285356e-16	1.8642775577293845e-17	8.11938172779574e-17	2.0978194974597427e-17	0.0	0.0	1.0177362854404947e-16	1.275479250567697e-17
57984.16900200007	2.0837029346196378e-16	1.7700005367403325e-17	nan	nan	nan	nan	0.0	0.0	9.975349181669752e-17	1.7707648757750367e-17	8.131141824680313e-17	2.043274822549226e-17	0.0	0.0	1.0127934555111468e-16	1.2468142859519636e-17
57984.21900200007	2.049641733426831e-16	2.1771211254613e-17	nan	nan	nan	nan	0.0	0.0	9.927309966232546e-17	1.6777713406480994e-17	8.141375710824855e-17	1.988320316561818e-17	0.0	0.0	1.0077647341080813e-16	1.2185182433077154e-17
57984.269002000074	2.0114299566256132e-16	2.565149847830813e-17	nan	nan	nan	nan	0.0	0.0	9.87371342002073e-17	1.5855330791753458e-17	8.150034153161007e-17	1.9329718548255935e-17	0.0	0.0	1.0026493218714026e-16	1.1906130767834472e-17
57984.31900200008	1.9694914655709564e-16	2.9300695635248444e-17	nan	nan	nan	nan	0.0	0.0	9.814363168815295e-17	1.49432556511391e-17	8.157066772732636e-17	1.877246755729475e-17	0.0	0.0	9.974464132238453e-17	1.1631218729213523e-17
57984.36900200008	1.9242213014357435e-16	3.2699017855083955e-17	nan	nan	nan	nan	0.0	0.0	9.749057333114029e-17	1.4044721731811854e-17	8.16242202120789e-17	1.8211639017882793e-17	0.0	0.0	9.921551963264529e-17	1.1360688907778654e-17
57984.41900200008	1.8759877849730678e-16	3.5835786038210674e-17	nan	nan	nan	nan	0.0	0.0	9.677588388865742e-17	1.3163548191706916e-17	8.166047156941639e-17	1.7647438760215403e-17	0.0	0.0	9.867748530339225e-17	1.1094795960669085e-17
57984.469002000085	1.8251345086536622e-16	3.87049534141856e-17	nan	nan	nan	nan	0.0	0.0	9.599743024881314e-17	1.230427026683806e-17	8.167888220579836e-17	1.7080091165064542e-17	0.0	0.0	9.813045588496914e-17	1.0833806870437628e-17
57984.51900200009	1.7719822285335464e-16	4.1303074747529703e-17	nan	nan	nan	nan	0.0	0.0	9.515301996844979e-17	1.1472295736733953e-17	8.167890010197599e-17	1.6509840926589003e-17	0.0	0.0	9.757434828806702e-17	1.0578001093875324e-17
57984.56900200009	1.716830662871307e-16	4.362827853015673e-17	nan	nan	nan	nan	0.0	0.0	9.424039977848152e-17	1.067408356440537e-17	8.165996055962366e-17	1.5936955076922008e-17	0.0	0.0	9.700907877917107e-17	1.0327670568287907e-17
57984.619002000094	1.6599602042013594e-16	4.567969835077278e-17	nan	nan	nan	nan	0.0	0.0	9.325725405365459e-17	9.917329617976938e-18	8.162148594313441e-17	1.5361725328685813e-17	0.0	0.0	9.643456297597414e-17	1.0083119537218808e-17
57984.6690020001	1.6016335512780785e-16	4.74571346481401e-17	nan	nan	nan	nan	0.0	0.0	9.220120324591901e-17	9.211121976162594e-18	8.156288541649059e-17	1.4784470806872238e-17	0.0	0.0	9.58507158427591e-17	9.844664151894074e-18
57984.7190020001	1.5420972670350247e-16	4.8960841795172294e-17	nan	nan	nan	nan	0.0	0.0	9.10698022805725e-17	8.565989753485878e-18	8.148355467512034e-17	1.420554126174647e-17	0.0	0.0	9.525745168575314e-17	9.61263179903065e-18
57984.7690020001	1.4815832684527173e-16	5.0191388663956634e-17	nan	nan	nan	nan	0.0	0.0	8.986053891432696e-17	7.993713744707033e-18	8.138287567264693e-17	1.3625320881407106e-17	0.0	0.0	9.465468414844647e-17	9.387360100467378e-18
57984.819002000106	1.420310253996792e-16	5.114956549151744e-17	nan	nan	nan	nan	0.0	0.0	8.857083205442396e-17	7.50671072762931e-18	8.126021634243878e-17	1.3044232858938398e-17	0.0	0.0	9.404232620688141e-17	9.169195525911003e-18
57984.86900200011	1.3584850740751903e-16	5.1836322071914354e-17	nan	nan	nan	nan	0.0	0.0	8.719803003790847e-17	7.116799372604403e-18	8.111493031386469e-17	1.2462744918389123e-17	0.0	0.0	9.342029016491055e-17	8.958491557660664e-18
57984.91900200011	1.296304049767623e-16	5.2252728698209285e-17	nan	nan	nan	nan	0.0	0.0	8.573988252315687e-17	6.832228167932899e-18	8.094635662315662e-17	1.1881376071367542e-17	0.0	0.0	9.278848764942055e-17	8.755606346361896e-18
57984.969002000114	1.2339542449023025e-16	5.23999548175771e-17	nan	nan	nan	nan	0.0	0.0	8.419953040694259e-17	6.644477931355852e-18	8.07538194187845e-17	1.1300704969468298e-17	0.0	0.0	9.214682960552585e-17	8.560899800682118e-18
57985.01900200012	1.1716146963933168e-16	5.2279262430445055e-17	nan	nan	nan	nan	0.0	0.0	8.258354947141558e-17	6.533022168613102e-18	8.053662766123854e-17	1.0721380348129338e-17	0.0	0.0	9.149522629172821e-17	8.374730062427859e-18
57985.06900200012	1.1094576076064963e-16	5.1892012546528266e-17	nan	nan	nan	nan	0.0	0.0	8.089850674933467e-17	6.475372137369196e-18	8.029407481712104e-17	1.0144134241048258e-17	0.0	0.0	9.083358727504477e-17	8.197449333134705e-18
57985.11900200012	1.0476495093917782e-16	5.12396838646348e-17	nan	nan	nan	nan	0.0	0.0	7.915090796586033e-17	6.449490733454118e-18	8.002543854744193e-17	9.569798904727944e-18	0.0	0.0	9.016182142610284e-17	8.029399039531503e-18
57985.169002000126	9.863523933054575e-17	5.0323903466263727e-17	nan	nan	nan	nan	0.0	0.0	7.734720250434937e-17	6.435442599959855e-18	7.972998039001301e-17	8.999328764801453e-18	0.0	0.0	8.947983691420114e-17	7.87090435404543e-18
57985.21900200013	9.257248214460064e-17	4.9146489822821013e-17	nan	nan	nan	nan	0.0	0.0	7.549378833938918e-17	6.416255751962416e-18	7.940694543583323e-17	8.433829229802482e-18	0.0	0.0	8.87875412023383e-17	7.722268122626603e-18
57985.26900200013	8.659230172419835e-17	4.7709508892837736e-17	nan	nan	nan	nan	0.0	0.0	7.359701693981502e-17	6.37814475190597e-18	7.90555619993553e-17	7.874594985222157e-18	0.0	0.0	8.808484104220708e-17	7.58376429465166e-18
57985.319002000135	8.07101941459745e-17	4.601534459737023e-17	nan	nan	nan	nan	0.0	0.0	7.166319814442972e-17	6.310345890529276e-18	7.867504128252368e-17	7.323161476919743e-18	0.0	0.0	8.737167862940062e-17	7.455577737355655e-18
57985.36900200014	7.494163576418687e-17	4.4066785587526685e-17	nan	nan	nan	nan	0.0	0.0	6.969860501313998e-17	6.204780956338401e-18	7.8264577032469e-17	6.781374833538192e-18	0.0	0.0	8.664828575217436e-17	7.337424145395976e-18
57985.41900200014	6.93021891144343e-17	4.186713107595487e-17	nan	nan	nan	nan	0.0	0.0	6.770947865620417e-17	6.055691252617817e-18	7.782334519274392e-17	6.2514875609478436e-18	0.0	0.0	8.591503321969521e-17	7.22877242859151e-18
