#wls	flux	fluxerr	mangling_mask
3.296228E+03	-1.654373E+01	3.508761E-01	4.564972E-01
3.296628E+03	-1.654251E+01	3.500841E-01	4.564971E-01
3.296828E+03	-1.654242E+01	3.503522E-01	4.564970E-01
3.297028E+03	-1.654233E+01	3.501177E-01	4.564970E-01
3.297428E+03	-1.654469E+01	3.520140E-01	4.564969E-01
3.297628E+03	-1.654867E+01	3.570617E-01	4.564968E-01
3.297828E+03	-1.655102E+01	3.591522E-01	4.564968E-01
3.298028E+03	-1.655455E+01	3.620839E-01	4.564967E-01
3.298428E+03	-1.655226E+01	3.604047E-01	4.564966E-01
3.299028E+03	-1.655099E+01	3.596957E-01	4.564964E-01
3.299228E+03	-1.655254E+01	3.599832E-01	4.564964E-01
3.300029E+03	-1.655038E+01	3.580365E-01	4.564962E-01
3.300428E+03	-1.655141E+01	3.566932E-01	4.564960E-01
3.301028E+03	-1.655050E+01	3.556723E-01	4.564959E-01
3.301628E+03	-1.655141E+01	3.546458E-01	4.564957E-01
3.301828E+03	-1.654959E+01	3.531336E-01	4.564957E-01
3.302428E+03	-1.655389E+01	3.563857E-01	4.564955E-01
3.302628E+03	-1.655120E+01	3.550809E-01	4.564954E-01
3.302828E+03	-1.654919E+01	3.530060E-01	4.564954E-01
3.303228E+03	-1.654980E+01	3.534333E-01	4.564953E-01
3.303628E+03	-1.655284E+01	3.558594E-01	4.564952E-01
3.303828E+03	-1.655245E+01	3.564485E-01	4.564951E-01
3.304028E+03	-1.654992E+01	3.537460E-01	4.564951E-01
3.304228E+03	-1.654869E+01	3.505546E-01	4.564950E-01
3.304428E+03	-1.655258E+01	3.551093E-01	4.564949E-01
3.304628E+03	-1.655062E+01	3.540271E-01	4.564949E-01
3.305028E+03	-1.655076E+01	3.538906E-01	4.564948E-01
3.305428E+03	-1.655096E+01	3.534738E-01	4.564947E-01
3.305629E+03	-1.655004E+01	3.530310E-01	4.564946E-01
3.305829E+03	-1.655263E+01	3.551786E-01	4.564946E-01
3.306629E+03	-1.655302E+01	3.553479E-01	4.564943E-01
3.307029E+03	-1.655134E+01	3.549939E-01	4.564942E-01
3.307229E+03	-1.654940E+01	3.538063E-01	4.564942E-01
3.307829E+03	-1.654931E+01	3.547881E-01	4.564940E-01
3.308029E+03	-1.654707E+01	3.531736E-01	4.564940E-01
3.308429E+03	-1.654499E+01	3.507472E-01	4.564939E-01
3.308629E+03	-1.654738E+01	3.536165E-01	4.564938E-01
3.309029E+03	-1.654543E+01	3.519483E-01	4.564937E-01
3.309229E+03	-1.654587E+01	3.523291E-01	4.564936E-01
3.309429E+03	-1.654590E+01	3.522221E-01	4.564936E-01
3.309629E+03	-1.654560E+01	3.519561E-01	4.564935E-01
3.309829E+03	-1.654611E+01	3.533234E-01	4.564935E-01
