#wls	flux	fluxerr	mangling_mask
3.293688E+03	2.413829E-17	1.928881E-17	1.789480E+00
3.293888E+03	2.404166E-17	1.917608E-17	1.789480E+00
3.294088E+03	2.398261E-17	1.912597E-17	1.789480E+00
3.294288E+03	2.389134E-17	1.919755E-17	1.789480E+00
3.294688E+03	2.381976E-17	1.937113E-17	1.789480E+00
3.294888E+03	2.387345E-17	1.932997E-17	1.789480E+00
3.295088E+03	2.385019E-17	1.935681E-17	1.789480E+00
3.295288E+03	2.391998E-17	1.939260E-17	1.789480E+00
3.295688E+03	2.397724E-17	1.934429E-17	1.789480E+00
3.295888E+03	2.398619E-17	1.930492E-17	1.789480E+00
3.296288E+03	2.380545E-17	1.928523E-17	1.789480E+00
3.296888E+03	2.383587E-17	1.919218E-17	1.789480E+00
3.297088E+03	2.380903E-17	1.903292E-17	1.789480E+00
3.297289E+03	2.382692E-17	1.904365E-17	1.789480E+00
3.297489E+03	2.384661E-17	1.904007E-17	1.789480E+00
3.297689E+03	2.386987E-17	1.902218E-17	1.789480E+00
3.298289E+03	2.390029E-17	1.902934E-17	1.789480E+00
3.298689E+03	2.393250E-17	1.904723E-17	1.789480E+00
3.298889E+03	2.397366E-17	1.897386E-17	1.789480E+00
3.299489E+03	2.402019E-17	1.900786E-17	1.789480E+00
3.299689E+03	2.406850E-17	1.887902E-17	1.789480E+00
3.299889E+03	2.412577E-17	1.891839E-17	1.789480E+00
3.300089E+03	2.424208E-17	1.884681E-17	1.789480E+00
3.300689E+03	2.436377E-17	1.890229E-17	1.789480E+00
3.300889E+03	2.443892E-17	1.885576E-17	1.789480E+00
3.301088E+03	2.423492E-17	1.885039E-17	1.789480E+00
3.301289E+03	2.425103E-17	1.879850E-17	1.789480E+00
3.301488E+03	2.417587E-17	1.889692E-17	1.789480E+00
3.301888E+03	2.430113E-17	1.896313E-17	1.789480E+00
3.302288E+03	2.422061E-17	1.894702E-17	1.789480E+00
3.302688E+03	2.428503E-17	1.892018E-17	1.789480E+00
3.302888E+03	2.427787E-17	1.889871E-17	1.789480E+00
3.303288E+03	2.432977E-17	1.888797E-17	1.789480E+00
3.303488E+03	2.447471E-17	1.888976E-17	1.789480E+00
3.304088E+03	2.456419E-17	1.888618E-17	1.789480E+00
3.304889E+03	2.465008E-17	1.887902E-17	1.789480E+00
3.305489E+03	2.466261E-17	1.887365E-17	1.789480E+00
3.306089E+03	2.444071E-17	1.886471E-17	1.789480E+00
3.306489E+03	2.440313E-17	1.883429E-17	1.789480E+00
3.306889E+03	2.448008E-17	1.879313E-17	1.789480E+00
3.307089E+03	2.448903E-17	1.875197E-17	1.789480E+00
3.307289E+03	2.461787E-17	1.871260E-17	1.789480E+00
3.307489E+03	2.438166E-17	1.868397E-17	1.789480E+00
3.308489E+03	2.444608E-17	1.865355E-17	1.789480E+00
3.308689E+03	2.423850E-17	1.862492E-17	1.789480E+00
3.309089E+03	2.420808E-17	1.859450E-17	1.789480E+00
3.309289E+03	2.422240E-17	1.856228E-17	1.789480E+00
3.309489E+03	2.393966E-17	1.852828E-17	1.789480E+00
3.309689E+03	2.382871E-17	1.849607E-17	1.789480E+00
3.309889E+03	2.378576E-17	1.846207E-17	1.789480E+00
3.310089E+03	2.374103E-17	1.842628E-17	1.789480E+00
3.310489E+03	2.367840E-17	1.844418E-17	1.789480E+00
3.310689E+03	2.361040E-17	1.843165E-17	1.789480E+00
3.311089E+03	2.352987E-17	1.842628E-17	1.789480E+00
3.311890E+03	2.344576E-17	1.838691E-17	1.789480E+00
3.312090E+03	2.335092E-17	1.839586E-17	1.789480E+00
3.312490E+03	2.324892E-17	1.836544E-17	1.789480E+00
3.312689E+03	2.314155E-17	1.833860E-17	1.789480E+00
3.312890E+03	2.302702E-17	1.832965E-17	1.789480E+00
3.313289E+03	2.291429E-17	1.832786E-17	1.789480E+00
3.313490E+03	2.282660E-17	1.847997E-17	1.789480E+00
3.313689E+03	2.269239E-17	1.851934E-17	1.789480E+00
3.313889E+03	2.260292E-17	1.847102E-17	1.789480E+00
3.314089E+03	2.248839E-17	1.842270E-17	1.789480E+00
3.314889E+03	2.235597E-17	1.834218E-17	1.789480E+00
3.315289E+03	2.227007E-17	1.833323E-17	1.789480E+00
3.315889E+03	2.215913E-17	1.830997E-17	1.789480E+00
3.316089E+03	2.206786E-17	1.809344E-17	1.789480E+00
3.316689E+03	2.200523E-17	1.828670E-17	1.789480E+00
3.317089E+03	2.188713E-17	1.824018E-17	1.789480E+00
3.317289E+03	2.178334E-17	1.826702E-17	1.789480E+00
3.317889E+03	2.171355E-17	1.825986E-17	1.789480E+00
3.319290E+03	2.172965E-17	1.817218E-17	1.789480E+00
3.319490E+03	2.147197E-17	1.795386E-17	1.789480E+00
3.319690E+03	2.144691E-17	1.801112E-17	1.789480E+00
3.321090E+03	2.140039E-17	1.825807E-17	1.789480E+00
3.321490E+03	2.135565E-17	1.822765E-17	1.789480E+00
3.322690E+03	2.133060E-17	1.822407E-17	1.789480E+00
3.322890E+03	2.131449E-17	1.818828E-17	1.789480E+00
3.323090E+03	2.131270E-17	1.822049E-17	1.789480E+00
3.323290E+03	2.135207E-17	1.828670E-17	1.789480E+00
3.323490E+03	2.140218E-17	1.830818E-17	1.789480E+00
3.323890E+03	2.146123E-17	1.830639E-17	1.789480E+00
3.324290E+03	2.152565E-17	1.828670E-17	1.789480E+00
3.324890E+03	2.153460E-17	1.828491E-17	1.789480E+00
3.325490E+03	2.154176E-17	1.829744E-17	1.789480E+00
3.325689E+03	2.157576E-17	1.829386E-17	1.789480E+00
3.325889E+03	2.160976E-17	1.829386E-17	1.789480E+00
3.326089E+03	2.165449E-17	1.826702E-17	1.789480E+00
3.326289E+03	2.168849E-17	1.821512E-17	1.789480E+00
3.326490E+03	2.170639E-17	1.818649E-17	1.789480E+00
3.328290E+03	2.172428E-17	1.812923E-17	1.789480E+00
3.328490E+03	2.176902E-17	1.807733E-17	1.789480E+00
3.328690E+03	2.179049E-17	1.803439E-17	1.789480E+00
3.329690E+03	2.184060E-17	1.801470E-17	1.789480E+00
3.330090E+03	2.188534E-17	1.799860E-17	1.789480E+00
3.330490E+03	2.193723E-17	1.798786E-17	1.789480E+00
3.330690E+03	2.196765E-17	1.797891E-17	1.789480E+00
3.330890E+03	2.202492E-17	1.797533E-17	1.789480E+00
3.331490E+03	2.209292E-17	1.797533E-17	1.789480E+00
3.331690E+03	2.212692E-17	1.798249E-17	1.789480E+00
3.331890E+03	2.217165E-17	1.800218E-17	1.789480E+00
3.332490E+03	2.223071E-17	1.801291E-17	1.789480E+00
3.332690E+03	2.237923E-17	1.801112E-17	1.789480E+00
3.332890E+03	2.245260E-17	1.801112E-17	1.789480E+00
3.333090E+03	2.254565E-17	1.800754E-17	1.789480E+00
3.333290E+03	2.260471E-17	1.799502E-17	1.789480E+00
3.333891E+03	2.266913E-17	1.800218E-17	1.789480E+00
3.334091E+03	2.270492E-17	1.796997E-17	1.789480E+00
3.334691E+03	2.276218E-17	1.795923E-17	1.789480E+00
3.334891E+03	2.260292E-17	1.797176E-17	1.789480E+00
3.335291E+03	2.275144E-17	1.796281E-17	1.789480E+00
3.335891E+03	2.284092E-17	1.792881E-17	1.789480E+00
3.336091E+03	2.294829E-17	1.786886E-17	1.789480E+00
3.336291E+03	2.301271E-17	1.784936E-17	1.789480E+00
3.336491E+03	2.296260E-17	1.780784E-17	1.789480E+00
3.336890E+03	2.288566E-17	1.780855E-17	1.789480E+00
3.337090E+03	2.293039E-17	1.793597E-17	1.789480E+00
3.337490E+03	2.296439E-17	1.791986E-17	1.789480E+00
3.337691E+03	2.305029E-17	1.781840E-17	1.789480E+00
3.337890E+03	2.283555E-17	1.781160E-17	1.789480E+00
3.338090E+03	2.292324E-17	1.780641E-17	1.789480E+00
3.338690E+03	2.296797E-17	1.776561E-17	1.789480E+00
3.339090E+03	2.277650E-17	1.779424E-17	1.789480E+00
3.339490E+03	2.271566E-17	1.780945E-17	1.789480E+00
3.339690E+03	2.260650E-17	1.787137E-17	1.789480E+00
3.339890E+03	2.251881E-17	1.785526E-17	1.789480E+00
3.340090E+03	2.226650E-17	1.787960E-17	1.789480E+00
3.340290E+03	2.228618E-17	1.792165E-17	1.789480E+00
3.340490E+03	2.238639E-17	1.798786E-17	1.789480E+00
3.341091E+03	2.243829E-17	1.798965E-17	1.789480E+00
3.342291E+03	2.247050E-17	1.798786E-17	1.789480E+00
3.342491E+03	2.241860E-17	1.799144E-17	1.789480E+00
3.342691E+03	2.248123E-17	1.800576E-17	1.789480E+00
3.343691E+03	2.238818E-17	1.800397E-17	1.789480E+00
3.344091E+03	2.239892E-17	1.803976E-17	1.789480E+00
