#wls	flux	fluxerr
3.257346E+03	1.009473E-02	7.345995E-04
3.257346E+03	1.009473E-02	7.345995E-04
3.332843E+03	1.037643E-02	7.532039E-04
3.332843E+03	1.037643E-02	7.532039E-04
3.410091E+03	1.075818E-02	7.788426E-04
3.410091E+03	1.075818E-02	7.788426E-04
3.489128E+03	1.125476E-02	8.125061E-04
3.489128E+03	1.125476E-02	8.125061E-04
3.569998E+03	1.189678E-02	8.563024E-04
3.569998E+03	1.189678E-02	8.563024E-04
3.652742E+03	1.272619E-02	9.131176E-04
3.652742E+03	1.272619E-02	9.131176E-04
3.737404E+03	1.376741E-02	9.845301E-04
3.737404E+03	1.376741E-02	9.845301E-04
3.824029E+03	1.500333E-02	1.069115E-03
3.824029E+03	1.500333E-02	1.069115E-03
3.912660E+03	1.634580E-02	1.160402E-03
3.912660E+03	1.634580E-02	1.160402E-03
4.003346E+03	1.761765E-02	1.245701E-03
4.003346E+03	1.761765E-02	1.245701E-03
4.096134E+03	1.859206E-02	1.309025E-03
4.096134E+03	1.859206E-02	1.309025E-03
4.191073E+03	1.911733E-02	1.339938E-03
4.191073E+03	1.911733E-02	1.339938E-03
4.288212E+03	1.918685E-02	1.338358E-03
4.288212E+03	1.918685E-02	1.338358E-03
4.387603E+03	1.888997E-02	1.310917E-03
4.387603E+03	1.888997E-02	1.310917E-03
4.489297E+03	1.833724E-02	1.265633E-03
4.489297E+03	1.833724E-02	1.265633E-03
4.593348E+03	1.762233E-02	1.209232E-03
4.593348E+03	1.762233E-02	1.209232E-03
4.699811E+03	1.683320E-02	1.147934E-03
4.699811E+03	1.683320E-02	1.147934E-03
4.808742E+03	1.601713E-02	1.085069E-03
4.808742E+03	1.601713E-02	1.085069E-03
4.920197E+03	1.519816E-02	1.022328E-03
4.920197E+03	1.519816E-02	1.022328E-03
5.034235E+03	1.441823E-02	9.625583E-04
5.034235E+03	1.441823E-02	9.625583E-04
5.150917E+03	1.372989E-02	9.092263E-04
5.150917E+03	1.372989E-02	9.092263E-04
5.270303E+03	1.318901E-02	8.658917E-04
5.270303E+03	1.318901E-02	8.658917E-04
5.392456E+03	1.282225E-02	8.340666E-04
5.392456E+03	1.282225E-02	8.340666E-04
5.517440E+03	1.255763E-02	8.088150E-04
5.517440E+03	1.255763E-02	8.088150E-04
5.645322E+03	1.226127E-02	7.814149E-04
5.645322E+03	1.226127E-02	7.814149E-04
5.776168E+03	1.186180E-02	7.474484E-04
5.776168E+03	1.186180E-02	7.474484E-04
5.910045E+03	1.134032E-02	7.059901E-04
5.910045E+03	1.134032E-02	7.059901E-04
6.047026E+03	1.071764E-02	6.586465E-04
6.047026E+03	1.071764E-02	6.586465E-04
6.187181E+03	1.002670E-02	6.077261E-04
6.187181E+03	1.002670E-02	6.077261E-04
6.330586E+03	9.316034E-03	5.563843E-04
6.330586E+03	9.316034E-03	5.563843E-04
6.477314E+03	8.659688E-03	5.091207E-04
6.477314E+03	8.659688E-03	5.091207E-04
6.627443E+03	8.075548E-03	4.669099E-04
6.627443E+03	8.075548E-03	4.669099E-04
6.781051E+03	7.540867E-03	4.283371E-04
6.781051E+03	7.540867E-03	4.283371E-04
6.938220E+03	7.065641E-03	3.938960E-04
6.938220E+03	7.065641E-03	3.938960E-04
7.099032E+03	6.659755E-03	3.640234E-04
7.099032E+03	6.659755E-03	3.640234E-04
7.263570E+03	6.310518E-03	3.378946E-04
7.263570E+03	6.310518E-03	3.378946E-04
7.431922E+03	5.988423E-03	3.138535E-04
7.431922E+03	5.988423E-03	3.138535E-04
7.604177E+03	5.674948E-03	2.909388E-04
7.604177E+03	5.674948E-03	2.909388E-04
7.780424E+03	5.364389E-03	2.688993E-04
7.780424E+03	5.364389E-03	2.688993E-04
7.960755E+03	5.052124E-03	2.474885E-04
7.960755E+03	5.052124E-03	2.474885E-04
8.145267E+03	4.739166E-03	2.267161E-04
8.145267E+03	4.739166E-03	2.267161E-04
8.334055E+03	4.430447E-03	2.067874E-04
8.334055E+03	4.430447E-03	2.067874E-04
8.527218E+03	4.128038E-03	1.877751E-04
8.527218E+03	4.128038E-03	1.877751E-04
8.724859E+03	3.832485E-03	1.696975E-04
8.724859E+03	3.832485E-03	1.696975E-04
8.927081E+03	3.555795E-03	1.530867E-04
8.927081E+03	3.555795E-03	1.530867E-04
9.133990E+03	3.312122E-03	1.385259E-04
9.133990E+03	3.312122E-03	1.385259E-04
9.345693E+03	3.107441E-03	1.261936E-04
9.345693E+03	3.107441E-03	1.261936E-04
9.562305E+03	2.938191E-03	1.158609E-04
9.562305E+03	2.938191E-03	1.158609E-04
9.783936E+03	2.791205E-03	1.069781E-04
9.783936E+03	2.791205E-03	1.069781E-04
1.001070E+04	2.644999E-03	9.877655E-05
1.001070E+04	2.644999E-03	9.877655E-05
1.024273E+04	2.477074E-03	9.053595E-05
1.024273E+04	2.477074E-03	9.053595E-05
1.048014E+04	2.289184E-03	8.226259E-05
1.048014E+04	2.289184E-03	8.226259E-05
1.072304E+04	2.098824E-03	7.437741E-05
1.072304E+04	2.098824E-03	7.437741E-05
1.097157E+04	1.916735E-03	6.709164E-05
1.097157E+04	1.916735E-03	6.709164E-05
1.122587E+04	1.747909E-03	6.048825E-05
1.122587E+04	1.747909E-03	6.048825E-05
1.148606E+04	1.593604E-03	5.460410E-05
1.148606E+04	1.593604E-03	5.460410E-05
1.175228E+04	1.453540E-03	4.950034E-05
1.175228E+04	1.453540E-03	4.950034E-05
1.202467E+04	1.327793E-03	4.530956E-05
1.202467E+04	1.327793E-03	4.530956E-05
1.230336E+04	1.218203E-03	4.225468E-05
1.230336E+04	1.218203E-03	4.225468E-05
1.258853E+04	1.127681E-03	4.054956E-05
1.258853E+04	1.127681E-03	4.054956E-05
1.288030E+04	1.052708E-03	3.987798E-05
1.288030E+04	1.052708E-03	3.987798E-05
1.317884E+04	9.865596E-04	3.969742E-05
1.317884E+04	9.865596E-04	3.969742E-05
1.348429E+04	9.249175E-04	3.960715E-05
1.348429E+04	9.249175E-04	3.960715E-05
1.379683E+04	8.652648E-04	3.933598E-05
1.379683E+04	8.652648E-04	3.933598E-05
1.411660E+04	8.062368E-04	3.871596E-05
1.411660E+04	8.062368E-04	3.871596E-05
1.444379E+04	7.473626E-04	3.766765E-05
1.444379E+04	7.473626E-04	3.766765E-05
1.477857E+04	6.889704E-04	3.619145E-05
1.477857E+04	6.889704E-04	3.619145E-05
1.512110E+04	6.320747E-04	3.435796E-05
1.512110E+04	6.320747E-04	3.435796E-05
1.547157E+04	5.781917E-04	3.229240E-05
1.547157E+04	5.781917E-04	3.229240E-05
1.583016E+04	5.291349E-04	3.015495E-05
1.583016E+04	5.291349E-04	3.015495E-05
1.619707E+04	4.868418E-04	2.811880E-05
1.619707E+04	4.868418E-04	2.811880E-05
1.657248E+04	4.520221E-04	2.626834E-05
1.657248E+04	4.520221E-04	2.626834E-05
1.695659E+04	4.230868E-04	2.453673E-05
1.695659E+04	4.230868E-04	2.453673E-05
1.734960E+04	3.984156E-04	2.284446E-05
1.734960E+04	3.984156E-04	2.284446E-05
1.775172E+04	3.766620E-04	2.112218E-05
1.775172E+04	3.766620E-04	2.112218E-05
1.816316E+04	3.566499E-04	1.931042E-05
1.816316E+04	3.566499E-04	1.931042E-05
1.858415E+04	3.373869E-04	1.736696E-05
1.858415E+04	3.373869E-04	1.736696E-05
1.901488E+04	3.181341E-04	1.527836E-05
1.901488E+04	3.181341E-04	1.527836E-05
1.945561E+04	2.984703E-04	1.307223E-05
1.945561E+04	2.984703E-04	1.307223E-05
1.990654E+04	2.782977E-04	1.083120E-05
1.990654E+04	2.782977E-04	1.083120E-05
2.036793E+04	2.577654E-04	8.716905E-06
2.036793E+04	2.577654E-04	8.716905E-06
2.084000E+04	2.371175E-04	7.018551E-06
2.084000E+04	2.371175E-04	7.018551E-06
2.132303E+04	2.165333E-04	6.165598E-06
2.132303E+04	2.165333E-04	6.165598E-06
2.181725E+04	1.965089E-04	6.237986E-06
2.181725E+04	1.965089E-04	6.237986E-06
2.232292E+04	1.777612E-04	6.655208E-06
2.232292E+04	1.777612E-04	6.655208E-06
2.284031E+04	1.605821E-04	7.027783E-06
2.284031E+04	1.605821E-04	7.027783E-06
2.336969E+04	1.449870E-04	7.225063E-06
2.336969E+04	1.449870E-04	7.225063E-06
2.391135E+04	1.308735E-04	7.234128E-06
2.391135E+04	1.308735E-04	7.234128E-06
2.446556E+04	1.181173E-04	7.083751E-06
2.446556E+04	1.181173E-04	7.083751E-06
