#wls	flux	fluxerr
3.257346E+03	8.490237E-05	1.068732E-05
3.257346E+03	8.490237E-05	1.068732E-05
3.332843E+03	7.629504E-05	9.468155E-06
3.332843E+03	7.629504E-05	9.468155E-06
3.410091E+03	6.883346E-05	8.413783E-06
3.410091E+03	6.883346E-05	8.413783E-06
3.489128E+03	6.254406E-05	7.522639E-06
3.489128E+03	6.254406E-05	7.522639E-06
3.569998E+03	5.743371E-05	6.790108E-06
3.569998E+03	5.743371E-05	6.790108E-06
3.652742E+03	5.348890E-05	6.208573E-06
3.652742E+03	5.348890E-05	6.208573E-06
3.737404E+03	5.067136E-05	5.767094E-06
3.737404E+03	5.067136E-05	5.767094E-06
3.824029E+03	4.890661E-05	5.450378E-06
3.824029E+03	4.890661E-05	5.450378E-06
3.912660E+03	4.807705E-05	5.238471E-06
3.912660E+03	4.807705E-05	5.238471E-06
4.003346E+03	4.803794E-05	5.109052E-06
4.003346E+03	4.803794E-05	5.109052E-06
4.096134E+03	4.865144E-05	5.041431E-06
4.096134E+03	4.865144E-05	5.041431E-06
4.191073E+03	4.981902E-05	5.019862E-06
4.191073E+03	4.981902E-05	5.019862E-06
4.288212E+03	5.147119E-05	5.032111E-06
4.288212E+03	5.147119E-05	5.032111E-06
4.387603E+03	5.351217E-05	5.063878E-06
4.387603E+03	5.351217E-05	5.063878E-06
4.489297E+03	5.584078E-05	5.101236E-06
4.489297E+03	5.584078E-05	5.101236E-06
4.593348E+03	5.839998E-05	5.135223E-06
4.593348E+03	5.839998E-05	5.135223E-06
4.699811E+03	6.121400E-05	5.164369E-06
4.699811E+03	6.121400E-05	5.164369E-06
4.808742E+03	6.436310E-05	5.191276E-06
4.808742E+03	6.436310E-05	5.191276E-06
4.920197E+03	6.790130E-05	5.215282E-06
4.920197E+03	6.790130E-05	5.215282E-06
5.034235E+03	7.183329E-05	5.231289E-06
5.034235E+03	7.183329E-05	5.231289E-06
5.150917E+03	7.617861E-05	5.235316E-06
5.150917E+03	7.617861E-05	5.235316E-06
5.270303E+03	8.106327E-05	5.230359E-06
5.270303E+03	8.106327E-05	5.230359E-06
5.392456E+03	8.676946E-05	5.227493E-06
5.392456E+03	8.676946E-05	5.227493E-06
5.517440E+03	9.375289E-05	5.243997E-06
5.517440E+03	9.375289E-05	5.243997E-06
5.645322E+03	1.025590E-04	5.296047E-06
