#wls	flux	fluxerr
3.257346E+03	2.661665E-04	1.973826E-05
3.257346E+03	2.661665E-04	1.973826E-05
3.332843E+03	2.639769E-04	1.898947E-05
3.332843E+03	2.639769E-04	1.898947E-05
3.410091E+03	2.645655E-04	1.842735E-05
3.410091E+03	2.645655E-04	1.842735E-05
3.489128E+03	2.688176E-04	1.809311E-05
3.489128E+03	2.688176E-04	1.809311E-05
3.569998E+03	2.779614E-04	1.804106E-05
3.569998E+03	2.779614E-04	1.804106E-05
3.652742E+03	2.937719E-04	1.834691E-05
3.652742E+03	2.937719E-04	1.834691E-05
3.737404E+03	3.188705E-04	1.911873E-05
3.737404E+03	3.188705E-04	1.911873E-05
3.824029E+03	3.569799E-04	2.050082E-05
3.824029E+03	3.569799E-04	2.050082E-05
3.912660E+03	4.110874E-04	2.255784E-05
3.912660E+03	4.110874E-04	2.255784E-05
4.003346E+03	4.824027E-04	2.522822E-05
4.003346E+03	4.824027E-04	2.522822E-05
4.096134E+03	5.716771E-04	2.841466E-05
4.096134E+03	5.716771E-04	2.841466E-05
4.191073E+03	6.791140E-04	3.198828E-05
4.191073E+03	6.791140E-04	3.198828E-05
4.288212E+03	8.039574E-04	3.578096E-05
4.288212E+03	8.039574E-04	3.578096E-05
4.387603E+03	9.435880E-04	3.956576E-05
4.387603E+03	9.435880E-04	3.956576E-05
4.489297E+03	1.091639E-03	4.301481E-05
4.489297E+03	1.091639E-03	4.301481E-05
4.593348E+03	1.237924E-03	4.575283E-05
4.593348E+03	1.237924E-03	4.575283E-05
4.699811E+03	1.373292E-03	4.757679E-05
4.699811E+03	1.373292E-03	4.757679E-05
4.808742E+03	1.496120E-03	4.864987E-05
4.808742E+03	1.496120E-03	4.864987E-05
4.920197E+03	1.607050E-03	4.923756E-05
4.920197E+03	1.607050E-03	4.923756E-05
5.034235E+03	1.698798E-03	4.935473E-05
5.034235E+03	1.698798E-03	4.935473E-05
5.150917E+03	1.770813E-03	4.910665E-05
5.150917E+03	1.770813E-03	4.910665E-05
5.270303E+03	1.826301E-03	4.861044E-05
5.270303E+03	1.826301E-03	4.861044E-05
5.392456E+03	1.866835E-03	4.788645E-05
5.392456E+03	1.866835E-03	4.788645E-05
5.517440E+03	1.894292E-03	4.693567E-05
5.517440E+03	1.894292E-03	4.693567E-05
5.645322E+03	1.910936E-03	4.575048E-05
5.645322E+03	1.910936E-03	4.575048E-05
5.776168E+03	1.916615E-03	4.424886E-05
5.776168E+03	1.916615E-03	4.424886E-05
5.910045E+03	1.912268E-03	4.244782E-05
5.910045E+03	1.912268E-03	4.244782E-05
6.047026E+03	1.898082E-03	4.047001E-05
6.047026E+03	1.898082E-03	4.047001E-05
6.187181E+03	1.875697E-03	3.860940E-05
6.187181E+03	1.875697E-03	3.860940E-05
6.330586E+03	1.853968E-03	3.735589E-05
6.330586E+03	1.853968E-03	3.735589E-05
6.477314E+03	1.846634E-03	3.713239E-05
6.477314E+03	1.846634E-03	3.713239E-05
6.627443E+03	1.856586E-03	3.764005E-05
6.627443E+03	1.856586E-03	3.764005E-05
6.781051E+03	1.877185E-03	3.822870E-05
6.781051E+03	1.877185E-03	3.822870E-05
6.938220E+03	1.896644E-03	3.825683E-05
6.938220E+03	1.896644E-03	3.825683E-05
7.099032E+03	1.905071E-03	3.733742E-05
7.099032E+03	1.905071E-03	3.733742E-05
7.263570E+03	1.902609E-03	3.561394E-05
7.263570E+03	1.902609E-03	3.561394E-05
7.431922E+03	1.903223E-03	3.390830E-05
7.431922E+03	1.903223E-03	3.390830E-05
7.604177E+03	1.940089E-03	3.376959E-05
7.604177E+03	1.940089E-03	3.376959E-05
7.780424E+03	2.005222E-03	3.581860E-05
7.780424E+03	2.005222E-03	3.581860E-05
7.960755E+03	2.001329E-03	3.792336E-05
7.960755E+03	2.001329E-03	3.792336E-05
8.145267E+03	1.914346E-03	3.839734E-05
8.145267E+03	1.914346E-03	3.839734E-05
8.334055E+03	1.775959E-03	3.681539E-05
8.334055E+03	1.775959E-03	3.681539E-05
8.527218E+03	1.627409E-03	3.375235E-05
8.527218E+03	1.627409E-03	3.375235E-05
8.724859E+03	1.507296E-03	3.028220E-05
8.724859E+03	1.507296E-03	3.028220E-05
8.927081E+03	1.454875E-03	2.761767E-05
8.927081E+03	1.454875E-03	2.761767E-05
9.133990E+03	1.495000E-03	2.664107E-05
9.133990E+03	1.495000E-03	2.664107E-05
9.345693E+03	1.608322E-03	2.708819E-05
9.345693E+03	1.608322E-03	2.708819E-05
9.562305E+03	1.772985E-03	2.777466E-05
9.562305E+03	1.772985E-03	2.777466E-05
9.783936E+03	1.976127E-03	2.786376E-05
9.783936E+03	1.976127E-03	2.786376E-05
1.001070E+04	2.181453E-03	2.753933E-05
1.001070E+04	2.181453E-03	2.753933E-05
1.024273E+04	2.224295E-03	2.686489E-05
1.024273E+04	2.224295E-03	2.686489E-05
1.048014E+04	2.141972E-03	2.859917E-05
1.048014E+04	2.141972E-03	2.859917E-05
1.072304E+04	2.157651E-03	3.448579E-05
1.072304E+04	2.157651E-03	3.448579E-05
1.097157E+04	2.249056E-03	4.047118E-05
1.097157E+04	2.249056E-03	4.047118E-05
1.122587E+04	2.356087E-03	4.279338E-05
1.122587E+04	2.356087E-03	4.279338E-05
1.148606E+04	2.398567E-03	3.837795E-05
1.148606E+04	2.398567E-03	3.837795E-05
1.175228E+04	2.280435E-03	2.685901E-05
1.175228E+04	2.280435E-03	2.685901E-05
1.202467E+04	1.925986E-03	1.631285E-05
1.202467E+04	1.925986E-03	1.631285E-05
1.230336E+04	1.413546E-03	1.785683E-05
1.230336E+04	1.413546E-03	1.785683E-05
1.258853E+04	1.064076E-03	2.226176E-05
1.258853E+04	1.064076E-03	2.226176E-05
1.288030E+04	8.766228E-04	2.591674E-05
1.288030E+04	8.766228E-04	2.591674E-05
1.317884E+04	7.839585E-04	2.918322E-05
1.317884E+04	7.839585E-04	2.918322E-05
1.348429E+04	7.519058E-04	3.248669E-05
1.348429E+04	7.519058E-04	3.248669E-05
1.379683E+04	7.615153E-04	3.581064E-05
1.379683E+04	7.615153E-04	3.581064E-05
1.411660E+04	8.005179E-04	3.868428E-05
1.411660E+04	8.005179E-04	3.868428E-05
1.444379E+04	8.578090E-04	4.016795E-05
1.444379E+04	8.578090E-04	4.016795E-05
1.477857E+04	9.197250E-04	3.893318E-05
1.477857E+04	9.197250E-04	3.893318E-05
1.512110E+04	9.680035E-04	3.362039E-05
1.512110E+04	9.680035E-04	3.362039E-05
1.547157E+04	9.822866E-04	2.370659E-05
1.547157E+04	9.822866E-04	2.370659E-05
1.583016E+04	9.489833E-04	1.137394E-05
1.583016E+04	9.489833E-04	1.137394E-05
1.619707E+04	8.751168E-04	1.141456E-05
1.619707E+04	8.751168E-04	1.141456E-05
1.657248E+04	8.138251E-04	2.219780E-05
1.657248E+04	8.138251E-04	2.219780E-05
1.695659E+04	7.722833E-04	3.181535E-05
1.695659E+04	7.722833E-04	3.181535E-05
1.734960E+04	7.447400E-04	3.947175E-05
1.734960E+04	7.447400E-04	3.947175E-05
1.775172E+04	7.276498E-04	4.516448E-05
1.775172E+04	7.276498E-04	4.516448E-05
1.816316E+04	7.167540E-04	4.873741E-05
1.816316E+04	7.167540E-04	4.873741E-05
1.858415E+04	7.065119E-04	4.978338E-05
1.858415E+04	7.065119E-04	4.978338E-05
1.901488E+04	6.911382E-04	4.781818E-05
1.901488E+04	6.911382E-04	4.781818E-05
1.945561E+04	6.654425E-04	4.254100E-05
1.945561E+04	6.654425E-04	4.254100E-05
1.990654E+04	6.257340E-04	3.412749E-05
1.990654E+04	6.257340E-04	3.412749E-05
2.036793E+04	5.711409E-04	2.354095E-05
2.036793E+04	5.711409E-04	2.354095E-05
2.084000E+04	5.050869E-04	1.313420E-05
2.084000E+04	5.050869E-04	1.313420E-05
2.132303E+04	4.370032E-04	9.752957E-06
2.132303E+04	4.370032E-04	9.752957E-06
2.181725E+04	3.876933E-04	1.511826E-05
2.181725E+04	3.876933E-04	1.511826E-05
2.232292E+04	3.524487E-04	2.078901E-05
2.232292E+04	3.524487E-04	2.078901E-05
2.284031E+04	3.243676E-04	2.515823E-05
2.284031E+04	3.243676E-04	2.515823E-05
2.336969E+04	3.005746E-04	2.820835E-05
2.336969E+04	3.005746E-04	2.820835E-05
2.391135E+04	2.796696E-04	3.012210E-05
2.391135E+04	2.796696E-04	3.012210E-05
2.446556E+04	2.608136E-04	3.109879E-05
2.446556E+04	2.608136E-04	3.109879E-05
