#wls	flux	fluxerr
3.257346E+03	3.254428E-18	4.414467E-19
3.257346E+03	3.254428E-18	4.414467E-19
3.332843E+03	2.955804E-18	3.949050E-19
3.332843E+03	2.955804E-18	3.949050E-19
3.410091E+03	2.690109E-18	3.536591E-19
3.410091E+03	2.690109E-18	3.536591E-19
3.489128E+03	2.462062E-18	3.181729E-19
3.489128E+03	2.462062E-18	3.181729E-19
3.569998E+03	2.275180E-18	2.886973E-19
3.569998E+03	2.275180E-18	2.886973E-19
3.652742E+03	2.131456E-18	2.652400E-19
3.652742E+03	2.131456E-18	2.652400E-19
3.737404E+03	2.031240E-18	2.475639E-19
3.737404E+03	2.031240E-18	2.475639E-19
3.824029E+03	1.972926E-18	2.351680E-19
3.824029E+03	1.972926E-18	2.351680E-19
3.912660E+03	1.952804E-18	2.272952E-19
3.912660E+03	1.952804E-18	2.272952E-19
4.003346E+03	1.965770E-18	2.230442E-19
4.003346E+03	1.965770E-18	2.230442E-19
4.096134E+03	2.006738E-18	2.215494E-19
4.096134E+03	2.006738E-18	2.215494E-19
4.191073E+03	2.072005E-18	2.221333E-19
4.191073E+03	2.072005E-18	2.221333E-19
4.288212E+03	2.158860E-18	2.242487E-19
4.288212E+03	2.158860E-18	2.242487E-19
4.387603E+03	2.263256E-18	2.272329E-19
4.387603E+03	2.263256E-18	2.272329E-19
4.489297E+03	2.380643E-18	2.304173E-19
4.489297E+03	2.380643E-18	2.304173E-19
4.593348E+03	2.508081E-18	2.333407E-19
4.593348E+03	2.508081E-18	2.333407E-19
4.699811E+03	2.645941E-18	2.358776E-19
4.699811E+03	2.645941E-18	2.358776E-19
4.808742E+03	2.796921E-18	2.380961E-19
4.808742E+03	2.796921E-18	2.380961E-19
4.920197E+03	2.962497E-18	2.399261E-19
4.920197E+03	2.962497E-18	2.399261E-19
5.034235E+03	3.142381E-18	2.411360E-19
5.034235E+03	3.142381E-18	2.411360E-19
5.150917E+03	3.337504E-18	2.415898E-19
5.150917E+03	3.337504E-18	2.415898E-19
5.270303E+03	3.553791E-18	2.415002E-19
5.270303E+03	3.553791E-18	2.415002E-19
5.392456E+03	3.804429E-18	2.414803E-19
5.392456E+03	3.804429E-18	2.414803E-19
5.517440E+03	4.110766E-18	2.424607E-19
5.517440E+03	4.110766E-18	2.424607E-19
5.645322E+03	4.498190E-18	2.453191E-19
5.645322E+03	4.498190E-18	2.453191E-19
5.776168E+03	4.983378E-18	2.501458E-19
5.776168E+03	4.983378E-18	2.501458E-19
5.910045E+03	5.573513E-18	2.565466E-19
5.910045E+03	5.573513E-18	2.565466E-19
6.047026E+03	6.257866E-18	2.637262E-19
6.047026E+03	6.257866E-18	2.637262E-19
6.187181E+03	6.984141E-18	2.701839E-19
6.187181E+03	6.984141E-18	2.701839E-19
6.330586E+03	7.623184E-18	2.732882E-19
6.330586E+03	7.623184E-18	2.732882E-19
6.477314E+03	8.037166E-18	2.717908E-19
6.477314E+03	8.037166E-18	2.717908E-19
6.627443E+03	8.264093E-18	2.684110E-19
6.627443E+03	8.264093E-18	2.684110E-19
6.781051E+03	8.405233E-18	2.650119E-19
6.781051E+03	8.405233E-18	2.650119E-19
6.938220E+03	8.509830E-18	2.608089E-19
6.938220E+03	8.509830E-18	2.608089E-19
7.099032E+03	8.615112E-18	2.549620E-19
7.099032E+03	8.615112E-18	2.549620E-19
7.263570E+03	8.781942E-18	2.482290E-19
7.263570E+03	8.781942E-18	2.482290E-19
7.431922E+03	9.109444E-18	2.436405E-19
7.431922E+03	9.109444E-18	2.436405E-19
7.604177E+03	9.712809E-18	2.463486E-19
7.604177E+03	9.712809E-18	2.463486E-19
7.780424E+03	1.058780E-17	2.613920E-19
7.780424E+03	1.058780E-17	2.613920E-19
7.960755E+03	1.140838E-17	2.863732E-19
7.960755E+03	1.140838E-17	2.863732E-19
8.145267E+03	1.204056E-17	3.144190E-19
8.145267E+03	1.204056E-17	3.144190E-19
8.334055E+03	1.251568E-17	3.387498E-19
8.334055E+03	1.251568E-17	3.387498E-19
8.527218E+03	1.295111E-17	3.563903E-19
8.527218E+03	1.295111E-17	3.563903E-19
8.724859E+03	1.351709E-17	3.692652E-19
8.724859E+03	1.351709E-17	3.692652E-19
8.927081E+03	1.441038E-17	3.837485E-19
8.927081E+03	1.441038E-17	3.837485E-19
9.133990E+03	1.566481E-17	4.046146E-19
9.133990E+03	1.566481E-17	4.046146E-19
9.345693E+03	1.705784E-17	4.322638E-19
9.345693E+03	1.705784E-17	4.322638E-19
9.562305E+03	1.857330E-17	4.686972E-19
9.562305E+03	1.857330E-17	4.686972E-19
9.783936E+03	2.032946E-17	5.241127E-19
9.783936E+03	2.032946E-17	5.241127E-19
1.001070E+04	2.235596E-17	6.193723E-19
1.001070E+04	2.235596E-17	6.193723E-19
1.024273E+04	2.381782E-17	7.424329E-19
1.024273E+04	2.381782E-17	7.424329E-19
1.048014E+04	2.407123E-17	8.552563E-19
1.048014E+04	2.407123E-17	8.552563E-19
1.072304E+04	2.339085E-17	9.297276E-19
1.072304E+04	2.339085E-17	9.297276E-19
1.097157E+04	2.214912E-17	9.542663E-19
1.097157E+04	2.214912E-17	9.542663E-19
1.122587E+04	2.065593E-17	9.317014E-19
1.122587E+04	2.065593E-17	9.317014E-19
1.148606E+04	1.915781E-17	8.748413E-19
1.148606E+04	1.915781E-17	8.748413E-19
1.175228E+04	1.783707E-17	8.018717E-19
1.175228E+04	1.783707E-17	8.018717E-19
1.202467E+04	1.682253E-17	7.346254E-19
1.202467E+04	1.682253E-17	7.346254E-19
1.230336E+04	1.620015E-17	6.995601E-19
1.230336E+04	1.620015E-17	6.995601E-19
1.258853E+04	1.603234E-17	7.250169E-19
1.258853E+04	1.603234E-17	7.250169E-19
1.288030E+04	1.630069E-17	8.097080E-19
1.288030E+04	1.630069E-17	8.097080E-19
1.317884E+04	1.700512E-17	9.333956E-19
1.317884E+04	1.700512E-17	9.333956E-19
1.348429E+04	1.808606E-17	1.075741E-18
1.348429E+04	1.808606E-17	1.075741E-18
1.379683E+04	1.941516E-17	1.213116E-18
1.379683E+04	1.941516E-17	1.213116E-18
1.411660E+04	2.079826E-17	1.315822E-18
1.411660E+04	2.079826E-17	1.315822E-18
1.444379E+04	2.197352E-17	1.349843E-18
1.444379E+04	2.197352E-17	1.349843E-18
1.477857E+04	2.262409E-17	1.285168E-18
1.477857E+04	2.262409E-17	1.285168E-18
1.512110E+04	2.241182E-17	1.110990E-18
1.512110E+04	2.241182E-17	1.110990E-18
1.547157E+04	2.109013E-17	8.595405E-19
1.547157E+04	2.109013E-17	8.595405E-19
1.583016E+04	1.866691E-17	6.311761E-19
1.583016E+04	1.866691E-17	6.311761E-19
1.619707E+04	1.557349E-17	5.570987E-19
1.619707E+04	1.557349E-17	5.570987E-19
1.657248E+04	1.321039E-17	6.158928E-19
1.657248E+04	1.321039E-17	6.158928E-19
1.695659E+04	1.175676E-17	7.051006E-19
1.695659E+04	1.175676E-17	7.051006E-19
1.734960E+04	1.097857E-17	7.944242E-19
1.734960E+04	1.097857E-17	7.944242E-19
1.775172E+04	1.072642E-17	8.821800E-19
1.775172E+04	1.072642E-17	8.821800E-19
