#wls	flux	fluxerr
3.257346E+03	1.242763E-02	1.085237E-03
3.332843E+03	1.249274E-02	1.082587E-03
3.410091E+03	1.265832E-02	1.088580E-03
3.489128E+03	1.293702E-02	1.104153E-03
3.569998E+03	1.336469E-02	1.132193E-03
3.652742E+03	1.399551E-02	1.177054E-03
3.737404E+03	1.487021E-02	1.241829E-03
3.824029E+03	1.599322E-02	1.326529E-03
3.912660E+03	1.729819E-02	1.425330E-03
4.003346E+03	1.863004E-02	1.525254E-03
4.096134E+03	1.978643E-02	1.609771E-03
4.191073E+03	2.061133E-02	1.666462E-03
4.288212E+03	2.105549E-02	1.691751E-03
4.387603E+03	2.115198E-02	1.688700E-03
4.489297E+03	2.095409E-02	1.661896E-03
4.593348E+03	2.050887E-02	1.615335E-03
4.699811E+03	1.987192E-02	1.553613E-03
4.808742E+03	1.909417E-02	1.480883E-03
4.920197E+03	1.823480E-02	1.401866E-03
5.034235E+03	1.736880E-02	1.322382E-03
5.150917E+03	1.657186E-02	1.248126E-03
5.270303E+03	1.590492E-02	1.183460E-03
5.392456E+03	1.540075E-02	1.130429E-03
5.517440E+03	1.499156E-02	1.083618E-03
5.645322E+03	1.455017E-02	1.033642E-03
5.776168E+03	1.400732E-02	9.758100E-04
5.910045E+03	1.334518E-02	9.094142E-04
6.047026E+03	1.256814E-02	8.354729E-04
6.187181E+03	1.168591E-02	7.554746E-04
6.330586E+03	1.075203E-02	6.737375E-04
6.477314E+03	9.870838E-03	5.973467E-04
6.627443E+03	9.085558E-03	5.289657E-04
6.781051E+03	8.381497E-03	4.675983E-04
6.938220E+03	7.751027E-03	4.127327E-04
7.099032E+03	7.193860E-03	3.642858E-04
7.263570E+03	6.700784E-03	3.217410E-04
7.431922E+03	6.252895E-03	2.842423E-04
7.604177E+03	5.832103E-03	2.509900E-04
7.780424E+03	5.422474E-03	2.210201E-04
7.960755E+03	5.014466E-03	1.938021E-04
8.145267E+03	4.614754E-03	1.696635E-04
8.334055E+03	4.235624E-03	1.492909E-04
8.527218E+03	3.884157E-03	1.333048E-04
8.724859E+03	3.566731E-03	1.222903E-04
8.927081E+03	3.306887E-03	1.169987E-04
9.133990E+03	3.111905E-03	1.169356E-04
9.345693E+03	2.971958E-03	1.208107E-04
9.562305E+03	2.875894E-03	1.276463E-04
9.783936E+03	2.804108E-03	1.362301E-04
1.001070E+04	2.726188E-03	1.445825E-04
1.024273E+04	2.613551E-03	1.504954E-04
1.048014E+04	2.466044E-03	1.531521E-04
1.072304E+04	2.305653E-03	1.533393E-04
1.097157E+04	2.149743E-03	1.520391E-04
1.122587E+04	2.005951E-03	1.498918E-04
1.148606E+04	1.875903E-03	1.472416E-04
1.175228E+04	1.758574E-03	1.442685E-04
1.202467E+04	1.652394E-03	1.411040E-04
1.230336E+04	1.556767E-03	1.379481E-04
1.258853E+04	1.472640E-03	1.351018E-04
1.288030E+04	1.399368E-03	1.326206E-04
1.317884E+04	1.333363E-03	1.302200E-04
1.348429E+04	1.270495E-03	1.275282E-04
1.379683E+04	1.207233E-03	1.242036E-04
1.411660E+04	1.140974E-03	1.199825E-04
1.444379E+04	1.070398E-03	1.147339E-04
1.477857E+04	9.957372E-04	1.085042E-04
1.512110E+04	9.187858E-04	1.015307E-04
1.547157E+04	8.425562E-04	9.420958E-05
1.583016E+04	7.705600E-04	8.701274E-05
1.619707E+04	7.062310E-04	8.040966E-05
1.657248E+04	6.512598E-04	7.464025E-05
1.695659E+04	6.042665E-04	6.957537E-05
1.734960E+04	5.632435E-04	6.500789E-05
1.775172E+04	5.261967E-04	6.072879E-05
1.816316E+04	4.913412E-04	5.655438E-05
1.858415E+04	4.572843E-04	5.235255E-05
1.901488E+04	4.232303E-04	4.807051E-05
1.945561E+04	3.891185E-04	4.375186E-05
1.990654E+04	3.556155E-04	3.953360E-05
2.036793E+04	3.239431E-04	3.562127E-05
2.084000E+04	2.955591E-04	3.224820E-05
2.132303E+04	2.718637E-04	2.963988E-05
2.181725E+04	2.535153E-04	2.787760E-05
2.232292E+04	2.393594E-04	2.672197E-05
2.284031E+04	2.281070E-04	2.593711E-05
2.336969E+04	2.186296E-04	2.533648E-05
2.391135E+04	2.100482E-04	2.478405E-05
2.446556E+04	2.017669E-04	2.419202E-05
