#wls	flux	fluxerr
3.257346E+03	9.725857E-03	7.379002E-04
3.257346E+03	9.725857E-03	7.379002E-04
3.332843E+03	9.993121E-03	7.575459E-04
3.332843E+03	9.993121E-03	7.575459E-04
3.410091E+03	1.035688E-02	7.844084E-04
3.410091E+03	1.035688E-02	7.844084E-04
3.489128E+03	1.083136E-02	8.195307E-04
3.489128E+03	1.083136E-02	8.195307E-04
3.569998E+03	1.144600E-02	8.650976E-04
3.569998E+03	1.144600E-02	8.650976E-04
3.652742E+03	1.224122E-02	9.241036E-04
3.652742E+03	1.224122E-02	9.241036E-04
3.679593E+03	1.255034E-02	9.470583E-04
3.679890E+03	1.255136E-02	9.471304E-04
3.680088E+03	1.256360E-02	9.480514E-04
3.680286E+03	1.254607E-02	9.467254E-04
3.680484E+03	1.254559E-02	9.466863E-04
3.680781E+03	1.253216E-02	9.456692E-04
3.680979E+03	1.252793E-02	9.453472E-04
3.681276E+03	1.251655E-02	9.444837E-04
3.681474E+03	1.251319E-02	9.442273E-04
3.681771E+03	1.250325E-02	9.434735E-04
3.681969E+03	1.249759E-02	9.430437E-04
3.682266E+03	1.247905E-02	9.416402E-04
3.682465E+03	1.247628E-02	9.414279E-04
3.682762E+03	1.246379E-02	9.404813E-04
3.682960E+03	1.246475E-02	9.405509E-04
3.683257E+03	1.246575E-02	9.406226E-04
3.683455E+03	1.244778E-02	9.392637E-04
3.683752E+03	1.244019E-02	9.386867E-04
3.683950E+03	1.243800E-02	9.385184E-04
3.684247E+03	1.243385E-02	9.382011E-04
3.684445E+03	1.244053E-02	9.387026E-04
3.684742E+03	1.243953E-02	9.386230E-04
3.684940E+03	1.245195E-02	9.395573E-04
3.685237E+03	1.247362E-02	9.411881E-04
3.685435E+03	1.245707E-02	9.399364E-04
3.685732E+03	1.245206E-02	9.395537E-04
3.685930E+03	1.244155E-02	9.387582E-04
3.686228E+03	1.243339E-02	9.381383E-04
3.686426E+03	1.243063E-02	9.379268E-04
3.686723E+03	1.242076E-02	9.371781E-04
3.686921E+03	1.243889E-02	9.385431E-04
