#wls	flux	fluxerr
3.257346E+03	3.598536E-04	3.116970E-05
3.257346E+03	3.598536E-04	3.116970E-05
3.332843E+03	3.387304E-04	2.836967E-05
3.332843E+03	3.387304E-04	2.836967E-05
3.410091E+03	3.212095E-04	2.594463E-05
3.410091E+03	3.212095E-04	2.594463E-05
3.489128E+03	3.079108E-04	2.391673E-05
3.489128E+03	3.079108E-04	2.391673E-05
3.569998E+03	2.995618E-04	2.230606E-05
3.569998E+03	2.995618E-04	2.230606E-05
3.652742E+03	2.971102E-04	2.113646E-05
3.652742E+03	2.971102E-04	2.113646E-05
3.737404E+03	3.018323E-04	2.043846E-05
3.737404E+03	3.018323E-04	2.043846E-05
3.824029E+03	3.152491E-04	2.023793E-05
3.824029E+03	3.152491E-04	2.023793E-05
3.912660E+03	3.381765E-04	2.049422E-05
3.912660E+03	3.381765E-04	2.049422E-05
4.003346E+03	3.705842E-04	2.110616E-05
4.003346E+03	3.705842E-04	2.110616E-05
4.096134E+03	4.125374E-04	2.198119E-05
4.096134E+03	4.125374E-04	2.198119E-05
4.191073E+03	4.646042E-04	2.305944E-05
4.191073E+03	4.646042E-04	2.305944E-05
4.288212E+03	5.278801E-04	2.431411E-05
4.288212E+03	5.278801E-04	2.431411E-05
4.387603E+03	6.036290E-04	2.573916E-05
4.387603E+03	6.036290E-04	2.573916E-05
4.489297E+03	6.925958E-04	2.733690E-05
4.489297E+03	6.925958E-04	2.733690E-05
4.593348E+03	7.900466E-04	2.895299E-05
4.593348E+03	7.900466E-04	2.895299E-05
4.659154E+03	7.501439E-04	2.633554E-05
4.661035E+03	7.444295E-04	2.610435E-05
4.663016E+03	7.371657E-04	2.581790E-05
4.664996E+03	7.354174E-04	2.572515E-05
4.666977E+03	7.314588E-04	2.555546E-05
4.668858E+03	7.278272E-04	2.539920E-05
4.670839E+03	7.283307E-04	2.538595E-05
4.672819E+03	7.257151E-04	2.526421E-05
4.674701E+03	7.183009E-04	2.497748E-05
4.676681E+03	7.140820E-04	2.480095E-05
4.678662E+03	7.123883E-04	2.471251E-05
4.680642E+03	7.065655E-04	2.448127E-05
4.682524E+03	6.996348E-04	2.421375E-05
4.684504E+03	6.956823E-04	2.404842E-05
4.686485E+03	6.894574E-04	2.380508E-05
4.688366E+03	6.790278E-04	2.341875E-05
4.690347E+03	6.763287E-04	2.329829E-05
4.692327E+03	6.736196E-04	2.317783E-05
4.694209E+03	6.690765E-04	2.299602E-05
4.696189E+03	6.689234E-04	2.296406E-05
4.698170E+03	6.700136E-04	2.297487E-05
4.700151E+03	6.698344E-04	2.294224E-05
4.702032E+03	6.670769E-04	2.282286E-05
4.704013E+03	6.680718E-04	2.283073E-05
4.705993E+03	6.724296E-04	2.295344E-05
4.707875E+03	6.720407E-04	2.291539E-05
4.709855E+03	6.701350E-04	2.282454E-05
4.711836E+03	6.700785E-04	2.279687E-05
4.713816E+03	6.709888E-04	2.280219E-05
4.715698E+03	6.721413E-04	2.281706E-05
4.717678E+03	6.746726E-04	2.287745E-05
4.719659E+03	6.788627E-04	2.299396E-05
4.721540E+03	6.805293E-04	2.302618E-05
4.723521E+03	6.817235E-04	2.304116E-05
4.725501E+03	6.834489E-04	2.307412E-05
4.727482E+03	6.848728E-04	2.309691E-05
4.729363E+03	6.854733E-04	2.309324E-05
4.731344E+03	6.878072E-04	2.314674E-05
4.733324E+03	6.936001E-04	2.331647E-05
