#wls	flux	fluxerr
3.257346E+03	5.104691E-05	6.954757E-06
3.332843E+03	4.561331E-05	6.161091E-06
3.410091E+03	4.090565E-05	5.475061E-06
3.489128E+03	3.692832E-05	4.895261E-06
3.569998E+03	3.367232E-05	4.418292E-06
3.652742E+03	3.111410E-05	4.038686E-06
3.737404E+03	2.921421E-05	3.748829E-06
3.824029E+03	2.791421E-05	3.538682E-06
3.912660E+03	2.713742E-05	3.396039E-06
4.003346E+03	2.679815E-05	3.307845E-06
4.096134E+03	2.681676E-05	3.262151E-06
4.191073E+03	2.713280E-05	3.249693E-06
4.288212E+03	2.769851E-05	3.262981E-06
4.387603E+03	2.845892E-05	3.293918E-06
4.489297E+03	2.935894E-05	3.334729E-06
4.593348E+03	3.036444E-05	3.380338E-06
4.699811E+03	3.147464E-05	3.429543E-06
4.808742E+03	3.270813E-05	3.483147E-06
4.920197E+03	3.407367E-05	3.540678E-06
5.034235E+03	3.556403E-05	3.599889E-06
5.150917E+03	3.717825E-05	3.659167E-06
5.270303E+03	3.895668E-05	3.720824E-06
5.392456E+03	4.100023E-05	3.792270E-06
5.517440E+03	4.347061E-05	3.885080E-06
5.645322E+03	4.656137E-05	4.011358E-06
5.776168E+03	5.049015E-05	4.181837E-06
5.910045E+03	5.547509E-05	4.403588E-06
6.047026E+03	6.166481E-05	4.674633E-06
6.187181E+03	6.898041E-05	4.973630E-06
6.330586E+03	7.687952E-05	5.248119E-06
6.477314E+03	8.494217E-05	5.461883E-06
6.627443E+03	9.392120E-05	5.656974E-06
6.781051E+03	1.047791E-04	5.876045E-06
6.938220E+03	1.179385E-04	6.116485E-06
7.099032E+03	1.334416E-04	6.350974E-06
7.263570E+03	1.512381E-04	6.551980E-06
7.431922E+03	1.712241E-04	6.701080E-06
7.604177E+03	1.925632E-04	6.775605E-06
7.780424E+03	2.121047E-04	6.723591E-06
7.960755E+03	2.256329E-04	6.520442E-06
8.145267E+03	2.336939E-04	6.229386E-06
8.334055E+03	2.361462E-04	5.824514E-06
8.527218E+03	2.332173E-04	5.301757E-06
8.724859E+03	2.256811E-04	4.735869E-06
8.927081E+03	2.141893E-04	4.286081E-06
9.133990E+03	2.025784E-04	4.151940E-06
9.345693E+03	2.004768E-04	4.458479E-06
9.562305E+03	2.081879E-04	5.119159E-06
9.783936E+03	2.254803E-04	6.142849E-06
1.001070E+04	2.518223E-04	7.628270E-06
1.024273E+04	2.753742E-04	9.274173E-06
1.048014E+04	2.851678E-04	1.057416E-05
1.072304E+04	2.823716E-04	1.130192E-05
1.097157E+04	2.707538E-04	1.141467E-05
1.122587E+04	2.540726E-04	1.099817E-05
1.148606E+04	2.355369E-04	1.022453E-05
1.175228E+04	2.176123E-04	9.312102E-06
1.202467E+04	2.020181E-04	8.503278E-06
1.230336E+04	1.899367E-04	8.058108E-06
1.258853E+04	1.838522E-04	8.241021E-06
1.288030E+04	1.842425E-04	9.010013E-06
1.317884E+04	1.903863E-04	1.018624E-05
1.348429E+04	2.015554E-04	1.162021E-05
1.379683E+04	2.165207E-04	1.313549E-05
1.411660E+04	2.334803E-04	1.449834E-05
1.444379E+04	2.499514E-04	1.542113E-05
1.477857E+04	2.627314E-04	1.561364E-05
1.512110E+04	2.680725E-04	1.489331E-05
1.547157E+04	2.626503E-04	1.336731E-05
1.583016E+04	2.451444E-04	1.158274E-05
1.619707E+04	2.176889E-04	1.036049E-05
1.657248E+04	1.950869E-04	1.032805E-05
1.695659E+04	1.824048E-04	1.108415E-05
1.734960E+04	1.777766E-04	1.220445E-05
1.775172E+04	1.800652E-04	1.351692E-05
1.816316E+04	1.884133E-04	1.490008E-05
1.858415E+04	2.018626E-04	1.616483E-05
1.901488E+04	2.192065E-04	1.701247E-05
1.945561E+04	2.388194E-04	1.703673E-05
1.990654E+04	2.582924E-04	1.576871E-05
2.036793E+04	2.741569E-04	1.284328E-05
2.084000E+04	2.815672E-04	8.514349E-06
2.132303E+04	2.739480E-04	6.037515E-06
2.181725E+04	2.480008E-04	9.224610E-06
2.232292E+04	2.140539E-04	1.246438E-05
2.284031E+04	1.798339E-04	1.408070E-05
2.336969E+04	1.487493E-04	1.431092E-05
2.391135E+04	1.219710E-04	1.362737E-05
2.446556E+04	9.961872E-05	1.244231E-05
