#wls	flux	fluxerr
3.257346E+03	1.122044E-02	2.888595E-04
3.257346E+03	1.122044E-02	2.888595E-04
3.332843E+03	1.154074E-02	2.967022E-04
3.332843E+03	1.154074E-02	2.967022E-04
3.410091E+03	1.197207E-02	3.073447E-04
3.410091E+03	1.197207E-02	3.073447E-04
3.489128E+03	1.253109E-02	3.211959E-04
3.489128E+03	1.253109E-02	3.211959E-04
3.569998E+03	1.324887E-02	3.390287E-04
3.569998E+03	1.324887E-02	3.390287E-04
3.652742E+03	1.416561E-02	3.618405E-04
3.652742E+03	1.416561E-02	3.618405E-04
3.689297E+03	3.974111E-02	1.014303E-03
3.691278E+03	3.879973E-02	9.902317E-04
3.693159E+03	3.782571E-02	9.653321E-04
3.695140E+03	3.690505E-02	9.417941E-04
3.697120E+03	3.622385E-02	9.243689E-04
3.699101E+03	3.565770E-02	9.098808E-04
3.700982E+03	3.478977E-02	8.876959E-04
3.702963E+03	3.388132E-02	8.644772E-04
3.704943E+03	3.299127E-02	8.417296E-04
3.706825E+03	3.213419E-02	8.198271E-04
3.708805E+03	3.142650E-02	8.017361E-04
3.710786E+03	3.068138E-02	7.826915E-04
3.712766E+03	2.985271E-02	7.615175E-04
3.714648E+03	2.905909E-02	7.412409E-04
3.716628E+03	2.828139E-02	7.213706E-04
3.718609E+03	2.763119E-02	7.047541E-04
3.720490E+03	2.696982E-02	6.878557E-04
3.722471E+03	2.643423E-02	6.741650E-04
3.724451E+03	2.591228E-02	6.608233E-04
3.726333E+03	2.538306E-02	6.472988E-04
3.728313E+03	2.487154E-02	6.342255E-04
3.730294E+03	2.435631E-02	6.210588E-04
3.732274E+03	2.390894E-02	6.096235E-04
3.734156E+03	2.352550E-02	5.998206E-04
3.736136E+03	2.317276E-02	5.907997E-04
3.738117E+03	2.292591E-02	5.844794E-04
3.739998E+03	2.274808E-02	5.799205E-04
3.741979E+03	2.254517E-02	5.747213E-04
3.743959E+03	2.245290E-02	5.723426E-04
3.745940E+03	2.239604E-02	5.708671E-04
3.747821E+03	2.235269E-02	5.697370E-04
3.749802E+03	2.238405E-02	5.705101E-04
3.751782E+03	2.247023E-02	5.726799E-04
3.753664E+03	2.257023E-02	5.752033E-04
3.755644E+03	2.267226E-02	5.777767E-04
3.757625E+03	2.283567E-02	5.819141E-04
3.759605E+03	2.294207E-02	5.845984E-04
3.761487E+03	2.311485E-02	5.889750E-04
3.763467E+03	2.330075E-02	5.936841E-04
3.765448E+03	2.359712E-02	6.012073E-04
3.767329E+03	2.384885E-02	6.075939E-04
3.769310E+03	2.411661E-02	6.143869E-04
3.771291E+03	2.438850E-02	6.212844E-04
3.773172E+03	2.467139E-02	6.284631E-04
3.775152E+03	2.499841E-02	6.367636E-04
3.777133E+03	2.524419E-02	6.429940E-04
3.779114E+03	2.540155E-02	6.469717E-04
3.780995E+03	2.552753E-02	6.501513E-04
3.782976E+03	2.575123E-02	6.558176E-04
3.784956E+03	2.589982E-02	6.595707E-04
3.786838E+03	2.601508E-02	6.624763E-04
3.788818E+03	2.610804E-02	6.648121E-04
3.790799E+03	2.617719E-02	6.665416E-04
3.792779E+03	2.610911E-02	6.647767E-04
3.794661E+03	2.607659E-02	6.639186E-04
3.796641E+03	2.583447E-02	6.577230E-04
3.798622E+03	2.613958E-02	6.654593E-04
3.800503E+03	2.658626E-02	6.768002E-04
3.802484E+03	2.642993E-02	6.727886E-04
3.804464E+03	2.637759E-02	6.714242E-04
3.806445E+03	2.640427E-02	6.720712E-04
3.808326E+03	2.640054E-02	6.719458E-04
3.810307E+03	2.636767E-02	6.710771E-04
3.812287E+03	2.608378E-02	6.638203E-04
3.814169E+03	2.575961E-02	6.555405E-04
3.816149E+03	2.580646E-02	6.567011E-04
3.818130E+03	2.580283E-02	6.565772E-04
3.820011E+03	2.585151E-02	6.577860E-04
3.821992E+03	2.564927E-02	6.526086E-04
3.823972E+03	2.561851E-02	6.517947E-04
3.825953E+03	2.587992E-02	6.584138E-04
3.827834E+03	2.595982E-02	6.604161E-04
3.829815E+03	2.578165E-02	6.558519E-04
3.831795E+03	2.564718E-02	6.523997E-04
3.833677E+03	2.540494E-02	6.462079E-04
3.835657E+03	2.511409E-02	6.387788E-04
3.837638E+03	2.497505E-02	6.352113E-04
3.839618E+03	2.473292E-02	6.290225E-04
3.841500E+03	2.465381E-02	6.269817E-04
3.843480E+03	2.463901E-02	6.265748E-04
3.845461E+03	2.460833E-02	6.257641E-04
3.847342E+03	2.456919E-02	6.247398E-04
3.849323E+03	2.458047E-02	6.249960E-04
3.851303E+03	2.455268E-02	6.242591E-04
3.853284E+03	2.456848E-02	6.246302E-04
3.855165E+03	2.444988E-02	6.215859E-04
3.857146E+03	2.440822E-02	6.204962E-04
3.859126E+03	2.456321E-02	6.244057E-04
3.861008E+03	2.486644E-02	6.320845E-04
3.862988E+03	2.506819E-02	6.371814E-04
3.864969E+03	2.519660E-02	6.404137E-04
3.866850E+03	2.536066E-02	6.445534E-04
3.868831E+03	2.554875E-02	6.493019E-04
3.870811E+03	2.575721E-02	6.545673E-04
3.872792E+03	2.592137E-02	6.587065E-04
3.874673E+03	2.598345E-02	6.602529E-04
3.876654E+03	2.606610E-02	6.623202E-04
3.878634E+03	2.611711E-02	6.635834E-04
3.880516E+03	2.603837E-02	6.615517E-04
3.882496E+03	2.596170E-02	6.595708E-04
3.884477E+03	2.608568E-02	6.626876E-04
3.886457E+03	2.613493E-02	6.639057E-04
3.888339E+03	2.607835E-02	6.624369E-04
3.890319E+03	2.607890E-02	6.624178E-04
3.892300E+03	2.622519E-02	6.661003E-04
3.894181E+03	2.643123E-02	6.713016E-04
3.896162E+03	2.666346E-02	6.771660E-04
3.898142E+03	2.662231E-02	6.760868E-04
3.900123E+03	2.637332E-02	6.697300E-04
3.902004E+03	2.629200E-02	6.676330E-04
3.903985E+03	2.625505E-02	6.666614E-04
3.905965E+03	2.620246E-02	6.652924E-04
3.907847E+03	2.616079E-02	6.642025E-04
3.909827E+03	2.598245E-02	6.596413E-04
3.911808E+03	2.584577E-02	6.561380E-04
3.913689E+03	2.580882E-02	6.551685E-04
3.915670E+03	2.575001E-02	6.536423E-04
3.917650E+03	2.570613E-02	6.524954E-04
3.919631E+03	2.561804E-02	6.502266E-04
3.921512E+03	2.558555E-02	6.493704E-04
3.923493E+03	2.545564E-02	6.460404E-04
3.925473E+03	2.532581E-02	6.427127E-04
3.927355E+03	2.522447E-02	6.401099E-04
3.929335E+03	2.514788E-02	6.381338E-04
3.931316E+03	2.513741E-02	6.378356E-04
3.933296E+03	2.513565E-02	6.377580E-04
3.935178E+03	2.514252E-02	6.379013E-04
3.937158E+03	2.519638E-02	6.392351E-04
3.939139E+03	2.521432E-02	6.396574E-04
3.941020E+03	2.521310E-02	6.395953E-04
3.943001E+03	2.528398E-02	6.413604E-04
3.944981E+03	2.528045E-02	6.412378E-04
3.946962E+03	2.532294E-02	6.422825E-04
3.948843E+03	2.538768E-02	6.438928E-04
3.950824E+03	2.543913E-02	6.451644E-04
3.952804E+03	2.545023E-02	6.454125E-04
3.954686E+03	2.548886E-02	6.463605E-04
3.956666E+03	2.551584E-02	6.470111E-04
3.958647E+03	2.548996E-02	6.463213E-04
3.960528E+03	2.555631E-02	6.479715E-04
3.962509E+03	2.561696E-02	6.494757E-04
3.964489E+03	2.570141E-02	6.515827E-04
3.966470E+03	2.570848E-02	6.517280E-04
3.968351E+03	2.575759E-02	6.529408E-04
3.970332E+03	2.573384E-02	6.523045E-04
3.972312E+03	2.571247E-02	6.517289E-04
3.974194E+03	2.567751E-02	6.508102E-04
3.976174E+03	2.554772E-02	6.474868E-04
3.978155E+03	2.545081E-02	6.449969E-04
3.980135E+03	2.542735E-02	6.443685E-04
3.982017E+03	2.543431E-02	6.445126E-04
3.983997E+03	2.533958E-02	6.420783E-04
3.985978E+03	2.529350E-02	6.408769E-04
3.987859E+03	2.526782E-02	6.401942E-04
3.989840E+03	2.523522E-02	6.393346E-04
3.991820E+03	2.519340E-02	6.382412E-04
3.993801E+03	2.518756E-02	6.380597E-04
3.995682E+03	2.525894E-02	6.398356E-04
3.997663E+03	2.527693E-02	6.402575E-04
3.999644E+03	2.527748E-02	6.402374E-04
4.001525E+03	2.521407E-02	6.385991E-04
4.003506E+03	2.523204E-02	6.390201E-04
4.005486E+03	2.524363E-02	6.392798E-04
4.007368E+03	2.529537E-02	6.405574E-04
4.009348E+03	2.528485E-02	6.402570E-04
4.011329E+03	2.530754E-02	6.407972E-04
4.013309E+03	2.537227E-02	6.424019E-04
4.015191E+03	2.540612E-02	6.432261E-04
4.017171E+03	2.544179E-02	6.440949E-04
4.019152E+03	2.547812E-02	6.449798E-04
4.021033E+03	2.546926E-02	6.447227E-04
4.023014E+03	2.544989E-02	6.441977E-04
4.024994E+03	2.548153E-02	6.449639E-04
4.026975E+03	2.551319E-02	6.457305E-04
4.028856E+03	2.552900E-02	6.460975E-04
4.030837E+03	2.554309E-02	6.464192E-04
4.032817E+03	2.559015E-02	6.475753E-04
4.034699E+03	2.564142E-02	6.488392E-04
4.036679E+03	2.562899E-02	6.484897E-04
4.038660E+03	2.563606E-02	6.486333E-04
4.040640E+03	2.565669E-02	6.491201E-04
4.042522E+03	2.562593E-02	6.483085E-04
4.044502E+03	2.561116E-02	6.478996E-04
4.046483E+03	2.561821E-02	6.480427E-04
4.048364E+03	2.557691E-02	6.469643E-04
4.050345E+03	2.554626E-02	6.461538E-04
4.052325E+03	2.546754E-02	6.441274E-04
4.054207E+03	2.537501E-02	6.417539E-04
4.056187E+03	2.531313E-02	6.401538E-04
4.058168E+03	2.532476E-02	6.404128E-04
4.060148E+03	2.531425E-02	6.401119E-04
4.062030E+03	2.525073E-02	6.384725E-04
4.064010E+03	2.526467E-02	6.387899E-04
4.065991E+03	2.529200E-02	6.394456E-04
4.067872E+03	2.529661E-02	6.395287E-04
4.069853E+03	2.532632E-02	6.402444E-04
4.071833E+03	2.530240E-02	6.396045E-04
4.073814E+03	2.527618E-02	6.389063E-04
4.075695E+03	2.529242E-02	6.392833E-04
4.077676E+03	2.526213E-02	6.384824E-04
4.079656E+03	2.523596E-02	6.377855E-04
4.081538E+03	2.526730E-02	6.385440E-04
4.083518E+03	2.528591E-02	6.389786E-04
4.085499E+03	2.528181E-02	6.388397E-04
4.087479E+03	2.523817E-02	6.377014E-04
4.089361E+03	2.518356E-02	6.362878E-04
4.091341E+03	2.523055E-02	6.374396E-04
4.093322E+03	2.514875E-02	6.353374E-04
4.095203E+03	2.506950E-02	6.333016E-04
4.097184E+03	2.500145E-02	6.315473E-04
4.099164E+03	2.492671E-02	6.296239E-04
