#wls	flux	fluxerr
3.257346E+03	3.678807E-03	2.550420E-04
3.257346E+03	3.678807E-03	2.550420E-04
3.332843E+03	3.670617E-03	2.439370E-04
3.332843E+03	3.670617E-03	2.439370E-04
3.410091E+03	3.688109E-03	2.342906E-04
3.410091E+03	3.688109E-03	2.342906E-04
3.489128E+03	3.746860E-03	2.265919E-04
3.489128E+03	3.746860E-03	2.265919E-04
3.569998E+03	3.854201E-03	2.210825E-04
3.569998E+03	3.854201E-03	2.210825E-04
3.652742E+03	4.034551E-03	2.184794E-04
3.652742E+03	4.034551E-03	2.184794E-04
3.737404E+03	4.307727E-03	2.191666E-04
3.737404E+03	4.307727E-03	2.191666E-04
3.824029E+03	4.691003E-03	2.230353E-04
3.824029E+03	4.691003E-03	2.230353E-04
3.912660E+03	5.202077E-03	2.296492E-04
3.912660E+03	5.202077E-03	2.296492E-04
4.003346E+03	5.780199E-03	2.356169E-04
4.003346E+03	5.780199E-03	2.356169E-04
4.096134E+03	6.429629E-03	2.398912E-04
4.096134E+03	6.429629E-03	2.398912E-04
4.191073E+03	7.017907E-03	2.388038E-04
4.191073E+03	7.017907E-03	2.388038E-04
4.288212E+03	7.594453E-03	2.329616E-04
4.288212E+03	7.594453E-03	2.329616E-04
4.387603E+03	7.956008E-03	2.212081E-04
4.387603E+03	7.956008E-03	2.212081E-04
4.489297E+03	8.226455E-03	2.045695E-04
4.489297E+03	8.226455E-03	2.045695E-04
4.593348E+03	8.112463E-03	1.860181E-04
4.593348E+03	8.112463E-03	1.860181E-04
4.699811E+03	7.860503E-03	1.646349E-04
4.699811E+03	7.860503E-03	1.646349E-04
4.808742E+03	7.359518E-03	1.481691E-04
4.808742E+03	7.359518E-03	1.481691E-04
4.920197E+03	6.812162E-03	1.314776E-04
4.920197E+03	6.812162E-03	1.314776E-04
5.034235E+03	6.326332E-03	1.195525E-04
5.034235E+03	6.326332E-03	1.195525E-04
5.150917E+03	5.856887E-03	1.082636E-04
5.150917E+03	5.856887E-03	1.082636E-04
5.270303E+03	5.580256E-03	9.902385E-05
5.270303E+03	5.580256E-03	9.902385E-05
5.392456E+03	5.333986E-03	9.061969E-05
5.392456E+03	5.333986E-03	9.061969E-05
5.414932E+03	5.560685E-03	9.341714E-05
5.415130E+03	5.572180E-03	9.360094E-05
5.415328E+03	5.583312E-03	9.377862E-05
5.415526E+03	5.593448E-03	9.393933E-05
5.415724E+03	5.605023E-03	9.412416E-05
5.415922E+03	5.618690E-03	9.434408E-05
5.416120E+03	5.630187E-03	9.452753E-05
5.416318E+03	5.643527E-03	9.474187E-05
5.416516E+03	5.657422E-03	9.496546E-05
5.416715E+03	5.668346E-03	9.513915E-05
