#wls	flux	fluxerr
3.257346E+03	4.438126E-04	2.747828E-05
3.332843E+03	4.097739E-04	2.505635E-05
3.410091E+03	3.800330E-04	2.293526E-05
3.489128E+03	3.551448E-04	2.114014E-05
3.569998E+03	3.356411E-04	1.969225E-05
3.652742E+03	3.220975E-04	1.861270E-05
3.737404E+03	3.151488E-04	1.792300E-05
3.824029E+03	3.152752E-04	1.763262E-05
3.912660E+03	3.220584E-04	1.769874E-05
4.003346E+03	3.341945E-04	1.803134E-05
4.096134E+03	3.502798E-04	1.853959E-05
4.191073E+03	3.691917E-04	1.915263E-05
4.288212E+03	3.900647E-04	1.981728E-05
4.387603E+03	4.117253E-04	2.046910E-05
4.489297E+03	4.327339E-04	2.103638E-05
4.593348E+03	4.515851E-04	2.145153E-05
4.699811E+03	4.682355E-04	2.172241E-05
4.808742E+03	4.845006E-04	2.194160E-05
4.920197E+03	5.014262E-04	2.215973E-05
5.034235E+03	5.175804E-04	2.231349E-05
5.150917E+03	5.321778E-04	2.237095E-05
5.270303E+03	5.459343E-04	2.236481E-05
5.392456E+03	5.604329E-04	2.235943E-05
5.517440E+03	5.776329E-04	2.242749E-05
5.645322E+03	5.994026E-04	2.263084E-05
5.776168E+03	6.264843E-04	2.298367E-05
5.910045E+03	6.593870E-04	2.349128E-05
6.047026E+03	6.981123E-04	2.414331E-05
6.187181E+03	7.425241E-04	2.493070E-05
6.330586E+03	7.907220E-04	2.579438E-05
6.477314E+03	8.359838E-04	2.652553E-05
6.627443E+03	8.795853E-04	2.717419E-05
6.781051E+03	9.241283E-04	2.781746E-05
6.938220E+03	9.649780E-04	2.831396E-05
7.099032E+03	9.960761E-04	2.850295E-05
7.263570E+03	1.016205E-03	2.838794E-05
7.431922E+03	1.032022E-03	2.820561E-05
7.604177E+03	1.062036E-03	2.851193E-05
7.780424E+03	1.103606E-03	2.927445E-05
7.960755E+03	1.111830E-03	2.929492E-05
8.145267E+03	1.081140E-03	2.837531E-05
8.334055E+03	1.026821E-03	2.685786E-05
8.527218E+03	9.684345E-04	2.521771E-05
8.724859E+03	9.254258E-04	2.395651E-05
8.927081E+03	9.186515E-04	2.363675E-05
9.133990E+03	9.611947E-04	2.464564E-05
9.345693E+03	1.046994E-03	2.690386E-05
9.562305E+03	1.168046E-03	3.025760E-05
9.783936E+03	1.314230E-03	3.452512E-05
1.001070E+04	1.460786E-03	3.918689E-05
1.024273E+04	1.547876E-03	4.269156E-05
1.048014E+04	1.551933E-03	4.416516E-05
1.072304E+04	1.503060E-03	4.404147E-05
1.097157E+04	1.423936E-03	4.269302E-05
1.122587E+04	1.329183E-03	4.044549E-05
1.148606E+04	1.231238E-03	3.772278E-05
1.175228E+04	1.139659E-03	3.498339E-05
1.202467E+04	1.059474E-03	3.262705E-05
1.230336E+04	9.919746E-04	3.098142E-05
1.258853E+04	9.381353E-04	3.027383E-05
1.288030E+04	9.005176E-04	3.041437E-05
1.317884E+04	8.809117E-04	3.119202E-05
1.348429E+04	8.757306E-04	3.228688E-05
1.379683E+04	8.788169E-04	3.331958E-05
1.411660E+04	8.837532E-04	3.391930E-05
1.444379E+04	8.841936E-04	3.376336E-05
1.477857E+04	8.744429E-04	3.265498E-05
1.512110E+04	8.493060E-04	3.058594E-05
1.547157E+04	8.058365E-04	2.785168E-05
1.583016E+04	7.501418E-04	2.524681E-05
1.619707E+04	6.932115E-04	2.369914E-05
1.657248E+04	6.466581E-04	2.348421E-05
1.695659E+04	6.134665E-04	2.409314E-05
1.734960E+04	5.925709E-04	2.506454E-05
1.775172E+04	5.828935E-04	2.613030E-05
1.816316E+04	5.821401E-04	2.706098E-05
1.858415E+04	5.865085E-04	2.757730E-05
1.901488E+04	5.916982E-04	2.738843E-05
1.945561E+04	5.932353E-04	2.625953E-05
1.990654E+04	5.865557E-04	2.411707E-05
2.036793E+04	5.676984E-04	2.122676E-05
2.084000E+04	5.346486E-04	1.839318E-05
2.132303E+04	4.892355E-04	1.686693E-05
2.181725E+04	4.354149E-04	1.682110E-05
2.232292E+04	3.779533E-04	1.701447E-05
2.284031E+04	3.222046E-04	1.675393E-05
2.336969E+04	2.717025E-04	1.595284E-05
2.391135E+04	2.278091E-04	1.475790E-05
2.446556E+04	1.906180E-04	1.335431E-05
