#wls	flux	fluxerr
3.257346E+03	3.052232E-16	2.141431E-17
3.332843E+03	3.070511E-16	2.118526E-17
3.410091E+03	3.106358E-16	2.106241E-17
3.489128E+03	3.165729E-16	2.107942E-17
3.569998E+03	3.260154E-16	2.130331E-17
3.652742E+03	3.405921E-16	2.182555E-17
3.737404E+03	3.618442E-16	2.272296E-17
3.824029E+03	3.907107E-16	2.402678E-17
3.912660E+03	4.264735E-16	2.566289E-17
4.003346E+03	4.662307E-16	2.743126E-17
4.096134E+03	5.058128E-16	2.907398E-17
4.191073E+03	5.413349E-16	3.037198E-17
4.288212E+03	5.704572E-16	3.121294E-17
4.387603E+03	5.922140E-16	3.157230E-17
4.489297E+03	6.058595E-16	3.144417E-17
4.593348E+03	6.104195E-16	3.081743E-17
4.699811E+03	6.058717E-16	2.973519E-17
4.808742E+03	5.933224E-16	2.829488E-17
4.920197E+03	5.753191E-16	2.665190E-17
5.034235E+03	5.551636E-16	2.498197E-17
5.150917E+03	5.358741E-16	2.343050E-17
5.270303E+03	5.195939E-16	2.209022E-17
5.392456E+03	5.073769E-16	2.100208E-17
5.517440E+03	4.977729E-16	2.010697E-17
5.645322E+03	4.876819E-16	1.929302E-17
5.776168E+03	4.751448E-16	1.850809E-17
5.910045E+03	4.595010E-16	1.775575E-17
6.047026E+03	4.402015E-16	1.703978E-17
6.187181E+03	4.160927E-16	1.632148E-17
6.330586E+03	3.883087E-16	1.560249E-17
6.477314E+03	3.613569E-16	1.500024E-17
6.627443E+03	3.374128E-16	1.455748E-17
6.781051E+03	3.160780E-16	1.422659E-17
6.938220E+03	2.967222E-16	1.395836E-17
7.099032E+03	2.791976E-16	1.373253E-17
7.263570E+03	2.635482E-16	1.354586E-17
7.431922E+03	2.496931E-16	1.339543E-17
7.604177E+03	2.373064E-16	1.326865E-17
7.780424E+03	2.255484E-16	1.312218E-17
7.960755E+03	2.135715E-16	1.290504E-17
8.145267E+03	2.015964E-16	1.262716E-17
8.334055E+03	1.902869E-16	1.233147E-17
8.527218E+03	1.801586E-16	1.205857E-17
8.724859E+03	1.715956E-16	1.184544E-17
8.927081E+03	1.649853E-16	1.173185E-17
9.133990E+03	1.602735E-16	1.172713E-17
9.345693E+03	1.571653E-16	1.182086E-17
9.562305E+03	1.553814E-16	1.200088E-17
9.783936E+03	1.540124E-16	1.220261E-17
1.001070E+04	1.513666E-16	1.228974E-17
1.024273E+04	1.457998E-16	1.211747E-17
1.048014E+04	1.375113E-16	1.168495E-17
1.072304E+04	1.281448E-16	1.111876E-17
1.097157E+04	1.189537E-16	1.052472E-17
1.122587E+04	1.104935E-16	9.955663E-18
1.148606E+04	1.029257E-16	9.432727E-18
1.175228E+04	9.622270E-17	8.960875E-18
1.202467E+04	9.026234E-17	8.536167E-18
1.230336E+04	8.488018E-17	8.149952E-18
1.258853E+04	8.000863E-17	7.800557E-18
1.288030E+04	7.575318E-17	7.499156E-18
1.317884E+04	7.207986E-17	7.242368E-18
1.348429E+04	6.879452E-17	7.010892E-18
1.379683E+04	6.566936E-17	6.781472E-18
1.411660E+04	6.249526E-17	6.532179E-18
1.444379E+04	5.912759E-17	6.247543E-18
1.477857E+04	5.551565E-17	5.922185E-18
1.512110E+04	5.171507E-17	5.562676E-18
1.547157E+04	4.788012E-17	5.187058E-18
1.583016E+04	4.420572E-17	4.818607E-18
1.619707E+04	4.084497E-17	4.476398E-18
1.657248E+04	3.792956E-17	4.175879E-18
1.695659E+04	3.548673E-17	3.920477E-18
1.734960E+04	3.342371E-17	3.700430E-18
1.775172E+04	3.161678E-17	3.502501E-18
1.816316E+04	2.994213E-17	3.313505E-18
1.858415E+04	2.828897E-17	3.121973E-18
1.901488E+04	2.657679E-17	2.920283E-18
1.945561E+04	2.477081E-17	2.706491E-18
1.990654E+04	2.288836E-17	2.484998E-18
2.036793E+04	2.099454E-17	2.265840E-18
2.084000E+04	1.917957E-17	2.061899E-18
2.132303E+04	1.752471E-17	1.884913E-18
2.181725E+04	1.607969E-17	1.740163E-18
2.232292E+04	1.483268E-17	1.621523E-18
2.284031E+04	1.374052E-17	1.520485E-18
2.336969E+04	1.275522E-17	1.429449E-18
2.391135E+04	1.184161E-17	1.343281E-18
2.446556E+04	1.098015E-17	1.259333E-18
