#wls	flux	fluxerr
3.257346E+03	3.259821E-16	2.473225E-17
3.257346E+03	3.259821E-16	2.473225E-17
3.332843E+03	3.382161E-16	2.563906E-17
3.332843E+03	3.382161E-16	2.563906E-17
3.410091E+03	3.533230E-16	2.675994E-17
3.410091E+03	3.533230E-16	2.675994E-17
3.489128E+03	3.719559E-16	2.814323E-17
3.489128E+03	3.719559E-16	2.814323E-17
3.569998E+03	3.953613E-16	2.988172E-17
3.569998E+03	3.953613E-16	2.988172E-17
3.652742E+03	4.252136E-16	3.209986E-17
3.652742E+03	4.252136E-16	3.209986E-17
3.679593E+03	4.367516E-16	3.295760E-17
3.679890E+03	4.367958E-16	3.296078E-17
3.680088E+03	4.372277E-16	3.299328E-17
3.680286E+03	4.366235E-16	3.294758E-17
3.680484E+03	4.366127E-16	3.294667E-17
3.680781E+03	4.361545E-16	3.291195E-17
3.680979E+03	4.360132E-16	3.290119E-17
3.681276E+03	4.356258E-16	3.287181E-17
3.681474E+03	4.355148E-16	3.286333E-17
3.681771E+03	4.351780E-16	3.283777E-17
3.681969E+03	4.349870E-16	3.282325E-17
3.682266E+03	4.343504E-16	3.277507E-17
3.682465E+03	4.342597E-16	3.276813E-17
3.682762E+03	4.338339E-16	3.273585E-17
3.682960E+03	4.338732E-16	3.273872E-17
3.683257E+03	4.339172E-16	3.274189E-17
3.683455E+03	4.332975E-16	3.269503E-17
3.683752E+03	4.330422E-16	3.267562E-17
3.683950E+03	4.329717E-16	3.267020E-17
3.684247E+03	4.328361E-16	3.265982E-17
3.684445E+03	4.330747E-16	3.267773E-17
3.684742E+03	4.330488E-16	3.267563E-17
3.684940E+03	4.334871E-16	3.270860E-17
3.685237E+03	4.342504E-16	3.276604E-17
3.685435E+03	4.336801E-16	3.272291E-17
3.685732E+03	4.335144E-16	3.271026E-17
3.685930E+03	4.331545E-16	3.268301E-17
3.686228E+03	4.328794E-16	3.266210E-17
3.686426E+03	4.327890E-16	3.265518E-17
3.686723E+03	4.324543E-16	3.262978E-17
3.686921E+03	4.330914E-16	3.267775E-17
3.687218E+03	4.334047E-16	3.270124E-17
3.687416E+03	4.327858E-16	3.265444E-17
3.687713E+03	4.321126E-16	3.260351E-17
3.688010E+03	4.323654E-16	3.262243E-17
3.688208E+03	4.325938E-16	3.263957E-17
3.688505E+03	4.329267E-16	3.266453E-17
3.688703E+03	4.324179E-16	3.262605E-17
3.689000E+03	4.326909E-16	3.264649E-17
3.689198E+03	4.323417E-16	3.262005E-17
3.689495E+03	4.321168E-16	3.260293E-17
3.689693E+03	4.320664E-16	3.259903E-17
3.689990E+03	4.318317E-16	3.258118E-17
3.690189E+03	4.323982E-16	3.262382E-17
3.690387E+03	4.328558E-16	3.265825E-17
3.690585E+03	4.323870E-16	3.262278E-17
3.690882E+03	4.326798E-16	3.264472E-17
3.691080E+03	4.329283E-16	3.266337E-17
3.691377E+03	4.329922E-16	3.266804E-17
3.691575E+03	4.332209E-16	3.268520E-17
3.691872E+03	4.330056E-16	3.266880E-17
3.692070E+03	4.325565E-16	3.263482E-17
3.692367E+03	4.318937E-16	3.258467E-17
3.692565E+03	4.314657E-16	3.255228E-17
3.692862E+03	4.321459E-16	3.260345E-17
3.693060E+03	4.322149E-16	3.260855E-17
3.693357E+03	4.326471E-16	3.264101E-17
3.693555E+03	4.319099E-16	3.258530E-17
3.693852E+03	4.315561E-16	3.255845E-17
3.694051E+03	4.314263E-16	3.254856E-17
3.694348E+03	4.323651E-16	3.261925E-17
3.694546E+03	4.324740E-16	3.262736E-17
3.694843E+03	4.322193E-16	3.260799E-17
3.695041E+03	4.322286E-16	3.260860E-17
3.695338E+03	4.326011E-16	3.263655E-17
3.695536E+03	4.321823E-16	3.260486E-17
3.695833E+03	4.321665E-16	3.260351E-17
3.696031E+03	4.323649E-16	3.261839E-17
3.696328E+03	4.330764E-16	3.267191E-17
