#wls	flux	fluxerr
3.257346E+03	1.206124E-17	1.044717E-18
3.257346E+03	1.206124E-17	1.044717E-18
3.332843E+03	1.146429E-17	9.601684E-19
3.332843E+03	1.146429E-17	9.601684E-19
3.410091E+03	1.095800E-17	8.850958E-19
3.410091E+03	1.095800E-17	8.850958E-19
3.489128E+03	1.057386E-17	8.213162E-19
3.489128E+03	1.057386E-17	8.213162E-19
3.569998E+03	1.034730E-17	7.704834E-19
3.569998E+03	1.034730E-17	7.704834E-19
3.652742E+03	1.032048E-17	7.342005E-19
3.652742E+03	1.032048E-17	7.342005E-19
3.737404E+03	1.054641E-17	7.141460E-19
3.737404E+03	1.054641E-17	7.141460E-19
3.824029E+03	1.108695E-17	7.117448E-19
3.824029E+03	1.108695E-17	7.117448E-19
3.912660E+03	1.198050E-17	7.260439E-19
3.912660E+03	1.198050E-17	7.260439E-19
4.003346E+03	1.323678E-17	7.538845E-19
4.003346E+03	1.323678E-17	7.538845E-19
4.096134E+03	1.486982E-17	7.923073E-19
4.096134E+03	1.486982E-17	7.923073E-19
4.191073E+03	1.691270E-17	8.394188E-19
4.191073E+03	1.691270E-17	8.394188E-19
4.288212E+03	1.941900E-17	8.944376E-19
4.288212E+03	1.941900E-17	8.944376E-19
4.387603E+03	2.245010E-17	9.572877E-19
4.387603E+03	2.245010E-17	9.572877E-19
4.489297E+03	2.604921E-17	1.028168E-18
4.489297E+03	2.604921E-17	1.028168E-18
4.593348E+03	3.005115E-17	1.101290E-18
4.593348E+03	3.005115E-17	1.101290E-18
4.659154E+03	2.873236E-17	1.008716E-18
4.661035E+03	2.851908E-17	1.000057E-18
4.663016E+03	2.824664E-17	9.892877E-19
4.664996E+03	2.818546E-17	9.859370E-19
4.666977E+03	2.803952E-17	9.796354E-19
4.668858E+03	2.790577E-17	9.738358E-19
4.670839E+03	2.793082E-17	9.735283E-19
4.672819E+03	2.783624E-17	9.690588E-19
4.674701E+03	2.755723E-17	9.582477E-19
4.676681E+03	2.740100E-17	9.516707E-19
4.678662E+03	2.734162E-17	9.484715E-19
4.680642E+03	2.712370E-17	9.397892E-19
4.682524E+03	2.686287E-17	9.297003E-19
4.684504E+03	2.671658E-17	9.235413E-19
4.686485E+03	2.648294E-17	9.143833E-19
4.688366E+03	2.608739E-17	8.997185E-19
4.690347E+03	2.598899E-17	8.952733E-19
4.692327E+03	2.589017E-17	8.908262E-19
4.694209E+03	2.572054E-17	8.840098E-19
4.696189E+03	2.571989E-17	8.829608E-19
4.698170E+03	2.576705E-17	8.835562E-19
4.700151E+03	2.576540E-17	8.824808E-19
4.702032E+03	2.566429E-17	8.780581E-19
4.704013E+03	2.570778E-17	8.785392E-19
4.705993E+03	2.588072E-17	8.834404E-19
4.707875E+03	2.587073E-17	8.821459E-19
4.709855E+03	2.580259E-17	8.788264E-19
4.711836E+03	2.580563E-17	8.779385E-19
4.713816E+03	2.584592E-17	8.783209E-19
4.715698E+03	2.589527E-17	8.790623E-19
4.717678E+03	2.599804E-17	8.815667E-19
4.719659E+03	2.616478E-17	8.862350E-19
4.721540E+03	2.623403E-17	8.876466E-19
4.723521E+03	2.628536E-17	8.884029E-19
4.725501E+03	2.635718E-17	8.898524E-19
4.727482E+03	2.641740E-17	8.909102E-19
4.729363E+03	2.644560E-17	8.909387E-19
4.731344E+03	2.654097E-17	8.931817E-19
4.733324E+03	2.676986E-17	8.999116E-19
4.735206E+03	2.699158E-17	9.064377E-19
4.737186E+03	2.731554E-17	9.163344E-19
4.739167E+03	2.750535E-17	9.217176E-19
4.741048E+03	2.766418E-17	9.261047E-19
4.743029E+03	2.775666E-17	9.282177E-19
4.745009E+03	2.798739E-17	9.349479E-19
4.746990E+03	2.827113E-17	9.434365E-19
4.748871E+03	2.853108E-17	9.511670E-19
4.750852E+03	2.874291E-17	9.572330E-19
4.752832E+03	2.890740E-17	9.617152E-19
4.754714E+03	2.910059E-17	9.671952E-19
4.756694E+03	2.934754E-17	9.744026E-19
4.758675E+03	2.954792E-17	9.800546E-19
4.760655E+03	2.964134E-17	9.821546E-19
4.762537E+03	2.972995E-17	9.841444E-19
4.764517E+03	2.999691E-17	9.919820E-19
4.766498E+03	3.024017E-17	9.990250E-19
4.768379E+03	3.040870E-17	1.003641E-18
4.770360E+03	3.053984E-17	1.006970E-18
4.772340E+03	3.059433E-17	1.007771E-18
4.774321E+03	3.054926E-17	1.005298E-18
4.776202E+03	3.066811E-17	1.008272E-18
4.778183E+03	3.097903E-17	1.017503E-18
4.780163E+03	3.107733E-17	1.019744E-18
4.782045E+03	3.101038E-17	1.016617E-18
4.784025E+03	3.075771E-17	1.007367E-18
4.786006E+03	3.087849E-17	1.010359E-18
4.787887E+03	3.112693E-17	1.017571E-18
4.789868E+03	3.130827E-17	1.022535E-18
4.791848E+03	3.120954E-17	1.018354E-18
4.793829E+03	3.113801E-17	1.015072E-18
4.795710E+03	3.106156E-17	1.011687E-18
4.797691E+03	3.110552E-17	1.012184E-18
4.799671E+03	3.097397E-17	1.006979E-18
4.801553E+03	3.079684E-17	1.000352E-18
4.803533E+03	3.054545E-17	9.912857E-19
4.805514E+03	3.044333E-17	9.870802E-19
4.807494E+03	3.039856E-17	9.847443E-19
4.809376E+03	3.010127E-17	9.742869E-19
4.811356E+03	2.983848E-17	9.649243E-19
4.813337E+03	2.946959E-17	9.521544E-19
4.815218E+03	2.905445E-17	9.379592E-19
4.817199E+03	2.874359E-17	9.271145E-19
4.819179E+03	2.849015E-17	9.181432E-19
4.821160E+03	2.805588E-17	9.033687E-19
4.823041E+03	2.802047E-17	9.014938E-19
4.825022E+03	2.787313E-17	8.959894E-19
4.827002E+03	2.760652E-17	8.866675E-19
4.828884E+03	2.728478E-17	8.756329E-19
4.830864E+03	2.706684E-17	8.679114E-19
4.832845E+03	2.700972E-17	8.653590E-19
4.834726E+03	2.698898E-17	8.640149E-19
4.836707E+03	2.681331E-17	8.576851E-19
4.838687E+03	2.660479E-17	8.503196E-19
4.840668E+03	2.648775E-17	8.458909E-19
4.842549E+03	2.636603E-17	8.413579E-19
4.844530E+03	2.611147E-17	8.325657E-19
4.846510E+03	2.590500E-17	8.253234E-19
4.848392E+03	2.574194E-17	8.195105E-19
4.850372E+03	2.578131E-17	8.201169E-19
4.852353E+03	2.598930E-17	8.260852E-19
4.854333E+03	2.604532E-17	8.272214E-19
4.856215E+03	2.606282E-17	8.271684E-19
4.858195E+03	2.597038E-17	8.236005E-19
4.860176E+03	2.579176E-17	8.173107E-19
4.862057E+03	2.579530E-17	8.168327E-19
4.864038E+03	2.603366E-17	8.237577E-19
4.866018E+03	2.614481E-17	8.266539E-19
4.867999E+03	2.626405E-17	8.298043E-19
4.869880E+03	2.631333E-17	8.307755E-19
4.871861E+03	2.614351E-17	8.248055E-19
4.873841E+03	2.600446E-17	8.198176E-19
4.875723E+03	2.609459E-17	8.220900E-19
4.877703E+03	2.610337E-17	8.217713E-19
4.879684E+03	2.601169E-17	8.182960E-19
4.881565E+03	2.600877E-17	8.176484E-19
4.883546E+03	2.614892E-17	8.214703E-19
4.885526E+03	2.614773E-17	8.208527E-19
4.887507E+03	2.628272E-17	8.245111E-19
4.889388E+03	2.673785E-17	8.382329E-19
4.891369E+03	2.691317E-17	8.431442E-19
4.893349E+03	2.707194E-17	8.475335E-19
4.895231E+03	2.739331E-17	8.570364E-19
4.897211E+03	2.766951E-17	8.650881E-19
4.899192E+03	2.775904E-17	8.672997E-19
4.901172E+03	2.782170E-17	8.686727E-19
4.903054E+03	2.800362E-17	8.737973E-19
4.905034E+03	2.823618E-17	8.804681E-19
4.907015E+03	2.826987E-17	8.809362E-19
4.908896E+03	2.836310E-17	8.832899E-19
4.910877E+03	2.843965E-17	8.850955E-19
4.912857E+03	2.844009E-17	8.845346E-19
4.914838E+03	2.850781E-17	8.860691E-19
4.916719E+03	2.863715E-17	8.895470E-19
4.918700E+03	2.862962E-17	8.887460E-19
