#wls	flux	fluxerr
3.257346E+03	1.794885E-18	2.628943E-19
3.332843E+03	1.608072E-18	2.334915E-19
3.410091E+03	1.442964E-18	2.075984E-19
3.489128E+03	1.301292E-18	1.854011E-19
3.569998E+03	1.183956E-18	1.669521E-19
3.652742E+03	1.090874E-18	1.521530E-19
3.737404E+03	1.021020E-18	1.407669E-19
3.824029E+03	9.724857E-19	1.324340E-19
3.912660E+03	9.426740E-19	1.267050E-19
4.003346E+03	9.286772E-19	1.230985E-19
4.096134E+03	9.277751E-19	1.211712E-19
4.191073E+03	9.378294E-19	1.205679E-19
4.288212E+03	9.570728E-19	1.209913E-19
4.387603E+03	9.835501E-19	1.221298E-19
4.489297E+03	1.015305E-18	1.236843E-19
4.593348E+03	1.051020E-18	1.254463E-19
4.699811E+03	1.090383E-18	1.273347E-19
4.808742E+03	1.133663E-18	1.293354E-19
4.920197E+03	1.180875E-18	1.314011E-19
5.034235E+03	1.231633E-18	1.334385E-19
5.150917E+03	1.285800E-18	1.353841E-19
5.270303E+03	1.344588E-18	1.373131E-19
5.392456E+03	1.411169E-18	1.394794E-19
5.517440E+03	1.490645E-18	1.422785E-19
5.645322E+03	1.589102E-18	1.461199E-19
5.776168E+03	1.713649E-18	1.513845E-19
5.910045E+03	1.871357E-18	1.583201E-19
6.047026E+03	2.066796E-18	1.668417E-19
6.187181E+03	2.297131E-18	1.761976E-19
6.330586E+03	2.546288E-18	1.847020E-19
6.477314E+03	2.804529E-18	1.913756E-19
6.627443E+03	3.098933E-18	1.977957E-19
6.781051E+03	3.464366E-18	2.055646E-19
6.938220E+03	3.917762E-18	2.146291E-19
7.099032E+03	4.463733E-18	2.240534E-19
7.263570E+03	5.101829E-18	2.328030E-19
7.431922E+03	5.824748E-18	2.400615E-19
7.604177E+03	6.594230E-18	2.449253E-19
7.780424E+03	7.294722E-18	2.459208E-19
7.960755E+03	7.780596E-18	2.427112E-19
8.145267E+03	8.036500E-18	2.362243E-19
8.334055E+03	8.047340E-18	2.246631E-19
8.527218E+03	7.832454E-18	2.076487E-19
8.724859E+03	7.436508E-18	1.877327E-19
8.927081E+03	6.905364E-18	1.700936E-19
9.133990E+03	6.427012E-18	1.627957E-19
9.345693E+03	6.351340E-18	1.735542E-19
9.562305E+03	6.661886E-18	2.002332E-19
9.783936E+03	7.342721E-18	2.436103E-19
1.001070E+04	8.379604E-18	3.070718E-19
1.024273E+04	9.376452E-18	3.774985E-19
1.048014E+04	9.917551E-18	4.327974E-19
1.072304E+04	9.995966E-18	4.632878E-19
1.097157E+04	9.721003E-18	4.672862E-19
1.122587E+04	9.221799E-18	4.486060E-19
1.148606E+04	8.618504E-18	4.146982E-19
1.175228E+04	8.010056E-18	3.750216E-19
1.202467E+04	7.470353E-18	3.401394E-19
1.230336E+04	7.056607E-18	3.215845E-19
1.258853E+04	6.908313E-18	3.321631E-19
1.288030E+04	7.069445E-18	3.711946E-19
1.317884E+04	7.506011E-18	4.314947E-19
1.348429E+04	8.195185E-18	5.073359E-19
1.379683E+04	9.091933E-18	5.909632E-19
1.411660E+04	1.011412E-17	6.702932E-19
1.444379E+04	1.112762E-17	7.284810E-19
1.477857E+04	1.193823E-17	7.467174E-19
1.512110E+04	1.230422E-17	7.116423E-19
1.547157E+04	1.200143E-17	6.277137E-19
1.583016E+04	1.093063E-17	5.266386E-19
1.619707E+04	9.258202E-18	4.545892E-19
1.657248E+04	8.004346E-18	4.466993E-19
1.695659E+04	7.386741E-18	4.806666E-19
1.734960E+04	7.235114E-18	5.363992E-19
1.775172E+04	7.466219E-18	6.075038E-19
1.816316E+04	8.035402E-18	6.893373E-19
1.858415E+04	8.902464E-18	7.725272E-19
1.901488E+04	1.000889E-17	8.397181E-19
1.945561E+04	1.125326E-17	8.646182E-19
1.990654E+04	1.245923E-17	8.149775E-19
2.036793E+04	1.335370E-17	6.655949E-19
2.084000E+04	1.356944E-17	4.361412E-19
2.132303E+04	1.274960E-17	3.228947E-19
2.181725E+04	1.131740E-17	4.828810E-19
2.232292E+04	9.775790E-18	6.402189E-19
2.284031E+04	8.335756E-18	7.264889E-19
2.336969E+04	7.069061E-18	7.521928E-19
2.391135E+04	5.984464E-18	7.360753E-19
2.446556E+04	5.068553E-18	6.943276E-19
