#wls	flux	fluxerr
3.289398E+03	5.790174E-16	5.478700E-17
3.365638E+03	5.792771E-16	5.459357E-17
3.443646E+03	5.839868E-16	5.482275E-17
3.523461E+03	5.938230E-16	5.553472E-17
3.605127E+03	6.104869E-16	5.688480E-17
3.688685E+03	6.365357E-16	5.910617E-17
3.774180E+03	6.741122E-16	6.239062E-17
3.861657E+03	7.239299E-16	6.679663E-17
3.951161E+03	7.835711E-16	7.209504E-17
4.042739E+03	8.467033E-16	7.769970E-17
4.136440E+03	9.048983E-16	8.283842E-17
4.232313E+03	9.511638E-16	8.687661E-17
4.330408E+03	9.824268E-16	8.954094E-17
4.430777E+03	9.988322E-16	9.085128E-17
4.533472E+03	1.001305E-15	9.089665E-17
4.638547E+03	9.905604E-16	8.974555E-17
4.746057E+03	9.682624E-16	8.755117E-17
4.856060E+03	9.367550E-16	8.452717E-17
4.968612E+03	8.994836E-16	8.098524E-17
5.083772E+03	8.606557E-16	7.730377E-17
5.201602E+03	8.243067E-16	7.384299E-17
5.322163E+03	7.935676E-16	7.087905E-17
5.445518E+03	7.700110E-16	6.854599E-17
5.571732E+03	7.507993E-16	6.658421E-17
5.700872E+03	7.304079E-16	6.450008E-17
5.833005E+03	7.055997E-16	6.200988E-17
5.968200E+03	6.754075E-16	5.903560E-17
6.106529E+03	6.394847E-16	5.555741E-17
6.248063E+03	5.973742E-16	5.154957E-17
6.392879E+03	5.514583E-16	4.723374E-17
6.541051E+03	5.076474E-16	4.312774E-17
6.692657E+03	4.686454E-16	3.946377E-17
6.847777E+03	4.338428E-16	3.618900E-17
7.006492E+03	4.025539E-16	3.324555E-17
7.168886E+03	3.746253E-16	3.062076E-17
7.335044E+03	3.498301E-16	2.829624E-17
7.505052E+03	3.276147E-16	2.622806E-17
7.679002E+03	3.072571E-16	2.435936E-17
7.856983E+03	2.877866E-16	2.261172E-17
8.039089E+03	2.684710E-16	2.092651E-17
8.225416E+03	2.496701E-16	1.933138E-17
8.416062E+03	2.321529E-16	1.788533E-17
8.611126E+03	2.164349E-16	1.662749E-17
8.810712E+03	2.028480E-16	1.558305E-17
9.014923E+03	1.918147E-16	1.478208E-17
9.223868E+03	1.833426E-16	1.422049E-17
9.437655E+03	1.771003E-16	1.386773E-17
9.656398E+03	1.727164E-16	1.369207E-17
9.880210E+03	1.691868E-16	1.361116E-17
1.010921E+04	1.647097E-16	1.347201E-17
1.034352E+04	1.576216E-16	1.312426E-17
1.058326E+04	1.480825E-16	1.256111E-17
1.082855E+04	1.376516E-16	1.189735E-17
1.107953E+04	1.275492E-16	1.123033E-17
1.133633E+04	1.183057E-16	1.060599E-17
1.159908E+04	1.100451E-16	1.003882E-17
1.186792E+04	1.027074E-16	9.528626E-18
1.214299E+04	9.616517E-17	9.069662E-18
1.242443E+04	9.029773E-17	8.656735E-18
1.271240E+04	8.508102E-17	8.292341E-18
1.300704E+04	8.054088E-17	7.980021E-18
1.330852E+04	7.655789E-17	7.707775E-18
1.361698E+04	7.290863E-17	7.453018E-18
1.393259E+04	6.936551E-17	7.192151E-18
1.425551E+04	6.573737E-17	6.904851E-18
1.458592E+04	6.190424E-17	6.578140E-18
1.492399E+04	5.784079E-17	6.209445E-18
1.526989E+04	5.362298E-17	5.807827E-18
1.562381E+04	4.941262E-17	5.392594E-18
1.598593E+04	4.540478E-17	4.987548E-18
1.635645E+04	4.177597E-17	4.614801E-18
1.673555E+04	3.864705E-17	4.289063E-18
1.712344E+04	3.599329E-17	4.008319E-18
1.752032E+04	3.371252E-17	3.761884E-18
1.792640E+04	3.168344E-17	3.536867E-18
1.834189E+04	2.978954E-17	3.320980E-18
1.876702E+04	2.793237E-17	3.104220E-18
1.920199E+04	2.604660E-17	2.880752E-18
1.964705E+04	2.411196E-17	2.650322E-18
2.010242E+04	2.215612E-17	2.418510E-18
2.056835E+04	2.024674E-17	2.195620E-18
2.104507E+04	1.846977E-17	1.994031E-18
2.153285E+04	1.690362E-17	1.825159E-18
2.203193E+04	1.558968E-17	1.693542E-18
2.254258E+04	1.449168E-17	1.590496E-18
2.306506E+04	1.355423E-17	1.506168E-18
2.359965E+04	1.272266E-17	1.432167E-18
2.414664E+04	1.195526E-17	1.362531E-18
2.470630E+04	1.122640E-17	1.293804E-18
