#wls	flux	fluxerr
3.289398E+03	5.394069E-16	4.092477E-17
3.289398E+03	5.394069E-16	4.092477E-17
3.365638E+03	5.542296E-16	4.201434E-17
3.365638E+03	5.542296E-16	4.201434E-17
3.443646E+03	5.744042E-16	4.350416E-17
3.443646E+03	5.744042E-16	4.350416E-17
3.523461E+03	6.007191E-16	4.545209E-17
3.523461E+03	6.007191E-16	4.545209E-17
3.605127E+03	6.348077E-16	4.797927E-17
3.605127E+03	6.348077E-16	4.797927E-17
3.688685E+03	6.789116E-16	5.125181E-17
3.688685E+03	6.789116E-16	5.125181E-17
3.715800E+03	6.960561E-16	5.252491E-17
3.716100E+03	6.961123E-16	5.252891E-17
3.716300E+03	6.967913E-16	5.257999E-17
3.716500E+03	6.958188E-16	5.250644E-17
3.716700E+03	6.957921E-16	5.250428E-17
3.717000E+03	6.950477E-16	5.244787E-17
3.717200E+03	6.948131E-16	5.243001E-17
3.717500E+03	6.941816E-16	5.238212E-17
3.717700E+03	6.939953E-16	5.236790E-17
3.718000E+03	6.934444E-16	5.232609E-17
3.718200E+03	6.931305E-16	5.230225E-17
3.718500E+03	6.921021E-16	5.222441E-17
3.718700E+03	6.919481E-16	5.221264E-17
3.719000E+03	6.912556E-16	5.216014E-17
3.719200E+03	6.913087E-16	5.216400E-17
3.719500E+03	6.913646E-16	5.216798E-17
3.719700E+03	6.903679E-16	5.209261E-17
3.720000E+03	6.899469E-16	5.206061E-17
3.720200E+03	6.898253E-16	5.205128E-17
3.720500E+03	6.895951E-16	5.203368E-17
3.720700E+03	6.899658E-16	5.206149E-17
3.721000E+03	6.899104E-16	5.205707E-17
3.721200E+03	6.905993E-16	5.210889E-17
3.721500E+03	6.918011E-16	5.219934E-17
3.721700E+03	6.908831E-16	5.212992E-17
3.722000E+03	6.906050E-16	5.210870E-17
3.722200E+03	6.900223E-16	5.206457E-17
3.722500E+03	6.895698E-16	5.203020E-17
3.722700E+03	6.894164E-16	5.201847E-17
3.723000E+03	6.888692E-16	5.197694E-17
3.723200E+03	6.898746E-16	5.205264E-17
3.723500E+03	6.903595E-16	5.208899E-17
3.723700E+03	6.893642E-16	5.201374E-17
3.724000E+03	6.882779E-16	5.193154E-17
3.724300E+03	6.886664E-16	5.196062E-17
3.724500E+03	6.890208E-16	5.198720E-17
3.724800E+03	6.895368E-16	5.202590E-17
3.725000E+03	6.887171E-16	5.196389E-17
3.725300E+03	6.891376E-16	5.199539E-17
3.725500E+03	6.885721E-16	5.195255E-17
3.725800E+03	6.881998E-16	5.192423E-17
3.726000E+03	6.881101E-16	5.191731E-17
3.726300E+03	6.877222E-16	5.188781E-17
3.726500E+03	6.886150E-16	5.195501E-17
3.726700E+03	6.893343E-16	5.200912E-17
3.726900E+03	6.885782E-16	5.195192E-17
3.727200E+03	6.890304E-16	5.198580E-17
3.727400E+03	6.894167E-16	5.201479E-17
3.727700E+03	6.895042E-16	5.202115E-17
3.727900E+03	6.898590E-16	5.204776E-17
3.728200E+03	6.895019E-16	5.202058E-17
3.728400E+03	6.887774E-16	5.196576E-17
3.728700E+03	6.877079E-16	5.188483E-17
3.728900E+03	6.870169E-16	5.183255E-17
3.729200E+03	6.880858E-16	5.191295E-17
3.729400E+03	6.881862E-16	5.192037E-17
3.729700E+03	6.888602E-16	5.197098E-17
3.729900E+03	6.876770E-16	5.188156E-17
3.730200E+03	6.870995E-16	5.183775E-17
3.730400E+03	6.868834E-16	5.182130E-17
3.730700E+03	6.883640E-16	5.193276E-17
3.730900E+03	6.885279E-16	5.194497E-17
3.731200E+03	6.881082E-16	5.191307E-17
3.731400E+03	6.881136E-16	5.191332E-17
3.731700E+03	6.886923E-16	5.195674E-17
3.731900E+03	6.880162E-16	5.190558E-17
3.732200E+03	6.879769E-16	5.190237E-17
3.732400E+03	6.882833E-16	5.192533E-17
3.732700E+03	6.894017E-16	5.200946E-17
3.732900E+03	6.906147E-16	5.210082E-17
3.733200E+03	6.907182E-16	5.210839E-17
3.733400E+03	6.912329E-16	5.214705E-17
3.733700E+03	6.916390E-16	5.217746E-17
3.733900E+03	6.914215E-16	5.216089E-17
3.734200E+03	6.908568E-16	5.211805E-17
3.734500E+03	6.913583E-16	5.215564E-17
3.734700E+03	6.896625E-16	5.202755E-17
3.735000E+03	6.895436E-16	5.201835E-17
3.735200E+03	6.890411E-16	5.198028E-17
3.735500E+03	6.876861E-16	5.187783E-17
3.735700E+03	6.876599E-16	5.187569E-17
3.736000E+03	6.878264E-16	5.188801E-17
3.736200E+03	6.882437E-16	5.191934E-17
3.736500E+03	6.882519E-16	5.191971E-17
3.736700E+03	6.875445E-16	5.186619E-17
3.737000E+03	6.874577E-16	5.185940E-17
3.737100E+03	6.869382E-16	5.182014E-17
3.737400E+03	6.871046E-16	5.183245E-17
3.737600E+03	6.880440E-16	5.190316E-17
