#wls	flux	fluxerr
3.289398E+03	1.138734E-17	7.802085E-19
3.365638E+03	1.046427E-17	7.068252E-19
3.443646E+03	9.664064E-18	6.430845E-19
3.523461E+03	8.999042E-18	5.895029E-19
3.605127E+03	8.480790E-18	5.464746E-19
3.688685E+03	8.121478E-18	5.143547E-19
3.774180E+03	7.933682E-18	4.934404E-19
3.861657E+03	7.925360E-18	4.836596E-19
3.951161E+03	8.088548E-18	4.839204E-19
4.042739E+03	8.400137E-18	4.922557E-19
4.136440E+03	8.835160E-18	5.066865E-19
4.232313E+03	9.376645E-18	5.257996E-19
4.330408E+03	1.001675E-17	5.487689E-19
4.430777E+03	1.073311E-17	5.740225E-19
4.533472E+03	1.149326E-17	5.995546E-19
4.638547E+03	1.226513E-17	6.235549E-19
4.746057E+03	1.304418E-17	6.457582E-19
4.856060E+03	1.386100E-17	6.676345E-19
4.968612E+03	1.472603E-17	6.895747E-19
5.083772E+03	1.559926E-17	7.096139E-19
5.201602E+03	1.645290E-17	7.264940E-19
5.322163E+03	1.729600E-17	7.406952E-19
5.445518E+03	1.816873E-17	7.539774E-19
5.571732E+03	1.913575E-17	7.689250E-19
5.700872E+03	2.026509E-17	7.879406E-19
5.833005E+03	2.160120E-17	8.120337E-19
5.968200E+03	2.317519E-17	8.414823E-19
6.106529E+03	2.499399E-17	8.756419E-19
6.248063E+03	2.701771E-17	9.124152E-19
6.392879E+03	2.907757E-17	9.459787E-19
6.541051E+03	3.092706E-17	9.691887E-19
6.692657E+03	3.265518E-17	9.860472E-19
6.847777E+03	3.442976E-17	1.001691E-18
7.006492E+03	3.617898E-17	1.013611E-18
7.168886E+03	3.775097E-17	1.017898E-18
7.335044E+03	3.914900E-17	1.016199E-18
7.505052E+03	4.067078E-17	1.018860E-18
7.679002E+03	4.292058E-17	1.044414E-18
7.856983E+03	4.563026E-17	1.090533E-18
8.039089E+03	4.711381E-17	1.118511E-18
8.225416E+03	4.700100E-17	1.115800E-18
8.416062E+03	4.578400E-17	1.087772E-18
8.611126E+03	4.420425E-17	1.047281E-18
8.810712E+03	4.307684E-17	1.011927E-18
9.014923E+03	4.325879E-17	1.002854E-18
9.223868E+03	4.518932E-17	1.033661E-18
9.437655E+03	4.879289E-17	1.108071E-18
9.656398E+03	5.402215E-17	1.227730E-18
9.880210E+03	6.065435E-17	1.393366E-18
1.010921E+04	6.776298E-17	1.596589E-18
1.034352E+04	7.232572E-17	1.775725E-18
1.058326E+04	7.280689E-17	1.879117E-18
1.082855E+04	7.056042E-17	1.906980E-18
1.107953E+04	6.673027E-17	1.865019E-18
1.133633E+04	6.209690E-17	1.765085E-18
1.159908E+04	5.731260E-17	1.629211E-18
1.186792E+04	5.287139E-17	1.485059E-18
1.214299E+04	4.906689E-17	1.361874E-18
1.242443E+04	4.599167E-17	1.288393E-18
1.271240E+04	4.355690E-17	1.282064E-18
1.300704E+04	4.188755E-17	1.331914E-18
1.330852E+04	4.112690E-17	1.418301E-18
1.361698E+04	4.109221E-17	1.519392E-18
1.393259E+04	4.147754E-17	1.612900E-18
1.425551E+04	4.196046E-17	1.677201E-18
1.458592E+04	4.221801E-17	1.692966E-18
1.492399E+04	4.195984E-17	1.648028E-18
1.526989E+04	4.091274E-17	1.541753E-18
1.562381E+04	3.890437E-17	1.392902E-18
1.598593E+04	3.618118E-17	1.250306E-18
1.635645E+04	3.320160E-17	1.170301E-18
1.673555E+04	3.068698E-17	1.169921E-18
1.712344E+04	2.891310E-17	1.216297E-18
1.752032E+04	2.784425E-17	1.281429E-18
1.792640E+04	2.740564E-17	1.349735E-18
1.834189E+04	2.747402E-17	1.408514E-18
1.876702E+04	2.786934E-17	1.442101E-18
1.920199E+04	2.839127E-17	1.432852E-18
1.964705E+04	2.883527E-17	1.364810E-18
2.010242E+04	2.898987E-17	1.229707E-18
2.056835E+04	2.865766E-17	1.039264E-18
2.104507E+04	2.768179E-17	8.475949E-19
2.153285E+04	2.597328E-17	7.695085E-19
2.203193E+04	2.347059E-17	8.361702E-19
2.254258E+04	2.058124E-17	9.239429E-19
2.306506E+04	1.773419E-17	9.688465E-19
2.359965E+04	1.513370E-17	9.643544E-19
2.414664E+04	1.284891E-17	9.221366E-19
2.470630E+04	1.088710E-17	8.564373E-19
