#wls	flux	fluxerr
3.289398E+03	3.912207E-18	5.150957E-19
3.289398E+03	3.912207E-18	5.150957E-19
3.365638E+03	3.506536E-18	4.555762E-19
3.365638E+03	3.506536E-18	4.555762E-19
3.443646E+03	3.154340E-18	4.041989E-19
3.443646E+03	3.154340E-18	4.041989E-19
3.523461E+03	2.858170E-18	3.607063E-19
3.523461E+03	2.858170E-18	3.607063E-19
3.605127E+03	2.616271E-18	3.249904E-19
3.605127E+03	2.616271E-18	3.249904E-19
3.688685E+03	2.429304E-18	2.965189E-19
3.688685E+03	2.429304E-18	2.965189E-19
3.774180E+03	2.293361E-18	2.748604E-19
3.774180E+03	2.293361E-18	2.748604E-19
3.861657E+03	2.206410E-18	2.591289E-19
3.861657E+03	2.206410E-18	2.591289E-19
3.951161E+03	2.160811E-18	2.484555E-19
3.951161E+03	2.160811E-18	2.484555E-19
4.042739E+03	2.151680E-18	2.416362E-19
4.042739E+03	2.151680E-18	2.416362E-19
4.136440E+03	2.170249E-18	2.377710E-19
4.136440E+03	2.170249E-18	2.377710E-19
4.232313E+03	2.214274E-18	2.359864E-19
4.232313E+03	2.214274E-18	2.359864E-19
4.330408E+03	2.277580E-18	2.357839E-19
4.330408E+03	2.277580E-18	2.357839E-19
4.430777E+03	2.358843E-18	2.363797E-19
4.430777E+03	2.358843E-18	2.363797E-19
4.533472E+03	2.449736E-18	2.371887E-19
4.533472E+03	2.449736E-18	2.371887E-19
4.638547E+03	2.551797E-18	2.377178E-19
4.638547E+03	2.551797E-18	2.377178E-19
4.746057E+03	2.661046E-18	2.379257E-19
4.746057E+03	2.661046E-18	2.379257E-19
4.856060E+03	2.786481E-18	2.379222E-19
4.856060E+03	2.786481E-18	2.379222E-19
4.968612E+03	2.923598E-18	2.376003E-19
4.968612E+03	2.923598E-18	2.376003E-19
5.083772E+03	3.080155E-18	2.368566E-19
5.083772E+03	3.080155E-18	2.368566E-19
5.201602E+03	3.247636E-18	2.352269E-19
5.201602E+03	3.247636E-18	2.352269E-19
5.322163E+03	3.442020E-18	2.332823E-19
5.322163E+03	3.442020E-18	2.332823E-19
5.445518E+03	3.662188E-18	2.307889E-19
5.445518E+03	3.662188E-18	2.307889E-19
5.571732E+03	3.939793E-18	2.293339E-19
5.571732E+03	3.939793E-18	2.293339E-19
5.637251E+03	6.473285E-18	3.606685E-19
5.637451E+03	6.458550E-18	3.597991E-19
5.637651E+03	6.495840E-18	3.618278E-19
5.637851E+03	6.492255E-18	3.615796E-19
5.638051E+03	6.527484E-18	3.634927E-19
5.638251E+03	6.547208E-18	3.645421E-19
5.638451E+03	6.570470E-18	3.657881E-19
5.638651E+03	6.576226E-18	3.660593E-19
5.638851E+03	6.613739E-18	3.680979E-19
