#wls	flux	fluxerr
3.289398E+03	6.660489E-16	2.666488E-17
3.289398E+03	6.660489E-16	2.666488E-17
3.365638E+03	6.845908E-16	2.523673E-17
3.365638E+03	6.845908E-16	2.523673E-17
3.443646E+03	7.096668E-16	2.390228E-17
3.443646E+03	7.096668E-16	2.390228E-17
3.523461E+03	7.422456E-16	2.278662E-17
3.523461E+03	7.422456E-16	2.278662E-17
3.605127E+03	7.841445E-16	2.190708E-17
3.605127E+03	7.841445E-16	2.190708E-17
3.688685E+03	8.377133E-16	2.115375E-17
3.688685E+03	8.377133E-16	2.115375E-17
3.774180E+03	9.040505E-16	2.036863E-17
3.774180E+03	9.040505E-16	2.036863E-17
3.861657E+03	9.814084E-16	1.940652E-17
3.861657E+03	9.814084E-16	1.940652E-17
3.951161E+03	1.063406E-15	1.816360E-17
3.951161E+03	1.063406E-15	1.816360E-17
4.042739E+03	1.138092E-15	1.665115E-17
4.042739E+03	1.138092E-15	1.665115E-17
4.136440E+03	1.190749E-15	1.506976E-17
4.136440E+03	1.190749E-15	1.506976E-17
4.232313E+03	1.212229E-15	1.353468E-17
4.232313E+03	1.212229E-15	1.353468E-17
4.330408E+03	1.203285E-15	1.201749E-17
4.330408E+03	1.203285E-15	1.201749E-17
4.430777E+03	1.170805E-15	1.061368E-17
4.430777E+03	1.170805E-15	1.061368E-17
4.533472E+03	1.122921E-15	9.320006E-18
4.533472E+03	1.122921E-15	9.320006E-18
4.638547E+03	1.066362E-15	8.168603E-18
4.638547E+03	1.066362E-15	8.168603E-18
4.746057E+03	1.007088E-15	7.161922E-18
4.746057E+03	1.007088E-15	7.161922E-18
4.856060E+03	9.480452E-16	6.418659E-18
4.856060E+03	9.480452E-16	6.418659E-18
4.968612E+03	8.905121E-16	5.918467E-18
4.968612E+03	8.905121E-16	5.918467E-18
5.083772E+03	8.366712E-16	5.419373E-18
5.083772E+03	8.366712E-16	5.419373E-18
5.201602E+03	7.893465E-16	4.832011E-18
5.201602E+03	7.893465E-16	4.832011E-18
5.322163E+03	7.517258E-16	4.216194E-18
5.322163E+03	7.517258E-16	4.216194E-18
5.445518E+03	7.252268E-16	3.867660E-18
5.445518E+03	7.252268E-16	3.867660E-18
5.571732E+03	7.053747E-16	3.790951E-18
5.571732E+03	7.053747E-16	3.790951E-18
5.700872E+03	6.841512E-16	3.772098E-18
5.700872E+03	6.841512E-16	3.772098E-18
5.833005E+03	6.573959E-16	3.767979E-18
5.833005E+03	6.573959E-16	3.767979E-18
5.968200E+03	6.241186E-16	3.698607E-18
5.968200E+03	6.241186E-16	3.698607E-18
6.106529E+03	5.857416E-16	3.537965E-18
6.106529E+03	5.857416E-16	3.537965E-18
6.248063E+03	5.443887E-16	3.209635E-18
6.248063E+03	5.443887E-16	3.209635E-18
6.392879E+03	5.028207E-16	2.771538E-18
6.392879E+03	5.028207E-16	2.771538E-18
6.541051E+03	4.647682E-16	2.455412E-18
6.541051E+03	4.647682E-16	2.455412E-18
6.692657E+03	4.309511E-16	2.306406E-18
6.692657E+03	4.309511E-16	2.306406E-18
6.847777E+03	4.000735E-16	2.282941E-18
6.847777E+03	4.000735E-16	2.282941E-18
7.006492E+03	3.727570E-16	2.251905E-18
7.006492E+03	3.727570E-16	2.251905E-18
7.168886E+03	3.495273E-16	2.186754E-18
7.168886E+03	3.495273E-16	2.186754E-18
7.335044E+03	3.296338E-16	2.132447E-18
7.335044E+03	3.296338E-16	2.132447E-18
7.505052E+03	3.114519E-16	2.120159E-18
7.505052E+03	3.114519E-16	2.120159E-18
7.679002E+03	2.940581E-16	2.075051E-18
7.679002E+03	2.940581E-16	2.075051E-18
7.856983E+03	2.773154E-16	1.979711E-18
7.856983E+03	2.773154E-16	1.979711E-18
8.039089E+03	2.609980E-16	1.893010E-18
8.039089E+03	2.609980E-16	1.893010E-18
8.225416E+03	2.448962E-16	1.830061E-18
8.225416E+03	2.448962E-16	1.830061E-18
8.416062E+03	2.290159E-16	1.756670E-18
8.416062E+03	2.290159E-16	1.756670E-18
8.611126E+03	2.133047E-16	1.723969E-18
8.611126E+03	2.133047E-16	1.723969E-18
8.810712E+03	1.976960E-16	1.742904E-18
8.810712E+03	1.976960E-16	1.742904E-18
9.014923E+03	1.827896E-16	1.769381E-18
9.014923E+03	1.827896E-16	1.769381E-18
9.223868E+03	1.693578E-16	1.773540E-18
9.223868E+03	1.693578E-16	1.773540E-18
9.437655E+03	1.578201E-16	1.709528E-18
9.437655E+03	1.578201E-16	1.709528E-18
9.656398E+03	1.481433E-16	1.529877E-18
9.656398E+03	1.481433E-16	1.529877E-18
9.880210E+03	1.398104E-16	1.224487E-18
9.880210E+03	1.398104E-16	1.224487E-18
1.010921E+04	1.319263E-16	8.940933E-19
1.010921E+04	1.319263E-16	8.940933E-19
1.034352E+04	1.235291E-16	9.218153E-19
1.034352E+04	1.235291E-16	9.218153E-19
1.058326E+04	1.146262E-16	1.240069E-18
1.058326E+04	1.146262E-16	1.240069E-18
1.082855E+04	1.058473E-16	1.488753E-18
1.082855E+04	1.058473E-16	1.488753E-18
1.107953E+04	9.754867E-17	1.587015E-18
1.107953E+04	9.754867E-17	1.587015E-18
1.133633E+04	8.987960E-17	1.539960E-18
1.133633E+04	8.987960E-17	1.539960E-18
1.159908E+04	8.285115E-17	1.373719E-18
1.159908E+04	8.285115E-17	1.373719E-18
1.186792E+04	7.642524E-17	1.125038E-18
1.186792E+04	7.642524E-17	1.125038E-18
1.214299E+04	7.060326E-17	8.475079E-19
1.214299E+04	7.060326E-17	8.475079E-19
1.242443E+04	6.550002E-17	6.398423E-19
1.242443E+04	6.550002E-17	6.398423E-19
1.271240E+04	6.130005E-17	6.447691E-19
1.271240E+04	6.130005E-17	6.447691E-19
1.300704E+04	5.781398E-17	7.982759E-19
1.300704E+04	5.781398E-17	7.982759E-19
1.330852E+04	5.466739E-17	9.542172E-19
1.330852E+04	5.466739E-17	9.542172E-19
1.361698E+04	5.163095E-17	1.059384E-18
1.361698E+04	5.163095E-17	1.059384E-18
1.393259E+04	4.858038E-17	1.099805E-18
1.393259E+04	4.858038E-17	1.099805E-18
1.425551E+04	4.545747E-17	1.076608E-18
1.425551E+04	4.545747E-17	1.076608E-18
1.458592E+04	4.225397E-17	1.000347E-18
1.458592E+04	4.225397E-17	1.000347E-18
1.492399E+04	3.900514E-17	8.880233E-19
1.492399E+04	3.900514E-17	8.880233E-19
1.526989E+04	3.578308E-17	7.599475E-19
1.526989E+04	3.578308E-17	7.599475E-19
1.562381E+04	3.268631E-17	6.377356E-19
1.562381E+04	3.268631E-17	6.377356E-19
1.598593E+04	2.982830E-17	5.440621E-19
1.598593E+04	2.982830E-17	5.440621E-19
1.635645E+04	2.732463E-17	4.979319E-19
1.635645E+04	2.732463E-17	4.979319E-19
1.673555E+04	2.521656E-17	4.967656E-19
1.673555E+04	2.521656E-17	4.967656E-19
1.712344E+04	2.341710E-17	5.161263E-19
1.712344E+04	2.341710E-17	5.161263E-19
1.752032E+04	2.183848E-17	5.357365E-19
1.752032E+04	2.183848E-17	5.357365E-19
1.792640E+04	2.041161E-17	5.445365E-19
1.792640E+04	2.041161E-17	5.445365E-19
1.834189E+04	1.908052E-17	5.369445E-19
1.834189E+04	1.908052E-17	5.369445E-19
1.876702E+04	1.780237E-17	5.105106E-19
1.876702E+04	1.780237E-17	5.105106E-19
1.920199E+04	1.655035E-17	4.652804E-19
1.920199E+04	1.655035E-17	4.652804E-19
1.964705E+04	1.531567E-17	4.036192E-19
1.964705E+04	1.531567E-17	4.036192E-19
2.010242E+04	1.410646E-17	3.300061E-19
2.010242E+04	1.410646E-17	3.300061E-19
2.056835E+04	1.294281E-17	2.513166E-19
2.056835E+04	1.294281E-17	2.513166E-19
2.104507E+04	1.184929E-17	1.797689E-19
2.104507E+04	1.184929E-17	1.797689E-19
2.153285E+04	1.084735E-17	1.424024E-19
2.153285E+04	1.084735E-17	1.424024E-19
2.203193E+04	9.947768E-18	1.652239E-19
2.203193E+04	9.947768E-18	1.652239E-19
2.254258E+04	9.146689E-18	2.194810E-19
2.254258E+04	9.146689E-18	2.194810E-19
2.306506E+04	8.432520E-18	2.789425E-19
2.306506E+04	8.432520E-18	2.789425E-19
2.359965E+04	7.790389E-18	3.357119E-19
2.359965E+04	7.790389E-18	3.357119E-19
2.414664E+04	7.206139E-18	3.877132E-19
2.414664E+04	7.206139E-18	3.877132E-19
2.470630E+04	6.668728E-18	4.343497E-19
2.470630E+04	6.668728E-18	4.343497E-19
