#wls	flux	fluxerr
3.289398E+03	2.821640E-16	2.247958E-17
3.365638E+03	2.818108E-16	2.233410E-17
3.443646E+03	2.799149E-16	2.210766E-17
3.523461E+03	2.764105E-16	2.181743E-17
3.605127E+03	2.710274E-16	2.143745E-17
3.688685E+03	2.633680E-16	2.090806E-17
3.774180E+03	2.531073E-16	2.016909E-17
3.861657E+03	2.401022E-16	1.917863E-17
3.951161E+03	2.244672E-16	1.792670E-17
4.042739E+03	2.066013E-16	1.644093E-17
4.136440E+03	1.871548E-16	1.478326E-17
4.232313E+03	1.669431E-16	1.303869E-17
4.330408E+03	1.468289E-16	1.129968E-17
4.430777E+03	1.276025E-16	9.650498E-18
4.533472E+03	1.098898E-16	8.155558E-18
4.638547E+03	9.410476E-17	6.853743E-18
4.746057E+03	8.044646E-17	5.758643E-18
4.856060E+03	6.892954E-17	4.862462E-18
4.968612E+03	5.943275E-17	4.141788E-18
5.083772E+03	5.175565E-17	3.569128E-18
5.201602E+03	4.566202E-17	3.118476E-18
5.322163E+03	4.090775E-17	2.766932E-18
5.445518E+03	3.725496E-17	2.494655E-18
5.571732E+03	3.447654E-17	2.284187E-18
5.700872E+03	3.236316E-17	2.120603E-18
5.833005E+03	3.073142E-17	1.992070E-18
5.968200E+03	2.942617E-17	1.889771E-18
6.106529E+03	2.832084E-17	1.807289E-18
6.248063E+03	2.731764E-17	1.739533E-18
6.392879E+03	2.634789E-17	1.681200E-18
6.541051E+03	2.536740E-17	1.626322E-18
6.692657E+03	2.434982E-17	1.569472E-18
6.847777E+03	2.328156E-17	1.506711E-18
7.006492E+03	2.215756E-17	1.435950E-18
7.168886E+03	2.097828E-17	1.356861E-18
7.335044E+03	1.974782E-17	1.270478E-18
7.505052E+03	1.847297E-17	1.178663E-18
7.679002E+03	1.716293E-17	1.083522E-18
7.856983E+03	1.582927E-17	9.868587E-19
8.039089E+03	1.448344E-17	8.902037E-19
8.225416E+03	1.313610E-17	7.950461E-19
8.416062E+03	1.179963E-17	7.030078E-19
8.611126E+03	1.049099E-17	6.158458E-19
8.810712E+03	9.233056E-18	5.352383E-19
9.014923E+03	8.053276E-18	4.624438E-19
9.223868E+03	6.979016E-18	3.980503E-19
9.437655E+03	6.030536E-18	3.421503E-19
9.656398E+03	5.216887E-18	2.946087E-19
9.880210E+03	4.536837E-18	2.550922E-19
1.010921E+04	3.981664E-18	2.230853E-19
1.034352E+04	3.538056E-18	1.978901E-19
1.058326E+04	3.185925E-18	1.780825E-19
1.082855E+04	2.903290E-18	1.620136E-19
1.107953E+04	2.672048E-18	1.485207E-19
1.133633E+04	2.477451E-18	1.368627E-19
1.159908E+04	2.307601E-18	1.266514E-19
1.186792E+04	2.153179E-18	1.177797E-19
1.214299E+04	2.007380E-18	1.103183E-19
1.242443E+04	1.866027E-18	1.043659E-19
1.271240E+04	1.727625E-18	9.986836E-20
1.300704E+04	1.591880E-18	9.634960E-20
1.330852E+04	1.459276E-18	9.317020E-20
1.361698E+04	1.331254E-18	8.987091E-20
1.393259E+04	1.209445E-18	8.621482E-20
1.425551E+04	1.095248E-18	8.215323E-20
1.458592E+04	9.896567E-19	7.776386E-20
1.492399E+04	8.932273E-19	7.318988E-20
1.526989E+04	8.061243E-19	6.859193E-20
1.562381E+04	7.281885E-19	6.411594E-20
1.598593E+04	6.590126E-19	5.987492E-20
1.635645E+04	5.980083E-19	5.594114E-20
1.673555E+04	5.444637E-19	5.234423E-20
1.712344E+04	4.976025E-19	4.908063E-20
1.752032E+04	4.566519E-19	4.613189E-20
1.792640E+04	4.208930E-19	4.347761E-20
1.834189E+04	3.896837E-19	4.110228E-20
1.876702E+04	3.624668E-19	3.899845E-20
1.920199E+04	3.387683E-19	3.716750E-20
1.964705E+04	3.181902E-19	3.561858E-20
2.010242E+04	3.003995E-19	3.436651E-20
2.056835E+04	2.851154E-19	3.342872E-20
2.104507E+04	2.720950E-19	3.282186E-20
2.153285E+04	2.611209E-19	3.255821E-20
2.203193E+04	2.519891E-19	3.264237E-20
2.254258E+04	2.445018E-19	3.306962E-20
2.306506E+04	2.384683E-19	3.382763E-20
2.359965E+04	2.337085E-19	3.489940E-20
2.414664E+04	2.300546E-19	3.626553E-20
2.470630E+04	2.273527E-19	3.790583E-20
