#wls	flux	fluxerr
3.289398E+03	1.888384E-16	8.117455E-18
3.289398E+03	1.888384E-16	8.117455E-18
3.365638E+03	1.834504E-16	7.139053E-18
3.365638E+03	1.834504E-16	7.139053E-18
3.443646E+03	1.793567E-16	6.255502E-18
3.443646E+03	1.793567E-16	6.255502E-18
3.523461E+03	1.768883E-16	5.492686E-18
3.523461E+03	1.768883E-16	5.492686E-18
3.605127E+03	1.765290E-16	4.855744E-18
3.605127E+03	1.765290E-16	4.855744E-18
3.688685E+03	1.789360E-16	4.338137E-18
3.688685E+03	1.789360E-16	4.338137E-18
3.774180E+03	1.848882E-16	3.946792E-18
3.774180E+03	1.848882E-16	3.946792E-18
3.861657E+03	1.951798E-16	3.713050E-18
3.861657E+03	1.951798E-16	3.713050E-18
3.951161E+03	2.097343E-16	3.629647E-18
3.951161E+03	2.097343E-16	3.629647E-18
4.042739E+03	2.274042E-16	3.638861E-18
4.042739E+03	2.274042E-16	3.638861E-18
4.136440E+03	2.467720E-16	3.680066E-18
4.136440E+03	2.467720E-16	3.680066E-18
4.232313E+03	2.663789E-16	3.684300E-18
4.232313E+03	2.663789E-16	3.684300E-18
4.330408E+03	2.850831E-16	3.599282E-18
4.330408E+03	2.850831E-16	3.599282E-18
4.430777E+03	3.019408E-16	3.401392E-18
4.430777E+03	3.019408E-16	3.401392E-18
4.533472E+03	3.157605E-16	3.110024E-18
4.533472E+03	3.157605E-16	3.110024E-18
4.638547E+03	3.248434E-16	2.814347E-18
4.638547E+03	3.248434E-16	2.814347E-18
4.746057E+03	3.287525E-16	2.606422E-18
4.746057E+03	3.287525E-16	2.606422E-18
4.856060E+03	3.284880E-16	2.550876E-18
4.856060E+03	3.284880E-16	2.550876E-18
4.968612E+03	3.251550E-16	2.598941E-18
4.968612E+03	3.251550E-16	2.598941E-18
5.083772E+03	3.200933E-16	2.600964E-18
5.083772E+03	3.200933E-16	2.600964E-18
5.201602E+03	3.146828E-16	2.506180E-18
5.201602E+03	3.146828E-16	2.506180E-18
5.322163E+03	3.100453E-16	2.350258E-18
5.322163E+03	3.100453E-16	2.350258E-18
5.445518E+03	3.067980E-16	2.233613E-18
5.445518E+03	3.067980E-16	2.233613E-18
5.571732E+03	3.048376E-16	2.223751E-18
5.571732E+03	3.048376E-16	2.223751E-18
5.700872E+03	3.031709E-16	2.269826E-18
5.700872E+03	3.031709E-16	2.269826E-18
5.833005E+03	3.009887E-16	2.228062E-18
5.833005E+03	3.009887E-16	2.228062E-18
5.968200E+03	2.978561E-16	1.997426E-18
5.968200E+03	2.978561E-16	1.997426E-18
6.106529E+03	2.930331E-16	1.577953E-18
6.106529E+03	2.930331E-16	1.577953E-18
6.248063E+03	2.846890E-16	1.299901E-18
6.248063E+03	2.846890E-16	1.299901E-18
6.392879E+03	2.725037E-16	1.481735E-18
6.392879E+03	2.725037E-16	1.481735E-18
6.541051E+03	2.604997E-16	1.657948E-18
6.541051E+03	2.604997E-16	1.657948E-18
6.692657E+03	2.498923E-16	1.739069E-18
6.692657E+03	2.498923E-16	1.739069E-18
6.847777E+03	2.398648E-16	1.753624E-18
6.847777E+03	2.398648E-16	1.753624E-18
7.006492E+03	2.295249E-16	1.707385E-18
7.006492E+03	2.295249E-16	1.707385E-18
7.168886E+03	2.186577E-16	1.605844E-18
7.168886E+03	2.186577E-16	1.605844E-18
7.335044E+03	2.079191E-16	1.458767E-18
7.335044E+03	2.079191E-16	1.458767E-18
7.505052E+03	1.983677E-16	1.293512E-18
7.505052E+03	1.983677E-16	1.293512E-18
7.679002E+03	1.908903E-16	1.151931E-18
7.679002E+03	1.908903E-16	1.151931E-18
7.856983E+03	1.848072E-16	1.103982E-18
7.856983E+03	1.848072E-16	1.103982E-18
8.039089E+03	1.779989E-16	1.167899E-18
8.039089E+03	1.779989E-16	1.167899E-18
8.225416E+03	1.702944E-16	1.205113E-18
8.225416E+03	1.702944E-16	1.205113E-18
8.416062E+03	1.624266E-16	1.169512E-18
8.416062E+03	1.624266E-16	1.169512E-18
8.611126E+03	1.553719E-16	1.080694E-18
8.611126E+03	1.553719E-16	1.080694E-18
8.810712E+03	1.500557E-16	9.666883E-19
8.810712E+03	1.500557E-16	9.666883E-19
9.014923E+03	1.474619E-16	8.818581E-19
9.014923E+03	1.474619E-16	8.818581E-19
9.223868E+03	1.475438E-16	9.426450E-19
9.223868E+03	1.475438E-16	9.426450E-19
9.437655E+03	1.493056E-16	1.116206E-18
9.437655E+03	1.493056E-16	1.116206E-18
9.656398E+03	1.522222E-16	1.196608E-18
9.656398E+03	1.522222E-16	1.196608E-18
9.880210E+03	1.550741E-16	1.126257E-18
9.880210E+03	1.550741E-16	1.126257E-18
1.010921E+04	1.560054E-16	9.676002E-19
1.010921E+04	1.560054E-16	9.676002E-19
1.034352E+04	1.525023E-16	9.515910E-19
1.034352E+04	1.525023E-16	9.515910E-19
1.058326E+04	1.449297E-16	1.112870E-18
1.058326E+04	1.449297E-16	1.112870E-18
1.082855E+04	1.358640E-16	1.286476E-18
1.082855E+04	1.358640E-16	1.286476E-18
1.107953E+04	1.266885E-16	1.391011E-18
1.107953E+04	1.266885E-16	1.391011E-18
1.133633E+04	1.180030E-16	1.378447E-18
1.133633E+04	1.180030E-16	1.378447E-18
1.159908E+04	1.101164E-16	1.234830E-18
1.159908E+04	1.101164E-16	1.234830E-18
1.186792E+04	1.031231E-16	9.852604E-19
1.186792E+04	1.031231E-16	9.852604E-19
1.214299E+04	9.691202E-17	6.700598E-19
1.214299E+04	9.691202E-17	6.700598E-19
1.242443E+04	9.119388E-17	4.069726E-19
1.242443E+04	9.119388E-17	4.069726E-19
1.271240E+04	8.576567E-17	4.961949E-19
1.271240E+04	8.576567E-17	4.961949E-19
1.300704E+04	8.114157E-17	7.156091E-19
1.300704E+04	8.114157E-17	7.156091E-19
1.330852E+04	7.740597E-17	9.091750E-19
1.330852E+04	7.740597E-17	9.091750E-19
1.361698E+04	7.432625E-17	1.051826E-18
1.361698E+04	7.432625E-17	1.051826E-18
1.393259E+04	7.159156E-17	1.114760E-18
1.393259E+04	7.159156E-17	1.114760E-18
1.425551E+04	6.886561E-17	1.087450E-18
1.425551E+04	6.886561E-17	1.087450E-18
1.458592E+04	6.587523E-17	9.789236E-19
1.458592E+04	6.587523E-17	9.789236E-19
1.492399E+04	6.245401E-17	8.167572E-19
1.492399E+04	6.245401E-17	8.167572E-19
1.526989E+04	5.858204E-17	6.397222E-19
1.526989E+04	5.858204E-17	6.397222E-19
1.562381E+04	5.443723E-17	4.699118E-19
