#wls	flux	fluxerr
3.289398E+03	2.330897E-18	1.785648E-19
3.365638E+03	2.044664E-18	1.462492E-19
3.443646E+03	1.799689E-18	1.201810E-19
3.523461E+03	1.593867E-18	9.953138E-20
3.605127E+03	1.424536E-18	8.344278E-20
3.688685E+03	1.288511E-18	7.108927E-20
3.774180E+03	1.182198E-18	6.171741E-20
3.861657E+03	1.101743E-18	5.466810E-20
3.951161E+03	1.043271E-18	4.938641E-20
4.042739E+03	1.003152E-18	4.542673E-20
4.136440E+03	9.782575E-19	4.245399E-20
4.232313E+03	9.660843E-19	4.023022E-20
4.330408E+03	9.646068E-19	3.858006E-20
4.430777E+03	9.720680E-19	3.736164E-20
4.533472E+03	9.870174E-19	3.647460E-20
4.638547E+03	1.008544E-18	3.588467E-20
4.746057E+03	1.036380E-18	3.561954E-20
4.856060E+03	1.070691E-18	3.571592E-20
4.968612E+03	1.111796E-18	3.615159E-20
5.083772E+03	1.160173E-18	3.683926E-20
5.201602E+03	1.216806E-18	3.770353E-20
5.322163E+03	1.283773E-18	3.876721E-20
5.445518E+03	1.364702E-18	4.017566E-20
5.571732E+03	1.464813E-18	4.211428E-20
5.700872E+03	1.590220E-18	4.459684E-20
5.833005E+03	1.746960E-18	4.742177E-20
5.968200E+03	1.939598E-18	5.035268E-20
6.106529E+03	2.168221E-18	5.327881E-20
6.248063E+03	2.424163E-18	5.638777E-20
6.392879E+03	2.689606E-18	6.023287E-20
6.541051E+03	2.951144E-18	6.531505E-20
6.692657E+03	3.213264E-18	7.146891E-20
6.847777E+03	3.487907E-18	7.785654E-20
7.006492E+03	3.784107E-18	8.355181E-20
7.168886E+03	4.106018E-18	8.781929E-20
7.335044E+03	4.454193E-18	9.012725E-20
7.505052E+03	4.824514E-18	9.038273E-20
7.679002E+03	5.201604E-18	8.967828E-20
7.856983E+03	5.555723E-18	9.088143E-20
8.039089E+03	5.853126E-18	9.577068E-20
8.225416E+03	6.069895E-18	1.014805E-19
8.416062E+03	6.213081E-18	1.042431E-19
8.611126E+03	6.326068E-18	1.028322E-19
8.810712E+03	6.476785E-18	9.903603E-20
9.014923E+03	6.754125E-18	9.780626E-20
9.223868E+03	7.260580E-18	1.052274E-19
9.437655E+03	8.040701E-18	1.216644E-19
9.656398E+03	9.058350E-18	1.426085E-19
9.880210E+03	1.024322E-17	1.657861E-19
1.010921E+04	1.146268E-17	1.924122E-19
1.034352E+04	1.247851E-17	2.221334E-19
1.058326E+04	1.308960E-17	2.498433E-19
1.082855E+04	1.325249E-17	2.685766E-19
1.107953E+04	1.304009E-17	2.746326E-19
1.133633E+04	1.256887E-17	2.681130E-19
1.159908E+04	1.195711E-17	2.515010E-19
1.186792E+04	1.130834E-17	2.289481E-19
1.214299E+04	1.070756E-17	2.062599E-19
1.242443E+04	1.023147E-17	1.911775E-19
1.271240E+04	9.952981E-18	1.904562E-19
1.300704E+04	9.877975E-18	2.025337E-19
1.330852E+04	9.965028E-18	2.203667E-19
1.361698E+04	1.017444E-17	2.381126E-19
1.393259E+04	1.045779E-17	2.515419E-19
1.425551E+04	1.075761E-17	2.576703E-19
1.458592E+04	1.101288E-17	2.549862E-19
1.492399E+04	1.116484E-17	2.435700E-19
1.526989E+04	1.116654E-17	2.248701E-19
1.562381E+04	1.100168E-17	2.016850E-19
1.598593E+04	1.070749E-17	1.793069E-19
1.635645E+04	1.039011E-17	1.667263E-19
1.673555E+04	1.016676E-17	1.698963E-19
1.712344E+04	1.005856E-17	1.838163E-19
1.752032E+04	1.006426E-17	2.018758E-19
1.792640E+04	1.018206E-17	2.202262E-19
1.834189E+04	1.039396E-17	2.359009E-19
1.876702E+04	1.065948E-17	2.455588E-19
1.920199E+04	1.092210E-17	2.459740E-19
1.964705E+04	1.111686E-17	2.348476E-19
2.010242E+04	1.117528E-17	2.112683E-19
2.056835E+04	1.103262E-17	1.766746E-19
2.104507E+04	1.064663E-17	1.389295E-19
2.153285E+04	1.004895E-17	1.205750E-19
2.203193E+04	9.339823E-18	1.411595E-19
2.254258E+04	8.540590E-18	1.812868E-19
2.306506E+04	7.704247E-18	2.224478E-19
2.359965E+04	6.888060E-18	2.591401E-19
2.414664E+04	6.125075E-18	2.902248E-19
2.470630E+04	5.430115E-18	3.155202E-19
