#wls	flux	fluxerr
3.289398E+03	6.660489E-16	2.666488E-17
3.289398E+03	6.660489E-16	2.666488E-17
3.365638E+03	6.845908E-16	2.523673E-17
3.365638E+03	6.845908E-16	2.523673E-17
3.443646E+03	7.096668E-16	2.390228E-17
3.443646E+03	7.096668E-16	2.390228E-17
3.523461E+03	7.422456E-16	2.278662E-17
3.523461E+03	7.422456E-16	2.278662E-17
3.605127E+03	7.841445E-16	2.190708E-17
3.605127E+03	7.841445E-16	2.190708E-17
3.688685E+03	8.377133E-16	2.115375E-17
3.688685E+03	8.377133E-16	2.115375E-17
3.725600E+03	2.349308E-15	5.447435E-16
3.727600E+03	2.293612E-15	5.447364E-16
3.729500E+03	2.235991E-15	5.447361E-16
3.731500E+03	2.181524E-15	5.447425E-16
3.733500E+03	2.141214E-15	5.447350E-16
3.735500E+03	2.107706E-15	5.447341E-16
3.737400E+03	2.056364E-15	5.447398E-16
3.739400E+03	2.002627E-15	5.447324E-16
3.741400E+03	1.949979E-15	5.447377E-16
3.743300E+03	1.899284E-15	5.447425E-16
3.745300E+03	1.857419E-15	5.447372E-16
3.747300E+03	1.813343E-15	5.447330E-16
3.749300E+03	1.764331E-15	5.447342E-16
3.751200E+03	1.717394E-15	5.415907E-16
3.753200E+03	1.671398E-15	5.283399E-16
3.755200E+03	1.632939E-15	5.329800E-16
3.757100E+03	1.593823E-15	4.995918E-16
3.759100E+03	1.562140E-15	4.851462E-16
3.761100E+03	1.531264E-15	4.645546E-16
3.763000E+03	1.499961E-15	4.234465E-16
3.765000E+03	1.469704E-15	4.127793E-16
3.767000E+03	1.439229E-15	4.170246E-16
3.769000E+03	1.412765E-15	4.157990E-16
3.770900E+03	1.390081E-15	4.246246E-16
3.772900E+03	1.369210E-15	4.082078E-16
3.774900E+03	1.354597E-15	3.824315E-16
3.776800E+03	1.344064E-15	3.744348E-16
3.778800E+03	1.332048E-15	3.786001E-16
3.780800E+03	1.326569E-15	3.802416E-16
3.782800E+03	1.323183E-15	3.854570E-16
3.784700E+03	1.320596E-15	3.949143E-16
3.786700E+03	1.322422E-15	3.443721E-16
3.788700E+03	1.327486E-15	3.548740E-16
3.790600E+03	1.333368E-15	3.625827E-16
3.792600E+03	1.339368E-15	3.829596E-16
3.794600E+03	1.348994E-15	3.930176E-16
3.796600E+03	1.355252E-15	3.837883E-16
3.798500E+03	1.365432E-15	3.815492E-16
3.800500E+03	1.376385E-15	3.902452E-16
3.802500E+03	1.393863E-15	3.875231E-16
3.804400E+03	1.408705E-15	3.808300E-16
3.806400E+03	1.424492E-15	3.793864E-16
3.808400E+03	1.440522E-15	3.857992E-16
3.810300E+03	1.457203E-15	3.852631E-16
3.812300E+03	1.476488E-15	4.180993E-16
3.814300E+03	1.490974E-15	4.140624E-16
3.816300E+03	1.500237E-15	4.179885E-16
3.818200E+03	1.507648E-15	4.201469E-16
3.820200E+03	1.520828E-15	3.997093E-16
3.822200E+03	1.529572E-15	3.631708E-16
3.824100E+03	1.536349E-15	3.517634E-16
3.826100E+03	1.541807E-15	3.599723E-16
3.828100E+03	1.545859E-15	3.678879E-16
3.830100E+03	1.541807E-15	3.788882E-16
3.832000E+03	1.539856E-15	3.779112E-16
3.834000E+03	1.525527E-15	3.785140E-16
3.836000E+03	1.543512E-15	3.707948E-16
3.837900E+03	1.569857E-15	3.596774E-16
3.839900E+03	1.560594E-15	3.448274E-16
3.841900E+03	1.557471E-15	3.226796E-16
3.843900E+03	1.559014E-15	3.067317E-16
3.845800E+03	1.558763E-15	3.109965E-16
3.847800E+03	1.556790E-15	3.094938E-16
3.849800E+03	1.539997E-15	2.944807E-16
3.851700E+03	1.520828E-15	2.944926E-16
3.853700E+03	1.523562E-15	2.919628E-16
3.855700E+03	1.523316E-15	2.819406E-16
3.857600E+03	1.526160E-15	2.728629E-16
3.859600E+03	1.514189E-15	2.570406E-16
3.861600E+03	1.512342E-15	1.550279E-16
3.863600E+03	1.527742E-15	1.572458E-16
3.865500E+03	1.532428E-15	1.667225E-16
3.867500E+03	1.521879E-15	1.729420E-16
3.869500E+03	1.513910E-15	1.750911E-16
3.871400E+03	1.499581E-15	1.730327E-16
3.873400E+03	1.482382E-15	1.681580E-16
3.875400E+03	1.474144E-15	1.683769E-16
3.877400E+03	1.459822E-15	1.664626E-16
3.879300E+03	1.455124E-15	1.758352E-16
3.881300E+03	1.454220E-15	1.814027E-16
3.883300E+03	1.452379E-15	1.831477E-16
3.885200E+03	1.450040E-15	1.876462E-16
3.887200E+03	1.450675E-15	1.949182E-16
3.889200E+03	1.449005E-15	2.143068E-16
3.891200E+03	1.449907E-15	2.156610E-16
3.893100E+03	1.442879E-15	2.020788E-16
3.895100E+03	1.440390E-15	1.938120E-16
3.897100E+03	1.449506E-15	1.837206E-16
3.899000E+03	1.467371E-15	1.666959E-16
3.901000E+03	1.479245E-15	1.653804E-16
3.903000E+03	1.486791E-15	1.689767E-16
3.904900E+03	1.496442E-15	1.609990E-16
3.906900E+03	1.507509E-15	1.688323E-16
3.908900E+03	1.519777E-15	2.002645E-16
3.910900E+03	1.529431E-15	2.130671E-16
3.912800E+03	1.533063E-15	2.161672E-16
3.914800E+03	1.537907E-15	2.156225E-16
3.916800E+03	1.540884E-15	2.156978E-16
3.918700E+03	1.536208E-15	2.157262E-16
3.920700E+03	1.531652E-15	2.149058E-16
3.922700E+03	1.538934E-15	2.149555E-16
3.924700E+03	1.541807E-15	2.148519E-16
3.926600E+03	1.538438E-15	2.163539E-16
3.928600E+03	1.538438E-15	2.063810E-16
3.930600E+03	1.547035E-15	2.022344E-16
3.932500E+03	1.559158E-15	1.959247E-16
3.934500E+03	1.572824E-15	1.890648E-16
3.936500E+03	1.570363E-15	1.781684E-16
3.938500E+03	1.555643E-15	1.433884E-16
3.940400E+03	1.550815E-15	1.291391E-16
3.942400E+03	1.548603E-15	1.365181E-16
3.944400E+03	1.545468E-15	1.401938E-16
3.946300E+03	1.542979E-15	1.365295E-16
3.948300E+03	1.532428E-15	1.379773E-16
3.950300E+03	1.524334E-15	1.430734E-16
3.952200E+03	1.522124E-15	1.428915E-16
3.954200E+03	1.518623E-15	1.422024E-16
3.956200E+03	1.516003E-15	1.512745E-16
3.958200E+03	1.510776E-15	1.285823E-16
3.960100E+03	1.508829E-15	1.094600E-16
3.962100E+03	1.501136E-15	1.054955E-16
3.964100E+03	1.493448E-15	1.049756E-16
3.966000E+03	1.487442E-15	1.056906E-16
3.968000E+03	1.482894E-15	1.068180E-16
3.970000E+03	1.482245E-15	9.889993E-17
3.972000E+03	1.482109E-15	1.019109E-16
3.973900E+03	1.482484E-15	1.066290E-16
3.975900E+03	1.485628E-15	1.027687E-16
3.977900E+03	1.486654E-15	1.084096E-16
3.979800E+03	1.486552E-15	1.235144E-16
3.981800E+03	1.490699E-15	1.290567E-16
3.983800E+03	1.490459E-15	1.306255E-16
3.985800E+03	1.492932E-15	1.307034E-16
3.987700E+03	1.496718E-15	1.304562E-16
3.989700E+03	1.499719E-15	1.384087E-16
3.991700E+03	1.500341E-15	1.359160E-16
3.993600E+03	1.502588E-15	1.343153E-16
3.995600E+03	1.504146E-15	1.369090E-16
3.997600E+03	1.502588E-15	1.381741E-16
3.999500E+03	1.506468E-15	1.350426E-16
4.001500E+03	1.510011E-15	1.360745E-16
4.003500E+03	1.514956E-15	1.391242E-16
4.005500E+03	1.515340E-15	1.286372E-16
4.007400E+03	1.518204E-15	1.232646E-16
4.009400E+03	1.516771E-15	1.253896E-16
4.011400E+03	1.515479E-15	1.291633E-16
4.013300E+03	1.513387E-15	1.271682E-16
4.015300E+03	1.505705E-15	1.292183E-16
4.017300E+03	1.499961E-15	1.260107E-16
4.019300E+03	1.498546E-15	1.259979E-16
4.021200E+03	1.498925E-15	1.256606E-16
4.023200E+03	1.493310E-15	1.244696E-16
4.025200E+03	1.490562E-15	1.246173E-16
4.027100E+03	1.489018E-15	1.192676E-16
4.029100E+03	1.487065E-15	1.073147E-16
4.031100E+03	1.484568E-15	1.019410E-16
4.033100E+03	1.484192E-15	1.051972E-16
4.035000E+03	1.488367E-15	1.050867E-16
4.037000E+03	1.489395E-15	1.052082E-16
4.039000E+03	1.489395E-15	9.621054E-17
4.040900E+03	1.485628E-15	9.612927E-17
4.042900E+03	1.486654E-15	9.580491E-17
4.044900E+03	1.487305E-15	8.915895E-17
4.046800E+03	1.490322E-15	8.541470E-17
4.048800E+03	1.489670E-15	8.539254E-17
4.050800E+03	1.490974E-15	8.469511E-17
4.052800E+03	1.494755E-15	8.130311E-17
4.054700E+03	1.496718E-15	7.770543E-17
4.056700E+03	1.498787E-15	7.449765E-17
4.058700E+03	1.500894E-15	7.287695E-17
4.060600E+03	1.500341E-15	6.828929E-17
4.062600E+03	1.499167E-15	6.668319E-17
4.064600E+03	1.500998E-15	5.495605E-17
4.066600E+03	1.502830E-15	5.560685E-17
4.068500E+03	1.503730E-15	5.582148E-17
4.070500E+03	1.504527E-15	5.688189E-17
4.072500E+03	1.507266E-15	5.403089E-17
