#wls	flux	fluxerr
3.289398E+03	9.640389E-16	4.191215E-17
3.365638E+03	1.002348E-15	4.160029E-17
3.443646E+03	1.046353E-15	4.163502E-17
3.523461E+03	1.097032E-15	4.245717E-17
3.605127E+03	1.152645E-15	4.409063E-17
3.688685E+03	1.208302E-15	4.610296E-17
3.774180E+03	1.257297E-15	4.795450E-17
3.861657E+03	1.291480E-15	4.910128E-17
3.951161E+03	1.302409E-15	4.908933E-17
4.042739E+03	1.283367E-15	4.764595E-17
4.136440E+03	1.231647E-15	4.474787E-17
4.232313E+03	1.149926E-15	4.063328E-17
4.330408E+03	1.045775E-15	3.573939E-17
4.430777E+03	9.294513E-16	3.058409E-17
4.533472E+03	8.111615E-16	2.564194E-17
4.638547E+03	6.990385E-16	2.126009E-17
4.746057E+03	5.983603E-16	1.762775E-17
4.856060E+03	5.116875E-16	1.476218E-17
4.968612E+03	4.393907E-16	1.250521E-17
5.083772E+03	3.809781E-16	1.071700E-17
5.201602E+03	3.357021E-16	9.323427E-18
5.322163E+03	3.027157E-16	8.292883E-18
5.445518E+03	2.809036E-16	7.600480E-18
5.571732E+03	2.676576E-16	7.154716E-18
5.700872E+03	2.594495E-16	6.824260E-18
5.833005E+03	2.534012E-16	6.519523E-18
5.968200E+03	2.474521E-16	6.208485E-18
6.106529E+03	2.402849E-16	5.914723E-18
6.248063E+03	2.312113E-16	5.691161E-18
6.392879E+03	2.205353E-16	5.545210E-18
6.541051E+03	2.089898E-16	5.415717E-18
6.692657E+03	1.971490E-16	5.248520E-18
6.847777E+03	1.853926E-16	5.017241E-18
7.006492E+03	1.739297E-16	4.719432E-18
7.168886E+03	1.628349E-16	4.369631E-18
7.335044E+03	1.520956E-16	3.994695E-18
7.505052E+03	1.416827E-16	3.630151E-18
7.679002E+03	1.316695E-16	3.310937E-18
7.856983E+03	1.225322E-16	3.048891E-18
8.039089E+03	1.144319E-16	2.829757E-18
8.225416E+03	1.067430E-16	2.618418E-18
8.416062E+03	9.880426E-17	2.395700E-18
8.611126E+03	9.018200E-17	2.165794E-18
8.810712E+03	8.077572E-17	1.945618E-18
9.014923E+03	7.103008E-17	1.742930E-18
9.223868E+03	6.164800E-17	1.550479E-18
9.437655E+03	5.318663E-17	1.362342E-18
9.656398E+03	4.593626E-17	1.184583E-18
9.880210E+03	3.997867E-17	1.030040E-18
1.010921E+04	3.526639E-17	9.111570E-19
1.034352E+04	3.167074E-17	8.330214E-19
1.058326E+04	2.895526E-17	7.859249E-19
1.082855E+04	2.685001E-17	7.518052E-19
1.107953E+04	2.514593E-17	7.157074E-19
1.133633E+04	2.369488E-17	6.692263E-19
1.159908E+04	2.239355E-17	6.109187E-19
1.186792E+04	2.116712E-17	5.460461E-19
1.214299E+04	1.995572E-17	4.861057E-19
1.242443E+04	1.870380E-17	4.458613E-19
1.271240E+04	1.737495E-17	4.334958E-19
1.300704E+04	1.602714E-17	4.404195E-19
1.330852E+04	1.470895E-17	4.514029E-19
1.361698E+04	1.343974E-17	4.557441E-19
1.393259E+04	1.222746E-17	4.488793E-19
1.425551E+04	1.107816E-17	4.306129E-19
1.458592E+04	9.999195E-18	4.032970E-19
1.492399E+04	8.999109E-18	3.705325E-19
1.526989E+04	8.086196E-18	3.362588E-19
1.562381E+04	7.266706E-18	3.040646E-19
1.598593E+04	6.543153E-18	2.766071E-19
1.635645E+04	5.913046E-18	2.551024E-19
1.673555E+04	5.368321E-18	2.388576E-19
1.712344E+04	4.896388E-18	2.258615E-19
1.752032E+04	4.483853E-18	2.141320E-19
1.792640E+04	4.118823E-18	2.022412E-19
1.834189E+04	3.791858E-18	1.894136E-19
1.876702E+04	3.496118E-18	1.754552E-19
1.920199E+04	3.227086E-18	1.606517E-19
1.964705E+04	2.982127E-18	1.456844E-19
2.010242E+04	2.759977E-18	1.315681E-19
2.056835E+04	2.560232E-18	1.195763E-19
2.104507E+04	2.382819E-18	1.110746E-19
2.153285E+04	2.227449E-18	1.071602E-19
2.203193E+04	2.092945E-18	1.081639E-19
2.254258E+04	1.976651E-18	1.134021E-19
2.306506E+04	1.875460E-18	1.217116E-19
2.359965E+04	1.786470E-18	1.319849E-19
2.414664E+04	1.707177E-18	1.433809E-19
2.470630E+04	1.635510E-18	1.553215E-19
