#wls	flux	fluxerr
3.289398E+03	4.569436E-17	2.315468E-18
3.289398E+03	4.569436E-17	2.315468E-18
3.365638E+03	4.225864E-17	1.945526E-18
3.365638E+03	4.225864E-17	1.945526E-18
3.443646E+03	3.925620E-17	1.632177E-18
3.443646E+03	3.925620E-17	1.632177E-18
3.523461E+03	3.674473E-17	1.375121E-18
3.523461E+03	3.674473E-17	1.375121E-18
3.605127E+03	3.478091E-17	1.170941E-18
3.605127E+03	3.478091E-17	1.170941E-18
3.688685E+03	3.342859E-17	1.015213E-18
3.688685E+03	3.342859E-17	1.015213E-18
3.774180E+03	3.276308E-17	9.041839E-19
3.774180E+03	3.276308E-17	9.041839E-19
3.861657E+03	3.285172E-17	8.340223E-19
3.861657E+03	3.285172E-17	8.340223E-19
3.951161E+03	3.364826E-17	7.955730E-19
3.951161E+03	3.364826E-17	7.955730E-19
4.042739E+03	3.499289E-17	7.752377E-19
4.042739E+03	3.499289E-17	7.752377E-19
4.136440E+03	3.671940E-17	7.611286E-19
4.136440E+03	3.671940E-17	7.611286E-19
4.232313E+03	3.869007E-17	7.454006E-19
4.232313E+03	3.869007E-17	7.454006E-19
4.330408E+03	4.078763E-17	7.235406E-19
4.330408E+03	4.078763E-17	7.235406E-19
4.430777E+03	4.287962E-17	6.921282E-19
4.430777E+03	4.287962E-17	6.921282E-19
4.533472E+03	4.480346E-17	6.494504E-19
4.533472E+03	4.480346E-17	6.494504E-19
4.638547E+03	4.637839E-17	5.980315E-19
4.638547E+03	4.637839E-17	5.980315E-19
4.746057E+03	4.759614E-17	5.532400E-19
4.746057E+03	4.759614E-17	5.532400E-19
4.856060E+03	4.867102E-17	5.432378E-19
4.856060E+03	4.867102E-17	5.432378E-19
4.968612E+03	4.973286E-17	5.660470E-19
4.968612E+03	4.973286E-17	5.660470E-19
5.083772E+03	5.061373E-17	5.865211E-19
5.083772E+03	5.061373E-17	5.865211E-19
5.201602E+03	5.124597E-17	5.874096E-19
5.201602E+03	5.124597E-17	5.874096E-19
5.322163E+03	5.171863E-17	5.750303E-19
5.322163E+03	5.171863E-17	5.750303E-19
5.445518E+03	5.218651E-17	5.660677E-19
5.445518E+03	5.218651E-17	5.660677E-19
5.571732E+03	5.280720E-17	5.690474E-19
5.571732E+03	5.280720E-17	5.690474E-19
5.588042E+03	3.391408E-17	1.132470E-17
5.588242E+03	3.395784E-17	1.118198E-17
5.588442E+03	3.400400E-17	1.117477E-17
5.588642E+03	3.401810E-17	1.113625E-17
5.588842E+03	3.404866E-17	1.106682E-17
5.589042E+03	3.403925E-17	1.107045E-17
5.589242E+03	3.410358E-17	1.091672E-17
5.589442E+03	3.407062E-17	1.084037E-17
5.589642E+03	3.405807E-17	1.082860E-17
5.589842E+03	3.405179E-17	1.071043E-17
5.590042E+03	3.402828E-17	1.074058E-17
5.590243E+03	3.406199E-17	1.064858E-17
5.590443E+03	3.409259E-17	1.059733E-17
5.590643E+03	3.406983E-17	1.059788E-17
5.590843E+03	3.405258E-17	1.052271E-17
5.591043E+03	3.405807E-17	1.050882E-17
5.591243E+03	3.408710E-17	1.046340E-17
5.591443E+03	3.408553E-17	1.042125E-17
5.591643E+03	3.407925E-17	1.036862E-17
5.591843E+03	3.406513E-17	1.028949E-17
5.592043E+03	3.405415E-17	1.018669E-17
5.592243E+03	3.407140E-17	1.020817E-17
5.592443E+03	3.406905E-17	1.013105E-17
5.592643E+03	3.404160E-17	9.873397E-18
5.592843E+03	3.402280E-17	9.865287E-18
5.593043E+03	3.399617E-17	9.900651E-18
5.593243E+03	3.395002E-17	9.748719E-18
5.593443E+03	3.393751E-17	9.763406E-18
5.593643E+03	3.391564E-17	9.764220E-18
5.593843E+03	3.391876E-17	9.833270E-18
5.594043E+03	3.396018E-17	9.820341E-18
5.594243E+03	3.399069E-17	9.827966E-18
5.594443E+03	3.402280E-17	9.735367E-18
5.594642E+03	3.398678E-17	9.718871E-18
5.594842E+03	3.398365E-17	9.560810E-18
5.595042E+03	3.390939E-17	9.552037E-18
5.595243E+03	3.388754E-17	9.516729E-18
5.595443E+03	3.385868E-17	9.533721E-18
5.595643E+03	3.387505E-17	9.560172E-18
5.595843E+03	3.390393E-17	9.420962E-18
5.596043E+03	3.384387E-17	9.358342E-18
5.596243E+03	3.378703E-17	9.379237E-18
5.596443E+03	3.377147E-17	9.374872E-18
5.596643E+03	3.377847E-17	9.374372E-18
5.596843E+03	3.372640E-17	9.288165E-18
5.597043E+03	3.372097E-17	9.283019E-18
5.597243E+03	3.374271E-17	9.258798E-18
5.597443E+03	3.376836E-17	9.116804E-18
5.597643E+03	3.379948E-17	9.146428E-18
5.597843E+03	3.375282E-17	9.014999E-18
5.598043E+03	3.377070E-17	9.050047E-18
5.598243E+03	3.373883E-17	9.043993E-18
5.598443E+03	3.372873E-17	9.034685E-18
5.598643E+03	3.368915E-17	9.054288E-18
5.598843E+03	3.373339E-17	9.036236E-18
5.599043E+03	3.374349E-17	9.032982E-18
5.599243E+03	3.378081E-17	8.900480E-18
5.599443E+03	3.379403E-17	8.850530E-18
5.599643E+03	3.375826E-17	8.904955E-18
5.599843E+03	3.379247E-17	8.935815E-18
5.600043E+03	3.380104E-17	8.832362E-18
5.600243E+03	3.371475E-17	8.769107E-18
5.600443E+03	3.374116E-17	8.819902E-18
5.600643E+03	3.369458E-17	8.830977E-18
5.600844E+03	3.358381E-17	8.830590E-18
5.601044E+03	3.363411E-17	8.803452E-18
5.601244E+03	3.357685E-17	8.798098E-18
5.601444E+03	3.360934E-17	8.768814E-18
5.601644E+03	3.356758E-17	8.742753E-18
5.601844E+03	3.350734E-17	8.741107E-18
5.602044E+03	3.348343E-17	8.738262E-18
5.602244E+03	3.351429E-17	8.734306E-18
5.602444E+03	3.351583E-17	8.775178E-18
5.602644E+03	3.348960E-17	8.775290E-18
5.602844E+03	3.346725E-17	8.775520E-18
5.603044E+03	3.343028E-17	8.776403E-18
5.603244E+03	3.332576E-17	8.754986E-18
5.603444E+03	3.332499E-17	8.729431E-18
5.603644E+03	3.333113E-17	8.724670E-18
5.603844E+03	3.328358E-17	8.691630E-18
5.604044E+03	3.325370E-17	8.653331E-18
5.604244E+03	3.327208E-17	8.617824E-18
5.604444E+03	3.330121E-17	8.575412E-18
5.604644E+03	3.322844E-17	8.608120E-18
5.604844E+03	3.318257E-17	8.425775E-18
5.605044E+03	3.313905E-17	8.403804E-18
5.605244E+03	3.313142E-17	8.360025E-18
5.605444E+03	3.310320E-17	8.358028E-18
5.605644E+03	3.310015E-17	8.361260E-18
5.605844E+03	3.312303E-17	8.364292E-18
5.606044E+03	3.303924E-17	8.376949E-18
5.606245E+03	3.299742E-17	8.363019E-18
5.606445E+03	3.292987E-17	8.351168E-18
5.606645E+03	3.285413E-17	8.346871E-18
5.606845E+03	3.282313E-17	8.307917E-18
5.607044E+03	3.279216E-17	8.278037E-18
5.607244E+03	3.281482E-17	8.298990E-18
5.607444E+03	3.272729E-17	8.305105E-18
5.607645E+03	3.273482E-17	8.290782E-18
5.607845E+03	3.267608E-17	8.322621E-18
