#wls	flux	fluxerr
3.289398E+03	3.409909E-18	2.404977E-19
3.365638E+03	3.014470E-18	1.973502E-19
3.443646E+03	2.674007E-18	1.623935E-19
3.523461E+03	2.387088E-18	1.346619E-19
3.605127E+03	2.151366E-18	1.130913E-19
3.688685E+03	1.963548E-18	9.661830E-20
3.774180E+03	1.819446E-18	8.424285E-20
3.861657E+03	1.714036E-18	7.506038E-20
3.951161E+03	1.641739E-18	6.828012E-20
4.042739E+03	1.596945E-18	6.324775E-20
4.136440E+03	1.574670E-18	5.947242E-20
4.232313E+03	1.571013E-18	5.662573E-20
4.330408E+03	1.582808E-18	5.447314E-20
4.430777E+03	1.606967E-18	5.279764E-20
4.533472E+03	1.640679E-18	5.143829E-20
4.638547E+03	1.682188E-18	5.037595E-20
4.746057E+03	1.731178E-18	4.974454E-20
4.856060E+03	1.788165E-18	4.970086E-20
4.968612E+03	1.853525E-18	5.021352E-20
5.083772E+03	1.927383E-18	5.103406E-20
5.201602E+03	2.010435E-18	5.192943E-20
5.322163E+03	2.105368E-18	5.290080E-20
5.445518E+03	2.217786E-18	5.422272E-20
5.571732E+03	2.356280E-18	5.627523E-20
5.700872E+03	2.530875E-18	5.900848E-20
5.833005E+03	2.751321E-18	6.189395E-20
5.968200E+03	3.025424E-18	6.441929E-20
6.106529E+03	3.354348E-18	6.637947E-20
6.248063E+03	3.723859E-18	6.824335E-20
6.392879E+03	4.097896E-18	7.142726E-20
6.541051E+03	4.447903E-18	7.713733E-20
6.692657E+03	4.789755E-18	8.480663E-20
6.847777E+03	5.148050E-18	9.260051E-20
7.006492E+03	5.536247E-18	9.895473E-20
7.168886E+03	5.958282E-18	1.028512E-19
7.335044E+03	6.416812E-18	1.035419E-19
7.505052E+03	6.914451E-18	1.007775E-19
7.679002E+03	7.436302E-18	9.618981E-20
7.856983E+03	7.927099E-18	9.547011E-20
8.039089E+03	8.316137E-18	1.028405E-19
8.225416E+03	8.560961E-18	1.117055E-19
8.416062E+03	8.682375E-18	1.152821E-19
8.611126E+03	8.758034E-18	1.117214E-19
8.810712E+03	8.893269E-18	1.033184E-19
9.014923E+03	9.211947E-18	9.732527E-20
9.223868E+03	9.865319E-18	1.047393E-19
9.437655E+03	1.091459E-17	1.246544E-19
9.656398E+03	1.229191E-17	1.469294E-19
9.880210E+03	1.390248E-17	1.681004E-19
1.010921E+04	1.556014E-17	1.934836E-19
1.034352E+04	1.685439E-17	2.265684E-19
1.058326E+04	1.749518E-17	2.606510E-19
1.082855E+04	1.749904E-17	2.838575E-19
1.107953E+04	1.702467E-17	2.911605E-19
1.133633E+04	1.625116E-17	2.829403E-19
1.159908E+04	1.533749E-17	2.619149E-19
1.186792E+04	1.441187E-17	2.325676E-19
1.214299E+04	1.356906E-17	2.016157E-19
1.242443E+04	1.288512E-17	1.802594E-19
1.271240E+04	1.245562E-17	1.810257E-19
1.300704E+04	1.228594E-17	1.999869E-19
1.330852E+04	1.232607E-17	2.245326E-19
1.361698E+04	1.253372E-17	2.469414E-19
1.393259E+04	1.284541E-17	2.622890E-19
1.425551E+04	1.318498E-17	2.673335E-19
1.458592E+04	1.347273E-17	2.609548E-19
1.492399E+04	1.363195E-17	2.442282E-19
1.526989E+04	1.359715E-17	2.196450E-19
1.562381E+04	1.333919E-17	1.902376E-19
1.598593E+04	1.289757E-17	1.611417E-19
1.635645E+04	1.240119E-17	1.445923E-19
1.673555E+04	1.201935E-17	1.507585E-19
1.712344E+04	1.178481E-17	1.698347E-19
1.752032E+04	1.170790E-17	1.924841E-19
1.792640E+04	1.179224E-17	2.149729E-19
1.834189E+04	1.201656E-17	2.344111E-19
1.876702E+04	1.232937E-17	2.468758E-19
1.920199E+04	1.266177E-17	2.486408E-19
1.964705E+04	1.293802E-17	2.372923E-19
2.010242E+04	1.307786E-17	2.116604E-19
2.056835E+04	1.299907E-17	1.717956E-19
2.104507E+04	1.261994E-17	1.232857E-19
2.153285E+04	1.188707E-17	9.543615E-20
2.203193E+04	1.088080E-17	1.254384E-19
2.254258E+04	9.744511E-18	1.756506E-19
2.306506E+04	8.622219E-18	2.223357E-19
2.359965E+04	7.584925E-18	2.621471E-19
2.414664E+04	6.654981E-18	2.951584E-19
2.470630E+04	5.834194E-18	3.216144E-19
