#wls	flux	fluxerr
3.257341E+03	7.553238E-05	1.010551E-05
3.332545E+03	6.642591E-05	8.810871E-06
3.409486E+03	5.796686E-05	7.619103E-06
3.488202E+03	5.046322E-05	6.569212E-06
3.568737E+03	4.417275E-05	5.691964E-06
3.651131E+03	3.918679E-05	4.995214E-06
3.735426E+03	3.542380E-05	4.464107E-06
3.821669E+03	3.270135E-05	4.071246E-06
3.909902E+03	3.083741E-05	3.789977E-06
4.000172E+03	2.967658E-05	3.597660E-06
4.092527E+03	2.908974E-05	3.475501E-06
4.187014E+03	2.901566E-05	3.413315E-06
4.283682E+03	2.942460E-05	3.404750E-06
4.382582E+03	3.024729E-05	3.438921E-06
4.483766E+03	3.134405E-05	3.497410E-06
4.587285E+03	3.256934E-05	3.562147E-06
4.693195E+03	3.384977E-05	3.623966E-06
4.801549E+03	3.515129E-05	3.678451E-06
4.912406E+03	3.643861E-05	3.721377E-06
5.025822E+03	3.766583E-05	3.747842E-06
5.141856E+03	3.876737E-05	3.751584E-06
5.260569E+03	3.979610E-05	3.738302E-06
5.382023E+03	4.111191E-05	3.741156E-06
5.506281E+03	4.344311E-05	3.821482E-06
5.633408E+03	4.734810E-05	4.016988E-06
5.763470E+03	5.289781E-05	4.317360E-06
5.896535E+03	6.002834E-05	4.699457E-06
6.032673E+03	6.833185E-05	5.114072E-06
6.171952E+03	7.658464E-05	5.458556E-06
6.314448E+03	8.252581E-05	5.577591E-06
6.460234E+03	8.510636E-05	5.428227E-06
6.609386E+03	8.808519E-05	5.274322E-06
6.761980E+03	9.509828E-05	5.315586E-06
6.918099E+03	1.073864E-04	5.567379E-06
7.077821E+03	1.244408E-04	5.940522E-06
7.241231E+03	1.450367E-04	6.325693E-06
7.408414E+03	1.681672E-04	6.651243E-06
7.579457E+03	1.926555E-04	6.874099E-06
7.754448E+03	2.149708E-04	6.923110E-06
7.933481E+03	2.270305E-04	6.664329E-06
8.116646E+03	2.308144E-04	6.247404E-06
8.304040E+03	2.305155E-04	5.775352E-06
8.495761E+03	2.295847E-04	5.303400E-06
8.691908E+03	2.274269E-04	4.833916E-06
8.892583E+03	2.197951E-04	4.395621E-06
9.097892E+03	2.048343E-04	4.123888E-06
9.307941E+03	1.993882E-04	4.320472E-06
9.522839E+03	2.061779E-04	4.934567E-06
9.742699E+03	2.231255E-04	5.922765E-06
9.967638E+03	2.519475E-04	7.438991E-06
1.019776E+04	2.772714E-04	9.102343E-06
1.043321E+04	2.839502E-04	1.027343E-05
1.067409E+04	2.808674E-04	1.099224E-05
1.092052E+04	2.725474E-04	1.126924E-05
1.117265E+04	2.594904E-04	1.105805E-05
1.143060E+04	2.433046E-04	1.044220E-05
1.169451E+04	2.262484E-04	9.612753E-06
1.196451E+04	2.103670E-04	8.815367E-06
1.224074E+04	1.963276E-04	8.281816E-06
1.252335E+04	1.846976E-04	8.195172E-06
1.281249E+04	1.776869E-04	8.576142E-06
1.310829E+04	1.780439E-04	9.400455E-06
1.341094E+04	1.862414E-04	1.062092E-05
1.372056E+04	1.988222E-04	1.198268E-05
1.403733E+04	2.116158E-04	1.313266E-05
1.436142E+04	2.231556E-04	1.386274E-05
1.469299E+04	2.348321E-04	1.417447E-05
1.503222E+04	2.482330E-04	1.413086E-05
1.537928E+04	2.595748E-04	1.360046E-05
1.573435E+04	2.585196E-04	1.244332E-05
1.609762E+04	2.370224E-04	1.106666E-05
1.646927E+04	2.077205E-04	1.043682E-05
1.684951E+04	1.880155E-04	1.073015E-05
1.723852E+04	1.766493E-04	1.140838E-05
1.763653E+04	1.725135E-04	1.225510E-05
1.804371E+04	1.762460E-04	1.328505E-05
1.846029E+04	1.885697E-04	1.450416E-05
1.888650E+04	2.093579E-04	1.573781E-05
1.932255E+04	2.377891E-04	1.659303E-05
1.976866E+04	2.698902E-04	1.632806E-05
2.022507E+04	2.958016E-04	1.400650E-05
2.069202E+04	3.025180E-04	9.531147E-06
2.116975E+04	2.824002E-04	6.119588E-06
2.165851E+04	2.451213E-04	8.476223E-06
2.215855E+04	2.066658E-04	1.135275E-05
2.267014E+04	1.732505E-04	1.294118E-05
2.319354E+04	1.462371E-04	1.351917E-05
2.372903E+04	1.243106E-04	1.341150E-05
2.427687E+04	1.058563E-04	1.281212E-05
