#wls	flux	fluxerr
3.257341E+03	1.469811E-02	1.187343E-03
3.332545E+03	1.450969E-02	1.164324E-03
3.409486E+03	1.436463E-02	1.145031E-03
3.488202E+03	1.421768E-02	1.125850E-03
3.568737E+03	1.411408E-02	1.110385E-03
3.651131E+03	1.417161E-02	1.107813E-03
3.735426E+03	1.447843E-02	1.124754E-03
3.821669E+03	1.504744E-02	1.161854E-03
3.909902E+03	1.576198E-02	1.209773E-03
4.000172E+03	1.639745E-02	1.251140E-03
4.092527E+03	1.676152E-02	1.271422E-03
4.187014E+03	1.681804E-02	1.268182E-03
4.283682E+03	1.670117E-02	1.251802E-03
4.382582E+03	1.659180E-02	1.235900E-03
4.483766E+03	1.652809E-02	1.223188E-03
4.587285E+03	1.642160E-02	1.206990E-03
4.693195E+03	1.616267E-02	1.179257E-03
4.801549E+03	1.561561E-02	1.130314E-03
4.912406E+03	1.476525E-02	1.059517E-03
5.025822E+03	1.373369E-02	9.761167E-04
5.141856E+03	1.268862E-02	8.923404E-04
5.260569E+03	1.179551E-02	8.198190E-04
5.382023E+03	1.126661E-02	7.728333E-04
5.506281E+03	1.111139E-02	7.510615E-04
5.633408E+03	1.109286E-02	7.375636E-04
5.763470E+03	1.102318E-02	7.195328E-04
5.896535E+03	1.076591E-02	6.883654E-04
6.032673E+03	1.022713E-02	6.389644E-04
6.171952E+03	9.306015E-03	5.665766E-04
6.314448E+03	8.080984E-03	4.780081E-04
6.460234E+03	6.981260E-03	3.999208E-04
6.609386E+03	6.248606E-03	3.454510E-04
6.761980E+03	5.864058E-03	3.117339E-04
6.918099E+03	5.749907E-03	2.928343E-04
7.077821E+03	5.840593E-03	2.839514E-04
7.241231E+03	6.059713E-03	2.803565E-04
7.408414E+03	6.290795E-03	2.763707E-04
7.579457E+03	6.393591E-03	2.665519E-04
7.754448E+03	6.276777E-03	2.484405E-04
7.933481E+03	5.925903E-03	2.230318E-04
8.116646E+03	5.412820E-03	1.944544E-04
8.304040E+03	4.831670E-03	1.670035E-04
8.495761E+03	4.240358E-03	1.430659E-04
8.691908E+03	3.686139E-03	1.241558E-04
8.892583E+03	3.240227E-03	1.120154E-04
9.097892E+03	2.933729E-03	1.067249E-04
9.307941E+03	2.747682E-03	1.069390E-04
9.522839E+03	2.668836E-03	1.121173E-04
9.742699E+03	2.673296E-03	1.216362E-04
9.967638E+03	2.714329E-03	1.336464E-04
1.019776E+04	2.730994E-03	1.449770E-04
1.043321E+04	2.681325E-03	1.526818E-04
1.067409E+04	2.565478E-03	1.557913E-04
1.092052E+04	2.408448E-03	1.550520E-04
1.117265E+04	2.236144E-03	1.517536E-04
1.143060E+04	2.066142E-03	1.470394E-04
1.169451E+04	1.907874E-03	1.417284E-04
1.196451E+04	1.765217E-03	1.363484E-04
1.224074E+04	1.638950E-03	1.312253E-04
1.252335E+04	1.528562E-03	1.265628E-04
1.281249E+04	1.432450E-03	1.223821E-04
1.310829E+04	1.347056E-03	1.184696E-04
1.341094E+04	1.267343E-03	1.144478E-04
1.372056E+04	1.188546E-03	1.099249E-04
1.403733E+04	1.107782E-03	1.046570E-04
1.436142E+04	1.024342E-03	9.860014E-05
1.469299E+04	9.391218E-04	9.187487E-05
1.503222E+04	8.540864E-04	8.472355E-05
1.537928E+04	7.722837E-04	7.751309E-05
1.573435E+04	6.981746E-04	7.076695E-05
1.609762E+04	6.375645E-04	6.515404E-05
1.646927E+04	5.946498E-04	6.116591E-05
1.684951E+04	5.653015E-04	5.842054E-05
1.723852E+04	5.437268E-04	5.634273E-05
1.763653E+04	5.256608E-04	5.450138E-05
1.804371E+04	5.076292E-04	5.254424E-05
1.846029E+04	4.867055E-04	5.018185E-05
1.888650E+04	4.610054E-04	4.724627E-05
1.932255E+04	4.301809E-04	4.374493E-05
1.976866E+04	3.952690E-04	3.984161E-05
2.022507E+04	3.581030E-04	3.578808E-05
2.069202E+04	3.208746E-04	3.186954E-05
2.116975E+04	2.860037E-04	2.838110E-05
2.165851E+04	2.552893E-04	2.549811E-05
2.215855E+04	2.284415E-04	2.309016E-05
2.267014E+04	2.053871E-04	2.106846E-05
2.319354E+04	1.862599E-04	1.940544E-05
2.372903E+04	1.709805E-04	1.808093E-05
2.427687E+04	1.591813E-04	1.706083E-05
