#wls	flux	fluxerr
3.257341E+03	8.297804E-05	0.000000E+00
3.332545E+03	7.205724E-05	0.000000E+00
3.409486E+03	6.198517E-05	0.000000E+00
3.488202E+03	5.293659E-05	0.000000E+00
3.568737E+03	4.500431E-05	0.000000E+00
3.651131E+03	3.819508E-05	0.000000E+00
3.735426E+03	3.244342E-05	0.000000E+00
3.821669E+03	2.763643E-05	0.000000E+00
3.909902E+03	2.364018E-05	0.000000E+00
4.000172E+03	2.032085E-05	0.000000E+00
4.092527E+03	1.755796E-05	0.000000E+00
4.187014E+03	1.525018E-05	0.000000E+00
4.283682E+03	1.331568E-05	0.000000E+00
4.382582E+03	1.168966E-05	0.000000E+00
4.483766E+03	1.032122E-05	0.000000E+00
4.587285E+03	9.170644E-06	0.000000E+00
4.693195E+03	8.207101E-06	0.000000E+00
4.801549E+03	7.406728E-06	0.000000E+00
4.912406E+03	6.750868E-06	0.000000E+00
5.025822E+03	6.224491E-06	0.000000E+00
5.141856E+03	5.814616E-06	0.000000E+00
5.260569E+03	5.508496E-06	0.000000E+00
5.382023E+03	5.291515E-06	0.000000E+00
5.506281E+03	5.145224E-06	0.000000E+00
5.633408E+03	5.046588E-06	0.000000E+00
5.763470E+03	4.969559E-06	0.000000E+00
5.896535E+03	4.889251E-06	0.000000E+00
6.032673E+03	4.787512E-06	0.000000E+00
6.171952E+03	4.657596E-06	0.000000E+00
6.314448E+03	4.505275E-06	0.000000E+00
6.460234E+03	4.345005E-06	0.000000E+00
6.609386E+03	4.192671E-06	0.000000E+00
6.761980E+03	4.058833E-06	0.000000E+00
6.918099E+03	3.945711E-06	0.000000E+00
7.077821E+03	3.848168E-06	0.000000E+00
7.241231E+03	3.757013E-06	0.000000E+00
7.408414E+03	3.662741E-06	0.000000E+00
7.579457E+03	3.558396E-06	0.000000E+00
7.754448E+03	3.440681E-06	0.000000E+00
7.933481E+03	3.309298E-06	0.000000E+00
8.116646E+03	3.165722E-06	0.000000E+00
8.304040E+03	3.012907E-06	0.000000E+00
8.495761E+03	2.856179E-06	0.000000E+00
8.691908E+03	2.704090E-06	0.000000E+00
8.892583E+03	2.567859E-06	0.000000E+00
9.097892E+03	2.459176E-06	0.000000E+00
9.307941E+03	2.387007E-06	0.000000E+00
9.522839E+03	2.354847E-06	0.000000E+00
9.742699E+03	2.360013E-06	0.000000E+00
9.967638E+03	2.394874E-06	0.000000E+00
1.019776E+04	2.449129E-06	0.000000E+00
1.043321E+04	2.512623E-06	0.000000E+00
1.067409E+04	2.577945E-06	0.000000E+00
1.092052E+04	2.641735E-06	0.000000E+00
1.117265E+04	2.704646E-06	0.000000E+00
1.143060E+04	2.770793E-06	0.000000E+00
1.169451E+04	2.847286E-06	0.000000E+00
1.196451E+04	2.943612E-06	0.000000E+00
1.224074E+04	3.070285E-06	0.000000E+00
1.252335E+04	3.236513E-06	0.000000E+00
1.281249E+04	3.447300E-06	0.000000E+00
1.310829E+04	3.701160E-06	0.000000E+00
1.341094E+04	3.989612E-06	0.000000E+00
1.372056E+04	4.299043E-06	0.000000E+00
1.403733E+04	4.614656E-06	0.000000E+00
1.436142E+04	4.924803E-06	0.000000E+00
1.469299E+04	5.223398E-06	0.000000E+00
1.503222E+04	5.509794E-06	0.000000E+00
1.537928E+04	5.787790E-06	0.000000E+00
1.573435E+04	6.065677E-06	0.000000E+00
1.609762E+04	6.356568E-06	0.000000E+00
1.646927E+04	6.676165E-06	0.000000E+00
1.684951E+04	7.037382E-06	0.000000E+00
1.723852E+04	7.445095E-06	0.000000E+00
1.763653E+04	7.893677E-06	0.000000E+00
1.804371E+04	8.367019E-06	0.000000E+00
1.846029E+04	8.840269E-06	0.000000E+00
1.888650E+04	9.283807E-06	0.000000E+00
1.932255E+04	9.670534E-06	0.000000E+00
1.976866E+04	9.987237E-06	0.000000E+00
2.022507E+04	1.024932E-05	0.000000E+00
2.069202E+04	1.051447E-05	0.000000E+00
2.116975E+04	1.088501E-05	0.000000E+00
2.165851E+04	1.147344E-05	0.000000E+00
2.215855E+04	1.231048E-05	0.000000E+00
2.267014E+04	1.335625E-05	0.000000E+00
2.319354E+04	1.454551E-05	0.000000E+00
2.372903E+04	1.580063E-05	0.000000E+00
2.427687E+04	1.704278E-05	0.000000E+00
