#wls	flux	fluxerr
3.257341E+03	5.321848E-18	9.460495E-19
3.332545E+03	4.637381E-18	8.220294E-19
3.409486E+03	3.992289E-18	7.055364E-19
3.488202E+03	3.413241E-18	6.012580E-19
3.568737E+03	2.919814E-18	5.125690E-19
3.651131E+03	2.518263E-18	4.404542E-19
3.735426E+03	2.201893E-18	3.836099E-19
3.821669E+03	1.957742E-18	3.396454E-19
3.909902E+03	1.771724E-18	3.059958E-19
4.000172E+03	1.630409E-18	2.802386E-19
4.092527E+03	1.522408E-18	2.603308E-19
4.187014E+03	1.440087E-18	2.448975E-19
4.283682E+03	1.377957E-18	2.329474E-19
4.382582E+03	1.331290E-18	2.236302E-19
4.483766E+03	1.294595E-18	2.159838E-19
4.587285E+03	1.263025E-18	2.091722E-19
4.693195E+03	1.234028E-18	2.027578E-19
4.801549E+03	1.206455E-18	1.965434E-19
4.912406E+03	1.179867E-18	1.904521E-19
5.025822E+03	1.155051E-18	1.846054E-19
5.141856E+03	1.133816E-18	1.792806E-19
5.260569E+03	1.121157E-18	1.752392E-19
5.382023E+03	1.126190E-18	1.738375E-19
5.506281E+03	1.159753E-18	1.766128E-19
5.633408E+03	1.224137E-18	1.837092E-19
5.763470E+03	1.309425E-18	1.934214E-19
5.896535E+03	1.401936E-18	2.035687E-19
6.032673E+03	1.483375E-18	2.114384E-19
6.171952E+03	1.530583E-18	2.138391E-19
6.314448E+03	1.527708E-18	2.088680E-19
6.460234E+03	1.490981E-18	1.991454E-19
6.609386E+03	1.467886E-18	1.912020E-19
6.761980E+03	1.487065E-18	1.885608E-19
6.918099E+03	1.555397E-18	1.916508E-19
7.077821E+03	1.666949E-18	1.992553E-19
7.241231E+03	1.811034E-18	2.097001E-19
7.408414E+03	1.978113E-18	2.216385E-19
7.579457E+03	2.159299E-18	2.340133E-19
7.754448E+03	2.345224E-18	2.459596E-19
7.933481E+03	2.540029E-18	2.582576E-19
8.116646E+03	2.755750E-18	2.725572E-19
8.304040E+03	2.985451E-18	2.884554E-19
8.495761E+03	3.227339E-18	3.060301E-19
8.691908E+03	3.459592E-18	3.235479E-19
8.892583E+03	3.633844E-18	3.369580E-19
9.097892E+03	3.772016E-18	3.487592E-19
9.307941E+03	4.029511E-18	3.732021E-19
9.522839E+03	4.401596E-18	4.092926E-19
9.742699E+03	4.840497E-18	4.518886E-19
9.967638E+03	5.339725E-18	4.993958E-19
1.019776E+04	5.741827E-18	5.358322E-19
1.043321E+04	5.898608E-18	5.462393E-19
1.067409E+04	5.859475E-18	5.348438E-19
1.092052E+04	5.707076E-18	5.096301E-19
1.117265E+04	5.482995E-18	4.753360E-19
1.143060E+04	5.205704E-18	4.351744E-19
1.169451E+04	4.902840E-18	3.936248E-19
1.196451E+04	4.605500E-18	3.556993E-19
1.224074E+04	4.347523E-18	3.266555E-19
1.252335E+04	4.189129E-18	3.133015E-19
1.281249E+04	4.166775E-18	3.172523E-19
1.310829E+04	4.263466E-18	3.339456E-19
1.341094E+04	4.463023E-18	3.591783E-19
1.372056E+04	4.705557E-18	3.851639E-19
1.403733E+04	4.927184E-18	4.034681E-19
1.436142E+04	5.116240E-18	4.102882E-19
1.469299E+04	5.306754E-18	4.064247E-19
1.503222E+04	5.527100E-18	3.932408E-19
1.537928E+04	5.746823E-18	3.702677E-19
1.573435E+04	5.869638E-18	3.397458E-19
1.609762E+04	5.825177E-18	3.170908E-19
1.646927E+04	5.736653E-18	3.293065E-19
1.684951E+04	5.752166E-18	3.749293E-19
1.723852E+04	5.879929E-18	4.369196E-19
1.763653E+04	6.127501E-18	5.053664E-19
1.804371E+04	6.516782E-18	5.757032E-19
1.846029E+04	7.049546E-18	6.420888E-19
1.888650E+04	7.694636E-18	6.935559E-19
1.932255E+04	8.395247E-18	7.143762E-19
1.976866E+04	9.029085E-18	6.836511E-19
2.022507E+04	9.370113E-18	5.824237E-19
2.069202E+04	9.189762E-18	4.227240E-19
2.116975E+04	8.480853E-18	2.979865E-19
2.165851E+04	7.743498E-18	3.486562E-19
2.215855E+04	7.327554E-18	4.850355E-19
2.267014E+04	7.131193E-18	6.283452E-19
2.319354E+04	7.092445E-18	7.659882E-19
2.372903E+04	7.144065E-18	8.942285E-19
2.427687E+04	7.213527E-18	1.006708E-18
