#wls	flux	fluxerr
3.257341E+03	2.481905E-03	9.340329E-05
3.257341E+03	2.481905E-03	9.340329E-05
3.332545E+03	2.315792E-03	8.383262E-05
3.332545E+03	2.315792E-03	8.383262E-05
3.409486E+03	2.210926E-03	7.677068E-05
3.409486E+03	2.210926E-03	7.677068E-05
3.488202E+03	2.177808E-03	7.231689E-05
3.488202E+03	2.177808E-03	7.231689E-05
3.568737E+03	2.230152E-03	7.059471E-05
3.568737E+03	2.230152E-03	7.059471E-05
3.651131E+03	2.383786E-03	7.169384E-05
3.651131E+03	2.383786E-03	7.169384E-05
3.735426E+03	2.650561E-03	7.548318E-05
3.735426E+03	2.650561E-03	7.548318E-05
3.783570E+03	1.800718E-03	4.966025E-05
3.785550E+03	1.823308E-03	5.021613E-05
3.787531E+03	1.846353E-03	5.078291E-05
3.789511E+03	1.865303E-03	5.123556E-05
3.791492E+03	1.895896E-03	5.200622E-05
3.793373E+03	1.926692E-03	5.278375E-05
3.795354E+03	1.944454E-03	5.319902E-05
3.797334E+03	1.959086E-03	5.352747E-05
3.799315E+03	1.991221E-03	5.433248E-05
3.801295E+03	2.019508E-03	5.503032E-05
3.803177E+03	2.041102E-03	5.554773E-05
3.805157E+03	2.069051E-03	5.623261E-05
3.807138E+03	2.099269E-03	5.697706E-05
3.809118E+03	2.129977E-03	5.773264E-05
3.811099E+03	2.159346E-03	5.844978E-05
3.812980E+03	2.180681E-03	5.895159E-05
3.814961E+03	2.199985E-03	5.939314E-05
3.816941E+03	2.224425E-03	5.997177E-05
3.818922E+03	2.245927E-03	6.046956E-05
3.820902E+03	2.258935E-03	6.073745E-05
3.822784E+03	2.278793E-03	6.119251E-05
3.824764E+03	2.306128E-03	6.184257E-05
3.826745E+03	2.330570E-03	6.241319E-05
3.828725E+03	2.355652E-03	6.299921E-05
3.830706E+03	2.384021E-03	6.367122E-05
3.832686E+03	2.408350E-03	6.423344E-05
3.834568E+03	2.434733E-03	6.485310E-05
3.836548E+03	2.455845E-03	6.532629E-05
3.838529E+03	2.470307E-03	6.562133E-05
3.840509E+03	2.492245E-03	6.611369E-05
3.842490E+03	2.524241E-03	6.687097E-05
3.844371E+03	2.543686E-03	6.729854E-05
3.846352E+03	2.556078E-03	6.753380E-05
3.848332E+03	2.571548E-03	6.784946E-05
3.850313E+03	2.575582E-03	6.786269E-05
3.852293E+03	2.592484E-03	6.821426E-05
3.854175E+03	2.596088E-03	6.821994E-05
3.856155E+03	2.616379E-03	6.865861E-05
3.858136E+03	2.626466E-03	6.882846E-05
3.860116E+03	2.605814E-03	6.819319E-05
3.862097E+03	2.589554E-03	6.767421E-05
3.863978E+03	2.602249E-03	6.791683E-05
3.865959E+03	2.631968E-03	6.859759E-05
3.867939E+03	2.660618E-03	6.924842E-05
3.869920E+03	2.675806E-03	6.954734E-05
3.871900E+03	2.660522E-03	6.905431E-05
3.873782E+03	2.651863E-03	6.873893E-05
3.875762E+03	2.650169E-03	6.859967E-05
3.877743E+03	2.650427E-03	6.851108E-05
3.879724E+03	2.655941E-03	6.855815E-05
3.881704E+03	2.671168E-03	6.885526E-05
3.883685E+03	2.683885E-03	6.908670E-05
3.885566E+03	2.694568E-03	6.926981E-05
3.887547E+03	2.699368E-03	6.929636E-05
3.889527E+03	2.710534E-03	6.948583E-05
3.891508E+03	2.728337E-03	6.984441E-05
3.893488E+03	2.739877E-03	7.004167E-05
3.895370E+03	2.742373E-03	7.001218E-05
3.897350E+03	2.751947E-03	7.015807E-05
3.899331E+03	2.768174E-03	7.047269E-05
3.901311E+03	2.772279E-03	7.047804E-05
3.903292E+03	2.763569E-03	7.015782E-05
3.905173E+03	2.761126E-03	7.000206E-05
3.907154E+03	2.776770E-03	7.029945E-05
3.909134E+03	2.796042E-03	7.068751E-05
3.911115E+03	2.807871E-03	7.088634E-05
3.913095E+03	2.805052E-03	7.071510E-05
3.914977E+03	2.821027E-03	7.102222E-05
3.916957E+03	2.844075E-03	7.150108E-05
3.918938E+03	2.858809E-03	7.176960E-05
3.920918E+03	2.885353E-03	7.233320E-05
3.922899E+03	2.917648E-03	7.303890E-05
3.924780E+03	2.935819E-03	7.339453E-05
3.926761E+03	2.941192E-03	7.342418E-05
3.928741E+03	2.964950E-03	7.391181E-05
3.930722E+03	2.992757E-03	7.449859E-05
3.932702E+03	3.033161E-03	7.539658E-05
3.934683E+03	3.091005E-03	7.672459E-05
3.936564E+03	3.127059E-03	7.751403E-05
3.938545E+03	3.164975E-03	7.834153E-05
3.940525E+03	3.218654E-03	7.955601E-05
3.942506E+03	3.254982E-03	8.033845E-05
3.944486E+03	3.283392E-03	8.092323E-05
3.946368E+03	3.310847E-03	8.148839E-05
3.948348E+03	3.340361E-03	8.209643E-05
3.950329E+03	3.367733E-03	8.264986E-05
3.952309E+03	3.390015E-03	8.307667E-05
3.954290E+03	3.411819E-03	8.349022E-05
3.956171E+03	3.426591E-03	8.373653E-05
3.958152E+03	3.434127E-03	8.379921E-05
3.960132E+03	3.437718E-03	8.376530E-05
3.962113E+03	3.432926E-03	8.352720E-05
3.964093E+03	3.423722E-03	8.318226E-05
3.965975E+03	3.446551E-03	8.362126E-05
3.967955E+03	3.488981E-03	8.452753E-05
3.969936E+03	3.509398E-03	8.489829E-05
3.971916E+03	3.508380E-03	8.474988E-05
3.973897E+03	3.492211E-03	8.423611E-05
