#wls	flux	fluxerr
3.257341E+03	1.279466E-04	1.992227E-05
3.332545E+03	1.111826E-04	1.717194E-05
3.409486E+03	9.565353E-05	1.464708E-05
3.488202E+03	8.186948E-05	1.242282E-05
3.568737E+03	7.020742E-05	1.055100E-05
3.651131E+03	6.076076E-05	9.038468E-06
3.735426E+03	5.334139E-05	7.849226E-06
3.821669E+03	4.762707E-05	6.928155E-06
3.909902E+03	4.328147E-05	6.219515E-06
4.000172E+03	3.998895E-05	5.672208E-06
4.092527E+03	3.748244E-05	5.243732E-06
4.187014E+03	3.558857E-05	4.906144E-06
4.283682E+03	3.418342E-05	4.639293E-06
4.382582E+03	3.315652E-05	4.425595E-06
4.483766E+03	3.237208E-05	4.244914E-06
4.587285E+03	3.170833E-05	4.080036E-06
4.693195E+03	3.110327E-05	3.922399E-06
4.801549E+03	3.052977E-05	3.768368E-06
4.912406E+03	2.997548E-05	3.616378E-06
5.025822E+03	2.945619E-05	3.468347E-06
5.141856E+03	2.900995E-05	3.328587E-06
5.260569E+03	2.876079E-05	3.210561E-06
5.382023E+03	2.895224E-05	3.139115E-06
5.506281E+03	2.989450E-05	3.142860E-06
5.633408E+03	3.167924E-05	3.223680E-06
5.763470E+03	3.407752E-05	3.349820E-06
5.896535E+03	3.677538E-05	3.484145E-06
6.032673E+03	3.932668E-05	3.581711E-06
6.171952E+03	4.110818E-05	3.588766E-06
6.314448E+03	4.162033E-05	3.471900E-06
6.460234E+03	4.125415E-05	3.277303E-06
6.609386E+03	4.143154E-05	3.123726E-06
6.761980E+03	4.305074E-05	3.069412E-06
6.918099E+03	4.633125E-05	3.111608E-06
7.077821E+03	5.106084E-05	3.217506E-06
7.241231E+03	5.678432E-05	3.345888E-06
7.408414E+03	6.295200E-05	3.462712E-06
7.579457E+03	6.885743E-05	3.542437E-06
7.754448E+03	7.353846E-05	3.566940E-06
7.933481E+03	7.640228E-05	3.548549E-06
8.116646E+03	7.759959E-05	3.509784E-06
8.304040E+03	7.712584E-05	3.443483E-06
8.495761E+03	7.539508E-05	3.357463E-06
8.691908E+03	7.239093E-05	3.246238E-06
8.892583E+03	6.767946E-05	3.094116E-06
9.097892E+03	6.253471E-05	2.965973E-06
9.307941E+03	6.074776E-05	3.041461E-06
9.522839E+03	6.168336E-05	3.291226E-06
9.742699E+03	6.443171E-05	3.674547E-06
9.967638E+03	6.915007E-05	4.210653E-06
1.019776E+04	7.381983E-05	4.772755E-06
1.043321E+04	7.658761E-05	5.207609E-06
1.067409E+04	7.820316E-05	5.526265E-06
1.092052E+04	7.957060E-05	5.768616E-06
1.117265E+04	8.092603E-05	5.941262E-06
1.143060E+04	8.217241E-05	6.036676E-06
1.169451E+04	8.337341E-05	6.071889E-06
1.196451E+04	8.469464E-05	6.088413E-06
1.224074E+04	8.640432E-05	6.155599E-06
1.252335E+04	8.945914E-05	6.411501E-06
1.281249E+04	9.456223E-05	6.940042E-06
1.310829E+04	1.017697E-04	7.702240E-06
1.341094E+04	1.110791E-04	8.635060E-06
1.372056E+04	1.209883E-04	9.541580E-06
1.403733E+04	1.295267E-04	1.017103E-05
1.436142E+04	1.359927E-04	1.038337E-05
1.469299E+04	1.409560E-04	1.017333E-05
1.503222E+04	1.447890E-04	9.571411E-06
1.537928E+04	1.460597E-04	8.590458E-06
1.573435E+04	1.415805E-04	7.376873E-06
1.609762E+04	1.294871E-04	6.433804E-06
1.646927E+04	1.158888E-04	6.336123E-06
1.684951E+04	1.081387E-04	6.938270E-06
1.723852E+04	1.052347E-04	7.833738E-06
1.763653E+04	1.065648E-04	8.876929E-06
1.804371E+04	1.122249E-04	1.004492E-05
1.846029E+04	1.222464E-04	1.128383E-05
1.888650E+04	1.362860E-04	1.242493E-05
1.932255E+04	1.536285E-04	1.316673E-05
1.976866E+04	1.720830E-04	1.301688E-05
2.022507E+04	1.866246E-04	1.138086E-05
2.069202E+04	1.908264E-04	8.166035E-06
2.116975E+04	1.819125E-04	5.161402E-06
2.165851E+04	1.679165E-04	6.443327E-06
2.215855E+04	1.565318E-04	9.624017E-06
2.267014E+04	1.472691E-04	1.249443E-05
2.319354E+04	1.398715E-04	1.480966E-05
2.372903E+04	1.335253E-04	1.656537E-05
2.427687E+04	1.272251E-04	1.773182E-05
