#wls	flux	fluxerr
3.257341E+03	9.576544E-03	6.247004E-04
3.332545E+03	9.394327E-03	6.036033E-04
3.409486E+03	9.314080E-03	5.890889E-04
3.488202E+03	9.328899E-03	5.804392E-04
3.568737E+03	9.482047E-03	5.800229E-04
3.651131E+03	9.852293E-03	5.921474E-04
3.735426E+03	1.048631E-02	6.188603E-04
3.821669E+03	1.138145E-02	6.591250E-04
3.909902E+03	1.247717E-02	7.086071E-04
4.000172E+03	1.366591E-02	7.605964E-04
4.092527E+03	1.482879E-02	8.082415E-04
4.187014E+03	1.587441E-02	8.467122E-04
4.283682E+03	1.676945E-02	8.746571E-04
4.382582E+03	1.751457E-02	8.926476E-04
4.483766E+03	1.807812E-02	8.996866E-04
4.587285E+03	1.837064E-02	8.921673E-04
4.693195E+03	1.825310E-02	8.646177E-04
4.801549E+03	1.759899E-02	8.128059E-04
4.912406E+03	1.649688E-02	7.426942E-04
5.025822E+03	1.515130E-02	6.648842E-04
5.141856E+03	1.381498E-02	5.910592E-04
5.260569E+03	1.274287E-02	5.318603E-04
5.382023E+03	1.211500E-02	4.938779E-04
5.506281E+03	1.192718E-02	4.758568E-04
5.633408E+03	1.198682E-02	4.695143E-04
5.763470E+03	1.205585E-02	4.657334E-04
5.896535E+03	1.194434E-02	4.579622E-04
6.032673E+03	1.149836E-02	4.411320E-04
6.171952E+03	1.055491E-02	4.090729E-04
6.314448E+03	9.180667E-03	3.627020E-04
6.460234E+03	7.864645E-03	3.190753E-04
6.609386E+03	6.888678E-03	2.886034E-04
6.761980E+03	6.261674E-03	2.719261E-04
6.918099E+03	5.901931E-03	2.662703E-04
7.077821E+03	5.725132E-03	2.686085E-04
7.241231E+03	5.658886E-03	2.761298E-04
7.408414E+03	5.630254E-03	2.855848E-04
7.579457E+03	5.568621E-03	2.933581E-04
7.754448E+03	5.421084E-03	2.962765E-04
7.933481E+03	5.165588E-03	2.924932E-04
8.116646E+03	4.831682E-03	2.830276E-04
8.304040E+03	4.466729E-03	2.702617E-04
8.495761E+03	4.098003E-03	2.557364E-04
8.691908E+03	3.747365E-03	2.408821E-04
8.892583E+03	3.453442E-03	2.283970E-04
9.097892E+03	3.242255E-03	2.203836E-04
9.307941E+03	3.105620E-03	2.167242E-04
9.522839E+03	3.024999E-03	2.164898E-04
9.742699E+03	2.981532E-03	2.185955E-04
9.967638E+03	2.945528E-03	2.209932E-04
1.019776E+04	2.876766E-03	2.206241E-04
1.043321E+04	2.754358E-03	2.156768E-04
1.067409E+04	2.593004E-03	2.070532E-04
1.092052E+04	2.417087E-03	1.965663E-04
1.117265E+04	2.242387E-03	1.854889E-04
1.143060E+04	2.077231E-03	1.745729E-04
1.169451E+04	1.924883E-03	1.641911E-04
1.196451E+04	1.785691E-03	1.544840E-04
1.224074E+04	1.661048E-03	1.456844E-04
1.252335E+04	1.554564E-03	1.382132E-04
1.281249E+04	1.467139E-03	1.322095E-04
1.310829E+04	1.392526E-03	1.271383E-04
1.341094E+04	1.321482E-03	1.221652E-04
1.372056E+04	1.247894E-03	1.167143E-04
1.403733E+04	1.170219E-03	1.106262E-04
1.436142E+04	1.090005E-03	1.040415E-04
1.469299E+04	1.009659E-03	9.719964E-05
1.503222E+04	9.308595E-04	9.028488E-05
1.537928E+04	8.549547E-04	8.345911E-05
1.573435E+04	7.846027E-04	7.701802E-05
1.609762E+04	7.240048E-04	7.141272E-05
1.646927E+04	6.768902E-04	6.703579E-05
1.684951E+04	6.430534E-04	6.388153E-05
1.723852E+04	6.193968E-04	6.165250E-05
1.763653E+04	6.025913E-04	6.002247E-05
1.804371E+04	5.885017E-04	5.858226E-05
1.846029E+04	5.718050E-04	5.680740E-05
1.888650E+04	5.482595E-04	5.429158E-05
1.932255E+04	5.167518E-04	5.095400E-05
1.976866E+04	4.786416E-04	4.697137E-05
2.022507E+04	4.357786E-04	4.257535E-05
2.069202E+04	3.897471E-04	3.797100E-05
2.116975E+04	3.425406E-04	3.339202E-05
2.165851E+04	2.968441E-04	2.908264E-05
2.215855E+04	2.548801E-04	2.517544E-05
2.267014E+04	2.185375E-04	2.179833E-05
2.319354E+04	1.888508E-04	1.903181E-05
2.372903E+04	1.656477E-04	1.686000E-05
2.427687E+04	1.479304E-04	1.519364E-05
