#wls	flux	fluxerr
3.257341E+03	1.815028E-02	1.353482E-03
3.257341E+03	1.815028E-02	1.353482E-03
3.332545E+03	1.816961E-02	1.353860E-03
3.332545E+03	1.816961E-02	1.353860E-03
3.409486E+03	1.819057E-02	1.354260E-03
3.409486E+03	1.819057E-02	1.354260E-03
3.488202E+03	1.818262E-02	1.352401E-03
3.488202E+03	1.818262E-02	1.352401E-03
3.568737E+03	1.819163E-02	1.351685E-03
3.568737E+03	1.819163E-02	1.351685E-03
3.651131E+03	1.833838E-02	1.361060E-03
3.651131E+03	1.833838E-02	1.361060E-03
3.679593E+03	1.393925E-02	1.034140E-03
3.679890E+03	1.394031E-02	1.034214E-03
3.680088E+03	1.395386E-02	1.035216E-03
3.680286E+03	1.393435E-02	1.033765E-03
3.680484E+03	1.393377E-02	1.033720E-03
3.680781E+03	1.391880E-02	1.032604E-03
3.680979E+03	1.391405E-02	1.032250E-03
3.681276E+03	1.390134E-02	1.031302E-03
3.681474E+03	1.389757E-02	1.031019E-03
3.681771E+03	1.388647E-02	1.030191E-03
3.681969E+03	1.388014E-02	1.029719E-03
3.682266E+03	1.385948E-02	1.028182E-03
3.682465E+03	1.385635E-02	1.027947E-03
3.682762E+03	1.384242E-02	1.026909E-03
3.682960E+03	1.384344E-02	1.026982E-03
3.683257E+03	1.384449E-02	1.027055E-03
3.683455E+03	1.382449E-02	1.025568E-03
3.683752E+03	1.381600E-02	1.024934E-03
3.683950E+03	1.381352E-02	1.024747E-03
3.684247E+03	1.380884E-02	1.024396E-03
3.684445E+03	1.381622E-02	1.024940E-03
3.684742E+03	1.381505E-02	1.024849E-03
3.684940E+03	1.382880E-02	1.025866E-03
3.685237E+03	1.385280E-02	1.027642E-03
3.685435E+03	1.383437E-02	1.026272E-03
3.685732E+03	1.382874E-02	1.025850E-03
3.685930E+03	1.381703E-02	1.024978E-03
3.686228E+03	1.380790E-02	1.024297E-03
3.686426E+03	1.380479E-02	1.024063E-03
3.686723E+03	1.379376E-02	1.023240E-03
3.686921E+03	1.381385E-02	1.024728E-03
3.687218E+03	1.382350E-02	1.025439E-03
3.687416E+03	1.380352E-02	1.023954E-03
3.687713E+03	1.378171E-02	1.022331E-03
3.688010E+03	1.378942E-02	1.022899E-03
3.688208E+03	1.379647E-02	1.023419E-03
3.688505E+03	1.380674E-02	1.024177E-03
3.688703E+03	1.379028E-02	1.022953E-03
3.689000E+03	1.379864E-02	1.023568E-03
3.689198E+03	1.378727E-02	1.022722E-03
3.689495E+03	1.377975E-02	1.022160E-03
3.689693E+03	1.377791E-02	1.022020E-03
3.689990E+03	1.377008E-02	1.021435E-03
3.690189E+03	1.378791E-02	1.022755E-03
3.690387E+03	1.380227E-02	1.023817E-03
3.690585E+03	1.378709E-02	1.022688E-03
3.690882E+03	1.379608E-02	1.023350E-03
3.691080E+03	1.380377E-02	1.023918E-03
3.691377E+03	1.380546E-02	1.024038E-03
3.691575E+03	1.381252E-02	1.024559E-03
3.691872E+03	1.380530E-02	1.024020E-03
3.692070E+03	1.379075E-02	1.022937E-03
3.692367E+03	1.376927E-02	1.021340E-03
3.692565E+03	1.375540E-02	1.020307E-03
3.692862E+03	1.377673E-02	1.021885E-03
3.693060E+03	1.377870E-02	1.022028E-03
3.693357E+03	1.379213E-02	1.023020E-03
3.693555E+03	1.376839E-02	1.021257E-03
3.693852E+03	1.375677E-02	1.020390E-03
3.694051E+03	1.375240E-02	1.020063E-03
3.694348E+03	1.378198E-02	1.022252E-03
3.694546E+03	1.378521E-02	1.022490E-03
3.694843E+03	1.377674E-02	1.021857E-03
3.695041E+03	1.377681E-02	1.021859E-03
3.695338E+03	1.378833E-02	1.022709E-03
3.695536E+03	1.377475E-02	1.021699E-03
3.695833E+03	1.377390E-02	1.021631E-03
3.696031E+03	1.377999E-02	1.022080E-03
3.696328E+03	1.380232E-02	1.023731E-03
3.696526E+03	1.382656E-02	1.025526E-03
3.696823E+03	1.382856E-02	1.025671E-03
3.697021E+03	1.383882E-02	1.026429E-03
3.697318E+03	1.384689E-02	1.027022E-03
3.697516E+03	1.384249E-02	1.026693E-03
3.697814E+03	1.383112E-02	1.025845E-03
3.698111E+03	1.384109E-02	1.026581E-03
3.698309E+03	1.380710E-02	1.024056E-03
3.698606E+03	1.380465E-02	1.023871E-03
3.698804E+03	1.379455E-02	1.023118E-03
3.699101E+03	1.376736E-02	1.021097E-03
3.699299E+03	1.376679E-02	1.021052E-03
3.699596E+03	1.377006E-02	1.021290E-03
3.699794E+03	1.377837E-02	1.021903E-03
3.700091E+03	1.377847E-02	1.021906E-03
3.700289E+03	1.376426E-02	1.020850E-03
3.700586E+03	1.376246E-02	1.020711E-03
3.700685E+03	1.375204E-02	1.019937E-03
3.700982E+03	1.375530E-02	1.020175E-03
3.701180E+03	1.377407E-02	1.021563E-03
3.701477E+03	1.377702E-02	1.021778E-03
3.701676E+03	1.380121E-02	1.023569E-03
3.701973E+03	1.380989E-02	1.024209E-03
3.702171E+03	1.381664E-02	1.024706E-03
3.702468E+03	1.381897E-02	1.024874E-03
3.702666E+03	1.380631E-02	1.023932E-03
3.702963E+03	1.380672E-02	1.023958E-03
3.703161E+03	1.378297E-02	1.022194E-03
3.703458E+03	1.379513E-02	1.023091E-03
3.703656E+03	1.380950E-02	1.024154E-03
3.703953E+03	1.382391E-02	1.025218E-03
3.704151E+03	1.384118E-02	1.026496E-03
3.704448E+03	1.385530E-02	1.027539E-03
3.704646E+03	1.385186E-02	1.027280E-03
3.704943E+03	1.386823E-02	1.028490E-03
3.705240E+03	1.386195E-02	1.028020E-03
3.705438E+03	1.386552E-02	1.028282E-03
3.705736E+03	1.389343E-02	1.030347E-03
3.705934E+03	1.389957E-02	1.030799E-03
3.706231E+03	1.391440E-02	1.031895E-03
3.706429E+03	1.392633E-02	1.032776E-03
3.706726E+03	1.394568E-02	1.034207E-03
3.706924E+03	1.395121E-02	1.034613E-03
3.707221E+03	1.394328E-02	1.034021E-03
3.707419E+03	1.395523E-02	1.034904E-03
3.707716E+03	1.394922E-02	1.034454E-03
3.707914E+03	1.395635E-02	1.034980E-03
3.708211E+03	1.394553E-02	1.034173E-03
3.708409E+03	1.394078E-02	1.033818E-03
3.708706E+03	1.393222E-02	1.033178E-03
3.708904E+03	1.394737E-02	1.034299E-03
3.709201E+03	1.394008E-02	1.033754E-03
3.709400E+03	1.395396E-02	1.034780E-03
3.709697E+03	1.394153E-02	1.033854E-03
3.709895E+03	1.395187E-02	1.034617E-03
