#wls	flux	fluxerr
3.257341E+03	2.028445E-04	1.995488E-05
3.332545E+03	1.758255E-04	1.710883E-05
3.409486E+03	1.529070E-04	1.470915E-05
3.488202E+03	1.342772E-04	1.276274E-05
3.568737E+03	1.198517E-04	1.124905E-05
3.651131E+03	1.094760E-04	1.014054E-05
3.735426E+03	1.029493E-04	9.405156E-06
3.821669E+03	9.995882E-05	9.000912E-06
3.909902E+03	1.000435E-04	8.873456E-06
4.000172E+03	1.027037E-04	8.966852E-06
4.092527E+03	1.076490E-04	9.245324E-06
4.187014E+03	1.152713E-04	9.731989E-06
4.283682E+03	1.265654E-04	1.049731E-05
4.382582E+03	1.415957E-04	1.152964E-05
4.483766E+03	1.593988E-04	1.273409E-05
4.587285E+03	1.783803E-04	1.397196E-05
4.693195E+03	1.970195E-04	1.512017E-05
4.801549E+03	2.151952E-04	1.617077E-05
4.912406E+03	2.331836E-04	1.714634E-05
5.025822E+03	2.495701E-04	1.794632E-05
5.141856E+03	2.619946E-04	1.841192E-05
5.260569E+03	2.678008E-04	1.837949E-05
5.382023E+03	2.658668E-04	1.780623E-05
5.506281E+03	2.608010E-04	1.703195E-05
5.633408E+03	2.606341E-04	1.658353E-05
5.763470E+03	2.709949E-04	1.678344E-05
5.896535E+03	2.936107E-04	1.768021E-05
6.032673E+03	3.257980E-04	1.905173E-05
6.171952E+03	3.590337E-04	2.036328E-05
6.314448E+03	3.817221E-04	2.097332E-05
6.460234E+03	3.889130E-04	2.068000E-05
6.609386E+03	3.915653E-04	2.013543E-05
6.761980E+03	4.035947E-04	2.005559E-05
6.918099E+03	4.271163E-04	2.049433E-05
7.077821E+03	4.553292E-04	2.108582E-05
7.241231E+03	4.816592E-04	2.153210E-05
7.408414E+03	5.043120E-04	2.179967E-05
7.579457E+03	5.324731E-04	2.234346E-05
7.754448E+03	5.731889E-04	2.350344E-05
7.933481E+03	5.984460E-04	2.415497E-05
8.116646E+03	6.003128E-04	2.398166E-05
8.304040E+03	5.979712E-04	2.370995E-05
8.495761E+03	6.061092E-04	2.386773E-05
8.691908E+03	6.245750E-04	2.441246E-05
8.892583E+03	6.523068E-04	2.530180E-05
9.097892E+03	6.934600E-04	2.674305E-05
9.307941E+03	7.530867E-04	2.901976E-05
9.522839E+03	8.251647E-04	3.193907E-05
9.742699E+03	9.102752E-04	3.555679E-05
9.967638E+03	1.012197E-03	4.009543E-05
1.019776E+04	1.078076E-03	4.347000E-05
1.043321E+04	1.088233E-03	4.467446E-05
1.067409E+04	1.091718E-03	4.536197E-05
1.092052E+04	1.075969E-03	4.476802E-05
1.117265E+04	1.015434E-03	4.173649E-05
1.143060E+04	9.300878E-04	3.724861E-05
1.169451E+04	8.520630E-04	3.293082E-05
1.196451E+04	7.950565E-04	2.971298E-05
1.224074E+04	7.436656E-04	2.752093E-05
1.252335E+04	6.805097E-04	2.610962E-05
1.281249E+04	6.210803E-04	2.556028E-05
1.310829E+04	5.980644E-04	2.659963E-05
1.341094E+04	6.147538E-04	2.924142E-05
1.372056E+04	6.465502E-04	3.224128E-05
1.403733E+04	6.693083E-04	3.413700E-05
1.436142E+04	6.760952E-04	3.431598E-05
1.469299E+04	6.819603E-04	3.346120E-05
1.503222E+04	7.011451E-04	3.232546E-05
1.537928E+04	7.090059E-04	3.009020E-05
1.573435E+04	6.700904E-04	2.637550E-05
1.609762E+04	5.939833E-04	2.320619E-05
1.646927E+04	5.255456E-04	2.245687E-05
1.684951E+04	4.775642E-04	2.317812E-05
1.723852E+04	4.435821E-04	2.421622E-05
1.763653E+04	4.246342E-04	2.534746E-05
1.804371E+04	4.254015E-04	2.684018E-05
1.846029E+04	4.439775E-04	2.855646E-05
1.888650E+04	4.736984E-04	2.986532E-05
1.932255E+04	5.059752E-04	2.989367E-05
1.976866E+04	5.313932E-04	2.785912E-05
2.022507E+04	5.323950E-04	2.320837E-05
2.069202E+04	4.972543E-04	1.724953E-05
2.116975E+04	4.429336E-04	1.422900E-05
2.165851E+04	3.924302E-04	1.597713E-05
2.215855E+04	3.455391E-04	1.868903E-05
2.267014E+04	3.020558E-04	2.049756E-05
2.319354E+04	2.656524E-04	2.139897E-05
2.372903E+04	2.360149E-04	2.164341E-05
2.427687E+04	2.108068E-04	2.133851E-05
