#wls	flux	fluxerr
3.257341E+03	6.905857E-05	1.017642E-05
3.257341E+03	6.905857E-05	1.017642E-05
3.332545E+03	6.002879E-05	8.778442E-06
3.332545E+03	6.002879E-05	8.778442E-06
3.409486E+03	5.169409E-05	7.500271E-06
3.409486E+03	5.169409E-05	7.500271E-06
3.488202E+03	4.433326E-05	6.377029E-06
3.488202E+03	4.433326E-05	6.377029E-06
3.568737E+03	3.814610E-05	5.438412E-06
3.568737E+03	3.814610E-05	5.438412E-06
3.651131E+03	3.319061E-05	4.685909E-06
3.651131E+03	3.319061E-05	4.685909E-06
3.735426E+03	2.935086E-05	4.102190E-06
3.735426E+03	2.935086E-05	4.102190E-06
3.821669E+03	2.645431E-05	3.656556E-06
3.821669E+03	2.645431E-05	3.656556E-06
3.909902E+03	2.430538E-05	3.321178E-06
3.909902E+03	2.430538E-05	3.321178E-06
4.000172E+03	2.275229E-05	3.069905E-06
4.000172E+03	2.275229E-05	3.069905E-06
4.092527E+03	2.164079E-05	2.881930E-06
4.092527E+03	2.164079E-05	2.881930E-06
4.187014E+03	2.090396E-05	2.743892E-06
4.187014E+03	2.090396E-05	2.743892E-06
4.283682E+03	2.046442E-05	2.646215E-06
4.283682E+03	2.046442E-05	2.646215E-06
4.382582E+03	2.028038E-05	2.579393E-06
4.382582E+03	2.028038E-05	2.579393E-06
4.483766E+03	2.023759E-05	2.530014E-06
4.483766E+03	2.023759E-05	2.530014E-06
4.587285E+03	2.027957E-05	2.487573E-06
4.587285E+03	2.027957E-05	2.487573E-06
4.693195E+03	2.033162E-05	2.445018E-06
4.693195E+03	2.033162E-05	2.445018E-06
4.801549E+03	2.041383E-05	2.401895E-06
4.801549E+03	2.041383E-05	2.401895E-06
4.912406E+03	2.047013E-05	2.354095E-06
4.912406E+03	2.047013E-05	2.354095E-06
5.025822E+03	2.054972E-05	2.304671E-06
5.025822E+03	2.054972E-05	2.304671E-06
5.141856E+03	2.060030E-05	2.250201E-06
5.141856E+03	2.060030E-05	2.250201E-06
5.260569E+03	2.076390E-05	2.203679E-06
5.260569E+03	2.076390E-05	2.203679E-06
5.382023E+03	2.116194E-05	2.178674E-06
5.382023E+03	2.116194E-05	2.178674E-06
5.506281E+03	2.218633E-05	2.210329E-06
5.506281E+03	2.218633E-05	2.210329E-06
5.582932E+03	4.691555E-05	4.577552E-06
5.583328E+03	4.680648E-05	4.566411E-06
5.583526E+03	4.705661E-05	4.590562E-06
5.583724E+03	4.703003E-05	4.587717E-06
5.583922E+03	4.724653E-05	4.608584E-06
5.584120E+03	4.760193E-05	4.642996E-06
5.584318E+03	4.762546E-05	4.645037E-06
5.584516E+03	4.764462E-05	4.646651E-06
5.584912E+03	4.766539E-05	4.648168E-06
5.585111E+03	4.754423E-05	4.636098E-06
5.585309E+03	4.794822E-05	4.675235E-06
5.585508E+03	4.782855E-05	4.663310E-06
5.585706E+03	4.768061E-05	4.648631E-06
5.585904E+03	4.800389E-05	4.679893E-06
5.586102E+03	4.832714E-05	4.711149E-06
5.586300E+03	4.872320E-05	4.749498E-06
5.586498E+03	4.878322E-05	4.755088E-06
5.586696E+03	4.844123E-05	4.721494E-06
5.586894E+03	4.829252E-05	4.706741E-06
5.587092E+03	4.831640E-05	4.708810E-06
5.587290E+03	4.843164E-05	4.719783E-06
5.587488E+03	4.814198E-05	4.691297E-06
5.587686E+03	4.823792E-05	4.700388E-06
5.587884E+03	4.840088E-05	4.716009E-06
5.588082E+03	4.873017E-05	4.747833E-06
5.588280E+03	4.879582E-05	4.753969E-06
5.588478E+03	4.905433E-05	4.778892E-06
5.588675E+03	4.877553E-05	4.751472E-06
5.588873E+03	4.875361E-05	4.749076E-06
5.589073E+03	4.863528E-05	4.737289E-06
5.589271E+03	4.892673E-05	4.765415E-06
5.589468E+03	4.921424E-05	4.793157E-06
5.589864E+03	4.938104E-05	4.808875E-06
5.590062E+03	4.981096E-05	4.850475E-06
5.590260E+03	5.020069E-05	4.888158E-06
5.590458E+03	5.035057E-05	4.902483E-06
5.590656E+03	5.040680E-05	4.907688E-06
5.590855E+03	5.066102E-05	4.932167E-06
5.591053E+03	5.104211E-05	4.968996E-06
5.591251E+03	5.134679E-05	4.998383E-06
5.591449E+03	5.124224E-05	4.987931E-06
5.591647E+03	5.160869E-05	5.023325E-06
5.591845E+03	5.123391E-05	4.986573E-06
5.592043E+03	5.110252E-05	4.973511E-06
5.592241E+03	5.101020E-05	4.964253E-06
5.592439E+03	5.077054E-05	4.940659E-06
5.592637E+03	5.094793E-05	4.957648E-06
5.592835E+03	5.130400E-05	4.992024E-06
5.593034E+03	5.129512E-05	4.990885E-06
5.593232E+03	5.123075E-05	4.984348E-06
5.593430E+03	5.181023E-05	5.040450E-06
5.593628E+03	5.218074E-05	5.076217E-06
5.593826E+03	5.237753E-05	5.095081E-06
5.594024E+03	5.255328E-05	5.111896E-06
5.594222E+03	5.278549E-05	5.134201E-06
5.594420E+03	5.268893E-05	5.124527E-06
5.594618E+03	5.288154E-05	5.142978E-06
5.594816E+03	5.318251E-05	5.171965E-06
5.595014E+03	5.363566E-05	5.215746E-06
5.595212E+03	5.400680E-05	5.251548E-06
5.595410E+03	5.409825E-05	5.260152E-06
5.595608E+03	5.373262E-05	5.224313E-06
5.595806E+03	5.405960E-05	5.255816E-06
5.596005E+03	5.408509E-05	5.258004E-06
5.596203E+03	5.423284E-05	5.272078E-06
5.596401E+03	5.407633E-05	5.256573E-06
5.596599E+03	5.401221E-05	5.250052E-06
5.596798E+03	5.426837E-05	5.274661E-06
5.596996E+03	5.445297E-05	5.292312E-06
5.597194E+03	5.475911E-05	5.321773E-06
5.597392E+03	5.479629E-05	5.325094E-06
5.597590E+03	5.496497E-05	5.341192E-06
5.597788E+03	5.485684E-05	5.330391E-06
5.597986E+03	5.460289E-05	5.305423E-06
5.598184E+03	5.437639E-05	5.283125E-06
5.598382E+03	5.416456E-05	5.262254E-06
5.598580E+03	5.381212E-05	5.227725E-06
5.598778E+03	5.346319E-05	5.193542E-06
5.598976E+03	5.289562E-05	5.138124E-06
5.599174E+03	5.272961E-05	5.121716E-06
5.599372E+03	5.305170E-05	5.152718E-06
5.599570E+03	5.296563E-05	5.144075E-06
5.599768E+03	5.314092E-05	5.160815E-06
5.599966E+03	5.312682E-05	5.159162E-06
5.600164E+03	5.337387E-05	5.182868E-06
5.600362E+03	5.349997E-05	5.194826E-06
5.600560E+03	5.351042E-05	5.195555E-06
5.600759E+03	5.349993E-05	5.194250E-06
5.600956E+03	5.354490E-05	5.198331E-06
5.601155E+03	5.361088E-05	5.204449E-06
5.601354E+03	5.380688E-05	5.223187E-06
5.601552E+03	5.392779E-05	5.234636E-06
5.601749E+03	5.391598E-05	5.233203E-06
5.601947E+03	5.398242E-05	5.239363E-06
5.602145E+03	5.409626E-05	5.250122E-06
5.602343E+03	5.413176E-05	5.253278E-06
5.602541E+03	5.420845E-05	5.260430E-06
5.602739E+03	5.444924E-05	5.283506E-06
5.602937E+03	5.439096E-05	5.277559E-06
5.603135E+03	5.412048E-05	5.251025E-06
5.603333E+03	5.421338E-05	5.259749E-06
5.603531E+03	5.426645E-05	5.264607E-06
5.603729E+03	5.457029E-05	5.293793E-06
5.603927E+03	5.492007E-05	5.327431E-06
5.604125E+03	5.460922E-05	5.296985E-06
5.604323E+03	5.447421E-05	5.283598E-06
5.604522E+03	5.480950E-05	5.315825E-06
5.604918E+03	5.460163E-05	5.295080E-06
5.605116E+03	5.512016E-05	5.345072E-06
5.605314E+03	5.519572E-05	5.352103E-06
5.605512E+03	5.553417E-05	5.384625E-06
5.605710E+03	5.556677E-05	5.387488E-06
5.605908E+03	5.551114E-05	5.381797E-06
5.606106E+03	5.549515E-05	5.379950E-06
5.606305E+03	5.553924E-05	5.383927E-06
5.606503E+03	5.551430E-05	5.381212E-06
5.606701E+03	5.549704E-05	5.379241E-06
5.606899E+03	5.537640E-05	5.367252E-06
