#wls	flux	fluxerr
3.257341E+03	4.926371E-16	3.979620E-17
3.332545E+03	4.910620E-16	3.940508E-17
3.409486E+03	4.900191E-16	3.906032E-17
3.488202E+03	4.882101E-16	3.865969E-17
3.568737E+03	4.874781E-16	3.835096E-17
3.651131E+03	4.922141E-16	3.847701E-17
3.735426E+03	5.058230E-16	3.929477E-17
3.821669E+03	5.291033E-16	4.085352E-17
3.909902E+03	5.582631E-16	4.284815E-17
4.000172E+03	5.855203E-16	4.467573E-17
4.092527E+03	6.039453E-16	4.581142E-17
4.187014E+03	6.119529E-16	4.614492E-17
4.283682E+03	6.140774E-16	4.602691E-17
4.382582E+03	6.167382E-16	4.593995E-17
4.483766E+03	6.212611E-16	4.597743E-17
4.587285E+03	6.242267E-16	4.588074E-17
4.693195E+03	6.212582E-16	4.532809E-17
4.801549E+03	6.067959E-16	4.392209E-17
4.912406E+03	5.798173E-16	4.160622E-17
5.025822E+03	5.447665E-16	3.871906E-17
5.141856E+03	5.081525E-16	3.573637E-17
5.260569E+03	4.766830E-16	3.313073E-17
5.382023E+03	4.592197E-16	3.150019E-17
5.506281E+03	4.565687E-16	3.086123E-17
5.633408E+03	4.593165E-16	3.053993E-17
5.763470E+03	4.597870E-16	3.001237E-17
5.896535E+03	4.522372E-16	2.891576E-17
6.032673E+03	4.325702E-16	2.702584E-17
6.171952E+03	3.962879E-16	2.412713E-17
6.314448E+03	3.464554E-16	2.049360E-17
6.460234E+03	3.013528E-16	1.726297E-17
6.609386E+03	2.716008E-16	1.501531E-17
6.761980E+03	2.566968E-16	1.364602E-17
6.918099E+03	2.535349E-16	1.291216E-17
7.077821E+03	2.594622E-16	1.261424E-17
7.241231E+03	2.712641E-16	1.255021E-17
7.408414E+03	2.838183E-16	1.246886E-17
7.579457E+03	2.907547E-16	1.212170E-17
7.754448E+03	2.877338E-16	1.138876E-17
7.933481E+03	2.738240E-16	1.030585E-17
8.116646E+03	2.520878E-16	9.056202E-18
8.304040E+03	2.267445E-16	7.837277E-18
8.495761E+03	2.004466E-16	6.762892E-18
8.691908E+03	1.754327E-16	5.908886E-18
8.892583E+03	1.551595E-16	5.363899E-18
9.097892E+03	1.412488E-16	5.138429E-18
9.307941E+03	1.329681E-16	5.175081E-18
9.522839E+03	1.297894E-16	5.452428E-18
9.742699E+03	1.306242E-16	5.943459E-18
9.967638E+03	1.332367E-16	6.560223E-18
1.019776E+04	1.346466E-16	7.147824E-18
1.043321E+04	1.327604E-16	7.559729E-18
1.067409E+04	1.275455E-16	7.745331E-18
1.092052E+04	1.202119E-16	7.739048E-18
1.117265E+04	1.120371E-16	7.603282E-18
1.143060E+04	1.038997E-16	7.394142E-18
1.169451E+04	9.628058E-17	7.152299E-18
1.196451E+04	8.938537E-17	6.904277E-18
1.224074E+04	8.326452E-17	6.666713E-18
1.252335E+04	7.790255E-17	6.450225E-18
1.281249E+04	7.322733E-17	6.256213E-18
1.310829E+04	6.906474E-17	6.074039E-18
1.341094E+04	6.516225E-17	5.884493E-18
1.372056E+04	6.127797E-17	5.667405E-18
1.403733E+04	5.726460E-17	5.410039E-18
1.436142E+04	5.308593E-17	5.109897E-18
1.469299E+04	4.878871E-17	4.773030E-18
1.503222E+04	4.447578E-17	4.411903E-18
1.537928E+04	4.030752E-17	4.045612E-18
1.573435E+04	3.651952E-17	3.701617E-18
1.609762E+04	3.341971E-17	3.415229E-18
1.646927E+04	3.123375E-17	3.212716E-18
1.684951E+04	2.975058E-17	3.074545E-18
1.723852E+04	2.866934E-17	2.970810E-18
1.763653E+04	2.776736E-17	2.878966E-18
1.804371E+04	2.686204E-17	2.780466E-18
1.846029E+04	2.579851E-17	2.659960E-18
1.888650E+04	2.447619E-17	2.508449E-18
1.932255E+04	2.287561E-17	2.326212E-18
1.976866E+04	2.105103E-17	2.121864E-18
2.022507E+04	1.909959E-17	1.908773E-18
2.069202E+04	1.713814E-17	1.702175E-18
2.116975E+04	1.529644E-17	1.517916E-18
2.165851E+04	1.367163E-17	1.365512E-18
2.215855E+04	1.224930E-17	1.238121E-18
2.267014E+04	1.102651E-17	1.131091E-18
2.319354E+04	1.001138E-17	1.043033E-18
2.372903E+04	9.200518E-18	9.729408E-19
2.427687E+04	8.574943E-18	9.190502E-19
