#wls	flux	fluxerr
3.257341E+03	3.348560E-18	5.258974E-19
3.257341E+03	3.348560E-18	5.258974E-19
3.332545E+03	2.969736E-18	4.614729E-19
3.332545E+03	2.969736E-18	4.614729E-19
3.409486E+03	2.609194E-18	4.009059E-19
3.409486E+03	2.609194E-18	4.009059E-19
3.488202E+03	2.284265E-18	3.468102E-19
3.488202E+03	2.284265E-18	3.468102E-19
3.568737E+03	2.009661E-18	3.012707E-19
3.568737E+03	2.009661E-18	3.012707E-19
3.651131E+03	1.791880E-18	2.650253E-19
3.651131E+03	1.791880E-18	2.650253E-19
3.735426E+03	1.628819E-18	2.374789E-19
3.735426E+03	1.628819E-18	2.374789E-19
3.821669E+03	1.513176E-18	2.172788E-19
3.821669E+03	1.513176E-18	2.172788E-19
3.909902E+03	1.437336E-18	2.030641E-19
3.909902E+03	1.437336E-18	2.030641E-19
4.000172E+03	1.394779E-18	1.936716E-19
4.000172E+03	1.394779E-18	1.936716E-19
4.092527E+03	1.380071E-18	1.881273E-19
4.092527E+03	1.380071E-18	1.881273E-19
4.187014E+03	1.390934E-18	1.859145E-19
4.187014E+03	1.390934E-18	1.859145E-19
4.283682E+03	1.426610E-18	1.867222E-19
4.283682E+03	1.426610E-18	1.867222E-19
4.382582E+03	1.484184E-18	1.899534E-19
4.382582E+03	1.484184E-18	1.899534E-19
4.483766E+03	1.556947E-18	1.945557E-19
4.483766E+03	1.556947E-18	1.945557E-19
4.587285E+03	1.637586E-18	1.994720E-19
4.587285E+03	1.637586E-18	1.994720E-19
4.693195E+03	1.722261E-18	2.041438E-19
4.693195E+03	1.722261E-18	2.041438E-19
4.801549E+03	1.809038E-18	2.082823E-19
4.801549E+03	1.809038E-18	2.082823E-19
4.912406E+03	1.895800E-18	2.116078E-19
4.912406E+03	1.895800E-18	2.116078E-19
5.025822E+03	1.979636E-18	2.137921E-19
5.025822E+03	1.979636E-18	2.137921E-19
5.141856E+03	2.056250E-18	2.144160E-19
5.141856E+03	2.056250E-18	2.144160E-19
5.260569E+03	2.127450E-18	2.137545E-19
5.260569E+03	2.127450E-18	2.137545E-19
5.382023E+03	2.212111E-18	2.137227E-19
5.382023E+03	2.212111E-18	2.137227E-19
5.506281E+03	2.350518E-18	2.179482E-19
5.506281E+03	2.350518E-18	2.179482E-19
5.633408E+03	2.575231E-18	2.287587E-19
5.633408E+03	2.575231E-18	2.287587E-19
5.763470E+03	2.890705E-18	2.455351E-19
5.763470E+03	2.890705E-18	2.455351E-19
5.896535E+03	3.290630E-18	2.666802E-19
5.896535E+03	3.290630E-18	2.666802E-19
6.032673E+03	3.745687E-18	2.889158E-19
6.032673E+03	3.745687E-18	2.889158E-19
6.171952E+03	4.176275E-18	3.057530E-19
6.171952E+03	4.176275E-18	3.057530E-19
6.314448E+03	4.440220E-18	3.076561E-19
6.314448E+03	4.440220E-18	3.076561E-19
6.460234E+03	4.463025E-18	2.918081E-19
6.460234E+03	4.463025E-18	2.918081E-19
6.609386E+03	4.452576E-18	2.738681E-19
6.609386E+03	4.452576E-18	2.738681E-19
