#wls	flux	fluxerr
3.257341E+03	2.788431E-18	0.000000E+00
3.332545E+03	2.446240E-18	0.000000E+00
3.409486E+03	2.122047E-18	0.000000E+00
3.488202E+03	1.825197E-18	0.000000E+00
3.568737E+03	1.561788E-18	0.000000E+00
3.651131E+03	1.334136E-18	0.000000E+00
3.735426E+03	1.141271E-18	0.000000E+00
3.821669E+03	9.799895E-19	0.000000E+00
3.909902E+03	8.459884E-19	0.000000E+00
4.000172E+03	7.347619E-19	0.000000E+00
4.092527E+03	6.421770E-19	0.000000E+00
4.187014E+03	5.647400E-19	0.000000E+00
4.283682E+03	4.996394E-19	0.000000E+00
4.382582E+03	4.446717E-19	0.000000E+00
4.483766E+03	3.981356E-19	0.000000E+00
4.587285E+03	3.587378E-19	0.000000E+00
4.693195E+03	3.255147E-19	0.000000E+00
4.801549E+03	2.977610E-19	0.000000E+00
4.912406E+03	2.749639E-19	0.000000E+00
5.025822E+03	2.567413E-19	0.000000E+00
5.141856E+03	2.427773E-19	0.000000E+00
5.260569E+03	2.327423E-19	0.000000E+00
5.382023E+03	2.261955E-19	0.000000E+00
5.506281E+03	2.224852E-19	0.000000E+00
5.633408E+03	2.206992E-19	0.000000E+00
5.763470E+03	2.197267E-19	0.000000E+00
5.896535E+03	2.184507E-19	0.000000E+00
6.032673E+03	2.160224E-19	0.000000E+00
6.171952E+03	2.121090E-19	0.000000E+00
6.314448E+03	2.069799E-19	0.000000E+00
6.460234E+03	2.013462E-19	0.000000E+00
6.609386E+03	1.960112E-19	0.000000E+00
6.761980E+03	1.915278E-19	0.000000E+00
6.918099E+03	1.880340E-19	0.000000E+00
7.077821E+03	1.852895E-19	0.000000E+00
7.241231E+03	1.828325E-19	0.000000E+00
7.408414E+03	1.801667E-19	0.000000E+00
7.579457E+03	1.769108E-19	0.000000E+00
7.754448E+03	1.728637E-19	0.000000E+00
7.933481E+03	1.679749E-19	0.000000E+00
8.116646E+03	1.622796E-19	0.000000E+00
8.304040E+03	1.558874E-19	0.000000E+00
8.495761E+03	1.490420E-19	0.000000E+00
8.691908E+03	1.421824E-19	0.000000E+00
8.892583E+03	1.359246E-19	0.000000E+00
9.097892E+03	1.309519E-19	0.000000E+00
9.307941E+03	1.278639E-19	0.000000E+00
9.522839E+03	1.269198E-19	0.000000E+00
9.742699E+03	1.280002E-19	0.000000E+00
9.967638E+03	1.306919E-19	0.000000E+00
1.019776E+04	1.344155E-19	0.000000E+00
1.043321E+04	1.385905E-19	0.000000E+00
1.067409E+04	1.427925E-19	0.000000E+00
1.092052E+04	1.468325E-19	0.000000E+00
1.117265E+04	1.507523E-19	0.000000E+00
1.143060E+04	1.547922E-19	0.000000E+00
1.169451E+04	1.593676E-19	0.000000E+00
1.196451E+04	1.650391E-19	0.000000E+00
1.224074E+04	1.724376E-19	0.000000E+00
1.252335E+04	1.821254E-19	0.000000E+00
1.281249E+04	1.944186E-19	0.000000E+00
1.310829E+04	2.092454E-19	0.000000E+00
1.341094E+04	2.261107E-19	0.000000E+00
1.372056E+04	2.442071E-19	0.000000E+00
1.403733E+04	2.626542E-19	0.000000E+00
1.436142E+04	2.807629E-19	0.000000E+00
1.469299E+04	2.981789E-19	0.000000E+00
1.503222E+04	3.148623E-19	0.000000E+00
1.537928E+04	3.310218E-19	0.000000E+00
1.573435E+04	3.471279E-19	0.000000E+00
1.609762E+04	3.639572E-19	0.000000E+00
1.646927E+04	3.824702E-19	0.000000E+00
1.684951E+04	4.034769E-19	0.000000E+00
1.723852E+04	4.273065E-19	0.000000E+00
1.763653E+04	4.536602E-19	0.000000E+00
1.804371E+04	4.816093E-19	0.000000E+00
1.846029E+04	5.096840E-19	0.000000E+00
1.888650E+04	5.360867E-19	0.000000E+00
1.932255E+04	5.591046E-19	0.000000E+00
1.976866E+04	5.777798E-19	0.000000E+00
2.022507E+04	5.928202E-19	0.000000E+00
2.069202E+04	6.074870E-19	0.000000E+00
2.116975E+04	6.278104E-19	0.000000E+00
2.165851E+04	6.604692E-19	0.000000E+00
2.215855E+04	7.072349E-19	0.000000E+00
2.267014E+04	7.656334E-19	0.000000E+00
2.319354E+04	8.317401E-19	0.000000E+00
2.372903E+04	9.009834E-19	0.000000E+00
2.427687E+04	9.688100E-19	0.000000E+00
