#wls	flux	fluxerr
3.289393E+03	5.311258E-16	3.464658E-17
3.365337E+03	5.210199E-16	3.347651E-17
3.443035E+03	5.165692E-16	3.267153E-17
3.522526E+03	5.173911E-16	3.219180E-17
3.603853E+03	5.258849E-16	3.216872E-17
3.687058E+03	5.464191E-16	3.284115E-17
3.772183E+03	5.815826E-16	3.432268E-17
3.859274E+03	6.312280E-16	3.655581E-17
3.948375E+03	6.919976E-16	3.930014E-17
4.039534E+03	7.579265E-16	4.218352E-17
4.132797E+03	8.224211E-16	4.482597E-17
4.228214E+03	8.804124E-16	4.695960E-17
4.325833E+03	9.300522E-16	4.850945E-17
4.425707E+03	9.713775E-16	4.950723E-17
4.527886E+03	1.002633E-15	4.989762E-17
4.632424E+03	1.018856E-15	4.948059E-17
4.739376E+03	1.012337E-15	4.795266E-17
4.848796E+03	9.760598E-16	4.507912E-17
4.960744E+03	9.149355E-16	4.119065E-17
5.075276E+03	8.403082E-16	3.687522E-17
5.192452E+03	7.661942E-16	3.278080E-17
5.312333E+03	7.067338E-16	2.949756E-17
5.434982E+03	6.719112E-16	2.739102E-17
5.560463E+03	6.614948E-16	2.639155E-17
5.688841E+03	6.648026E-16	2.603978E-17
5.820183E+03	6.686307E-16	2.583009E-17
5.954557E+03	6.624463E-16	2.539909E-17
6.092034E+03	6.377117E-16	2.446567E-17
6.232684E+03	5.853871E-16	2.268764E-17
6.376582E+03	5.091700E-16	2.011586E-17
6.523803E+03	4.361820E-16	1.769627E-17
6.674422E+03	3.820538E-16	1.600627E-17
6.828518E+03	3.472794E-16	1.508132E-17
6.986173E+03	3.273277E-16	1.476765E-17
7.147467E+03	3.175222E-16	1.489733E-17
7.312485E+03	3.138481E-16	1.531447E-17
7.481313E+03	3.122601E-16	1.583885E-17
7.654039E+03	3.088419E-16	1.626997E-17
7.830752E+03	3.006594E-16	1.643183E-17
8.011546E+03	2.864893E-16	1.622200E-17
8.196514E+03	2.679705E-16	1.569703E-17
8.385752E+03	2.477298E-16	1.498901E-17
8.579359E+03	2.272798E-16	1.418342E-17
8.777436E+03	2.078331E-16	1.335959E-17
8.980086E+03	1.915318E-16	1.266715E-17
9.187415E+03	1.798191E-16	1.222272E-17
9.399531E+03	1.722411E-16	1.201976E-17
9.616544E+03	1.677698E-16	1.200677E-17
9.838567E+03	1.653591E-16	1.212355E-17
1.006572E+04	1.633622E-16	1.225653E-17
1.029811E+04	1.595487E-16	1.223606E-17
1.053587E+04	1.527598E-16	1.196168E-17
1.077912E+04	1.438109E-16	1.148340E-17
1.102798E+04	1.340544E-16	1.090178E-17
1.128259E+04	1.243653E-16	1.028742E-17
1.154308E+04	1.152056E-16	9.682007E-18
1.180958E+04	1.067561E-16	9.106221E-18
1.208224E+04	9.903641E-17	8.567855E-18
1.236119E+04	9.212358E-17	8.079819E-18
1.264658E+04	8.621784E-17	7.665459E-18
1.293856E+04	8.136916E-17	7.332487E-18
1.323728E+04	7.723104E-17	7.051234E-18
1.354290E+04	7.329086E-17	6.775415E-18
1.385557E+04	6.920961E-17	6.473106E-18
1.417546E+04	6.490165E-17	6.135451E-18
1.450274E+04	6.045287E-17	5.770255E-18
1.483757E+04	5.599684E-17	5.390800E-18
1.518014E+04	5.162650E-17	5.007300E-18
1.553061E+04	4.741674E-17	4.628735E-18
1.588918E+04	4.351494E-17	4.271505E-18
1.625602E+04	4.015411E-17	3.960629E-18
1.663133E+04	3.754108E-17	3.717880E-18
1.701531E+04	3.566446E-17	3.542941E-18
1.740815E+04	3.435244E-17	3.419316E-18
1.781007E+04	3.342039E-17	3.328913E-18
1.822126E+04	3.263896E-17	3.249037E-18
1.864194E+04	3.171294E-17	3.150602E-18
1.907234E+04	3.040708E-17	3.011071E-18
1.951268E+04	2.865963E-17	2.825965E-18
1.996318E+04	2.654600E-17	2.605085E-18
2.042408E+04	2.416877E-17	2.361276E-18
2.089563E+04	2.161581E-17	2.105914E-18
2.137806E+04	1.899768E-17	1.851959E-18
2.187163E+04	1.646331E-17	1.612956E-18
2.237659E+04	1.413593E-17	1.396258E-18
2.289321E+04	1.212033E-17	1.208960E-18
2.342176E+04	1.047387E-17	1.055526E-18
2.396252E+04	9.187008E-18	9.350746E-19
2.451575E+04	8.204383E-18	8.426564E-19
