#wls	flux	fluxerr
3.289393E+03	1.975939E-17	1.696831E-18
3.365337E+03	1.729932E-17	1.458561E-18
3.443035E+03	1.536438E-17	1.270655E-18
3.522526E+03	1.394670E-17	1.130236E-18
3.603853E+03	1.302975E-17	1.033639E-18
3.687058E+03	1.262472E-17	9.793182E-19
3.772183E+03	1.281381E-17	9.708899E-19
3.859274E+03	1.375949E-17	1.017168E-18
3.948375E+03	1.551851E-17	1.117975E-18
4.039534E+03	1.795768E-17	1.259183E-18
4.132797E+03	2.090130E-17	1.424643E-18
4.228214E+03	2.422622E-17	1.602970E-18
4.325833E+03	2.795474E-17	1.793067E-18
4.425707E+03	3.224887E-17	2.002349E-18
4.527886E+03	3.714652E-17	2.229538E-18
4.632424E+03	4.224838E-17	2.447871E-18
4.739376E+03	4.700163E-17	2.625614E-18
4.848796E+03	5.113649E-17	2.751224E-18
4.960744E+03	5.504682E-17	2.849961E-18
5.075276E+03	5.877405E-17	2.926555E-18
5.192452E+03	6.201135E-17	2.968587E-18
5.312333E+03	6.437871E-17	2.962750E-18
5.434982E+03	6.487397E-17	2.871212E-18
5.560463E+03	6.333479E-17	2.698115E-18
5.688841E+03	6.186377E-17	2.539972E-18
5.820183E+03	6.220721E-17	2.465393E-18
5.954557E+03	6.513474E-17	2.496668E-18
6.092034E+03	7.053771E-17	2.622063E-18
6.232684E+03	7.629219E-17	2.760975E-18
6.376582E+03	8.006258E-17	2.835866E-18
6.523803E+03	8.253680E-17	2.875930E-18
6.674422E+03	8.616751E-17	2.963802E-18
6.828518E+03	9.196029E-17	3.127171E-18
6.986173E+03	9.728233E-17	3.271119E-18
7.147467E+03	9.939667E-17	3.304080E-18
7.312485E+03	9.817763E-17	3.228953E-18
7.481313E+03	9.349837E-17	3.053088E-18
7.654039E+03	9.010747E-17	2.942519E-18
7.830752E+03	9.269433E-17	3.051562E-18
8.011546E+03	9.237352E-17	3.081441E-18
8.196514E+03	8.807238E-17	2.979163E-18
8.385752E+03	8.301583E-17	2.840452E-18
8.579359E+03	7.781317E-17	2.683129E-18
8.777436E+03	7.227156E-17	2.504529E-18
8.980086E+03	6.855113E-17	2.385731E-18
9.187415E+03	6.999255E-17	2.451949E-18
9.399531E+03	7.579625E-17	2.687049E-18
9.616544E+03	8.349048E-17	3.009730E-18
9.838567E+03	9.307070E-17	3.427328E-18
1.006572E+04	1.054172E-16	3.985256E-18
1.029811E+04	1.130655E-16	4.405491E-18
1.053587E+04	1.112349E-16	4.467322E-18
1.077912E+04	1.064389E-16	4.373670E-18
1.102798E+04	1.004112E-16	4.166744E-18
1.128259E+04	9.279400E-17	3.826044E-18
1.154308E+04	8.509634E-17	3.429517E-18
1.180958E+04	7.933192E-17	3.088932E-18
1.208224E+04	7.587669E-17	2.859934E-18
1.236119E+04	7.203618E-17	2.702055E-18
1.264658E+04	6.581277E-17	2.587221E-18
1.293856E+04	6.045417E-17	2.584735E-18
1.323728E+04	5.857744E-17	2.743350E-18
1.354290E+04	5.932974E-17	3.007869E-18
1.385557E+04	6.049479E-17	3.251631E-18
1.417546E+04	6.061050E-17	3.369998E-18
1.450274E+04	5.962438E-17	3.340475E-18
1.483757E+04	5.850621E-17	3.216098E-18
1.518014E+04	5.759768E-17	3.030159E-18
1.553061E+04	5.559047E-17	2.750958E-18
1.588918E+04	5.150038E-17	2.408148E-18
1.625602E+04	4.667398E-17	2.163825E-18
1.663133E+04	4.299666E-17	2.132453E-18
1.701531E+04	4.069021E-17	2.241239E-18
1.740815E+04	3.934044E-17	2.401207E-18
1.781007E+04	3.908312E-17	2.587822E-18
1.822126E+04	3.984312E-17	2.781515E-18
1.864194E+04	4.066691E-17	2.900272E-18
1.907234E+04	4.045789E-17	2.848306E-18
1.951268E+04	3.886393E-17	2.599988E-18
1.996318E+04	3.627064E-17	2.208979E-18
2.042408E+04	3.312809E-17	1.758263E-18
2.089563E+04	2.972870E-17	1.354076E-18
2.137806E+04	2.641585E-17	1.147119E-18
2.187163E+04	2.357986E-17	1.193312E-18
2.237659E+04	2.122170E-17	1.333348E-18
2.289321E+04	1.923053E-17	1.462620E-18
2.342176E+04	1.764873E-17	1.562321E-18
2.396252E+04	1.645506E-17	1.638433E-18
2.451575E+04	1.554915E-17	1.695058E-18
