#wls	flux	fluxerr
3.289393E+03	8.347248E-16	2.225442E-17
3.289393E+03	8.347248E-16	2.225442E-17
3.365337E+03	8.348437E-16	1.964224E-17
3.365337E+03	8.348437E-16	1.964224E-17
3.443035E+03	8.420148E-16	1.746623E-17
3.443035E+03	8.420148E-16	1.746623E-17
3.522526E+03	8.574035E-16	1.616227E-17
3.522526E+03	8.574035E-16	1.616227E-17
3.603853E+03	8.838609E-16	1.565770E-17
3.603853E+03	8.838609E-16	1.565770E-17
3.687058E+03	9.252853E-16	1.542526E-17
3.687058E+03	9.252853E-16	1.542526E-17
3.725600E+03	2.160131E-15	5.015143E-16
3.727600E+03	2.108968E-15	5.014896E-16
3.729500E+03	2.055985E-15	5.014590E-16
3.731500E+03	2.005903E-15	5.014369E-16
3.733500E+03	1.968838E-15	5.014105E-16
3.735500E+03	1.938028E-15	5.013929E-16
3.737400E+03	1.890819E-15	5.013734E-16
3.739400E+03	1.841450E-15	5.013528E-16
3.741400E+03	1.792999E-15	5.013223E-16
3.743300E+03	1.746385E-15	5.013041E-16
3.745300E+03	1.707890E-15	5.012811E-16
3.747300E+03	1.667401E-15	5.012701E-16
3.749300E+03	1.622333E-15	5.012509E-16
3.751200E+03	1.579174E-15	4.983436E-16
3.753200E+03	1.536845E-15	4.861378E-16
3.755200E+03	1.501482E-15	4.903867E-16
3.757100E+03	1.465548E-15	4.597019E-16
3.759100E+03	1.436415E-15	4.464156E-16
3.761100E+03	1.407991E-15	4.274723E-16
3.763000E+03	1.379240E-15	3.896993E-16
3.765000E+03	1.351419E-15	3.798855E-16
3.767000E+03	1.323366E-15	3.837637E-16
3.769000E+03	1.299032E-15	3.826263E-16
3.770900E+03	1.278174E-15	3.907254E-16
3.772900E+03	1.259012E-15	3.756415E-16
3.774900E+03	1.245575E-15	3.519525E-16
3.776800E+03	1.235891E-15	3.446010E-16
3.778800E+03	1.224842E-15	3.484224E-16
3.780800E+03	1.219832E-15	3.499364E-16
3.782800E+03	1.216690E-15	3.547186E-16
3.784700E+03	1.214311E-15	3.634066E-16
3.786700E+03	1.215990E-15	3.169734E-16
3.788700E+03	1.220675E-15	3.266309E-16
3.790600E+03	1.226055E-15	3.337075E-16
3.792600E+03	1.231573E-15	3.524307E-16
3.794600E+03	1.240452E-15	3.616842E-16
3.796600E+03	1.246206E-15	3.532069E-16
3.798500E+03	1.255538E-15	3.511461E-16
3.800500E+03	1.265610E-15	3.591404E-16
3.802500E+03	1.281681E-15	3.566471E-16
3.804400E+03	1.295359E-15	3.505133E-16
3.806400E+03	1.309875E-15	3.491944E-16
3.808400E+03	1.324616E-15	3.550931E-16
3.810300E+03	1.339954E-15	3.546083E-16
3.812300E+03	1.357688E-15	3.847839E-16
3.814300E+03	1.371008E-15	3.810813E-16
3.816300E+03	1.379526E-15	3.846923E-16
3.818200E+03	1.386341E-15	3.866788E-16
3.820200E+03	1.398460E-15	3.679091E-16
3.822200E+03	1.406501E-15	3.343512E-16
3.824100E+03	1.412733E-15	3.238781E-16
3.826100E+03	1.417751E-15	3.314198E-16
3.828100E+03	1.421478E-15	3.386917E-16
3.830100E+03	1.417751E-15	3.487928E-16
3.832000E+03	1.415957E-15	3.478949E-16
3.834000E+03	1.402781E-15	3.484411E-16
3.836000E+03	1.419319E-15	3.413602E-16
3.837900E+03	1.443544E-15	3.311637E-16
3.839900E+03	1.435027E-15	3.175215E-16
3.841900E+03	1.432155E-15	2.971840E-16
3.843900E+03	1.433607E-15	2.825510E-16
3.845800E+03	1.433376E-15	2.864657E-16
3.847800E+03	1.431561E-15	2.850850E-16
3.849800E+03	1.416120E-15	2.712932E-16
3.851700E+03	1.398492E-15	2.712916E-16
3.853700E+03	1.401006E-15	2.689713E-16
3.855700E+03	1.400780E-15	2.597726E-16
3.857600E+03	1.403395E-15	2.514439E-16
3.859600E+03	1.392387E-15	2.369181E-16
3.861600E+03	1.390689E-15	1.434714E-16
3.863600E+03	1.404850E-15	1.455164E-16
3.865500E+03	1.409159E-15	1.541840E-16
3.867500E+03	1.399458E-15	1.598604E-16
3.869500E+03	1.392131E-15	1.618178E-16
3.871400E+03	1.378955E-15	1.599190E-16
3.873400E+03	1.363139E-15	1.554407E-16
3.875400E+03	1.355595E-15	1.556354E-16
3.877400E+03	1.342394E-15	1.538650E-16
3.879300E+03	1.338074E-15	1.624366E-16
3.881300E+03	1.337242E-15	1.675326E-16
3.883300E+03	1.335580E-15	1.691322E-16
3.885200E+03	1.333429E-15	1.732496E-16
3.887200E+03	1.334013E-15	1.799115E-16
3.889200E+03	1.332447E-15	1.976747E-16
3.891200E+03	1.333307E-15	1.989212E-16
3.893100E+03	1.326814E-15	1.864612E-16
3.895100E+03	1.324555E-15	1.788881E-16
3.897100E+03	1.332938E-15	1.696533E-16
3.899000E+03	1.349367E-15	1.540887E-16
3.901000E+03	1.360285E-15	1.528982E-16
3.903000E+03	1.367225E-15	1.561962E-16
3.904900E+03	1.376100E-15	1.489107E-16
3.906900E+03	1.386309E-15	1.560900E-16
3.908900E+03	1.397559E-15	1.848722E-16
3.910900E+03	1.406436E-15	1.966110E-16
3.912800E+03	1.409808E-15	1.994597E-16
3.914800E+03	1.414230E-15	1.989601E-16
3.916800E+03	1.417000E-15	1.990362E-16
3.918700E+03	1.412668E-15	1.990535E-16
3.920700E+03	1.408478E-15	1.982975E-16
3.922700E+03	1.415207E-15	1.983538E-16
3.924700E+03	1.417849E-15	1.982613E-16
3.926600E+03	1.414718E-15	1.996302E-16
3.928600E+03	1.414718E-15	1.904917E-16
3.930600E+03	1.422656E-15	1.867053E-16
3.932500E+03	1.433805E-15	1.809380E-16
3.934500E+03	1.446372E-15	1.746711E-16
3.936500E+03	1.444109E-15	1.646970E-16
3.938500E+03	1.430573E-15	1.328988E-16
3.940400E+03	1.426133E-15	1.199014E-16
3.942400E+03	1.424098E-15	1.266226E-16
3.944400E+03	1.421216E-15	1.299703E-16
3.946300E+03	1.418927E-15	1.266249E-16
3.948300E+03	1.409224E-15	1.279305E-16
3.950300E+03	1.401813E-15	1.325723E-16
3.952200E+03	1.399748E-15	1.324002E-16
3.954200E+03	1.396529E-15	1.317665E-16
3.956200E+03	1.394119E-15	1.400465E-16
3.958200E+03	1.389345E-15	1.193372E-16
3.960100E+03	1.387554E-15	1.019366E-16
3.962100E+03	1.380480E-15	9.832452E-17
3.964100E+03	1.373409E-15	9.783922E-17
3.966000E+03	1.367886E-15	9.847763E-17
3.968000E+03	1.363704E-15	9.949313E-17
3.970000E+03	1.363076E-15	9.230745E-17
3.972000E+03	1.362982E-15	9.503853E-17
3.973900E+03	1.363327E-15	9.932021E-17
3.975900E+03	1.366218E-15	9.582227E-17
3.977900E+03	1.367162E-15	1.009439E-16
3.979800E+03	1.367068E-15	1.146832E-16
3.981800E+03	1.370882E-15	1.197391E-16
3.983800E+03	1.370661E-15	1.211687E-16
3.985800E+03	1.372935E-15	1.212430E-16
3.987700E+03	1.376417E-15	1.210227E-16
3.989700E+03	1.379177E-15	1.282799E-16
3.991700E+03	1.379780E-15	1.260093E-16
3.993600E+03	1.381815E-15	1.245492E-16
3.995600E+03	1.383248E-15	1.269170E-16
3.997600E+03	1.381815E-15	1.280691E-16
3.999500E+03	1.385415E-15	1.252202E-16
4.001500E+03	1.388641E-15	1.261632E-16
4.003500E+03	1.393221E-15	1.289549E-16
4.005500E+03	1.393574E-15	1.193925E-16
4.007400E+03	1.396208E-15	1.145029E-16
4.009400E+03	1.394890E-15	1.164357E-16
4.011400E+03	1.393702E-15	1.198717E-16
4.013300E+03	1.391778E-15	1.180506E-16
4.015300E+03	1.384714E-15	1.199076E-16
4.017300E+03	1.379431E-15	1.169763E-16
4.019300E+03	1.378098E-15	1.169597E-16
4.021200E+03	1.378479E-15	1.166555E-16
4.023200E+03	1.373314E-15	1.155622E-16
4.025200E+03	1.370819E-15	1.156952E-16
4.027100E+03	1.369367E-15	1.108186E-16
4.029100E+03	1.367571E-15	9.994759E-17
4.031100E+03	1.365306E-15	9.506860E-17
4.033100E+03	1.364929E-15	9.801992E-17
4.035000E+03	1.368768E-15	9.792653E-17
4.037000E+03	1.369746E-15	9.804067E-17
4.039000E+03	1.369746E-15	8.988394E-17
4.040900E+03	1.366249E-15	8.980104E-17
4.042900E+03	1.367225E-15	8.951118E-17
